slug	title	main_prefix	main_years	intruder_vol	intruder_prefix	intruder_year	intruder_isbn
boku-no-noroi-no-kyuuketsuki	僕の呪いの吸血姫	7575	2022-2024	9	301	2026	9784301004493
moto-saikyou-no-kenshi-wa-isekai-mahou-ni-akogareru	元最強の剣士は、異世界魔法に憧れる	86716	2020-2025	1	89637	2018	9784896378429
moto-saikyou-yuusha-no-sai-shuushoku	元最強勇者の再就職	86468	2022-2024	8	86805	2026	9784868051688
ganso-edomae-sushiya-yohee	元祖江戸前寿し屋與兵衛	575	2009-2010	1	8458	2018	9784845853663
sensei-de-sex-no-renshuu-shite-ii	先生で、セックスの練習していい?	909699	2020-2022	4	911186	2025	9784911186374
koukenryoku-ouryou-sousakan-nakabou-rintarou	公権力横領捜査官中坊林太郎	08	1999-2000	3	10	2003	9784107701947
bonkotsu-shinpei-no-monster-life	凡骨新兵のモンスターライフ@COMIC	86794	2024-2026	1	86699	2022	9784866994529
kyouran-reijou-nia-risuton	凶乱令嬢ニア・リストン	7575	2023-2024	8	301	2026	9784301003083
hatsukoi-syndrome	初恋症候群	8019	2015-2016	1	8124	2013	9784812484364
rihei-san-toko-no-obaa-chan	利平さんとこのおばあちゃん	09	1985-1985	3	7577	2006	9784757726734
ken-to-tiara-to-haihiiru-koushaku-reijou-niwa-eiyuu-no-tamashii-ga-yadoru-attomaaku-comic	剣とティアラとハイヒール～公爵令嬢には英雄の魂が宿る～@	86699	2021-2023	5	86794	2025	9784867944592
gekiga-kachikujin-yapuu	劇画家畜人ヤプー	7808	2010-2012	1	344	2003	9784344802391
yuusha-no-haha-desu-maougun-no-kanbu-ni-narimashita	勇者の母ですが、魔王軍の幹部になりました。	19	2025-2026	1	89199	2022	9784891998646
houchounin-ajihei	包丁人味平	8458	2026-2026	1	09	2020	9784091622358
sennenkimatsu-ni-hoeru-koi	千年紀末に吠える恋	7575	2024-2024	3	301	2026	9784301003366
goukaku-kigan	合格祈願	592	1996-1998	4	87724	2004	9784877243548
kimi-ni-kisushitai	君にKissしたい	88271	1995-1997	3	8352	2000	9784835210421
akako	吾可子	86442	2014-2014	1	904101	2011	9784904101988
juin-no-onnakenshi-attomaaku-comic	呪印の女剣士@COMIC	86699	2021-2022	3	86794	2026	9784867947937
saki	咲	7575	2007-2024	27	301	2026	9784301004127
kuchiyaku-mondo-kawaitesourou	唇役主丞乾いて候	88315	1993-1993	1	86225	2011	9784862257796
chikyuuwonomu	地球を呑む	09	1994-1994	2	06	1982	9784061732605
dabide-no-hoshi	堕靡泥の星	7572	1998-1998	1	88219	2012	9784882192589
mugen-shinshi	夢幻紳士	19	1985-1991	1	15	1983	9784152087164
daijoubu-club	大丈夫倶楽部	86791	2024-2024	1	910352	2022	9784910352459
taitei-no-ken	大帝の剣	344	2013-2015	5	04	2010	9784047266698
daikagaku-shoujo	大科学少女	575	2014-2014	3	04	2022	9784047371897
daikenja-no-manadeshi-bougyo-mahou-no-susume-attomaaku-comic	大賢者の愛弟子～防御魔法のススメ～@COMIC	86699	2020-2023	6	86794	2025	9784867945681
ten-no-hate-made	天の涯まで	02	1993-1993	2	12	1999	9784122034310
tenshi-no-tamago	天使のたまご	05	1993-1993	3	900963	2005	9784900963306
tengai-retrogical	天外レトロジカル	86127	2004-2007	1	901926	2002	9784901926171
tenkuu-shoujo-kishidan	天空少女騎士団	86320	2010-2011	3	8022	2015	9784802200158
shitsurakuen-ni-nureru-hana	失楽園に濡れる花	88653	2011-2012	4	86495	2014	9784864950411
mousou-elektel	妄想エレキテル	86436	2011-2013	1	86252	2009	9784862526755
ane-ga-kensei-de-imouto-ga-kenja-de	姉が剣聖で妹が賢者で	89199	2021-2021	6	8242	2025	9784824204226
konyaku-haki-shitai-node-akuyaku-reijou-enjimasu	婚約破棄したいので悪役令嬢演じます	86778	2023-2026	1	910429	2021	9784910429397
kazoku-game	家族ゲーム	04	2008-2015	1	8402	2006	9784840236577
tomie	富江	257	1997-1997	3	02	2011	9784022140579
chiisana-koi-no-melody	小さな恋のメロディ	86436	2013-2015	1	86252	2011	9784862529640
shougakusei-dansui-no-torisetsu	小学生男子のトリセツ	594	2011-2011	2	8387	2014	9784838727018
shounen-maid	少年メイド	04	2010-2017	1	7577	2008	9784757745995
okujouhime	屋上姫	7973	2011-2011	4	593	2013	9784593857210
gakeppuchi-angel-magical-hanna-chan	崖っぷち天使マジカルハンナちゃん	8124	2012-2014	3	8019	2016	9784801955028
boushiya-ellipsis	帽子屋エリプシス	04	2010-2011	1	7577	2008	9784757744318
maboroshi-no-futsuu-shoujo	幻想の普通少女	575	2009-2009	3	8401	2001	9784840102766
genyou	幻羽	930787	1999-2004	1	403	1991	9784403612640
genma-taisen	幻魔大戦	253	1968-1968	3	88991	1999	9784889918489
kagemusha-tokugawa-ieyasu-gaiden-sakon	影武者徳川家康外伝左近	19	2008-2008	6	10	2002	9784107701572
hissatsu-yami-doushin	必殺闇同心	07	2018-2018	2	86225	2009	9784862254719
shinobu-koi-hodo	忍ぶ恋ほど	86123	2019-2023	5	86787	2025	9784867871454
shishunki-bitter-change	思春期ビターチェンジ	593	2013-2017	9	86675	2019	9784866750460
shikou-shounen	思考少年	7897	1997-1997	3	7783	2006	9784778320072
kaijin-nijuumensou	怪人二十面相	8354	2002-2002	3	8470	2018	9784847068256
kaitou-lupin-den-aventurier	怪盗ルパン伝アバンチュリエ	86468	2013-2016	11	8356	2021	9784835646275
kaitou-lupin-den-abanchurie-toujou-hen	怪盗ルパン伝アバンチュリエ 登場編	86468	2014-2014	11	8356	2021	9784835646275
koi-towa-yobenai	恋とは呼べない	7997	2012-2012	1	86263	2010	9784862638793
koi-ha-itsumo-arashi-no-youni	恋はいつも嵐のように	87775	2001-2002	5	86093	2004	9784860931568
love-houteishiki	恋愛方程式	86263	2006-2007	3	7997	2015	9784799725788
love-bou-kun	恋愛暴君	593	2013-2017	14	86675	2019	9784866750446
akuyaku-reijou-desu-kouryaku-taishou-no-yousu-ga-ijou-sugiru-attomaaku-comic	悪役令嬢ですが攻略対象の様子が異常すぎる@comic	86699	2021-2023	7	86794	2025	9784867945780
akuma-kun	悪魔くん	257	1984-1987	2	7780	2010	9784778031671
wakusei-robo-dangard-ace	惑星ロボダンガードA	253	1997-1997	3	8354	2019	9784835456799
ai-no-tatakiuri-bussanten	愛のたたき売り物産展	8019	2015-2019	1	8124	2013	9784812484586
aware-na-beeta-wa-koi-o-shiranai	憐れなβは恋を知らない	86123	2022-2022	3	86787	2024	9784867870280
nariyuki-de-konyaku-o-moushikonda-yowaki-binbou-reijou-desu-naze-jiki-koushaku-sama-ni-dekiai	成り行きで婚約を申し込んだ弱気貧乏令嬢ですが、何故か次期	86699	2022-2023	4	86794	2026	9784867948798
sensouron	戦争論	344	2001-2003	1	87728	1998	9784877282431
senritsu-no-majutsushi-to-goteijuu	戦慄の魔術師と五帝獣	299	2020-2026	1	8002	2018	9784800287069
sengokuhime	戦極姫	593	2012-2012	1	7973	2010	9784797361087
tezuka-osamu-monogatari	手塚治虫物語	02	1992-1992	3	323	2009	9784323071503
sutegoma-ichi	捨て駒いち	06	1987-1987	8	08	1983	9784088610184
sazukarikon	授か離婚	86778	2023-2026	1	910429	2021	9784910429281
seiryaku-kekkon-no-hazu-ga-dekiai-danna-sama-ga-goshuushin-sugite-rikon-o-yurushite-kuremasen	政略結婚のはずが、溺愛旦那様がご執心すぎて離婚を許してく	596	2023-2024	5	302	2026	9784302115655
shin-naniwa-kinyuudou	新ナニワ金融道	594	2010-2014	2	7663	2008	9784766333602
shin-piihyoro-ikka	新・ぴーひょろ一家	87287	1997-1998	1	8342	2005	9784834273281
shin-juuishi-no-file	新獣医師の事件簿	907203	2016-2019	1	7663	2011	9784766335415
shinsetsu-sakamotsu-chan	新説!さかもっちゃん	7859	2019-2019	2	08	2011	9784087823646
kikonsha-desu-kedo-nani-ka	既婚者ですけど、何か?	86134	2014-2015	3	86657	2017	9784866570136
nippon-chinbotsu	日本沈没	09	2006-2006	2	06	1995	9784062600712
seikoku-no-ryuukishi	星刻の竜騎士	04	2013-2016	1	8401	2011	9784840140485
boushoku-no-beruseruku	暴食のベルセルク	86716	2020-2026	1	89637	2018	9784896378221
saikyou-tanku-no-meikyuu-kouryaku	最強タンクの迷宮攻略	7575	2019-2024	14	301	2026	9784301002611
saigo-no-isha-wa-ameagari-no-sora-ni-kimi-o-negau	最後の医者は雨上がりの空に君を願う	86699	2020-2022	4	86794	2024	9784867941539
saikou-nando-meikyuu-de-party-ni-okizari-ni-sareta-esu-rank-kenshi-hontou-ni-mayoimakutte-daremo	最高難度迷宮でパーティに置き去りにされたSランク剣士、本	7575	2022-2024	8	301	2026	9784301005025
asa-made-jugyou-chu	朝まで授業chu!	8401	2010-2012	4	04	2016	9784040682167
mirai-bouken-channel-5	未来冒険チャンネル5	19	1995-2000	3	8354	2015	9784835444277
tokyo-monogatari	東京物語	08	1989-1993	6	86176	2005	9784861762291
tokyo-mafia	東京魔悲夜	88475	1994-1995	5	8124	1997	9784812451199
makuranosoushi	枕草子	04	1993-1995	3	323	2011	9784323072340
gokudou-steak	極道ステーキ	8458	1985-1991	3	7771	2017	9784777119448
mobile-suit-z-gundam	機動戦士Zガンダム	06	1985-1985	2	07	1994	9784073012047
mobile-shinseiki-gundam-ekkusu	機動新世紀ガンダムX	06	1996-1997	4	04	2006	9784047138704
machine-doll-wa-kizutsukanai	機巧少女は傷つかない	8401	2010-2013	9	04	2016	9784040682051
kaketa-tsuki-no-merusedesu-kyuuketsuki-no-kizoku-ni-tensei-shitakedo-suteraresou-nanode-dungeon-o	欠けた月のメルセデス～吸血鬼の貴族に転生したけど捨てられ	86699	2022-2023	5	86794	2025	9784867946589
kimama-ni-idol	気ままにアイドル	88275	1988-1989	1	8342	1995	9784834231014
mizu-no-mori-ki-tan	水の森綺譚	03	1993-1997	1	89594	1990	9784895943062
mizu-muuchanneru-tonari-no-ban-kowadan	水ムーちゃんねる隣の晩怖談	86468	2023-2024	7	86805	2026	9784868051633
suikoden-sentaro-1980	水滸伝	06	1985-1988	2	418	2004	9784418041602
tomari-ni-oideyo	泊まりにおいでよ♥	8019	2015-2017	1	8124	2013	9784812483817
kawaita-watashi-o-sono-ai-de-yurashite	渇いた私をその愛で揺らして	434	2018-2020	8	7997	2023	9784799761977
dekikon-dekiaisarerudekichattakon	溺婚	596	2023-2024	3	302	2026	9784302120789
horobi-no-utage	滅びの宴	253	1986-1986	3	418	2004	9784418041190
horobi-no-fue	滅びの笛	253	1984-1984	3	418	1998	9784418985333
horobi	滅日	19	1987-1990	3	8211	2008	9784821186389
katakoi-saburou	片恋さぶろう	88315	1992-1993	1	86225	2008	9784862253552
tokumei-kakarichou-tadano-hitoshi-final	特命係長只野仁ファイナル	86704	2020-2020	1	8211	2015	9784821176663
inugamike-no-ichizoku	犬神家の一族	06	1984-1984	3	04	1999	9784049247930
rikei-ga-koi-ni-ochita-node-shoumei-shite-mita	理系が恋に落ちたので証明してみた。	86675	2018-2026	1	593	2016	9784593858460
ruriko-joou-no-kareinaru-hibi	瑠璃子女王の華麗なる日々	8458	2016-2016	2	08	1997	9784088583648
isekai-ni-kita-mitai-dakedo-dou-sureba-yoi-no-darou	異世界に来たみたいだけど如何すれば良いのだろう	344	2022-2025	4	89637	2018	9784896377583
isekai-ni-otosareta-jouka-wa-kihon-attomaaku-comic	異世界に落とされた…浄化は基本!@COMIC	86699	2020-2023	6	86794	2025	9784867946220
isekai-wa-tenpure-ni-michiafurete-iru-attomaaku-comic	異世界は幸せ(テンプレ)に満ち溢れている@COMIC	86699	2020-2022	4	86794	2025	9784867946428
isekai-metaller	異世界メタラー	86468	2024-2024	5	86805	2026	9784868051435
isekai-souzou-no-susume-sumaho-app-de-wakusei-o-tsukutte-shimatta-ore-wa-kami-to-nari-sekai-o	異世界創造のすゝめ～スマホアプリで惑星を創ってしまった俺	86699	2022-2023	3	86794	2025	9784867946831
isekai-izakaya-nobu-eefa-to-makanai-oyatsu	異世界居酒屋「のぶ」エーファとまかないおやつ	299	2020-2025	1	8002	2018	9784800284396
shippuu-ultra-ninpou-chou	疾風ウルトラ忍法帖	06	1995-1997	1	8354	2012	9784835448060
hyakuoku-no-hiru-to-senoku-no-yoru	百億の昼と千億の夜	253	1977-1977	2	09	1985	9784091780225
yuri-seijin-naoko-san	百合星人ナオコサン	04	2008-2014	1	8402	2006	9784840236997
kenminsei-maruwakari-gotouchi-aruaru-waidoshou	県民性丸わかり!ご当地あるあるワイドSHOW	8019	2015-2019	1	8124	2013	9784812497531
shin-megami-tensei-ifu	真・女神転生if…	7577	2000-2002	1	7561	1995	9784756111319
sabaku-no-usagi	砂漠のウサギ	8022	2015-2017	2	86320	2012	9784863206861
shinkyoku-soukai-porifonika	神曲奏界ポリフォニカ	7973	2007-2011	9	593	2013	9784593857234
kami-sama-no-puzzle	神様のパズル	7973	2008-2009	4	593	2012	9784593857043
jinmu	神武	12	2003-2004	5	19	1995	9784198602512
shikei-shikkounin-mine-1984	私刑執行人	537	1984-1985	3	253	2024	9784253310789
shiritsu-shouei-gakuen-otoko-koutoubu-kurashina-sensei-no-junan	私立翔瑛学園男子高等部倉科先生の受難	86263	2006-2007	5	7997	2011	9784799710036
shiritsu-araisokoutougakkou-seitokai-shikkoubu	私立荒磯高等学校生徒会執行部	7580	2013-2013	2	19	2000	9784199601217
sora-ga-suki	空がすき!	09	1978-1978	2	04	1988	9784048521123
sora-no-orugan	空のオルガン	8342	2007-2008	7	08	1990	9784088602226
kuusou-kagaku-x	空想科学X	04	2009-2014	1	8402	2007	9784840240956
kuusou-kagaku-taisen	空想科学大戦	88991	1998-1999	4	7897	2001	9784789717250
karate-sangokushi	空手三国志	19	1985-1985	2	8033	1992	9784803340228
totsugeki-houshi-boranteiabu	突撃奉仕暴ランティア部	8124	2012-2014	3	8019	2016	9784801954502
ryuuken-densetsu	竜剣伝説	87892	1993-1999	1	915333	1991	9784915333941
dairoku-tairiku	第六大陸	7973	2009-2010	5	593	2012	9784593856978
shuumatsu-no-fukushuu-daikouya	終末の復讐代行屋	910429	2021-2022	4	86778	2024	9784867780985
kumichou-musume-to-sewagakari	組長娘と世話係	86716	2020-2025	1	89637	2018	9784896378498
kekkon-shiyou	結婚しよう	7859	1998-2001	3	7767	2007	9784776722229
zettai-harem	絶対★はーれむ	575	2010-2012	7	87306	2014	9784873065847
kurumi-no-naka	胡桃の中	86263	2007-2010	4	7997	2022	9784799756553
fudanshi-mangamichi	腐男子まんが道	86134	2014-2015	3	86657	2017	9784866570679
haraguro-maiko-san-to-no-kyou-seikatsu	腹黒舞子さんとの京生活	8019	2015-2016	1	8124	2013	9784812481974
hana-no-deka	花の慶次	08	1990-1993	20	10	2002	9784107700902
hana-buranko-yurete	花ぶらんこゆれて…	08	1990-1990	3	299	2026	9784299077943
hana-inka-choukyoushi	花～淫華調教師～	86495	2014-2015	1	88653	2012	9784886539939
wakatono-wa-tsuraiyo	若殿はつらいよ!	86704	2021-2022	1	8211	2016	9784821178575
eiyuu-majutsushi-wa-nonbiri-kurashitai-attomaaku-comic	英雄魔術師はのんびり暮らしたい@COMIC	86699	2021-2023	11	86794	2025	9784867945001
moeyo-sensha-gakkou	萌えよ!戦車学校	86320	2008-2012	2	87149	2006	9784871497695
sougiya-file	葬儀屋事件簿	907203	2017-2017	3	910429	2021	9784910429243
soubou-no-daichi-horobu	蒼茫の大地、滅ぶ	253	1985-1986	3	418	2003	9784418031177
chi-o-hau-boukoku-no-joou	血を這う亡国の王女	7575	2023-2024	6	301	2026	9784301002802
haou-taikei-ryuunaito-collectors-edition	覇王大系リューナイトcollector's editio	08	1994-1994	3	8342	2010	9784834274745
purantsu-doll	観用少女	02	2007-2009	4	257	1999	9784257903680
sainome-hanjouki	賽の目繁盛記	89425	1995-1997	1	938461	1992	9784938461775
chou-adoribu-ouji	超アドリブ王子	86535	2014-2017	1	906936	2012	9784906936366
chou-aniki	超兄貴	19	1994-1994	3	7577	2004	9784757718166
chou-shoujo-asuka	超少女明日香	88991	2000-2000	1	592	1987	9784592113102
chouken-leap	超犬リープ	257	1987-1987	3	7759	2004	9784775910153
choujuu-densetsu-gestalt	超獣伝説ゲシュタルト	87025	1994-1999	8	7575	2001	9784757504400
gunka-no-hibiki	軍靴の響き	418	1998-2002	2	8470	1991	9784847030321
tensei-shite-inaka-de-slow-life-o-okuritai	転生して田舎でスローライフをおくりたい	299	2019-2026	1	8002	2017	9784800276131
tensei-reijou-wa-seirei-ni-aisarete-saikyou-desu	転生令嬢は精霊に愛されて最強です……だけど普通に恋したい	86699	2021-2023	6	86794	2026	9784867948491
tsuihousareta-sareta-ore-ga-hazure-gift-honyaku-de-saikyou-party-musou-mamono-ya-mazoku-to-hanaseru	追放された俺が外れギフト『翻訳』で最強パーティー無双!～	86699	2022-2023	3	86794	2025	9784867945643
kajou-mousou-shounen	過剰妄想少年	86589	2016-2022	1	89393	2014	9784893939593
hidoku-shinaide	酷くしないで	7997	2012-2019	2	86263	2010	9784862638519
tsuri-baka-taishou	釣りバカ大将	09	1983-1983	1	7542	1981	9784754232122
gin-no-yami-meikyuu	銀の闇迷宮	88271	1998-1999	3	8352	2001	9784835211565
ginga-teikoku-kouboushi	銀河帝国興亡史	9902566	2013-2016	4	9911064	2019	9784991106408
giniro-no-shiyousei	銀色の照星	257	1979-1979	2	7962	1989	9784796240017
senran-kagura-shoujotachi-no-shinei	閃乱カグラ 少女達の真影	8401	2012-2012	3	04	2015	9784040672434
kantouheiya	関東平野	88315	2005-2005	4	10	1989	9784106030123
yamibana	闇華	408	2007-2007	1	8149	2018	9784814917778
tonari-no-onee-san-to-himitsu-no	隣のオネエさんと秘密の	86123	2017-2020	4	86787	2023	9784867870013
rinjin-13gou	隣人13号	7962	1994-1996	1	344	2005	9784344805460
janrou-densetsu-aoki-ookamitachi	雀狼伝説 蒼き狼たち	575	1992-1992	6	8124	1996	9784812450512
dengeki-tenjikaazu	電撃テンジカーズ	04	2010-2011	1	8402	2008	9784840242141
denpa-odyssey	電波オデッセイ	8354	2011-2011	4	7572	2000	9784757206274
seinen-no-tame-no-dokusho-club	青年のための読書クラブ	7973	2009-2010	3	593	2014	9784593881000
hisonzai-byourigaku-nyuumon	非存在病理学入門	88475	1991-1994	3	8124	1998	9784812451878
garouden-boy	餓狼伝BOY	253	2012-2012	2	06	2004	9784063634228
koma-ga-mau	駒が舞う	8211	1985-1985	1	916085	1999	9784916085191
takasugi-san-chi-no-obentou	高杉さん家のおべんとう	8401	2010-2013	10	04	2015	9784040675565
onihime-vs	鬼姫vs	86032	2008-2010	4	7992	2012	9784799203330
manyuu-hikenchou	魔乳秘剣帖	04	2009-2012	1	7577	2007	9784757734876
makyou-gakuen-fuuunki-half-ando-half	魔境学園風雲記ハーフ＆ハーフ	04	2001-2001	2	8124	1996	9784812450611
makai-ishi-mephisto	魔界医師メフィスト	8401	2012-2013	3	04	2015	9784040675039
mazin-garon	魔神ガロン	06	2010-2010	3	253	2000	9784253174602
kurogane-pukapukatai	黒鉄ぷかぷか隊	86320	2008-2013	4	8022	2016	9784802202244
