slug	title	vols	inv	gap_yr	worst	bad_isbn
junk-boy	ジャンク・ボーイ	18	1	8	#2(1994-04)->#3(1986-09)	9784575811056
tennis-boy	テニスボーイ	14	1	8	#9(1990-06)->#10(1982-08)	
neko-ja-naimon	ネコじゃないモン!	13	1	8	#1(1991-10)->#2(1983-05)	9784088613222
nigakute-amai	にがくてあまい	13	1	8	#4(2020-01)->#5(2012-07)	9784800000217
yakyuukyou-no-uta	野球狂の詩	12	3	8	#7(1984-06)->#11(1976-06)	
wani-bunsho-2010	82分署	12	3	8	#1(1986-10)->#2(1978-09)	
wani-bunsho	ワニ分署	12	3	8	#1(1986-10)->#2(1978-09)	
kick-off	キックオフ	12	1	8	#3(1991-05)->#4(1983-05)	9784088515243
damenzu-walker	だめんず・うぉ～か～	12	2	8	#1(2009-08)->#2(2001-12)	9784594033507
1-2-no-ahho	1・2のアッホ!!	10	1	8	#6(1986-08)->#7(1978-03)	
karate-sensou	空手戦争	10	1	8	#6(1986-10)->#7(1978-02)	
minami-no-teiou	ミナミの帝王	187	1	7	#20(2003-07)->#21(1996-01)	9784537096231
jojo-no-kimyouna-bouken	ジョジョの奇妙な冒険	63	1	7	#20(1998)->#21(1991-05)	9784088515649
akagi	アカギ	36	1	7	#1(2000-10)->#2(1993-01)	9784884756208
wild-life	WILD LIFE	27	1	7	#22(2007-05)->#23(2000-08)	9784091211644
shakariki	シャカリキ!	18	1	7	#7(2000-10)->#8(1993-11)	9784253043083
pokkapoka	ぽっかぽか	15	1	7	#4(2002-07)->#7(1995-11)	9784088623306
five	ファイブ	15	1	7	#13(2017-04)->#14(2010-09)	9784088465708
magi-craft-meister	マギクラフト・マイスター	15	1	7	#12(2024-02)->#13(2017-11)	9784040695914
shin-karate-jigokuhen	新カラテ地獄変	13	1	7	#10(1989-08)->#11(1982-01)	
yose-geininden	寄席芸人伝	11	1	7	#2(1989-07)->#3(1982-05)	
subarashiki-bandittsu	素晴らしきバンディッツ	10	1	7	#5(1987-02)->#6(1980-01)	
harukanaru-toki-no-naka-de	遙かなる時空の中で	10	1	7	#8(2012-10)->#10(2005-06)	9784592174639
old-boy-ruuzu-senki	オールド・ボーイ ルーズ戦記	8	1	7	#1(2004-11)->#2(1997-09)	9784575822748
sugata-sanshirou	姿三四郎	7	2	7	#4(1984-09)->#5(1977-09)	
getter-robo-gou	ゲッターロボ號	7	1	7	#5(2000-03)->#6(1993-04)	9784198330415
kagemusha-tokugawa-ieyasu	影武者徳川家康	7	2	7	#5(2002-05)->#6(1995-07)	9784088718408
gilgamesh	ギルガメッシュ	6	1	7	#4(1985-12)->#5(1978-01)	
nijitte-monogatari	弐十手物語	109	1	6	#1(1987-12)->#2(1981-07)	
kounodori	コウノドリ	32	1	6	#29(2019-12)->#30(2013-06)	9784065189450
bunchou-sama-to-watashi	文鳥様と私	26	2	6	#3(2009-03)->#4(2003-04)	9784873172903
dameoyaji	ダメおやじ	18	4	6	#4(1979-02)->#5(1973-01)	
karura-mau	カルラ舞う!	18	1	6	#5(1997-06)->#6(1991-04)	9784257981596
bolt-and-nut	ボルト＆ナット	16	1	6	#2(2004-08)->#4(1998-04)	9784873665153
sayounara-ryuusei-konnichiwa-jinsei	さようなら竜生、こんにちは人生	15	1	6	#12(2024-03)->#13(2018-06)	9784434248108
versailles-no-bara	ベルサイユのばら	14	1	6	#1(1993-04)->#2(1987-04)	9784120015601
captain-kid	キャプテンキッド	12	1	6	#6(1998-11)->#7(1992-07)	9784063193039
persona-3	ペルソナ3	11	2	6	#2(2014-10)->#3(2008-06)	9784048671491
london-mamougai	倫敦魔魍街	8	1	6	#6(1998-02)->#7(1992-11)	9784257982388
otokogui	おとこ喰い	8	1	6	#1(1996-04)->#2(1990-09)	9784832226135
cleopatra-d-c	クレオパトラD.C.	7	1	6	#4(1995-03)->#5(1989-09)	9784796240062
shippo-ga-tomodachi	シッポがともだち	6	1	6	#1(1997-01)->#2(1991-05)	9784088621883
g-defend	G・defend	76	1	5	#36(2015-06)->#37(2010-08)	9784864230308
houchou-mushuku	包丁無宿	45	1	5	#21(1995-01)->#22(1990-06)	9784537036107
dragon-ball	ドラゴンボール	42	2	5	#4(1992-11)->#5(1987-01)	9784088518350
area-88	エリア88	23	1	5	#1(1985-10)->#2(1980-02)	9784091501325
bad-boys	BAD BOYS	22	1	5	#2(1994-11)->#3(1989-12)	9784785912277
midoriyama-koukou	緑山高校	19	2	5	#9(1992-11)->#10(1987-04)	9784088614502
ninjahattori-kun	忍者ハットリくん	16	2	5	#2(1987-03)->#3(1982-06)	9784091404831
okashina-tensei	おかしな転生	14	1	5	#1(2023-10)->#2(2018-12)	9784864727563
kuma-kuma-kuma-bear	くまクマ熊ベアー	14	1	5	#10(2023-05)->#11(2018-12)	9784391151466
zettai-ni-hatarakitakunai-dungeon-master-ga-damin-o-musaboru-made	絶対に働きたくないダンジョンマスターが惰眠をむさぼるまで	13	1	5	#10(2024-03)->#11(2019-08)	9784865545357
happy-people	ハッピーピープル	12	1	5	#10(1998-09)->#11(1993-10)	9784088617664
kujibiki-tokushou-musou-haaremuken	くじ引き特賞:無双ハーレム権	12	1	5	#9(2023-08)->#10(2018-11)	9784797398809
boukenshitemo-ii-koro	冒険してもいい頃	11	1	5	#7(1994-03)->#8(1989-03)	9784091813985
attack	アタック!!	11	1	5	#10(2015-01)->#11(2010-06)	9784107715715
hontou-ni-atta-yukai-na-hanashi	本当にあった愉快な話	10	1	5	#1(2000-06)->#2(1995-07)	9784884758233
keibu-zenigata	警部銭形	10	1	5	#1(2017-09)->#2(2012-06)	9784575840926
furusato	ふるさと	8	1	5	#3(1989-09)->#6(1984-12)	
sangokushi-sentaro-1980	三国志	5	1	5	#1(1988-04)->#5(1983-09)	9784061018051
mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	103	35	4	#20(2017-11)->#21(2013-06)	9784063775075
shouwa-gokudoushi	昭和極道史	33	8	4	#3(1981-12)->#4(1977-12)	9784821190096
shin-naniwa-kinyuudou	新ナニワ金融道	20	1	4	#1(2012-08)->#2(2008-09)	9784766333602
e-s	E'S	16	1	4	#3(2003-03)->#4(1999-07)	9784757500488
kyoukai-meikyuu-to-ikai-no-majutsushi	境界迷宮と異界の魔術師	15	1	4	#12(2024-06)->#13(2020-08)	9784865547269
uchuu-kazoku-carlvinson	宇宙家族カールビンソン	13	1	4	#11(2000-05)->#12(1996-07)	9784198301378
tokusen-12-choume-no-yuuhi-12kagetsu	特選三丁目の夕日・12か月	12	3	4	#8(2008-02)->#9(2004-12)	9784091795236
ri-zero-kara-hajimeru-isekai-seikatsu	Re:ゼロから始める異世界生活	12	1	4	#6(2022-06)->#7(2018-01)	9784040696294
iraka-no-nami	いらかの波	10	1	4	#4(1984-12)->#5(1980-02)	
living-game	りびんぐゲーム	10	1	4	#1(1995-01)->#2(1991-11)	9784091826428
hidoku-shinaide	酷くしないで	9	1	4	#1(2014-12)->#2(2010-10)	9784862638519
pharaoh-no-haka	ファラオの墓	8	2	4	#2(1979-07)->#3(1975-11)	9784091300737
hakkyuu-no-uta	白球の詩	7	1	4	#5(1985-07)->#6(1981-10)	
onna-tomodachi	女ともだち	6	1	4	#3(1991-08)->#4(1987-02)	9784575811414
yabou-no-mure	野望の群れ	28	1	3	#4(1994-08)->#5(1991-12)	9784537037258
hana-no-asuka-gumi	花のあすか組!	27	1	3	#1(1990-02)->#2(1987-03)	9784049240078
papa-told-me	Papa told me	27	2	3	#3(1993-08)->#4(1990-03)	9784088640488
kochira-tsubaki-sanfujinka	こちら椿産婦人科	26	1	3	#10(1999-05)->#11(1996-01)	9784088623368
doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	22	2	3	#7(1996-03)->#8(1993-07)	9784870257160
karubania-monogatari	カルバニア物語	22	1	3	#9(2009-12)->#10(2006-02)	9784199603051
hakuryuu	白竜	21	1	3	#15(2008-09)->#16(2005-06)	9784537104103
kachou-shima-kousaku	課長島耕作	17	3	3	#12(1994-01)->#13(1991-08)	9784061027596
oboreru-knife	溺れるナイフ	17	1	3	#4(2010-10)->#5(2007-02)	9784063415117
gurazeni-2014	Gurazeni	16	1	3	#4(2015-10)->#5(2012-06)	9784063871210
eikyuu-shimei-onegai-shimasu	永久指名おねがいします!	16	1	3	#6(2020-04)->#7(2017-04)	9784908757877
doughnuts-books	Doughnuts books	15	1	3	#29(1994-08)->#32(1991-05)	
gurazeni-tokyo-doomuhen	グラゼニ～東京ドーム編～	15	1	3	#4(2019-04)->#5(2016-01)	9784063885491
persona-4	ペルソナ4	13	3	3	#4(2014-05)->#5(2011-09)	9784048708425
gurazeni-pa-riiguhen	グラゼニ～パ・リーグ編～	13	1	3	#4(2019-04)->#5(2016-01)	9784063885491
orfina	Orfina	12	1	3	#8(2005-06)->#9(2002-03)	9784049261882
hi-izuru-tokoro-no-tenshi	日出処の天子	11	3	3	#6(1986-04)->#7(1983-03)	9784592112372
mamotte-shugo-getten	まもって守護月天!	11	1	3	#10(2003-07)->#11(2000-04)	9784757501942
b-t-x-1999	B'T X-ビート・エックス-	11	1	3	#8(2002-12)->#13(1999-03)	9784047132696
isekai-de-tochi-o-katte-noujou-o-tsukurou	異世界で土地を買って農場を作ろう	11	1	3	#8(2024-02)->#9(2021-05)	9784865549140
shadow-skill	Shadow skill	8	1	3	#1(2001-09)->#2(1998-10)	9784049261226
ninku-kazu-2006	Ninku	5	1	3	#1(2007-11)->#2(2004-10)	9784081067503
alfheim-no-kishi	妖精国の騎士	54	1	2	#4(1990-05)->#5(1988-10)	9784253073929
ranpou	らんぽう	37	1	2	#32(1986-03)->#33(1984-09)	9784253036160
the-go-ro	ジ・ゴ・ロ	31	6	2	#25(1998-04)->#26(1996-08)	9784845812745
hello-harinezumi	ハロー張りネズミ	21	1	2	#2(1983-08)->#3(1981-12)	9784061745209
daichouhen-doraemon	大長編ドラえもん	21	2	2	#3(1985-09)->#4(1983-06)	9784091406019
shin-aji-ichimonme	新・味いちもんめ	21	1	2	#7(2004-06)->#8(2002-09)	9784091855183
ganbare-kickers	がんばれ!キッカーズ	20	1	2	#2(1985-07)->#3(1983-09)	9784091410030
haai-akkodesu	ハーイあっこです	20	1	2	#4(1985-10)->#5(1983-11)	9784651101057
dochinpira	どチンピラ	20	3	2	#3(1994-08)->#4(1992-04)	9784845808441
sugar-spice	Sugar ＆ Spice	17	1	2	#4(2008-05)->#5(2006-11)	9784773095890
isekai-nonbiri-nouka	異世界のんびり農家	16	1	2	#12(2024-02)->#13(2022-08)	9784047371392
baka-to-test-to-shoukanjuu	バカとテストと召喚獣	15	1	2	#13(2015-06)->#14(2013-03)	9784041031315
denkigai-no-honya-san	デンキ街の本屋さん	15	2	2	#2(2014-10)->#3(2012-08)	9784040665795
akarui-seishounen-no-tameno-love	明るい青少年のための恋愛	14	2	2	#5(1990-07)->#6(1988-11)	9784253091169
mitsumegatooru	三つ目がとおる	13	1	2	#4(1978-08)->#5(1976-12)	9784061094024
pokkii-kun	ポッキーくん	12	1	2	#2(1990-01)->#3(1988-04)	9784884753498
outo-ayakashi-ki-tan	王都妖奇譚	12	1	2	#3(1994-01)->#4(1992-09)	9784253078047
gifuu-doudou	義風堂々!!	12	1	2	#8(2016-12)->#9(2014-01)	9784199801761
shinmai-otsu-san-boukensha-saikyou-party-ni-shinuhodo-kitaerarete-muteki-ni-naru	新米オッサン冒険者、最強パーティに死ぬほど鍛えられて無敵	12	1	2	#9(2024-03)->#10(2022-06)	9784798628516
mou-girigiri	もう・ぎりぎり	11	2	2	#7(1994-01)->#8(1992-12)	9784845808014
kurebatesu	クレバテス	11	1	2	#3(2024-08)->#4(2022-03)	9784866972497
ron-sensei-no-mushimegane	ロン先生の虫眼鏡	10	1	2	#7(1979-09)->#8(1977-03)	
arc-the-lad-2	アークザラッドⅡ	10	1	2	#1(2000-09)->#2(1998-04)	9784870252738
break-age	ブレイク-エイジ	10	1	2	#8(2000-10)->#9(1998-05)	9784757200395
black-na-kishidan-no-dorei-ga-white-na-boukensha-guild-ni-hikinukarete-esuranku-ni-narimashita	ブラックな騎士団の奴隷がホワイトな冒険者ギルドに引き抜か	10	1	2	#7(2024-05)->#8(2022-12)	9784824003621
hitsuji-no-uta	羊のうた	7	1	2	#5(2004-02)->#6(2002-01)	9784344800151
ishi-no-hana	石の花	6	1	2	#5(1988-12)->#6(1986-10)	
ekiben-hitoritabi	駅弁ひとり旅	5	1	2	#1(2013-09)->#14(2011-10)	9784575839791
cooking-papa	クッキングパパ	177	3	1	#14(1990-05)->#15(1989-08)	9784063000405
tenpai	天牌	116	1	1	#34(2007-10)->#35(2006-10)	9784537105872
yuuyake-no-uta	夕焼けの詩	72	1	1	#4(1977-01)->#5(1976-12)	
sazae-san	サザエさん	68	13	1	#41(1995-01)->#42(1994-12)	9784022609922
kootaroo-makaritooru	コータローまかりとおる!	59	1	1	#27(1988-04)->#28(1987-06)	9784063113549
sake-no-hosomichi	酒のほそ道	58	1	1	#5(2001-01)->#6(2000-01)	9784537098860
ginga-densetsu-weed	銀牙伝説Weed	58	1	1	#4(2001-12)->#5(2000-10)	9784537099430
waru	悪女	37	1	1	#16(1992-06)->#17(1991-10)	9784063175769
happy	ハッピー!	33	1	1	#11(2001-01)->#12(2000-06)	9784063189711
akuma-no-mokushiroku	悪魔の黙示録	30	1	1	#1(1991-12)->#2(1990-04)	9784253126397
bastard	BASTARD!!	27	1	1	#2(1990-11)->#3(1989-01)	9784088710655
a-peanuts-book-featuring-snoopy	A PEANUTS BOOK featuring SNO	26	2	1	#3(1991-01)->#4(1990-10)	9784047043909
dr-kotoo-shinryoujo	Dr.コトー診療所	25	1	1	#5(2003-04)->#6(2002-07)	9784091525062
kanzenban-piinattsu-zenshuu	完全版ピーナッツ全集	25	4	1	#10(2020-09)->#11(2019-12)	9784309629117
makenkitsu	マケン姫っ!	24	1	1	#8(2013-01)->#9(2012-09)	9784047128279
kuro-no-shoukanshi	黒の召喚士	24	1	1	#19(2024-06)->#20(2023-12)	9784824006844
momogumi-plus-senki	桃組プラス戦記	23	1	1	#10(2014-12)->#11(2013-08)	9784041207598
servamp	SERVAMP	22	3	1	#4(2014-05)->#5(2013-12)	9784040661711
tennen-shoujo-man	天然少女萬	20	1	1	#4(1994-10)->#5(1993-06)	9784063235067
break-blade	ブレイクブレイド	20	1	1	#10(2013-11)->#11(2012-11)	9784593857104
minna-agechau	みんなあげちゃう	19	2	1	#10(1986-09)->#11(1985-12)	9784088613512
kibun-wa-uaa	気分は形而上	19	1	1	#2(1988-12)->#3(1987-07)	9784061765306
ol-vijuarukei	OLヴィジュアル系	19	1	1	#8(2002-12)->#9(2001-10)	9784391920611
clamp-premium-collection-holic	CLAMP PREMIUM COLLECTION ×××	18	1	1	#14(2010)->#15(2009-06)	9784063757330
xxxholic	xxxHOLiC	18	1	1	#14(2010)->#15(2009-06)	9784063757330
kochira-bonjingumi	こちら凡人組	17	2	1	#5(1988-07)->#6(1987-12)	9784408160443
pink-no-curtain	ピンクのカーテン	15	2	1	#4(1983-07)->#5(1982-04)	
tiger-mask	タイガー・マスク	14	4	1	#3(1970-02)->#4(1969)	
ten-carat-torute	天からトルテ!	14	2	1	#2(2001-01)->#3(2000-07)	9784757701281
sketchbook	スケッチブック	14	1	1	#1(2006-02)->#2(2005-02)	9784861271090
warera-kunin-no-koshien	我ら九人の甲子園	13	1	1	#4(1981-05)->#5(1980-10)	
rack	RACK	13	1	1	#1(2014-07)->#2(2013-08)	9784840153157
hazurewaku-no-joutai-ijou-skill-de-saikyou-ni-natta-ore-ga-subete-o-juurin-suru-made	ハズレ枠の〈状態異常スキル〉で最強になった俺がすべてを蹂	13	1	1	#10(2024-06)->#11(2023-06)	9784824005274
osaka-mamegohan	大阪豆ゴハン	12	1	1	#2(1995-09)->#3(1994-05)	9784061767317
taiyaku-sazae-san	対訳サザエさん	12	4	1	#8(1998-02)->#9(1997-10)	9784770021540
roukyuubu	ロウきゅーぶ!	12	1	1	#3(2013-06)->#4(2012-08)	9784048862622
joi-reika	女医レイカ	11	3	1	#2(1996-02)->#3(1995-04)	9784845809127
sex-pistols	SEX PISTOLS	11	1	1	#4(2007-09)->#5(2006-12)	9784862630865
wagaya-no-oinari-sama	我が家のお稲荷さま。	11	1	1	#1(2009-07)->#2(2008-04)	9784840242516
tetsunaki-no-kirinji	鉄鳴きの麒麟児 歌舞伎町制圧編	11	1	1	#2(2015-08)->#3(2014-11)	9784801950269
otoko-nihonkai	男!日本海	10	1	1	#4(1995-01)->#5(1994-04)	9784537039658
risutora-daimon	リストラ代紋	10	1	1	#6(1998-02)->#7(1997-09)	9784845815258
madan-no-ou-to-vanadis	魔弾の王と戦姫	10	1	1	#3(2014-09)->#4(2013-10)	9784840153416
long-riders	ろんぐらいだぁす!	10	1	1	#9(2020-12)->#10(2019-07)	9784048994460
seiken-gakuin-no-makentsukai	聖剣学院の魔剣使い	10	1	1	#8(2023-12)->#9(2022-02)	9784046811868
ore-wa-seikan-kokka-no-akutoku-ryoushu	俺は星間国家の悪徳領主!	10	1	1	#6(2024-04)->#7(2023-05)	9784824004994
sengoku-sarumawashi	戦国猿廻し	9	1	1	#6(1989-07)->#7(1988-05)	9784906069125
ebihara-san-wa-kyou-mo-taihen	海老原さん家は今日も大変!	9	1	1	#1(1997-04)->#2(1996-08)	9784887410510
nagi	椰	7	1	1	#1(1989-10)->#2(1988-08)	9784803316032
mabataki-mo-sezu	瞬きもせず	7	1	1	#2(1989-03)->#3(1988-04)	9784088495309
osanpo-daiou	おさんぽ大王	7	2	1	#2(2002-01)->#3(2001-05)	9784757704381
yuugen-mantama-nikki	幽玄漫玉日記	6	1	1	#2(2001-06)->#3(2000-07)	9784757700345
mobile-suit-gundam-seed-destiny-2005	機動戦士ガンダムSEED DESTINY	6	1	1	#4(2006-06)->#12(2005-12)	9784063102154
nanto-magoroku	なんと孫六	81	1	0	#8(1984-05)->#9(1984-01)	9784061736436
kureyon-shin-chan	クレヨンしんちゃん	50	1	0	#46(2007-08)->#47(2007-01)	9784575941425
karate-shoukoushi-kohinata-minoru	空手小公子小日向海流	50	1	0	#26(2007-06)->#27(2007-04)	9784063615494
nozomi-uitchiizu	のぞみ❤ウィッチィズ	48	3	0	#2(1988-11)->#3(1988-07)	9784088615639
chameleon	カメレオン	47	1	0	#1(1990-08)->#2(1990)	9784063116014
tennis-no-ouji-sama	テニスの王子様	42	1	0	#40(2007-12)->#41(2007-03)	9784088744438
tsukiji-uogashi-sandaime	築地魚河岸三代目	42	1	0	#35(2012-06)->#36(2012-03)	9784091846778
gallery-fake	ギャラリーフェイク	40	2	0	#22(2001-08)->#23(2001-01)	9784091861832
kamakura-monogatari	鎌倉ものがたり	37	1	0	#11(1996-04)->#12(1996-01)	9784575821116
fuuunjitachi	風雲児たち	34	1	0	#1(1982-03)->#2(1982-03)	9784267903625
chinmoku-no-kantai	沈黙の艦隊	32	1	0	#4(1990-10)->#5(1990-07)	9784061027145
hey-riki	Hey!リキ	31	1	0	#3(2005-12)->#4(2005-08)	9784785925567
akarito-shirono-shinrei-yawa	あかりとシロの心霊夜話	31	1	0	#8(2008-11)->#9(2008-08)	9784766333572
tokimeki-tonight	ときめきトゥナイト	30	1	0	#3(1983-05)->#4(1983-04)	9784083010187
ginga-sengoku-gunyuuden-rai	銀河戦国群雄伝ライ	27	2	0	#3(1993-11)->#4(1993-11)	9784073004172
sora-yori-takaku	天より高く	27	1	0	#19(2000-10)->#20(2000-01)	9784088573137
curtain-call	カーテン・コール	26	2	0	#3(1994-01)->#4(1994)	9784063176445
love-junkies	恋愛ジャンキー	26	1	0	#10(2003-10)->#11(2003-09)	9784253147309
imuri	イムリ	26	1	0	#4(2008-07)->#5(2008-01)	9784757746114
hataraku-maou-sama	はたらく魔王さま!	24	1	0	#2(2013-10)->#3(2013-05)	9784048916882
ningenkyouki	人間兇器	23	2	0	#9(1982-08)->#10(1982-04)	
boukenshatachi-no-sekaishi	冒険者たちの世界史	23	7	0	#3(1983-08)->#4(1983-06)	9784827511727
yuugo	勇午	22	1	0	#4(1996-11)->#5(1996-05)	9784063141313
