slug	vol	found	cand_isbn	release_date	publisher	n_cand	rakuten_raw
1-yamamoto-1993	2	Y	9784063522662	2009-05	講談社	4	ICHI(2)
1-yamamoto-1993	3	Y	9784063522945	2009-12	講談社	4	ICHI(3)
1-yamamoto-1993	4	Y	9784063523164	2010-06	講談社	3	ICHI(4)
1-yamamoto-1993	5	Y	9784063523386	2010-12	講談社	3	ICHI(5)
12-no-kekkon-monogatari	1	Y	9784063197631	1997-02-13	講談社	2	12の結婚物語(1)
12-no-kekkon-monogatari	4	Y	9784063198225	1997-07-11	コミックス	2	12の結婚物語(4)
adachi-to-shimamura-mani-2016	4	Y	9784049142655	2022-02-26	KADOKAWA	3	安達としまむら(4)
adachi-to-shimamura-mani-2016	5	Y	9784049151039	2023-06-27	KADOKAWA	3	安達としまむら(5)
adachi-to-shimamura-mani-2016	6	Y	9784049158427	2024-07-26	KADOKAWA	3	安達としまむら(6)
adachi-to-shimamura-mani-2016	7	Y	9784049164503	2025-06-27	KADOKAWA	3	安達としまむら(7)
aio-ageyou	3	Y	9784796244152	1997-05-29	スコラ	4	愛をあげよう(3)
aio-ageyou	4	Y	9784796244299	1997-11-29	スコラ	4	愛をあげよう(4)
aio-ageyou	5	Y	9784796244442	1998-06-29	スコラ	4	愛をあげよう(5)
aio-ageyou	6	Y	9784796244596	1998-12-15	スコラ	4	愛をあげよう(6)
air-gear-unlimited	1	Y	9784063770049	2014-07-17	講談社	2	エア・ギアUNLIMITED(1)
air-gear-unlimited	2	Y	9784063770438	2014-08-16	講談社	2	エア・ギアUNLIMITED(2)
air-gear-unlimited	3	Y	9784063770636	2014-09-17	講談社	2	エア・ギアUNLIMITED(3)
air-gear-unlimited	4	Y	9784063770780	2014-10-17	講談社	2	エア・ギアUNLIMITED(4)
air-gear-unlimited	5	Y	9784063770872	2014-11-17	講談社	2	エア・ギアUNLIMITED(5)
air-gear-unlimited	6	Y	9784063771053	2014-12-17	講談社	2	エア・ギア UNLIMITED(6)
akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	1	Y	9784253242110	2006-08-31	秋田書店	1	赤川次郎ミステリー三毛猫ホームズと名探偵たち
akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	2	Y	9784253242127	2007-03-13	秋田書店	1	赤川次郎ミステリー三毛猫ホームズと名探偵たち(2)
akumade-majo-no-yuuwaku-desu-kara	1	Y	9784801984332	2024-09-17	竹書房	1	あくまで魔女の誘惑ですから(1)
akuyaku-reijou-koukyuu-monogatari-oukoku-gekidouhen	5	Y	9784866578514	2025-05-12	フロンティアワークス	3	悪役令嬢後宮物語 〜王国激動編〜 5
akuyaku-reijou-koukyuu-monogatari-oukoku-gekidouhen	6	Y	9784866579184	2026-04-11	フロンティアワークス	3	悪役令嬢後宮物語 〜王国激動編〜 6
ame-no-hi-wa-koi-o-suru	1	Y	9784088640983	1992-03-19	集英社	3	雨の日は恋をする(1)
another-furonteia-online-seisankei-skill-o-kiwametara-cheat-na-enupiishii-o-yatoeru-youni	8	Y	9784867943892	2024-12-14	TOブックス	2	アナザー・フロンティア・オンライン〜生産系スキルを極めたらチートなNPCを雇えるようになりました〜@COMIC 第8巻
api	4	Y	9784832290761	2018-11-29	芳文社	1	Api 4
asami-mitsuhiko-mystery-ando-ryoshuu-sasupensu	2	Y	9784253247962	2019-04-25	秋田書店	1	浅見光彦ミステリー&旅愁サスペンス(2)
asami-mitsuhiko-mystery-ando-ryoshuu-sasupensu	3	Y	9784253247979	2019-05-30	秋田書店	1	浅見光彦ミステリー&旅愁サスペンス(3)
asami-mitsuhiko-mystery-special	20	Y	9784408175140	2014-10	実業之日本社	1	浅見光彦ミステリースペシャル(20)
atagoul	4	Y	9784796204644	1997-12	スコラ	2	アタゴオル(4)
atagoul	5	Y	9784796204712	1998-01	スコラ	2	アタゴオル(5)
atagoul	6	Y	9784796204750	1998-02	スコラ	2	アタゴオル(6)
atagoul	7	Y	9784796204798	1998-03	スコラ	2	アタゴオル(7)
