slug	title	authors	edition_type	imprint	publisher	vols	std_vols	ratio	cls	v1_date	v1_cover	max_no	seq	cov_rate
kaikan-fureezu	快感・フレーズ	新條まゆ	deluxe	Flower comics deluxe special	小学館	6	17	0.35	圧縮(豪華本)	2003-05	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0913/09138724.jpg?_ex=200x200	6	OK	6/6
kaiouki	海皇紀	川原正敏	deluxe	講談社コミックスデラックス. 月刊少年マガジン	講談社	22	45	0.49	圧縮(豪華本)	2024-12-27	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1564/9784065381564_1_2.jpg?_ex=200x200	22	OK	22/22
kaitou-saint-tail	怪盗セイント・テール	立川恵	deluxe	KCデラックス	講談社	4	7	0.57	圧縮(豪華本)	2011-10-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1603/9784063761603.jpg?_ex=200x200	4	OK	4/4
kamunagara	カムナガラ	やまむらはじめ	deluxe	YKコミック・デラックス	少年画報社	6	8	0.75	圧縮(豪華本)	2011-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6655/9784785936655.jpg?_ex=200x200	6	OK	6/6
kappa-no-sanpei	河童の三平	水木しげる・川島健三	deluxe	KCデラックス	講談社	1	5	0.20	圧縮(豪華本)	1997-10-23	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8683/9784063198683.jpg?_ex=200x200	1	OK	1/1
karen	Karen	やぶうち優	deluxe	Flower comics deluxe	小学館	2	5	0.40	圧縮(豪華本)	2005-02	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1048/9784091301048.gif?_ex=200x200	2	OK	2/2
kei-no-seishun	ケイの凄春	小島剛夕	deluxe	アクション・コミックス・デラックス	双葉社	10	14	0.71	圧縮(豪華本)	1989-04	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/7503/2000003537503.jpg?_ex=300x300	10	OK	10/10
kijitoraneko-no-koume-san	キジトラ猫の小梅さん	ほしのなつみ	deluxe	デラックスねこぱんち	少年画報社	1	29	0.03	圧縮(豪華本)	2021-04-01	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8885/9784785968885.jpg?_ex=200x200	1	OK	1/1
kingyochuuihou	きんぎょ注意報!	猫部ねこ	deluxe	KCデラックス	講談社	7	8	0.88	圧縮(豪華本)	2005-03-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9825/9784063349825.jpg?_ex=200x200	7	OK	7/7
kirikiritei-no-buraun-sensei	きりきり亭のぶら雲先生	きくち正太	deluxe	スコラSCデラックス	ソニー・マガジンズ	5	6	0.83	圧縮(豪華本)	1999-08-28	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/5427/2000003985427.jpg?_ex=300x300	5	OK	4/5
kochira-tsubaki-sanfujinka	こちら椿産婦人科	あまねかずみ	deluxe	ユーコミックスデラックス	集英社	10	26	0.38	圧縮(豪華本)	1990-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1630/9784088621630.jpg?_ex=200x200	10	OK	10/10
konpane-satou-kirie	こんぱね・佐藤キリエ	こんぱね・佐藤キリエ	deluxe	Philippe Comics Deluxe	三交社	1	2	0.50	圧縮(豪華本)	2013-12	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6651/9784879196651.jpg?_ex=200x200	1	OK	1/1
kotou-no-oni	孤島の鬼	長田ノオト・naked ape・環レン	deluxe	ビーボーイコミックスデラックス	リブレ	1	3	0.33	圧縮(豪華本)	2017-06-09	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3509/9784799733509.jpg?_ex=200x200	1	OK	1/1
kuchibiru-kara-magic	くちびるから魔法	すぎ恵美子	deluxe	Flower comics deluxe	小学館	4	9	0.44	圧縮(豪華本)	2003-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8664/9784091318664.gif?_ex=200x200	4	OK	4/4
kuchibiru-kara-sandanjuu	くちびるから散弾銃	岡崎京子	deluxe	KCデラックス	コミックス	1	2	0.50	圧縮(豪華本)	1996-07-23	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7044/9784063197044.jpg?_ex=200x200	1	OK	1/1
kunimitsu-no-matsuri	クニミツの政	朝基まさし	deluxe	KCデラックス	講談社	1	27	0.04	圧縮(豪華本)	2003-07	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7531/9784063347531.jpg?_ex=200x200	1	OK	1/1
kyojin-no-hoshi	巨人の星	川崎のぼる	deluxe	講談社コミックスデラックス	講談社	7	19	0.37	圧縮(豪華本)	2003-05-22	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7098/9784063347098.jpg?_ex=300x300	7	OK	7/7
majokko-tsukune-chan	魔女っ娘つくねちゃん	まがりひろあき	deluxe	KCデラックス	講談社	1	2	0.50	圧縮(豪華本)	2007-10-23	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3748/9784063723748.jpg?_ex=200x200	1	OK	1/1
make-love-shiyo	Make loveしよ!!	新條まゆ	deluxe	Flower comics deluxe	小学館	1	2	0.50	圧縮(豪華本)	2002-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7226/9784091387226.gif?_ex=200x200	1	OK	1/1
makoto-call	真コール!	藤田和子	deluxe	フラワーコミックス・デラックス	小学館	4	9	0.44	圧縮(豪華本)	2003-02	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8612/9784091388612.gif?_ex=200x200	4	OK	4/4
manatsu-no-koibito	真夏の恋人	高田りえ	deluxe	Flower comics deluxe	小学館	3	6	0.50	圧縮(豪華本)	2000-06	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8814/9784091348814.gif?_ex=200x200	3	OK	3/3
maou-dante	魔王ダンテ	永井豪・ダイナミックプロ	deluxe	KCデラックス	講談社	1	4	0.25	圧縮(豪華本)	2002-06-21	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5612/9784063345612.jpg?_ex=300x300	1	OK	1/1
mazinger-z	マジンガーZ	桜多吾作・ダイナミック・プロ・編著	deluxe	KCデラックス	講談社	4	5	0.80	圧縮(豪華本)	2013-10-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9050/9784063769050.jpg?_ex=300x300	4	OK	4/4
medarot	メダロット イッキ編	ほるまりん	deluxe	講談社コミックスボンボンデラックス	講談社	3	4	0.75	圧縮(豪華本)	1998-03-06	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9079/9784063199079.jpg?_ex=200x200	3	OK	3/3
megami	女神	早稲田ちえ	deluxe	KCデラックス	講談社	1	3	0.33	圧縮(豪華本)	2015-09-05	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2722/9784063772722.jpg?_ex=200x200	1	OK	1/1
mezase-hero	めざせhero!	こだか和麻	deluxe	Super be×boy comics deluxe	リブレ出版	1	2	0.50	圧縮(豪華本)	2009-12-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8626/86263708.jpg?_ex=200x200	1	OK	1/1
minmin	ミンミン!	あさぎり夕	deluxe	KCデラックス	講談社	4	5	0.80	圧縮(豪華本)	1997-12-11	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0631/06319882.jpg?_ex=200x200	4	OK	4/4
mitsumegatooru	三つ目がとおる	手塚治虫	deluxe	KCデラックス	講談社	3	13	0.23	圧縮(豪華本)	2000-11-09	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334347.jpg?_ex=200x200	3	OK	3/3
miyamoto-kara-kimi-e	宮本から君ヘ	新井英樹	deluxe	KCデラックス	講談社	6	12	0.50	圧縮(豪華本)	1999-09-22	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334226.jpg?_ex=200x200	6	OK	6/6
mizuiro-jidai	水色時代	やぶうち優	deluxe	Flower comics deluxe	小学館	4	7	0.57	圧縮(豪華本)	2000-06-20	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8916/9784091318916.gif?_ex=200x200	4	OK	4/4
mobile-suit-gundam-seed	機動戦士ガンダムSEED	岩瀬昌嗣・高山瑞穂	deluxe	講談社コミックスボンボンデラックス	講談社	2	5	0.40	圧縮(豪華本)	2003-10-06	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7784/9784063347784.jpg?_ex=200x200	2	OK	2/2
momoka-typhoon	桃花タイフーン!!	藤田和子	deluxe	フラワーコミックス・デラックス	小学館	3	7	0.43	圧縮(豪華本)	2005-06	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0913/09138865.jpg?_ex=200x200	3	OK	3/3
namida-no-bareebooru	涙のバレーボール	塀内真人	deluxe	講談社コミックスデラックス	講談社	2	3	0.67	圧縮(豪華本)	1997-10-09	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8591/9784063198591.jpg?_ex=200x200	2	OK	2/2
nanako-no-seishun	奈々子の青春	西谷祥子	deluxe	Flower comics deluxe	小学館	1	2	0.50	圧縮(豪華本)	2002-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8421/9784091388421.gif?_ex=200x200	1	OK	1/1
nangoku-shounen-papuwa-kun	南国少年パプワくん	柴田亜美	deluxe	ガンガンコミックスデラックス	スクウェア・エニックス	3	7	0.43	圧縮(豪華本)	2025-03-28	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7068/9784757597068.jpg?_ex=200x200	3	OK	3/3
naniwa-kinyuudou	ナニワ金融道	青木雄二	deluxe	KCデラックス	講談社	6	19	0.32	圧縮(豪華本)	2002-03	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5148/9784063345148.jpg?_ex=200x200	6	OK	6/6
nanto-magoroku	なんと孫六	さだやす圭	deluxe	KCデラックス	講談社	28	81	0.35	圧縮(豪華本)	1995-10-17	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1003/9784063341003.jpg?_ex=200x200	28	OK	27/28
natsuko-no-sake	夏子の酒	尾瀬あきら	deluxe	KCデラックス	講談社	6	12	0.50	圧縮(豪華本)	1999-05-21	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334063.jpg?_ex=200x200	6	OK	6/6
nekoneko-darling	ねこねこダーリン	楢崎壮太	deluxe	ビーボーイコミックスデラックス	リブレ	1	3	0.33	圧縮(豪華本)	2024-01-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5326/9784799765326_1_3.jpg?_ex=200x200	1	OK	1/1
niji-no-densetsu	虹の伝説	原ちえこ	deluxe	KCデラックス	講談社	3	4	0.75	圧縮(豪華本)	1998-02-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0631/06319902.jpg?_ex=200x200	3	OK	3/3
nijinsky-guuwa	ニジンスキー寓話	有吉京子	deluxe	プリンセスコミックスデラックス	秋田書店	4	5	0.80	圧縮(豪華本)	1993-05	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2531/25315321.jpg?_ex=300x300	4	OK	4/4
ninja-hattori-kun	忍者ハットリくん	藤子不二雄Ⓐ	deluxe		小学館	4	16	0.25	圧縮(豪華本)	2005-03-05	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0914/09148151.jpg?_ex=300x300	4	OK	4/4
noragami	ノラガミ	あだちとか	deluxe	講談社コミックスデラックス. 月刊少年マガジン	講談社	14	27	0.52	圧縮(豪華本)	2024-12-17	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1533/9784065381533_1_2.jpg?_ex=200x200	14	OK	14/14
one-more-jump	ワン・モア・ジャンプ	赤石路代	deluxe	フラワーコミックスデラックス	小学館	4	9	0.44	圧縮(豪華本)	2001-02	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8950/9784091358950.gif?_ex=200x200	4	OK	4/4
onmyouji	陰陽師	岡野玲子	deluxe	バーガーSCデラックス	スコラ	8	13	0.62	圧縮(豪華本)	1994-07-29	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2714/9784796242714.jpg?_ex=200x200	8	OK	4/8
oobora-ichidai	大ぼら一代	本宮ひろ志	deluxe	ジャンプ・コミックスデラックス	集英社	6	11	0.55	圧縮(豪華本)	1986-06-15	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/6859/2000000106859.jpg?_ex=300x300	6	OK	6/6
oshaberina-amadeus	おしゃべりなアマデウス	武内昌美	deluxe	Flower comics deluxe	小学館	6	12	0.50	圧縮(豪華本)	2005-03	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0913/09130106.jpg?_ex=200x200	6	OK	6/6
otogi-matsuri	おとぎ奉り	井上淳哉	deluxe	Bunch comics deluxe	新潮社	8	12	0.67	圧縮(豪華本)	2011-02	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6095/9784107716095.jpg?_ex=200x200	8	OK	8/8
otoko-ippiki-gaki-daishou	男一匹ガキ大将	本宮ひろ志	deluxe	ジャンプ・コミックス デラックス	集英社	12	20	0.60	圧縮(豪華本)	1985-04-15	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/4523/2000000214523.jpg?_ex=300x300	12	OK	12/12
peppermint-age	ぺぱーみんと・エイジ	前田恵津子	deluxe	Flower comics deluxe	小学館	8	17	0.47	圧縮(豪華本)	2003-12	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0913/09131725.jpg?_ex=200x200	8	OK	8/8
pichipichi-pitch	ぴちぴちピッチ	花森ぴんく	deluxe	KCデラックス	講談社	3	7	0.43	圧縮(豪華本)	2022-01-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6274/9784065266274_1_3.jpg?_ex=200x200	3	OK	3/3
plamo-kyoushirou	プラモ狂四郎	やまと虹一	deluxe	講談社コミックスボンボンデラックス	講談社	6	15	0.40	圧縮(豪華本)	1999-04-02	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334073.jpg?_ex=300x300	6	OK	6/6
poketsuto-no-naka-no-0080-sou	機動戦士ガンダム0080	池原しげと	deluxe	講談社コミックスボンボンデラックス	講談社	1	2	0.50	圧縮(豪華本)	2006-11-06	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2215/9784063722215.jpg?_ex=200x200	1	OK	1/1
pokkapoka	ぽっかぽか	深見じゅん	deluxe	ユーコミックスデラックス	集英社	6	14	0.43	圧縮(豪華本)	1988-09	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1104/9784088621104.jpg?_ex=200x200	6	OK	6/6
princess-army	ぷりんせすARMY	北川みゆき	deluxe	Flower comics deluxe	小学館	6	12	0.50	圧縮(豪華本)	1999-07-22	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8718/9784091318718.gif?_ex=200x200	6	OK	6/6
ps-genki-desu-shunpei	P.S.元気です、俊平	柴門ふみ	deluxe	KCデラックス	講談社	9	11	0.82	圧縮(豪華本)	1999-06-22	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334201.jpg?_ex=300x300	9	OK	0/9
ps-genki-desu-shunpei	P.S.元気です、俊平	柴門ふみ	deluxe	KCデラックス	講談社	9	11	0.82	圧縮(豪華本)	1999-06-22	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334201.jpg?_ex=300x300	9	OK	9/9
punk-ponk	パンク・ポンク	たちいりハルコ	deluxe	Flower comics deluxe	小学館	2	12	0.17	圧縮(豪華本)	2004-02	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0913/09131853.jpg?_ex=200x200	2	OK	2/2
puramo-kiyoushirou-shin	新・プラモ狂四郎	やまと虹一	deluxe	講談社コミックスボンボンデラックス	講談社	1	3	0.33	圧縮(豪華本)	1999-11-05	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334258.jpg?_ex=300x300	1	OK	1/1
reppuuden	烈風伝	新谷かおる	deluxe	KCデラックス	講談社	2	3	0.67	圧縮(豪華本)	1997-10-23	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8669/9784063198669.jpg?_ex=200x200	2	OK	2/2
rontai-baby	ロンタイbaby	高口里純	deluxe	KCデラックス	講談社	8	15	0.53	圧縮(豪華本)	2002-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5858/9784063345858.jpg?_ex=200x200	8	OK	8/8
roto-no-monshou	ロトの紋章	藤原カムイ	deluxe	ヤングガンガンコミックスデラックス	スクウェア・エニックス	15	34	0.44	圧縮(豪華本)	2006-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7575/75751726.jpg?_ex=200x200	15	OK	15/15
samurider	サムライダー	すぎむらしんいち	deluxe	KCデラックス	講談社	3	5	0.60	圧縮(豪華本)	1999-06-23	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334083.jpg?_ex=300x300	3	OK	3/3
sangokushi-1993	三国志	李志清	deluxe	SC deluxe	スコラ	9	14	0.64	圧縮(豪華本)	1993-01-16	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/5777/2000002465777.jpg?_ex=300x300	9	OK	9/9
sarura	沙流羅	ながやす巧	deluxe	KC deluxe	講談社	5	7	0.71	圧縮(豪華本)	1990-10-17	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0631/06313177.jpg?_ex=200x200	5	OK	5/5
sawayaka-mantarou	さわやか万太郎	本宮ひろ志	deluxe	ジャンプ・コミックス デラックス	集英社	6	10	0.60	圧縮(豪華本)	1987-08-10	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/1153/2000000181153.jpg?_ex=300x300	6	OK	4/6
school	SCHOOL	高瀬由香	deluxe	Flower comics deluxe	小学館	1	3	0.33	圧縮(豪華本)	2004-12	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0913/09130080.jpg?_ex=200x200	1	OK	1/1
sebiro-no-housekeeper	背広のハウスキーパー	こだか和麻	deluxe	Super be×boy comics deluxe	リブレ出版	1	2	0.50	圧縮(豪華本)	2009-02-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8626/86263543.jpg?_ex=200x200	1	OK	1/1
seikimatsu-leader-den-takeshi	世紀末リーダー伝たけし!	島袋光年	deluxe	ジャンプ・コミックスデラックス	集英社	13	25	0.52	圧縮(豪華本)	2004-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0885/08859456.jpg?_ex=200x200	13	OK	13/13
seirei-no-moribito	精霊の守り人	藤原カムイ	deluxe	ガンガンコミックスデラックス	スクウェア・エニックス	1	3	0.33	圧縮(豪華本)	2008-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3821/9784757523821.jpg?_ex=200x200	1	OK	1/1
sekiryuuou	赤龍王	本宮ひろ志	deluxe	ジャンプ・コミックスデラックス	集英社	7	9	0.78	圧縮(豪華本)	1996-04-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5116/9784088585116.jpg?_ex=200x200	7	OK	7/7
sexy-guardian	SEXYガーディアン	新條まゆ	deluxe	Flower comics deluxe	小学館	1	2	0.50	圧縮(豪華本)	2004-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7301/9784091387301.gif?_ex=200x200	1	OK	1/1
shigatsu-wa-kimi-no-uso	四月は君の嘘	新川直司	deluxe	講談社コミックスデラックス. 月刊少年マガジン	講談社	6	11	0.55	圧縮(豪華本)	2024-12-17	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1977/9784065381977_1_44.jpg?_ex=200x200	6	OK	6/6
shin-mobile-senki-gundam-wing	新機動戦記ガンダムW	ときた洸一	deluxe	コミックボンボンKCデラックス	講談社	1	3	0.33	圧縮(豪華本)	1996-03	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0020/9784063340020.jpg?_ex=300x300	1	OK	1/1
shiroi-suit-yamato	白い戦士ヤマト	高橋よしひろ	deluxe	ジャンプ・コミックスデラックス	集英社	14	26	0.54	圧縮(豪華本)	1990-02-09	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/0250/2000004750250.jpg?_ex=300x300	14	OK	7/14
shounan-junai-gumi	湘南純愛組!	藤沢とおる	deluxe	KCデラックス	講談社	2	31	0.06	圧縮(豪華本)	1991-03-16	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0631/06313212.jpg?_ex=200x200	2	OK	2/2
shugo-chara	しゅごキャラ!	PEACH‐PIT・Peach-Pit	deluxe	KCデラックス	講談社	6	12	0.50	圧縮(豪華本)	2021-03-01	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9460/9784065229460.jpg?_ex=200x200	6	OK	6/6
slam-dunk	SLAM DUNK	井上雄彦	deluxe	ジャンプ・コミックスデラックス	集英社	24	31	0.77	圧縮(豪華本)	2001-03	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1902/9784088591902.jpg?_ex=200x200	24	OK	24/24
soul-eater	ソウルイーター	大久保篤	deluxe	ガンガンコミックスデラックス	スクウェア・エニックス	17	25	0.68	圧縮(豪華本)	2019-07-12	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1878/9784757561878.jpg?_ex=200x200	17	OK	17/17
soul-eater-not	ソウルイーターノット!	大久保篤	deluxe	ガンガンコミックスデラックス	スクウェア・エニックス	3	5	0.60	圧縮(豪華本)	2020-07-17	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7559/9784757567559.jpg?_ex=200x200	3	OK	3/3
st-pineapple-moon	St.パイナップル・ムーン	おおや和美	deluxe	Flower comics deluxe	小学館	2	5	0.40	圧縮(豪華本)	2003-12	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7714/9784091387714.gif?_ex=200x200	2	OK	2/2
suki-shite-sadist	すきしてサディスト	新條まゆ	deluxe	Flower comics deluxe	小学館	1	2	0.50	圧縮(豪華本)	2002-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7233/9784091387233.gif?_ex=200x200	1	OK	1/1
swan	SWAN	有吉京子	deluxe	PRINCESS COMICS DELUXE	秋田書店	14	21	0.67	圧縮(豪華本)	1992-01	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2754/9784253152754.jpg?_ex=200x200	14	OK	14/14
swan-hakuchou-no-inori	SWAN 白鳥の祈り	有吉京子	deluxe	プリンセスコミックスデラックス	秋田書店	2	3	0.67	圧縮(豪華本)	1992-08-15	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2531/25315290.jpg?_ex=300x300	2	OK	2/2
ten-yori-mo-hoshi-yori-mo	天よりも星よりも	赤石路代	deluxe	フラワーコミックスデラックス	小学館	4	8	0.50	圧縮(豪華本)	2000-02	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7015/9784091347015.gif?_ex=200x200	4	OK	4/4
tenchi-o-kurau	天地を喰らう	本宮ひろ志・大沢在昌	deluxe	ジャンプ・コミックスデラックス	集英社	4	7	0.57	圧縮(豪華本)	1989-05-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3310/9784088583310.jpg?_ex=200x200	4	OK	4/4
tenkirimatsu-yamigatari	天切り松闇がたり	幸野武史	deluxe	ジャンプ・コミックスデラックス	集英社	2	5	0.40	圧縮(豪華本)	2000-12-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1599/9784088591599.jpg?_ex=200x200	2	OK	2/2
tokyo-juliet	東京ジュリエット	北川みゆき	deluxe	Flower comics deluxe	小学館	6	13	0.46	圧縮(豪華本)	2002-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8315/9784091388315.gif?_ex=200x200	6	OK	6/6
tonari-no-kaibutsu-kun	となりの怪物くん	ろびこ	deluxe	KCデラックス	講談社	7	13	0.54	圧縮(豪華本)	2017-12-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6129/9784065106129.jpg?_ex=200x200	7	OK	7/7
trouble-kick	トラぶる❤キック	高田りえ	deluxe	Flower comics deluxe	小学館	1	2	0.50	圧縮(豪華本)	2004-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0913/09134885.jpg?_ex=200x200	1	OK	1/1
tsuki-ni-kiss-no-hanataba-o	月にキスの花束を	北川みゆき	deluxe	Flower comics deluxe	小学館	2	3	0.67	圧縮(豪華本)	2004-05-26	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0913/09138837.jpg?_ex=200x200	2	OK	2/2
uwasa-no-himeko	うわさの姫子	藤原栄子	deluxe	Flower comics deluxe	小学館	4	31	0.13	圧縮(豪華本)	2002-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0913/09138761.jpg?_ex=200x200	4	OK	4/4
violence-jack	バイオレンス・ジャック	永井豪・ダイナミックプロ	deluxe	KCデラックス	講談社	5	31	0.16	圧縮(豪華本)	1998-03-23	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9123/9784063199123.jpg?_ex=200x200	5	OK	5/5
watashi-ga-mama-yo	わたしがママよ	森本梢子	deluxe	Youコミックスデラックス	集英社	4	5	0.80	圧縮(豪華本)	1991-10-28	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2019/9784088622019.jpg?_ex=200x200	4	OK	4/4
yabu-to-hanamomo	やぶとはなもも	有間しのぶ	deluxe	バーズコミックスデラックス	幻冬舎コミックス	1	2	0.50	圧縮(豪華本)	2010-01-24	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3448/34481855.jpg?_ex=200x200	1	OK	1/1
yamazaki-ginjirou	山崎銀次郎	本宮ひろ志	deluxe	ジャンプ・コミックス デラックス	集英社	3	5	0.60	圧縮(豪華本)	1987-05-08	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/1387/2000000231387.jpg?_ex=300x300	3	OK	3/3
yami-no-alexandra	闇のアレキサンドラ	原ちえこ	deluxe	KCデラックス	講談社	3	4	0.75	圧縮(豪華本)	1999-10-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334235.jpg?_ex=200x200	3	OK	3/3
youkai-shimatsunin-trauma	妖怪始末人トラウマ!!	魔夜峰央	deluxe	プリンセス・コミックスデラックス	秋田書店	4	6	0.67	圧縮(豪華本)	1991-06-15	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2709/9784253152709.jpg?_ex=200x200	4	OK	4/4
zenigata-heiji-torimonohikae	銭形平次捕物控	シュガー佐藤・石森章太郎プロ・大石賢一	deluxe	Jump comics deluxe	集英社	3	17	0.18	圧縮(豪華本)	2004-06	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0885/08859423.jpg?_ex=300x300	3	OK	3/3
21-emon	21エモン	藤子不二雄	kanzenban	藤子・F・不二雄大全集	小学館	2	3	0.67	圧縮(豪華本)	2010-08-30	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4371/9784091434371_1_21.jpg?_ex=300x300	2	OK	2/2
ashita-no-joe	あしたのジョー	ちばてつや	kanzenban		講談社	16	20	0.80	圧縮(豪華本)	1993-02-19	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3558/9784063193558.jpg?_ex=300x300	16	OK	16/16
