slug	title	ours	isbn_implies	madb_candidates	vols	isbn
0-nousha-minato	0能者ミナト	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	4	9784047283084
1-love-9	1〔LOVE〕9	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	3	9784048674430
11-piki-no-neko-doronko	11ぴきのねこどろんこ	こぐま社	ゴルフダイジェスト社	こぐま社	1	9784772101394
110-yooji-kun-no-manga-bungaku-zenshuu-110sen	ショージ君の漫画文学全集110選	文藝春秋	文芸春秋	文藝春秋	1	9784163662909
12renkyuu	12連休	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	1	9784047287082
1970-nendaiki	1970年代記	朝日新聞社	朝日新聞出版	朝日新聞社	1	9784022502766
1999-nostradamus-jigoku-no-x-file	1999ノストラダムス地獄のX-file	[発売]講談社	講談社	[発売]講談社 / コミックス	1	9784063137088
crisis-2050	クライシス2050	コミックス	講談社	コミックス	1	9784063131116
3	3	集英社	小池書院	集英社	1	9784883158669
300-nen-hikikomori-tsukuri-tsuzukete-shimatta-kottouhin-madougu-ga-nokinami-cheat-kyuu-no-madougu	300年引きこもり、作り続けてしまった骨董品《魔導具》が、軒並みチート級の魔導具だった件	BookLive	フレックスコミックス	BookLive / フレックスコミックス (発売)	5	9784866752198
300	スリーハンドレッド	小学館プロダクション	小学館集英社プロダクション	小学館プロダクション	1	9784796870368
35-sai-imasara-koi-toka-arienai	35歳、今さら恋とかありえない	日販アイ・ピー・エス (発売)	駒草出版株式会社ダンク出版事業部	日販アイ・ピー・エス (発売) / モバイルメディアリサーチ	3	9784909699503
3b-no-koibito	3Bの恋人	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス	4	9784866970790
5nin-irutsu	5人いるっ!?	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	2	9784048672795
7-nin-no-bukiya-nanabun-no-1	七人の武器屋1/7	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	1	9784047125247
81-yamada-yuusuke-gekijou	8.1山田悠介劇場	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	2	9784047126763
a-kun-17-no-sensou	A君（17）の戦争	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	2	9784047125506
abunai-hitozuma	あぶない人妻	スカイラーク社	ひばり書房	スカイラーク社	1	9784828000046
adolf-ni-tsugu	アドルフに告ぐ	文芸春秋	文藝春秋	文藝春秋	4	9784167757014
adoressensu-seinenki	アドレッセンス青年期	集英社	白泉社	集英社	1	9784592130857
adult-kids	アダルトキッズ	ワニマガジン	ワニマガジン社	ワニマガジン	1	9784898293171
again	アゲイン	小学館	ビズコミュニケーションズジャパン	小学館 / ビズコミュニケーションズジャパン	3	9784091600950
agurikko	アグリっ娘	技術と人間	近代映画社	技術と人間 / テラ出版	1	9784764502017
ahosuta-san-no-futsuu-janai-nichijou	あほすたさんのふつうじゃない日常	三和出版	宙出版	三和出版	1	9784776992509
ai-no-katachi-wa-shiranaikeredo	愛のかたちは知らないけれど	コアマガジン	ワニマガジン社		1	9784868640035
aiba-kun-wa-ano-mitsu-ga-sukisugiru	相葉くんは〈あの蜜〉が好きすぎる!	フランス書院 (発売)	フランス書院	フランス書院 (発売) / プランタン出版	2	9784829650967
aichannoakaikutsu	あいちゃんのあかいくつ	チャイルド本社	チクマ秀版社	チャイルド本社	1	9784805435373
aien-kien	合縁奇縁	琉球新報出版部	ラポート	琉球新報出版部	1	9784897420110
aijou-monogatari	愛縄物語	星雲社	ソフトマジック	星雲社 / マガジン・ファイブ	1	9784921181086
aimu-suteiru-alive	あいむ・すてぃる・あらいぶ	丸善出版サービスセンター	道出版	丸善出版サービスセンター	2	9784944120086
ainyan-sapuri	愛猫サプリ	角川グループパブリッシング	エンターブレイン	角川グループパブリッシング / エンターブレイン	3	9784047266377
aio-ageyou	愛をあげよう	ソニー・マガジンズ	スコラ	スコラ	9	9784796243445
air-dora	エアドラ	小学館クリエイティブ (発売)	小学館クリエイティブ	小学館クリエイティブ (発売) / ヒーローズ	1	9784864681360
i-love-ketsuekigata	アイ・LOVE・血液型	講談社・コミックス	講談社	講談社・コミックス	1	9784061037076
aisarete-seikimatsu	愛されて世紀末	主婦と生活社	宙出版	主婦と生活社 / 宙（おおぞら）出版	1	9784391913460
aisazu-niwa-irarenaitsu	愛さずにはいられないっ	かんき出版	久保書店	かんき出版	1	9784761254759
aishisugi-desu-aogiri-kun	愛しすぎです、青桐くん。	ジャイブ	マイクロマガジン社	ジャイブ / ネクストF	3	9784867150122
aishisugiruniizuma	愛しすぎる新妻	小学館クリエイティブ	ワニマガジン社		3	9784868051213
aishitai	愛・したい あい・SHITAI	ワニマガジン	ワニマガジン社	ワニマガジン	2	9784898291528
aiteii-oji-san	ITおじさん	小学館クリエイティブ (発売)	小学館クリエイティブ	小学館クリエイティブ (発売) / ヒーローズ	3	9784864681797
aiura	あいうら	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	7	9784041201862
aiyoku-no-yuusuteia	穢翼のユースティア	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041205365
aka-puro	あか☆ぷろ!!!	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041200384
akabako	赤箱。	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	1	9784048864640
akachouchin-joshi-ga-yuku	赤ちょうちん女子がゆく	イーステージ	北辰堂出版	イーステージ	1	9784904034408
akahishi-no-eleven	赤菱のイレブン	アスペクト	双葉社	エンターブレイン	5	9784757705418
akaki-chi-no-eleven	赤き血のイレブン	広済堂	廣済堂出版	広済堂	5	9784331251003
akanbo-shoujo	赤んぼ少女	角川書店	KADOKAWA	角川書店 / 角川書店	1	9784041608067
akapan-sensei	赤パン先生!	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	4	9784047285019
akarui-danjokousai-no-tebiki	明るい男女交際の手引き	講談社	集英社	講談社	2	9784088542508
akatsuka-fujio-ga-kataru-64-yonin-no-mangakatachi	赤塚不二夫が語る64人のマンガ家たち	立東舎	リイド社	立東舎	1	9784845631285
