slug	title	authors	canonical済	worst	page_shape	cluster_shape
2001-ya-monogatari	2001夜物語	星野之宣		13年 standard 2巻(2004-01)→3巻(1991-07)	(本番yml無し)	
aa-hana-no-ouendan	嗚呼!!花の応援団	どおくまん		16年 standard 4巻(1995-01-19)→13巻(1979-01-08)	(本番yml無し)	
abare-tendou	あばれ天童	横山光輝		10年 standard 1巻(1986-09-06)→7巻(1976-01)	standard[通常版]/少年チャンピオン・コミックス 7冊 1976-01〜1986-12-06 ; bunkobon[文庫版]/講談社漫画文庫 4冊 2003-05-19〜2003-12-10	sid45490/ed55765 bunkobon[講談社漫画文庫] 4冊 2003-05-19〜2003-12-10 ISBN4 || sid45490/ed55766 standard[少年チャンピオン・コミックス] 5冊 1974-12〜1976-01 ISBN0 || sid45490/ed55767 standard[KCスペシャル] 4冊 1986-09-06〜1986-12-06 ISBN4
ai-ga-yuku	愛がゆく	小山ゆう		13年 standard 3巻(1996-12-05)→4巻(1983-04-05)	standard[通常版]/マンガくんコミックス 12冊 1982-05-05〜1996-12-05	sid323/ed460 standard[マンガくんコミックス] 11冊 1982-05-05〜1985-02-05 ISBN10 || sid323/ed461 standard[スーパービジュアル・コミックス] 6冊 1996-08-15〜1997-08-15 ISBN6 || sid154678/ed172590 standard[マンガくんコミックス] 1冊 1984-04-05〜1984-04-05 ISBN1
ai-to-makoto	愛と誠	ながやす巧		11年 standard 1巻(1986-02-06)→11巻(1975-07-25)	standard[通常版]/講談社コミックス 16冊 1975-07-25〜1986-06-06 ; bunkobon[文庫版]/講談社漫画文庫 16冊 1978-04〜2001-09-12 ; deluxe[デラックス版]/KCデラックス 10冊 1995-03-23〜1995-12-18	sid144/ed218 standard[講談社コミックススペシャル] 3冊 1986-02-06〜1986-03-06 ISBN3 || sid144/ed219 bunkobon[講談社漫画文庫] 26冊 1977-08〜2001-09 ISBN10 || sid144/ed220 standard[講談社コミックス] 16冊 1973-11〜1976-09-15 ISBN0 || sid144/ed221 standard[KCスペシャル] 1冊 -〜- ISBN1 || sid125318/ed142310 standard[講談社プラチナコミックス] 6冊 2012-05〜2012-07 ISBN6 || sid125318/ed142311 standard[KCスペシャル] 6冊 1986-04-05〜1986-06-06 ISBN6 || sid125318/ed142312 deluxe[KCデラックス] 9冊 1995-04-21〜1995-12-18 ISBN9 || sid125318/ed142313 standard[KPC] 8冊 2004-03〜2004-06 ISBN8 || sid125318/ed142314 deluxe[デラックスコミックス] 1冊 -〜- ISBN1
angel	Angel	遊人		15年 standard 4巻(2008-03)→6巻(1993-11-22)	bunkobon[文庫版]/シュベール文庫 6冊 1995-12〜1996-05 ; standard[通常版]/ヤングサンデーコミックス 7冊 1993-11-22〜2008-07	sid56167/ed69588 standard[ヤングサンデーコミックス] 2冊 1989-07〜1990-05 ISBN2 || sid56167/ed69589 standard[-] 7冊 -〜- ISBN7 || sid56168/ed69590 bunkobon[シュベール文庫] 6冊 1995-12〜1996-05 ISBN6 || sid56168/ed69591 standard[Nichibun comics] 10冊 2006-12〜2010-10 ISBN10 || sid56168/ed69592 standard[ヤングサンデーコミックス] 1冊 1990-01〜1990-01 ISBN1 || sid56168/ed69593 standard[-] 3冊 2007-11〜2007-12 ISBN3 || sid57581/ed71361 standard[CHOCOLAT COMICS] 1冊 2007-09〜2007-09 ISBN1
angelique-kihara	アンジェリク	木原敏江		11年 standard 3巻(1990-02-01)→5巻(1979-08-20)	(本番yml無し)	
arabesque-dai1bu	アラベスク第1部	山岸凉子		11年 standard 1巻(1986-06-17)→4巻(1975-06-20)	standard[通常版]/花とゆめCOMICS 4冊 1975-06-20〜1986-08	sid44216/ed53825 standard[花とゆめCOMICS] 4冊 1975-06-20〜1975-06-20 ISBN0 || sid44216/ed53826 standard[あすかコミックス・スペシャル] 3冊 1986-06-17〜1986-08 ISBN3
arabesuku	アラベスク第2部	山岸凉子		10年 standard 1巻(1986-09)→4巻(1976-03-20)	standard[通常版]/花とゆめコミックス 4冊 1976-03-20〜1986-11-17	sid44217/ed53827 standard[花とゆめコミックス] 3冊 1975-04-20〜1976-03-20 ISBN0 || sid44217/ed53828 standard[あすかコミックス・スペシャル] 3冊 1986-09〜1986-11-17 ISBN3 || sid44217/ed53829 standard[花とゆめCOMICS] 1冊 1976-01-20〜1976-01-20 ISBN0
ariesu-no-otometachi	アリエスの乙女たち	里中満智子		12年 standard 5巻(1987-05-14)→7巻(1975-04-10)	standard[通常版]/講談社コミックスフレンド 7冊 1975-04-10〜1987-06-13 ; bunkobon[文庫版]/講談社漫画文庫 4冊 1998-06-12〜1998-06-12	sid42369/ed51352 standard[講談社コミックスフレンド] 13冊 1974-05〜1987-06 ISBN6 || sid42369/ed51353 bunkobon[中公文庫コミック版] 4冊 2005-07〜2005-10 ISBN4 || sid42369/ed51354 bunkobon[講談社漫画文庫] 4冊 1998-06-12〜1998-06-12 ISBN4 || sid42369/ed51355 standard[NTT出版マンガ傑作選] 4冊 1996-01-25〜1996-03-28 ISBN4 || sid42369/ed51356 standard[KCスペシャル] 4冊 1983-09〜1983-10 ISBN4
arinko-no-uta	アリンコの歌	ちばてつや		10年 standard 2巻(1998-06)→3巻(1988-10-05)	bunkobon[文庫版]/ちばてつや漫画文庫 3冊 1978-05〜1978-07 ; standard[通常版]/KODAMA DIAMOND COMICS 3冊 1988-10-05〜1998-06	sid37098/ed44205 standard[サンコミックス] 3冊 1974-06-10〜1974-06-10 ISBN0 || sid37098/ed44206 bunkobon[ちばてつや漫画文庫] 3冊 1978-05〜1978-07 ISBN0 || sid37098/ed44207 standard[KODAMA DIAMOND COMICS] 3冊 1967-02-10〜1967-04-10 ISBN0 || sid37098/ed44208 standard[ちばてつや全集] 2冊 1998-06〜1998-06 ISBN2 || sid37098/ed44209 standard[母と娘でみる漫画名作館] 2冊 1988-10-05〜1988-10-05 ISBN2 || sid37098/ed44210 standard[MUSHI COMICS] 1冊 1969-09-30〜1969-09-30 ISBN0 || sid37098/ed44211 standard[-] 2冊 -〜- ISBN0
astro-kyuudan	アストロ球団	中島徳博		12年 standard 1巻(1986-03-24)→6巻(1974-09-30)	standard[通常版]/ジャンプ・コミックス 19冊 1974-09-30〜1986-07-24 ; bunkobon[文庫版]/集英社漫画文庫 20冊 1978-03〜1979-01	sid8419/ed9801 standard[ジャンプコミックスセレクション] 9冊 1986-03-24〜1987-01-24 ISBN4 || sid8419/ed9802 standard[-] 4冊 1999-03〜1999-07 ISBN4 || sid8419/ed9803 standard[ジャンプ・コミックス] 8冊 1973-11-30〜1975-08-31 ISBN0 || sid72736/ed87108 bunkobon[集英社漫画文庫] 1冊 1978-03〜1978-03 ISBN0 || sid72737/ed87109 standard[ジャンプ・コミックス] 11冊 1974-01-31〜1976-12-31 ISBN0 || sid72737/ed87110 bunkobon[集英社漫画文庫] 19冊 1978-04〜1979-01 ISBN0
babiru-2sei	バビル2世	横山光輝		14年 standard 2巻(1986-05-10)→5巻(1972-11)	standard[通常版]/少年チャンピオンコミックス 12冊 1972-07〜1995-11-20 ; bunkobon[文庫版]/秋田文庫 8冊 1994-11-30〜1995-08-10	sid45517/ed55813 standard[Akita top comics wide] 2冊 2007-03〜2011-02 ISBN2 || sid45517/ed55814 standard[Akita top comics] 12冊 2002-01〜2004-07 ISBN12 || sid45517/ed55815 standard[-] 8冊 1993-01〜1993-08 ISBN8 || sid45517/ed55816 standard[少年チャンピオンコミックス] 12冊 1972-07〜1995-11-20 ISBN6 || sid45517/ed55817 bunkobon[秋田文庫] 8冊 1994-11〜1995-08 ISBN8 || sid45517/ed55818 standard[秋田コミックス・セレクト] 8冊 1986-04-01〜1986-11 ISBN8 || sid45517/ed55819 standard[My first big special] 3冊 2024-09-06〜2025-02-03 ISBN3 || sid45518/ed55820 standard[-] 8冊 2019-03〜2020-05 ISBN8
bacchus	バッコス	白土三平		12年 standard 1巻(1991-01-01)→2巻(1979-01-01)	standard[通常版]/ビッグコミックス 5冊 1979-01-01〜1991-01-01 ; bunkobon[文庫版]/小学館文庫 3冊 2000-12〜2001-02	sid31671/ed37234 standard[ビッグコミックス] 4冊 1979-01-01〜1979-04-01 ISBN1 || sid31671/ed37235 bunkobon[小学館文庫] 3冊 2000-12〜2001-02 ISBN3 || sid31671/ed37236 standard[神話伝説シリーズ] 1冊 1991-01〜1991-01 ISBN1
baiyaku-kakeba-chou-kuzuryuu	買厄懸場帖九頭竜	石ノ森章太郎		10年 bunkobon 1巻(1983-01)→2巻(1973-03)	bunkobon[文庫版]/小学館文庫 2冊 1973-03〜1983-01 ; standard[通常版]/SPコミックス 3冊 2016-01〜2017-02	sid45461/ed55712 bunkobon[小学館文庫] 2冊 1973-03〜1983-01 ISBN1 || sid45461/ed55713 standard[SPコミックス] 3冊 2016-01〜2017-02 ISBN3 || sid45461/ed55714 standard[SP wide pocket] 1冊 2020-05〜2020-05 ISBN1 || sid45462/ed55715 standard[Leed cafe comics] 2冊 2020-06〜2020-06 ISBN2
baku-chan-no-ita-sekusuarisu	麦ちゃんのヰタ・セクスアリス	立原あゆみ		15年 bunkobon 1巻(1997-07-28)→5巻(1982-01-15)	bunkobon[文庫版]/集英社文庫 8冊 1982-01-15〜1997-08-27 ; standard[通常版]/SGコミックス 5冊 1989-09-05〜1990-02-10	sid39327/ed47245 standard[SGコミックス] 5冊 1989-09〜1990-02-10 ISBN4 || sid39327/ed47246 bunkobon[集英社文庫] 8冊 1980-09〜1982-12-15 ISBN0 || sid39327/ed47247 bunkobon[文庫版コミックス] 4冊 1997-07〜1997-08-27 ISBN4
bangai-koshien	番外甲子園	内山まもる		10年 standard 1巻(1990-07-16)→4巻(1980-07-15)	standard[通常版]/少年サンデーコミックス 18冊 1980-07-15〜1990-08-16	sid10503/ed12245 standard[少年サンデーコミックス] 13冊 1979-12-15〜1982-03-15 ISBN0 || sid109890/ed126031 standard[少年サンデーコミックス] 5冊 1980-07-15〜1981-04-15 ISBN0 || sid109890/ed126032 standard[バーガーSC SPECIAL] 1冊 1990-09-16〜1990-09-16 ISBN0 || sid109890/ed126033 standard[バーガーSC] 3冊 1990-07〜1990-08 ISBN3
