file	old_slug	new_slug	rakuten_kana
abashiriikka	abashiriikka	abashiri-ikka	アバシリ イッカ
aizenkagura	aizenkagura	aizen-kagura	アイゼン カグラ
amaitamashii	amaitamashii	amai-tamashii	アマイ タマシイ
amanoiwato-monogatari	amanoiwato-monogatari	ama-no-iwato-monogatari	アマ ノ イワト モノガタリ
anasatsujin	anasatsujin	ana-satsujin	アナ サツジン
anekurabe	anekurabe	ane-kurabe	アネ クラベ
aoiyoumatachi	aoiyoumatachi	aoi-youmatachi	アオイ ヨウマタチ
arashigahara	arashigahara	arashi-ga-hara	アラシ ガ ハラ
asagaonoasa	asagaonoasa	asagao-no-asa	アサガオ ノ アサ
ashitakagayaku	ashitakagayaku	ashita-kagayaku	アシタ カガヤク
awadorugurashi	awadorugurashi	awadoru-gurashi	アワドル グラシ
baadosutoraiku	baadosutoraiku	baado-sutoraiku	バード ストライク
basugaido-monogatari	basugaido-monogatari	basu-gaido-monogatari	バス ガイド モノガタリ
biibappu-kaizokuban	biibappu-kaizokuban	bii-bappu-kaizokuban	ビー バップ カイゾクバン
binangirai	binangirai	binan-girai	ビナン ギライ
burattobanii	burattobanii	buratto-banii	ブラット バニー
byakuyazoushi	byakuyazoushi	byakuya-zoushi	ビャクヤ ゾウシ
chibikkotenshi	chibikkotenshi	chibikko-tenshi	チビッコ テンシ
chibimama	chibimama	chibi-mama	チビ ママ
chikaranoarika	chikaranoarika	chikara-no-arika	チカラ ノ アリカ
danshigurashi	danshigurashi	danshi-gurashi	ダンシ グラシ
doahorizumu	doahorizumu	do-ahorizumu	ド アホリズム
dokuoyasodachi	dokuoyasodachi	dokuoya-sodachi	ドクオヤ ソダチ
dooberumandeka	dooberumandeka	dooberuman-deka	ドーベルマン デカ
doosuruwanko	doosuruwanko	doosuru-wanko	ドースル ワンコ
doronchibimaru	doronchibimaru	doron-chibimaru	ドロン チビマル
dotsukiri-maikuroon	dotsukiri-maikuroon	dotsukiri-mai-kuroon	ドツキリ マイ クローン
doyoubinoehon	doyoubinoehon	doyoubi-no-ehon	ドヨウビ ノ エホン
erudoraibu	erudoraibu	eru-doraibu	エル ドライブ
fudeoroshi	fudeoroshi	fude-oroshi	フデ オロシ
fukuokazamurai	fukuokazamurai	fukuoka-zamurai	フクオカ ザムライ
furimuitaotoko	furimuitaotoko	furimuita-otoko	フリムイタ オトコ
futtoboorutaka	futtoboorutaka	futtobooru-taka	フットボ-ル タカ
garasunoshiro	garasunoshiro	garasu-no-shiro	ガラス ノ シロ
hanabiranikki	hanabiranikki	hanabira-nikki	ハナビラ ニッキ
haruhayate	haruhayate	haru-hayate	ハル ハヤテ
hashirehaiji	hashirehaiji	hashire-haiji	ハシレ ハイジ
himegotoasobi	himegotoasobi	himegoto-asobi	ヒメゴト アソビ
hitorijime-otoutoizumu	hitorijime-otoutoizumu	hitorijime-otouto-izumu	ヒトリジメ オトウト イズム
hitorimatsuri	hitorimatsuri	hitori-matsuri	ヒトリ マツリ
honenooto	honenooto	hone-no-oto	ホネ ノ オト
honjitsu-akanebiyori	honjitsu-akanebiyori	honjitsu-akane-biyori	ホンジツ アカネ ビヨリ
iketerufutari	iketerufutari	iketeru-futari	イケテル フタリ
ikkimandara	ikkimandara	ikki-mandara	イッキ マンダラ
inuhimegoten	inuhimegoten	inuhime-goten	イヌヒメ ゴテン
issunboushi	issunboushi	issun-boushi	イッスン ボウシ
jikangaikinmuonee-san	jikangaikinmuonee-san	jikangai-kinmu-oneesan	ジカンガイ キンム オネエサン
kaburumon	kaburumon	kaburu-mon	カブル モン
kaettehoshiino	kaettehoshiino	kaette-hoshiino	カエッテ ホシイノ
kagaamata	kagaamata	kaga-amata	カガ アマタ
kaijinakkaaman	kaijinakkaaman	kaijin-akkaaman	カイジン アッカーマン
kamikujimura	kamikujimura	kami-kuji-mura	カミ クジ ムラ
kamisamabiyori	kamisamabiyori	kamisama-biyori	カミサマ ビヨリ
kamuigaiden	kamuigaiden	kamui-gaiden	カムイ ガイデン
kannanosuigyo	kannanosuigyo	kanna-no-suigyo	カンナ ノ スイギョ
keserasera	keserasera	ke-sera-sera	ケ セラ セラ
kimiwanatsunonaka	kimiwanatsunonaka	kimi-wa-natsu-no-naka	キミ ワ ナツ ノ ナカ
kimiyoubi	kimiyoubi	kimi-youbi	キミ ヨウビ
kinironohoshi	kinironohoshi	kiniro-no-hoshi	キンイロ ノ ホシ
kinumonogatari	kinumonogatari	kinu-monogatari	キヌ モノガタリ
kirurakiru	kirurakiru	kiru-ra-kiru	キル ラ キル
kodokunogurume	kodokunogurume	kodoku-no-gurume	コドク ノ グルメ
koimoaimohoshikunai	koimoaimohoshikunai	koi-mo-ai-mo-hoshikunai	コイ モ アイ モ ホシクナイ
konamikkusu	konamikkusu	kona-mikkusu	コナ ミックス
kouenjiatari	kouenjiatari	kouenji-atari	コウエンジ アタリ
kousetsu-hyakumonogatari	kousetsu-hyakumonogatari	kousetsu-hyaku-monogatari	コウセツ ヒャク モノガタリ
kumashirokuro	kumashirokuro	kuma-shirokuro	クマ シロクロ
kurayamigodan	kurayamigodan	kurayami-godan	クラヤミ ゴダン
kuroiwashi	kuroiwashi	kuroi-washi	クロイ ワシ
kurokuroku	kurokuroku	kuroku-roku	クロク ロク
kuronoshishi	kuronoshishi	kuro-no-shishi	クロ ノ シシ
kyokuriiman	kyokuriiman	kyoku-riiman	キョク リーマン
majipangu	majipangu	maji-pangu	マジ パング
makarikyuramu	makarikyuramu	ma-karikyuramu	マ カリキュラム
mayonakanoinu	mayonakanoinu	mayonaka-no-inu	マヨナカ ノ イヌ
mayugomori	mayugomori	mayu-gomori	マユ ゴモリ
mazanmaujinga	mazanmaujinga	mazan-maujinga	マザン マウジンガ
mizunotawamure	mizunotawamure	mizu-no-tawamure	ミズ ノ タワムレ
nagekinotenshi	nagekinotenshi	nageki-no-tenshi	ナゲキ ノ テンシ
nandemo-shimasukara	nandemo-shimasukara	nandemo-shimasu-kara	ナンデモ シマス カラ
natsunokumo	natsunokumo	natsu-no-kumo	ナツ ノ クモ
nekofujin	nekofujin	neko-fujin	ネコ フジン
nekomeewaku	nekomeewaku	neko-meewaku	ネコ メーワク
nekonekopanchi	nekonekopanchi	nekoneko-panchi	ネコネコ パンチ
nekowappa	nekowappa	neko-wappa	ネコ ワッパ
nemurimehime	nemurimehime	nemurime-hime	ネムリメ ヒメ
nemurubaka	nemurubaka	nemuru-baka	ネムル バカ
nerimanoitachi	nerimanoitachi	nerima-no-itachi	ネリマ ノ イタチ
nijiiro-bakuhatsumusume	nijiiro-bakuhatsumusume	nijiiro-bakuhatsu-musume	ニジイロ バクハツ ムスメ
ningyonokizu	ningyonokizu	ningyo-no-kizu	ニンギョ ノ キズ
oikarozoushi	oikarozoushi	oikaro-zoushi	オイカロ ゾウシ
oirangaaru	oirangaaru	oiran-gaaru	オイラン ガール
okamebiyori	okamebiyori	okame-biyori	オカメ ビヨリ
oogirimamire	oogirimamire	oogiri-mamire	オオギリ マミレ
orinraijingu	orinraijingu	orin-raijingu	オリン ライジング
oshikake-tsuinteeru	oshikake-tsuinteeru	oshikake-tsuin-teeru	オシカケ ツイン テール
osozakijijii	osozakijijii	osozaki-jijii	オソザキ ジジイ
otogiroukan	otogiroukan	otogi-roukan	オトギ ロウカン
otokoonna-onnaotoko	otokoonna-onnaotoko	otoko-onna-onna-otoko	オトコ オンナ オンナ オトコ
otomegokoro	otomegokoro	otome-gokoro	オトメ ゴコロ
otomerenren	otomerenren	otome-renren	オトメ レンレン
puchirinku	puchirinku	puchi-rinku	プチ リンク
rengedensetsu	rengedensetsu	renge-densetsu	レンゲ デンセツ
ribonnokishi	ribonnokishi	ribon-no-kishi	リボン ノ キシ
rikatteba	rikatteba	rika-tteba	リカ ッテバ
robottodouwa	robottodouwa	robotto-douwa	ロボット ドウワ
robottokeiji	robottokeiji	robotto-keiji	ロボット ケイジ
sabaibarugeemu-nyuumon	sabaibarugeemu-nyuumon	sabaibaru-geemu-nyuumon	サバイバル ゲーム ニュウモン
saidoriru	saidoriru	sai-doriru	サイ ドリル
sakamotogakari	sakamotogakari	sakamoto-gakari	サカモト ガカリ
seisenki-erunasaaga	seisenki-erunasaaga	seisenki-eruna-saaga	セイセンキ エルナ サーガ
sentomassuru	sentomassuru	sento-massuru	セント マッスル
setoutsumi	setoutsumi	seto-utsumi	セト ウツミ
shichifuku	shichifuku	shichi-fuku	シチ フク
shimaichigai	shimaichigai	shimai-chigai	シマイ チガイ
