slug	title	authors	edition_type	imprint	publisher	vols	std_vols	ratio	cls	v1_date	v1_cover
blue-hole	ブルーホール	星野之宣	deluxe	ミスターマガジンKCデラックス	講談社	2	2	1.00	同数(普通の再版)	1992-08-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0631/06313299.jpg?_ex=300x300
boku-to-ohiru-o	僕とお昼を	古谷実	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	2001-12	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334484.jpg?_ex=300x300
chihou-toku-san-yami-no-tatakai	地方特産!闇の戦い	巣田祐里子	deluxe	RAPPORT COMICS DELUXE	ラポート	1	1	1.00	同数(普通の再版)	1995-07-10	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/6231/2000005016231.jpg?_ex=300x300
chikashitsu-no-mushijigoku	地下室の虫地獄	日野日出志	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	1997-10-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8232/9784063198232.jpg?_ex=200x200
daa-daa-daa	だぁ!だぁ!だぁ!	川村美香	deluxe	KCデラックス	講談社	9	9	1.00	同数(普通の再版)	2015-07-03	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2357/9784063772357.jpg?_ex=200x200
dandan-aishite	DANDAN愛して	高田りえ	deluxe	Flower comics deluxe	小学館	1	1	1.00	同数(普通の再版)	2003-06	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0913/09134884.jpg?_ex=200x200
doku-o-kurawaba-sakura-made	毒を喰らわばサクラまで	大羽隆廣・要マジュロ	deluxe	講談社コミックスデラックス. 月刊少年マガジン	講談社	1	1	1.00	同数(普通の再版)	2026-02-02	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2625/9784065422625_1_24.jpg?_ex=200x200
eirieru-to-earian-no-uta	エイリエルとエアリアンの詩	中山星香	deluxe	プリンセス・コミックスデラックス	秋田書店	1	1	1.00	同数(普通の再版)	1992-04-05	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2990/9784253152990.jpg?_ex=200x200
el-alamein-no-shinden	エル・アラメインの神殿	星野之宣	deluxe	スコラDELUXEバーガー	スコラ	1	1	1.00	同数(普通の再版)	1998-02-25	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/6760/2000005396760.jpg?_ex=300x300
erika-no-oka-no-monogatari	エリカの丘の物語	原ちえこ	deluxe	KCデラックス	講談社	2	2	1.00	同数(普通の再版)	1999-04-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334050.jpg?_ex=200x200
forget-me-not	Forget-me-not	鶴田謙二	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	2003-09-19	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7517/9784063347517.jpg?_ex=200x200
fusuma-land-45	フスマランド4.5	大和和紀	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	1998-01-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8928/9784063198928.jpg?_ex=200x200
gegege-no-kitarou-kitarou-jigoku-hen	ゲゲゲの鬼太郎 鬼太郎地獄編	水木しげる	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	1997-11-21	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8249/9784063198249.jpg?_ex=300x300
gegege-no-kitarou-shin-youkai-senmonogatari	ゲゲゲの鬼太郎新妖怪千物語	ほしの竜一	deluxe	KCデラックス	講談社	3	3	1.00	同数(普通の再版)	2018-08-09	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3222/9784063933222.jpg?_ex=200x200
gegege-no-kitarou-youkai-senmonogatari	ゲゲゲの鬼太郎 妖怪千物語	ほしの竜一	deluxe	KCデラックス	講談社	6	6	1.00	同数(普通の再版)	2018-03-15	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3161/9784063933161.jpg?_ex=200x200
getsukoujiyu	月光樹	大和和紀	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	1998-02-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0631/06319905.jpg?_ex=200x200
go-san-no-heart	誤算のハート	緒川千世	deluxe	ビーボーイコミックスデラックス	リブレ	1	1	1.00	同数(普通の再版)	2020-11-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9968/9784799749968.jpg?_ex=200x200
godzilla-kyou-jidai	ゴジラ狂時代	西川伸司	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	1999-12-15	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334265.jpg?_ex=200x200
golden-boy-1993	Golden boy	江川達也	deluxe	ジャンプ・コミックスデラックス	集英社	10	10	1.00	同数(普通の再版)	1993-06-09	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7219/9784088587219.jpg?_ex=200x200
good-morning-meg	Good morningメグ	高橋千鶴	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	1998-10-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06333980.jpg?_ex=200x200
hagishiri-kyuudan	歯ぎしり球団	吉田戦車	deluxe	バーズコミックスデラックス	ソニー・マガジンズ	1	1	1.00	同数(普通の再版)	2000-10-28	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/2685/2000002732685.jpg?_ex=300x300
hajimemashite	はじめまして	深見じゅん	deluxe	ユーコミックスデラックス	集英社	1	1	1.00	同数(普通の再版)	1990-05-28	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1555/9784088621555.jpg?_ex=200x200
hanashishuu-kodemari-ni-yosete	花詩集こでまりによせて	あさぎり夕	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	1999-05-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334061.jpg?_ex=200x200
haougai	覇王街	神崎将臣	deluxe	KCデラックス	講談社	5	5	1.00	同数(普通の再版)	1999-11-09	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334250.jpg?_ex=200x200
hello-marian	ハロー!マリアン	佐伯かよの	deluxe	KCデラックス	講談社	2	2	1.00	同数(普通の再版)	1999-03-11	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334044.jpg?_ex=200x200
heterosexual	ヘテロセクシャル	岡崎京子	deluxe	Young rose comics deluxe	角川書店	1	1	1.00	同数(普通の再版)	1995-12-16	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/4414/2000002324414.jpg?_ex=300x300
hi-hi-hi	Hi Hi Hi!	東本昌平	deluxe	YKコミックス・デラックス	少年画報社	2	2	1.00	同数(普通の再版)	2006-12	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7859/78592705.jpg?_ex=200x200
himitsu-no-hanazono-1984	ひみつの花園	文月今日子	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	1999-11-12	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334249.jpg?_ex=200x200
hitomi-kara-uroko	瞳からウロコ。	阿部あかね	deluxe	ビーボーイコミックスデラックス	リブレ出版	1	1	1.00	同数(普通の再版)	2012-07	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1453/9784799711453.jpg?_ex=200x200
hoikuen-e-irasshai	保育園へいらっしゃい	街子マドカ	deluxe	ビーボーイコミックスデラックス	リブレ出版	1	1	1.00	同数(普通の再版)	2014-03	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4393/9784799714393.jpg?_ex=200x200
hone-no-oto	骨の音	岩明均	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	2003-03-20	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6886/9784063346886.jpg?_ex=200x200
horobishi-kemonotachi-no-umi	滅びし獣たちの海	星野之宣	deluxe	DELUXEバーガーSC	スコラ	1	1	1.00	同数(普通の再版)	1996-09-28	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/7275/2000000107275.jpg?_ex=300x300
ikazuchi-no-fu	雷鳴の符	あしべゆうほ	deluxe	Bonita comics deluxe	秋田書店	1	1	1.00	同数(普通の再版)	2001-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7995/9784253157995.jpg?_ex=200x200
inasaku	稲作	古谷実	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	2001-07	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334429.jpg?_ex=200x200
inuki-kanako-no-daikyoufu	犬木加奈子の大恐怖!	犬木加奈子	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	1997-07-11	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8218/9784063198218.jpg?_ex=200x200
jigoku-de-mesu-ga-hikaru	地獄でメスがひかる	高階良子	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	2015-07-03	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2418/9784063772418.jpg?_ex=200x200
jiyuusannichi-no-zombie	13日のゾンビ	谷間夢路	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	1990-11-13	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/0510/2000005610510.jpg?_ex=300x300
kage-no-izorude	影のイゾルデ	大和和紀	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	1996-05-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7020/9784063197020.jpg?_ex=200x200
kaidan-1995-2	怪談	御茶漬海苔	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	1995-12-12	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0631/06319655.jpg?_ex=200x200
kaoru-no-saigo-no-kao	かおるの最後の顔	わたなべまさこ	deluxe	ユーコミックスデラックス	集英社	1	1	1.00	同数(普通の再版)	1995-05-23	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3191/9784088623191.jpg?_ex=200x200
karate-baka-ichidai	空手バカ一代	影丸譲也・影丸譲也とJ・Kプロ	deluxe	KCデラックス	講談社	29	29	1.00	同数(普通の再版)	1995-01-23	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5576/9784063195576.jpg?_ex=300x300
kariudo-no-seiza	狩人の星座	里中満智子	deluxe	ヤングレディKCデラックス YLKC	講談社	5	5	1.00	同数(普通の再版)	1980-01-20	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/7780/2000020977780.jpg?_ex=300x300
kasapapa	カサパパ	中川いさみ	deluxe	SC deluxeバーガー	スコラ	1	1	1.00	同数(普通の再版)	1992-12	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/8087/2000008968087.jpg?_ex=300x300
kaze-no-sonata	風のソナタ	原ちえこ	deluxe	KCデラックス	講談社	2	2	1.00	同数(普通の再版)	1998-09-11	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06333975.jpg?_ex=200x200
kigeki-wa-koi-de-shinkasuru	喜劇は恋で進化する	阿仁谷ユイジ	deluxe	ビーボーイコミックスデラックス	リブレ	1	1	1.00	同数(普通の再版)	2018-01	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6531/9784799736531.jpg?_ex=200x200
kikenna-futari	危険な二人	岡崎京子	deluxe	Young rose comics deluxe	角川書店	1	1	1.00	同数(普通の再版)	1992-09	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/4325/2000002324325.jpg?_ex=300x300
kimagure-gurooingu-appu	気まぐれグローイングアップ	北川みゆき	deluxe	Flower comics deluxe	小学館	1	1	1.00	同数(普通の再版)	2002-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7080/9784091387080.gif?_ex=200x200
kirara-hiramatsu	キララ	平松伸二	deluxe	ジャンプ・コミックスデラックス	集英社	1	1	1.00	同数(普通の再版)	1987-08	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/0712/2000001560712.jpg?_ex=300x300
kiss-no-jijou	Kissの事情	海野つなみ	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	2011-07-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3169/9784063643169.jpg?_ex=200x200
koi-wa-kedamono	恋は、けだもの。	フクシマハルカ・水上航・青月まどか・茂呂おりえ・寿えびす	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	2009-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7705/9784063757705.jpg?_ex=200x200
kokuhaku	告白	かわぐちかいじ	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	2024-04-05	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3424/9784065353424_1_2.jpg?_ex=200x200
korpokkur	コロポックル	花輪和一	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	2004-07	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334894.jpg?_ex=200x200
kusekke-lullaby	くせっ毛ララバイ	原ちえこ	deluxe	KCデラックス	講談社	3	3	1.00	同数(普通の再版)	1999-07-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334093.jpg?_ex=200x200
kyoufu-no-fukkatsu	恐怖の復活	和田慎二	deluxe	プリンセスコミックスデラックス	秋田書店	1	1	1.00	同数(普通の再版)	1992-10-25	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3010/9784253153010.jpg?_ex=200x200
lets-smile-meg	LET'S SMILEメグ	高橋千鶴	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	1998-10-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06333981.jpg?_ex=200x200
love-master-x	ラブ・マスターX	安野モヨコ	deluxe	KCデラックス	講談社	3	3	1.00	同数(普通の再版)	2007-03-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2710/9784063722710.jpg?_ex=200x200
love-pack	ラブパック	大和和紀	deluxe	KCデラックス	講談社	3	3	1.00	同数(普通の再版)	1997-06-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0631/06319816.jpg?_ex=300x300
lucky-woman	ラッキー・ウーマン	もりたじゅん	deluxe	ユーコミックスデラックス	集英社	1	1	1.00	同数(普通の再版)	1991-03-27	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1838/9784088621838.jpg?_ex=200x200
luno	LUNO	冬目景	deluxe	ガンガンコミックスデラックス	エニックス	1	1	1.00	同数(普通の再版)	2003-03-22	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/0824/2000006730824.jpg?_ex=300x300
marie-no-kanaderu-ongaku	Marieの奏でる音楽	古屋兎丸	deluxe	バーズコミックスデラックス	ソニー・マガジンズ	1	1	1.00	同数(普通の再版)	2001-01-29	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/5861/2000004495861.jpg?_ex=300x300
melodrama	メロドラマ	村上もとか	deluxe	ジャンプ・コミックスデラックス	集英社	2	2	1.00	同数(普通の再版)		https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0885/08859577.jpg?_ex=300x300
mermaid-report	マーメイド・レポート	佐伯かよの	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	1999-05-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334060.jpg?_ex=200x200
mint-de-kiss-mii	ミントでKiss me	渡瀬悠宇	deluxe	フラワーコミックスデラックス	小学館	1	1	1.00	同数(普通の再版)	2001-03-20	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8855/9784091318855.gif?_ex=200x200
miracle-girls	ミラクル☆ガールズ	秋元奈美	deluxe	KCデラックス	講談社	9	9	1.00	同数(普通の再版)	2015-07-03	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2388/9784063772388.jpg?_ex=200x200
miracle-niki	ミラクルニキ	桜乃みか・壱コトコ	deluxe	プリンセスコミックスデラックス	秋田書店	3	3	1.00	同数(普通の再版)	2018-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3980/9784253153980.jpg?_ex=200x200
miserarete-pari	魅せられてパリ	原ちえこ	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	1999-01-12	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334018.jpg?_ex=200x200
mister-convenience	ミスターコンビニエンス	阿仁谷ユイジ	deluxe	ビーボーイコミックスデラックス	リブレ	1	1	1.00	同数(普通の再版)	2016-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0652/9784799730652.jpg?_ex=200x200
mittsu-no-buranko-no-monogatari	三つのブランコの物語	原ちえこ	deluxe	KCデラックス	講談社	1	1	1.00	同数(普通の再版)	1998-12-09	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334011.jpg?_ex=200x200
mobile-suit-gundam-msv-senki-jonii-raiden	機動戦士ガンダムMSV戦記ジョニー・ライデン	長谷川裕一	deluxe	講談社コミックスボンボンデラックス	講談社	1	1	1.00	同数(普通の再版)	2007-11-16	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3892/9784063723892.jpg?_ex=200x200
mobile-suit-gundam-seed-destiny	機動戦士ガンダムSEED DESTINY	岩瀬昌嗣・高山瑞穂・やまだたかひろ	deluxe	講談社コミックスボンボンデラックス	講談社	4	4	1.00	同数(普通の再版)	2005-01-17	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9641/9784063349641.jpg?_ex=200x200
mon-cheri-coco	モンシェリCoCo	大和和紀	deluxe	KCデラックス	講談社	3	3	1.00	同数(普通の再版)	1997-04-11	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7945/9784063197945.jpg?_ex=200x200
moon-lost	ムーン・ロスト	星野之宣	deluxe	アフタヌーンKCデラックス	講談社	2	2	1.00	同数(普通の再版)	2004-07	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334892.jpg?_ex=200x200
nanairo-magic	なな色マジック	あさぎり夕	deluxe	KCデラックス	講談社	6	6	1.00	同数(普通の再版)	2015-09-05	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2647/9784063772647.jpg?_ex=200x200
