slug	edition	vol	isbn	date	cache_title	note
geki-gokutora-ikka	standard	6	9784834213263	1994-06	激！！極虎一家（第6巻）	majority帯9784088に対し後発(4巻より後)
geki-gokutora-ikka	standard	7	9784834213270	1994-07	激！！極虎一家（第7巻）	majority帯9784088に対し後発(4巻より後)
gekitou	standard	1	9784944214136	2001-02	激濤（上）	majority帯9784091に対し後発(2巻より後)
gokudou-steak	standard	3	9784777119448	2017-08		majority帯9784845に対し後発(18巻より後)
gokuraku-hunter	standard	2	9784796241601	1992-05	極楽ハンター（2）	majority帯9784575に対し後発(1巻より後)
haikara-san-ga-tooru	standard	8	9784063411867	2002-09	はいからさんが通る（8）	majority帯9784061に対し後発(1巻より後)
hanzounomon	standard	1	9784883158072	2003-03		majority帯9784048に対し後発(12巻より後)
hanzounomon	standard	2	9784883158089	2003-03		majority帯9784048に対し後発(12巻より後)
hi-izuru-tokoro-no-tenshi	standard	2	9784049230024	1986-03	日出処の天子　2　 山岸凉子全集　2	majority帯9784592に対し後発(6巻より後)
hi-izuru-tokoro-no-tenshi	standard	4	9784049230048	1986-03	日出処の天子　4　 山岸凉子全集　4	majority帯9784592に対し後発(5巻より後)
hi-izuru-tokoro-no-tenshi	standard	5	9784049230055	1986-04	日出処の天子　5　 山岸凉子全集　5	majority帯9784592に対し後発(5巻より後)
hi-izuru-tokoro-no-tenshi	standard	6	9784049230062	1986-04	日出処の天子　6　 山岸凉子全集　6	majority帯9784592に対し後発(5巻より後)
horobi	standard	3	9784821186389	2008-08	滅日（下）	majority帯9784198に対し後発(2巻より後)
isekai-meikyuu-no-saishinbu-o-mezasou	standard	5	9784824005106	2023-05	異世界迷宮の最深部を目指そう 5	majority帯9784865に対し後発(1巻より後)
isekai-meikyuu-no-saishinbu-o-mezasou	standard	6	9784824007766	2024-03	異世界迷宮の最深部を目指そう 6	majority帯9784865に対し後発(1巻より後)
itihasa	standard	4	9784088601908	1989-11	イティハーサ（4）	majority帯9784087に対し後発(1巻より後)
janrou-densetsu-aoki-ookamitachi	standard	6	9784812450512	1996-06	雀狼伝説（6）	majority帯9784575に対し後発(1巻より後)
jikken-doll-dummy-oscar	standard	1	9784074302499	2018-03	叶精作　実験人形ダミー・オスカー　風のヘルガ編	majority帯9784883に対し後発(2巻より後)
jikken-doll-dummy-oscar	standard	2	9784073414162	2019-12	COMIC魂　別冊　叶精作　実験人形ダミー・オスカー　女たちの標的2	majority帯9784883に対し後発(2巻より後)
karate-sangokushi	standard	2	9784803340228	1992-05	空手三国志（第2巻）	majority帯9784197に対し後発(2巻より後)
katakoi-saburou	standard	1	9784862253552	2008-10		majority帯9784883に対し後発(5巻より後)
kekkon-shiyou	standard	3	9784776722229	2007-06	結婚しよう（3）	majority帯9784785に対し後発(1巻より後)
kemeko-dx	standard	1	9784840235020	2008-09	ケメコデラックス！（1）	majority帯9784048に対し後発(1巻より後)
kemeko-dx	standard	2	9784840237499	2008-09	ケメコデラックス！（2）	majority帯9784048に対し後発(1巻より後)
kemonomichi-kagemaru-1980	standard	1	9784408165936	2001-06	獣道	majority帯9784821に対し後発(9巻より後)
kick-off	standard	1	9784834212518	1991-03	キックオフ（1）	majority帯9784088に対し後発(9巻より後)
kick-off	standard	2	9784834212525	1991-04	キックオフ（2）	majority帯9784088に対し後発(9巻より後)
kick-off	standard	3	9784834212532	1991-05	キックオフ（3）	majority帯9784088に対し後発(9巻より後)
kimama-ni-idol	standard	1	9784834231014	1995-11	気ままにアイドル（vol．1）	majority帯9784882に対し後発(4巻より後)
koma-ga-mau	standard	1	9784916085191	1999-06		majority帯9784821に対し後発(4巻より後)
kouun-ryuusui	standard	1	9784081138654	2020-06	こううんりゅうすい（1）	majority帯9784088に対し後発(5巻より後)
kouun-ryuusui	standard	2	9784081138661	2020-06	こううんりゅうすい（2）	majority帯9784088に対し後発(5巻より後)
kouun-ryuusui	standard	3	9784081138678	2020-07	こううんりゅうすい（3）	majority帯9784088に対し後発(5巻より後)
kouun-ryuusui-jofuku-nobunaga	standard	1	9784081138654	2020-06	こううんりゅうすい（1）	majority帯9784088に対し後発(5巻より後)
kouun-ryuusui-jofuku-nobunaga	standard	2	9784081138661	2020-06	こううんりゅうすい（2）	majority帯9784088に対し後発(5巻より後)
kouun-ryuusui-jofuku-nobunaga	standard	3	9784081138678	2020-07	こううんりゅうすい（3）	majority帯9784088に対し後発(5巻より後)
kouun-ryuusui-nobunaga	standard	1	9784081138654	2020-06	こううんりゅうすい（1）	majority帯9784088に対し後発(5巻より後)
kouun-ryuusui-nobunaga	standard	2	9784081138661	2020-06	こううんりゅうすい（2）	majority帯9784088に対し後発(5巻より後)
kouun-ryuusui-nobunaga	standard	3	9784081138678	2020-07	こううんりゅうすい（3）	majority帯9784088に対し後発(5巻より後)
kuchiyaku-mondo-kawaitesourou	standard	1	9784862257796	2011-09		majority帯9784883に対し後発(2巻より後)
kyattsuai	standard	1	9784087826210	1994-01	愛蔵版キャッツアイ（1）	majority帯9784088に対し後発(15巻より後)
kyattsuai	standard	2	9784087826227	1994-02	愛蔵版キャッツアイ（2）	majority帯9784088に対し後発(15巻より後)
kyattsuai	standard	3	9784087826234	1994-03	愛蔵版キャッツアイ（3）	majority帯9784088に対し後発(15巻より後)
kyomu-suit-miroku	standard	2	9784073056799	1997-02	虚無戦史MIROKU（2）	majority帯9784198に対し後発(2巻より後)
kyomu-suit-miroku	standard	3	9784073056850	1997-02	虚無戦史MIROKU（3）	majority帯9784198に対し後発(2巻より後)
mad-buru-34	standard	1	9784862256430	2010-10		majority帯9784088に対し後発(13巻より後)
mad-buru-34	standard	7	9784883158706	2004-07		majority帯9784088に対し後発(9巻より後)
maicching-machiko-sensei	standard	2	9784883770687	1998-12	まいっちんぐマチコ先生（v．2）	majority帯9784051に対し後発(4巻より後)
maicching-machiko-sensei	standard	3	9784883770717	1999-02	まいっちんぐマチコ先生（v．3）	majority帯9784051に対し後発(4巻より後)
majima-kun-suttobasu	standard	5	9784776793076	2006-12	真島クンすっとばす！！（第5巻）	majority帯9784537に対し後発(5巻より後)
mangakenkanryuu	standard	1	9784863912380	2011-04	マンガ嫌韓流（1）文庫版	majority帯9784883に対し後発(3巻より後)
mirai-bouken-channel-5	standard	3	9784835444277	2015-03	未来冒険チャンネル5（3）	majority帯9784197に対し後発(2巻より後)
misu-misou	standard	1	9784575842074	2013-03	ミスミソウ完全版（上）	majority帯9784821に対し後発(2巻より後)
mobile-suit-z-gundam	standard	2	9784073012047	1994-05	機動戦士Zガンダム（2）	majority帯9784062に対し後発(1巻より後)
momogumi-plus-senki	standard	10	9784049250770	2014-12	桃組プラス戦記　第10巻	majority帯9784041に対し後発(2巻より後)
momogumi-plus-senki	standard	9	9784049250756	2013-12	桃組プラス戦記　第9巻	majority帯9784041に対し後発(1巻より後)
mooretsu-atarou	bunkobon	1	9784091935731	2005-05	赤塚不二夫名作選（3）	majority帯9784884に対し後発(8巻より後)
nekketsu-daibouken-tairiku	standard	1	9784931396944	2000-12	熱血！大冒険大陸（1）	majority帯9784894に対し後発(4巻より後)
neko-ja-naimon	standard	1	9784834220216	1991-10	ネコじゃないモン！（1）	majority帯9784088に対し後発(12巻より後)
nigakute-amai	standard	1	9784864686877	2020-01	にがくてあまい（1）	majority帯9784800に対し後発(9巻より後)
nigakute-amai	standard	2	9784864686884	2020-01	にがくてあまい（2）	majority帯9784800に対し後発(9巻より後)
nigakute-amai	standard	3	9784864686938	2020-01	にがくてあまい（3）	majority帯9784800に対し後発(9巻より後)
nigakute-amai	standard	4	9784864686945	2020-01	にがくてあまい（4）	majority帯9784800に対し後発(9巻より後)
nippon-no-rekishi-2007-2	standard	1	9784081951017	1993-03		majority帯9784082に対し後発(3巻より後)
okinosawa-graffiti	standard	1	9784063173789	1990-09	沖ノ澤グラフィティ（1）	majority帯9784061に対し後発(1巻より後)
ooi-yamabiko	standard	5	9784063300222	1996-08	オーイ！！やまびこ（第5巻）	majority帯9784620に対し後発(2巻より後)
orfina	standard	8	9784047124042	2005-06	新装版オルフィーナ8	majority帯9784049に対し後発(4巻より後)
osomatsu-kun	bunkobon	1	9784091935717	2005-03	赤塚不二夫名作選（1）	majority帯9784812に対し後発(7巻より後)
pachislo-diohead	standard	1	9784861910043	2005-04	パチスロダイオヘッド	majority帯9784893に対し後発(2巻より後)
puroresu-super-star-rendetsu	standard	1	9784944154821	2002-07	プロレススーパースター列伝　1	majority帯9784091に対し後発(12巻より後)
puroresu-super-star-rendetsu	standard	2	9784944154838	2002-08	プロレススーパースター列伝　2	majority帯9784091に対し後発(12巻より後)
puroresu-super-star-rendetsu	standard	4	9784944154852	2002-10	プロレススーパースター列伝　4	majority帯9784091に対し後発(11巻より後)
puroresu-super-star-rendetsu	standard	5	9784944154869	2002-11	プロレススーパースター列伝　5	majority帯9784091に対し後発(11巻より後)
ri-zero-kara-hajimeru-isekai-seikatsu	standard	3	9784046800343	2020-12	Re:ゼロから始める異世界生活 第四章 聖域と強欲の魔女 3	majority帯9784040に対し後発(5巻より後)
ri-zero-kara-hajimeru-isekai-seikatsu	standard	4	9784046804716	2021-06	Re:ゼロから始める異世界生活 第四章 聖域と強欲の魔女 4	majority帯9784040に対し後発(5巻より後)
ri-zero-kara-hajimeru-isekai-seikatsu	standard	5	9784046809483	2021-12	Re:ゼロから始める異世界生活 第四章 聖域と強欲の魔女 5	majority帯9784040に対し後発(5巻より後)
ri-zero-kara-hajimeru-isekai-seikatsu	standard	6	9784046814340	2022-06	Re:ゼロから始める異世界生活 第四章 聖域と強欲の魔女 6	majority帯9784040に対し後発(5巻より後)
rinjin-13gou	standard	1	9784344805460	2005-03	隣人13号	majority帯9784796に対し後発(2巻より後)
ruriiro-princess	standard	2	9784834271065	1999-08	るり色プリンセス（2）	majority帯9784408に対し後発(2巻より後)
seiden-rg-veeda	standard	1	9784041200018	2011-12	聖伝　-RG　VEDA-　［愛蔵版］　（1）	majority帯9784403に対し後発(5巻より後)
seiden-rg-veeda	standard	2	9784041200810	2012-02	聖伝　-RG　VEDA-　［愛蔵版］　（2）	majority帯9784403に対し後発(5巻より後)
seiden-rg-veeda	standard	5	9784041204351	2012-11	聖伝　-RG　VEDA-　［愛蔵版］　（5）	majority帯9784403に対し後発(3巻より後)
sengoku-jieitai	standard	2	9784845864010	2022-04	戦国自衛隊　迷彩服を脱げ	majority帯9784418に対し後発(1巻より後)
shin-piihyoro-ikka	standard	1	9784834273281	2005-10	新・ぴーひょろ一家（1）	majority帯9784872に対し後発(4巻より後)
shippuu-ultra-ninpou-chou	standard	1	9784835448060	2012-01	疾風ウルトラ忍法帖（1）	majority帯9784063に対し後発(4巻より後)
shoichi	standard	1	9784812450246	1996-03	ショーイチ（真説）（1）	majority帯9784884に対し後発(4巻より後)
shoichi	standard	2	9784812450970	1996-12	ショーイチ（真説）（2）	majority帯9784884に対し後発(4巻より後)
shounen-keniya	standard	1	9784775910528	2005-11	少年ケニヤ（上）	majority帯9784041に対し後発(7巻より後)
shounen-keniya	standard	3	9784775910535	2005-11	少年ケニヤ（下）	majority帯9784041に対し後発(7巻より後)
suikoden-sentaro-1980	standard	1	9784062040501	1988-08	水滸伝	majority帯9784061に対し後発(1巻より後)
suikoden-sentaro-1980	standard	2	9784418041602	2004-11	水滸伝（2）	majority帯9784061に対し後発(1巻より後)
sukeban-deka	standard	10	9784253275804	2022-08	新装版　スケバン刑事 10	majority帯9784592に対し後発(2巻より後)
sukeban-deka	standard	11	9784253275811	2022-09	新装版　スケバン刑事 11	majority帯9784592に対し後発(2巻より後)
sukeban-deka	standard	12	9784253275828	2022-09	新装版　スケバン刑事 12	majority帯9784592に対し後発(2巻より後)
sukeban-deka	standard	7	9784253275774	2022-07	新装版　スケバン刑事 7	majority帯9784592に対し後発(2巻より後)
sukeban-deka	standard	8	9784253275781	2022-07	新装版　スケバン刑事 8	majority帯9784592に対し後発(2巻より後)
sukeban-deka	standard	9	9784253275798	2022-08	新装版　スケバン刑事 9	majority帯9784592に対し後発(2巻より後)
super-sub	standard	1	9784834230611	1993-11	Superサブ（前編）	majority帯9784785に対し後発(2巻より後)
tanpopo-san-no-uta	standard	1	9784575825794	2001-07	たんぽぽさんの詩（1）	majority帯9784396に対し後発(2巻より後)
ten	standard	10	9784801955158	2016-05	天ー天和通りの快男児（10）新装版	majority帯9784812に対し後発(8巻より後)
ten	standard	2	9784801953369	2015-09	天ー天和通りの快男児（2）新装版	majority帯9784812に対し後発(8巻より後)
ten	standard	3	9784801953598	2015-10	天 新装版（3）	majority帯9784812に対し後発(8巻より後)
ten	standard	4	9784801953772	2015-11	天ー天和通りの快男児（4）新装版	majority帯9784812に対し後発(8巻より後)
ten	standard	5	9784801954106	2015-12	天ー天和通りの快男児（5）新装版	majority帯9784812に対し後発(8巻より後)
ten	standard	6	9784801954328	2016-01	天ー天和通りの快男児（6）新装版	majority帯9784812に対し後発(8巻より後)
ten	standard	7	9784801954458	2016-02	天ー天和通りの快男児（7）新装版	majority帯9784812に対し後発(8巻より後)
ten	standard	8	9784801954656	2016-03	天 8 新装版	majority帯9784812に対し後発(8巻より後)
ten	standard	9	9784801954861	2016-04	天ー天和通りの快男児（9）新装版	majority帯9784812に対し後発(8巻より後)
ten-no-hate-made	bunkobon	2	9784122034310	1999-05	天の涯まで（2）	majority帯9784022に対し後発(1巻より後)
tengen-toppa-gurenragan	standard	1	9784047152250	2009-03	天元突破グレンラガン（紅蓮学園篇）	majority帯9784048に対し後発(1巻より後)
tensai-bakabon	bunkobon	1	9784091935724	2005-04	赤塚不二夫名作選（2）	majority帯9784884に対し後発(13巻より後)
the-skull-man	standard	2	9784063493078	2007-10	スカルマン（2）	majority帯9784889に対し後発(4巻より後)
the-skull-man	standard	3	9784778038755	2023-02	愛蔵版 スカルマン（3）	majority帯9784889に対し後発(4巻より後)
tokyo-monogatari	standard	6	9784861762291	2005-10	東京物語　6	majority帯9784088に対し後発(2巻より後)
toukyoumonogatari	standard	1	9784886534286	1997-02	東京物語（第1巻）	majority帯9784197に対し後発(5巻より後)
toukyoumonogatari	standard	2	9784886534293	1997-02	東京物語（第2巻）	majority帯9784197に対し後発(5巻より後)
tsurikichi-sanpei	standard	8	9784063133936	1985-11	釣りキチ三平（第8巻）	majority帯9784061に対し後発(15巻より後)
wagaya-no-oinari-sama	standard	1	9784840241120	2009-07	我が家のお稲荷さま。（1）	majority帯9784048に対し後発(1巻より後)
yamibana	standard	1	9784814917778	2018-05	続・悪の華　闇華　腹の中編	majority帯9784408に対し後発(3巻より後)
zakoken-maruchou	standard	1	9784862255082	2009-08		majority帯9784091に対し後発(2巻より後)
