slug	頁題	頁最大巻	巻	isbn	発売日	楽天題	楽天副題	楽天著者	出版社	レーベル	見送り理由
akuma-kun-sennen-oukoku	悪魔くん千年王国	2	3	9784063114454	1989-04-17	悪魔くん千年王国（3）		水木しげる	講談社	少年マガジンKC	G2:レーベル不一致(少年マガジンKC≠KCスペシャル)
angura	あんぐら	1	2	9784758080927	2010-07	あんぐら（2）		ちざきゃ	一迅社	IDコミックス　4コマKINGSぱれっとコミックス	G2:レーベル不一致(IDコミックス　4コマKINGSぱれっとコミックス≠4コマkingsぱれっとcomics)
ano-hito-wa-kinou-to-onaji-sora-o-miageteru	あの人は昨日と同じ空を見上げてる	11	12	9784420154789	2024-09-25	あの人は昨日と同じ空を見上げてる 12		宮川 匡代	集英社クリエイティブ	オフィスユーコミックス	G2:レーベル不一致(オフィスユーコミックス≠office YOU COMICS)
anyan-ga-pon	あにゃんがポン	3	4	9784832260740	1995-08-25	あにゃんがポン（4）		かわばたひろみ	芳文社	マンガタイムコミックス	G2:レーベル不一致(マンガタイムコミックス≠Manga time comics)
aozora-ni-tooku-sakebitari	青空にとおく酒浸り	6	7	9784199503023	2012-10	青空にとおく酒浸り（7）		安永航一郎	徳間書店	リュウコミックス	G2:レーベル不一致(リュウコミックス≠Ryu comics)
arakure-naito-koukou-bakusouhen	荒くれKNIGHT高校爆走編	9	10	9784785927080	2006-11	荒くれKNIGHT　高校爆走編（10）		吉田聡	少年画報社	ヤングキングコミックス	G3:日付逆行(2006-11<)
arakure-naito-koukou-bakusouhen	荒くれKNIGHT高校爆走編	9	11	9784785927325	2006-12	荒くれKNIGHT　高校爆走編（11）		吉田聡	少年画報社	ヤングキングコミックス	G3:日付逆行(2006-12<)
ashita-mo-genki	あしたもゲンキ!	4	5	9784812455425	2001-08	あしたもゲンキ！（5）		丹沢恵	竹書房	バンブーコミックス	G2:レーベル不一致(バンブーコミックス≠Bamboo comics)
batman-asamiya	Batman	2	2	9784063490701	2001-10	BATMAN　2		麻宮　騎亜	講談社	講談社コミックスデラックス	G2:レーベル不一致(講談社コミックスデラックス≠マガジンZ KCDX) / G4:同番号既在
benimaru-bo-tan	紅丸ぼたん	1	2	9784821181148	2004-10-28	紅丸ぼたん（2）		たかの宗美	ぶんか社	ぶんか社コミックス	G3:日付逆行(2004-10-28<2007-04)
boku-wa-konomama-kaeranai	ぼくはこのまま帰らない	5	6	9784391916126	1996-09-06	ぼくはこのまま帰らない（6）		内田一奈	主婦と生活社	MISSYCOMICS	G2:レーベル不一致(MISSYCOMICS≠ミッシィコミックスDX.)
catch-me	キャッチミー	1	2	9784832261648	2000-03-03	キャッチ・ミー（2）		こだま学	芳文社	まんがタイムコミックス	G2:レーベル不一致(まんがタイムコミックス≠Manga time comics)
charisma-yashioji	カリスマ	2	3	9784575831559	2005-10	カリスマ（3）		西崎泰正/新堂冬樹	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
charisma-yashioji	カリスマ	2	4	9784575832013	2006-02	カリスマ（4）		西崎泰正/新堂冬樹	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
chibidebitsu	ちびでびっ!	2	3	9784832277908	2009-03-26	ちびでびっ！（3）		寺本薫	芳文社	Ｍａｎｇａ　ｔｉｍｅ　ＫＲ　ｃｏｍｉｃｓ　Ｋｉｒａｒａ　ｍｅ	G2:レーベル不一致(Ｍａｎｇａ　ｔｉｍｅ　ＫＲ　ｃｏｍｉｃｓ　Ｋｉｒａｒａ　ｍｅ≠Kirara menu)
chikyu-number-v-7	地球ナンバーV-7	1	2	9784061013698	1988-03-05	地球ナンバーV7（2）		横山光輝	講談社	KCスペシャル	G2:レーベル不一致(KCスペシャル≠Star comics) / G3:日付逆行(1988-03-05<2002-12) / G6:override固定
chinjuu-no-oisha-san	珍獣のお医者さん	4	5	9784045001178	2026-07-15	珍獣のお医者さん　5巻		二宮香乃	KADOKAWA	ハルタコミックス	G2:レーベル不一致(ハルタコミックス≠HARTA COMIX)
cho-bad	CHO-BAD!	1	2	9784821195619	1997-04-21	CHO-BAD！（2）		田中雅人	ぶんか社	ぶんか社コミックス	G2:レーベル不一致(ぶんか社コミックス≠Bunkasha comics young teioh series)
choujou-mobile-saireen	超常機動サイレーン	2	3	9784840236744	2006-11-27	超常機動サイレーン（3）		井原　裕士	KADOKAWA	電撃コミックス	G2:レーベル不一致(電撃コミックス≠DENGEKI COMICS)
choujou-mobile-saireen	超常機動サイレーン	2	4	9784840240567	2007-09-27	超常機動サイレーン（4）		井原　裕士	KADOKAWA	電撃コミックス	G2:レーベル不一致(電撃コミックス≠DENGEKI COMICS)
comic-master-j	コミックマスターJ	6	7	9784785920913	2001-05-25	コミックマスターJ（7）		余湖裕輝/田畑由秋	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YOUNGKING COMICS)
comic-master-j	コミックマスターJ	6	8	9784785921606	2002-01	コミックマスターJ（8）		余湖裕輝/田畑由秋	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YOUNGKING COMICS)
comic-master-j	コミックマスターJ	6	9	9784785922269	2002-08	コミックマスターJ（9）		余湖裕輝/田畑由秋	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YOUNGKING COMICS)
comic-master-j	コミックマスターJ	6	10	9784785923266	2003-06	コミックマスターJ（10）		余湖裕輝/田畑由秋	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YOUNGKING COMICS)
comic-master-j	コミックマスターJ	6	11	9784785924133	2004-04	コミックマスターJ（11）		余湖裕輝/田畑由秋	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YOUNGKING COMICS)
comic-master-j	コミックマスターJ	6	12	9784785925314	2005-04	コミックマスターJ（12）		余湖裕輝/田畑由秋	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YOUNGKING COMICS)
comic-master-j	コミックマスターJ	6	13	9784785925888	2005-11	コミックマスターJ（13）		余湖裕輝/田畑由秋	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YOUNGKING COMICS)
cross-2002	Cross	2	3	9784785923099	2003-05	Cross（3）		群りゅうせい	少年画報社	ヤングコミックコミックス	G2:レーベル不一致(ヤングコミックコミックス≠Bamboo comics)
ctrl-t	Ctrl+T	1	2	9784091792808	2018-12-27	Ctrl＋T2		浅野 いにお	小学館	書籍扱いコミックス単行本	G2:レーベル不一致(書籍扱いコミックス単行本≠ヤングサンデーコミックススペシャル)
dai-san-no-gokudou	第三の極道	10	11	9784812452103	1998-06	第三の極道（11）	日本極道史・平成篇	村上和彦	竹書房	バンブーコミックス	G6:canonical
dainana-joshikai-houkou	第七女子会彷徨	8	9	9784199504785	2015-11-13	第七女子会彷徨　9		つばな	徳間書店	リュウコミックス	G2:レーベル不一致(リュウコミックス≠Ryu comics)
dainana-joshikai-houkou	第七女子会彷徨	8	10	9784199505188	2016-07-13	第七女子会彷徨（10）		つばな	徳間書店	リュウコミックス	G2:レーベル不一致(リュウコミックス≠Ryu comics)
dakkan	奪還	1	2	9784575830378	2004-12	奪還（2）		本そういち/蓮池透	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS) / G3:日付逆行(2004-12<2006-09)
datsu-tan-typhoon	韃靼タイフーン	0	4	9784840104456	2002-05-23	韃靼タイフーン4		安彦　良和	KADOKAWA	MFコミックス フラッパーシリーズ	G1:standard版なし
deathscythe-cutie	デスサイズキューティー	1	2	9784098628797		デスサイズキューティー（2）		玉置勉強	小学館	ビッグ　コミックス	G3:日付逆行(<2024-03)
dedenga-densuke	ででんがデンスケ	2	3	9784575823172	1998-02-12	ででんがデンスケ（3）		市川智茂	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
dedenga-densuke	ででんがデンスケ	2	4	9784575823257	1998-03-12	ででんがデンスケ（4）		市川智茂	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
dekakeoya	出かけ親	4	5	9784098634613	2025-04-30	出かけ親（5）		吉田 戦車	小学館	ビッグ コミックス	G2:レーベル不一致(ビッグ コミックス≠BIG COMICS SPECIAL)
deragui	でらぐい	2	3	9784758081320	2011-07	でらぐい（3）		望月和臣	一迅社	IDコミックス　4コマKINGSぱれっとコミックス	G2:レーベル不一致(IDコミックス　4コマKINGSぱれっとコミックス≠4コマkingsぱれっとcomics)
dokuganryuu-date-masamune	独眼竜伊達政宗	1	2	9784845838929	2011-01	独眼竜伊達政宗（2）		岡村賢二	リイド社	SPコミックス　戦国武将列伝シリーズ	G2:レーベル不一致(SPコミックス　戦国武将列伝シリーズ≠SP pocket wide) / G3:日付逆行(2011-01<2012-03)
domestic	ドメスティック	2	3	9784832230477	2006-03	ドメスティック（3）		坂辺周一	芳文社	芳文社コミックス	G3:日付逆行(2006-03<)
domestic	ドメスティック	2	4	9784832230576	2006-06	ドメスティック（4）		坂辺周一	芳文社	芳文社コミックス	G3:日付逆行(2006-06<)
domestic	ドメスティック	2	5	9784832230651	2006-09	ドメスティック（5）		坂辺周一	芳文社	芳文社コミックス	G3:日付逆行(2006-09<)
donto-gatarou	どんと我太郎	4	5	9784575816006	1989-12-08	どんと我太郎（5）		中尾雄吉	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
donto-gatarou	どんと我太郎	4	6	9784575816068	1990-01-09	どんと我太郎（6）		中尾雄吉	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
donto-gatarou	どんと我太郎	4	7	9784575816310	1990-04-13	どんと我太郎（7）		中尾雄吉	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
donto-gatarou	どんと我太郎	4	8	9784575816389	1990-05-17	どんと我太郎（8）		中尾雄吉	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
donto-gatarou	どんと我太郎	4	9	9784575816457	1990-06-14	どんと我太郎（9）		中尾雄吉	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS)
dosanko-gal-wa-namara-menkoi	道産子ギャルはなまらめんこい	13	14	9784088842639	2024-11-01	道産子ギャルはなまらめんこい 14		伊科田 海	集英社	ジャンプコミックス	G2:レーベル不一致(ジャンプコミックス≠JUMP COMICS+)
double-happiness	ダブルハピネス	1	2	9784776736837	2014-02-01	ダブルハピネス（2）		船津早稲	宙出版	ミッシィコミックスNextcomicsF	G2:レーベル不一致(ミッシィコミックスNextcomicsF≠Missy comics)
doutei-yuusha-no-harem-maou-toubatsuki	童貞勇者のハーレム魔王討伐記	3	4	9784801990418	2026-08-06	童貞勇者のハーレム魔王討伐記（4）		三ッ葉稔	竹書房	バンブーコミックス 異世界BC	G2:レーベル不一致(バンブーコミックス 異世界BC≠Bamboo comics)
eden-sugisaki	EDEN	2	3	9784883320578	1995-10-25	Eden（3）		千之ナイフ	シュベール出版	シュベールコミックス	G6:canonical
eden-sugisaki	EDEN	2	4	9784883320912	1996-10-24	Eden（4）		千之ナイフ	シュベール出版	シュベールコミックス	G6:canonical
eden-sugisaki	EDEN	2	5	9784883320998	1997-01-20	Eden（5）		千之ナイフ	シュベール出版	シュベールコミックス	G6:canonical
edomae-no-shun	江戸前の旬	132	133	9784537174168	2026-07-29	江戸前の旬 （133）		原案　九十九 森/さとう 輝	日本文芸社	ニチブンコミックス	G2:レーベル不一致(ニチブンコミックス≠Nichibun comics)
eei-kendo	エーイ!剣道	2	3	9784091204530	1980-10-20	エーイ！剣道（3）		村上もとか	小学館	少年サンデーコミックス	G3:日付逆行(1980-10-20<1992-07) / G6:override固定
ekurea-kibun	エクレア気分	1	2	9784334800932	1990-01-11	エクレア気分（2）		赤星たみこ	光文社	KOBUNSHA　COMIC	G2:レーベル不一致(KOBUNSHA　COMIC≠光文社コミックス) / G3:日付逆行(1990-01-11<1994-11) / G6:override固定
ekurea-kibun	エクレア気分	1	3	9784334801250	1991-04-15	エクレア気分（3）		赤星たみこ	光文社	KOBUNSHA　COMIC	G2:レーベル不一致(KOBUNSHA　COMIC≠光文社コミックス) / G3:日付逆行(1991-04-15<1994-11) / G6:override固定
ekurea-kibun	エクレア気分	1	4	9784334801489	1992-01-09	エクレア気分（4）		赤星たみこ	光文社	KOBUNSHA　COMIC	G2:レーベル不一致(KOBUNSHA　COMIC≠光文社コミックス) / G3:日付逆行(1992-01-09<1994-11) / G6:override固定
esper-mami	エスパー魔美	9	10	9784091500403		エスパー魔美（10）		藤子不二雄Ｆ	小学館	少年ビック・コミックス	G2:レーベル不一致(少年ビック・コミックス≠てんとう虫コミックス) / G3:日付逆行(<1983-06) / G6:canonical
etchi-na-moretemasu	エッチな××漏れてます…っ!	2	3	9784758028073	2024-11-29	エッチな××漏れてます…っ！（3）		青mori	一迅社	LOVEBITESコミックス	G2:レーベル不一致(LOVEBITESコミックス≠LB COMICS)
etchi-ni-kisu-shite	Hにキスして!	1	2	9784785920517	2000-12-25	Hにキスして！（2）		かわもりみさき	少年画報社	ヤングコミックコミックス	G3:日付逆行(2000-12-25<2002-06)
etchi-ni-kisu-shite	Hにキスして!	1	3	9784785921132	2001-08	Hにキスして！（3）		かわもりみさき	少年画報社	ヤングコミックコミックス	G3:日付逆行(2001-08<2002-06)
everyday-host	えぶりでいホスト	4	5	9784041173671	2026-07-24	えぶりでいホスト 5		ごとうにも	KADOKAWA	あすかコミックスDX	G2:レーベル不一致(あすかコミックスDX≠ASUKA COMICS DX)
exit	EXIT	11	12	9784344821828	2011-04	EXIT（12）		藤田貴美	幻冬舎コミックス	バーズコミックス・ガールズコレクション	G2:レーベル不一致(バーズコミックス・ガールズコレクション≠花とゆめCOMICS)
fanii-land-no-oni-babaa	ファニーランドの鬼ババア	1	2	9784821159512	2024-11-25	ファニーランドの鬼ババア（2）		むんこ	ぶんか社	ぶんか社コミックス	G2:レーベル不一致(ぶんか社コミックス≠Bunkasha comics)
fluidrat	フルイドラット	3	1	9784199501067	2008-12	フルイドラット（1）		坂木原レム	徳間書店	リュウコミックス	G2:レーベル不一致(リュウコミックス≠Ryu comics)
fumantare-buu	ふまんたれブー	1	2	9784575332902	2003-05	ふまんたれブー（2）		ぬまじりよしみ	双葉社	ジュールコミックス	G3:日付逆行(2003-05<)
fumantare-buu	ふまんたれブー	1	3	9784575333152	2005-10	ふまんたれブー（3）		ぬまじりよしみ	双葉社	ジュールコミックス	G3:日付逆行(2005-10<)
futatsu-no-gespenster	ふたつのゲシュペンスト	1	2	9784592231080	2025-12-19	ふたつのゲシュペンスト 2		友藤 結	白泉社	花とゆめコミックススペシャル	G2:レーベル不一致(花とゆめコミックススペシャル≠花とゆめCOMICS SPECIAL)
g-senjou-no-neko	G線上の猫	1	2	9784813050070	2005-07	G線上の猫（2）		宮城とおこ	大洋図書	ミリオンコミックス　ＣＲＡＦＴシリーズ	G2:レーベル不一致(ミリオンコミックス　ＣＲＡＦＴシリーズ≠Craft series)
gakkou-de-2-ban-jimi-na-futari-ga-tsukiau-hanashi	学校でいちばん地味な2人が付き合う話	2	3	9784537148664	2024-08-07	学校でいちばん地味な2人が付き合う話 （　3）		てぃーろんたろん	日本文芸社	ニチブンコミックス　CHコミックス	G2:レーベル不一致(ニチブンコミックス　CHコミックス≠CH comics)
gakuen-utopia-manabi-straight	がくえんゆーとぴあ まなびストレート!	2	3	9784840239660	2007-07-27	がくえんゆーとぴあまなびストレート！（3）		たあたんちぇっく/ufotable/小笠原　篤	KADOKAWA	電撃コミックス	G2:レーベル不一致(電撃コミックス≠DENGEKI COMICS)
gakuen-utopia-manabi-straight	がくえんゆーとぴあ まなびストレート!	2	4	9784840242271	2008-02-27	がくえんゆーとぴあまなびストレート！（4）		たあたんちぇっく/ufotable/小笠原　篤	KADOKAWA	電撃コミックス	G2:レーベル不一致(電撃コミックス≠DENGEKI COMICS)
garou-no-keifu	餓狼の系譜	4	5	9784812456293	2002-03	餓狼の系譜（5）	実録・安藤組	神田たけ志	竹書房	バンブーコミックス	G2:レーベル不一致(バンブーコミックス≠Bamboo comics)
garou-no-keifu	餓狼の系譜	4	6	9784812456408	2002-04	餓狼の系譜（6）	実録・安藤組	神田たけ志	竹書房	バンブーコミックス	G2:レーベル不一致(バンブーコミックス≠Bamboo comics)
genocide	ジェノサイド	1	2	9784575830941	2005-05	ジェノサイド（2）	真田十勇士vs里見八犬士	小林拓己/中島かずき	双葉社	アクションコミックス	G6:override固定
geta-o-haku-made	下駄を履くまで	1	2	9784812459515	2004-04	下駄を履くまで（2）		叶精作/小池一夫	竹書房	近代麻雀コミックス	G6:override固定
getter-robo-hien	ゲッターロボ飛焔	0	3	9784344815926	2009-03-24	ゲッターロボ飛焔（3）	THE　EARTH　SUICIDE	津島直人/永井豪	幻冬舎	バーズコミックス	G1:standard版なし
gintama-sannen-z-gumi-ginpachi-sensei	銀魂3年Z組銀八先生	1	2	9784087031812	2007-07-20	銀魂 - 3年Z組銀八先生（2）	3年Z組銀八先生	空知英秋/大崎知仁	集英社	JUMP j BOOKS	G3:日付逆行(2007-07-20<2026-06)
girly-debut	ガーリーデビュー	3	4	9784253017961	2026-07-08	ガーリーデビュー　4		浦野ウララ	秋田書店	少年チャンピオン・コミックス	G2:レーベル不一致(少年チャンピオン・コミックス≠SHŌNEN CHAMPION COMICS)
gokujou-seitokai	極上生徒会	2	3	9784840237918	2007-02-27	極上生徒会（3）		まったくモー助/コナミ株式会社	KADOKAWA	電撃コミックス	G2:レーベル不一致(電撃コミックス≠DENGEKI COMICS)
green-no-kifujin	芝の貴婦人	2	4	9784063131000	1989-08	芝の貴婦人　4		牛　次郎/平野　仁	講談社	週刊現代デラックス	G1:主版が別版(deluxe)
guru	GURU	2	3	9784065446218	2026-08-07	GURU（3）		陣ノ内 康暉	講談社	KCデラックス	G2:レーベル不一致(KCデラックス≠KCDX. 週刊少年マガジン)
hai-cheese	はい、チーズ!!!	1	2	9784061754553	1987-05-06	はい、チーズ！！（2）		ごとう和	講談社	BE　LOVE　KC	G3:日付逆行(1987-05-06<)
haigakura	ハイガクラ	16	17	9784758086004	2024-10-31	ハイガクラ 17巻		高山 しのぶ	一迅社	ZERO-SUMコミックス	G2:レーベル不一致(ZERO-SUMコミックス≠IDコミックス)
hamushi-no-hertz	羽虫のヘルツ	1	2	9784047387287	2025-12-12	羽虫のヘルツ 2		三宅　乱丈	KADOKAWA	ビームコミックス	G2:レーベル不一致(ビームコミックス≠BEAM COMIX)
hana-no-keiji	花の慶次	18	19	9784107700865	2002-01-09	花の慶次（19（魔人カルロス編））	雲のかなたに	原哲夫/隆慶一郎	新潮社	Bunch　world	G2:レーベル不一致(Bunch　world≠ジャンプ・コミックス)
hana-no-keiji	花の慶次	18	21	9784107700940	2002-02-06	花の慶次（21（和平の使者編））	雲のかなたに	原哲夫/隆慶一郎	新潮社	Ｂｕｎｃｈ　ｗｏｒｌｄ	G2:レーベル不一致(Ｂｕｎｃｈ　ｗｏｒｌｄ≠ジャンプ・コミックス)
hanasake-otome	花咲け乙女!	1	2	9784832261556	1999-12-03	花咲け乙女（2）		丹沢恵	芳文社	マンガタイムコミックス	G2:レーベル不一致(マンガタイムコミックス≠Manga time comics)
haneru-kimi-o-tomeru-boku	ハネる君をトメる僕	2	3	9784408641546	2024-10-17	ハネる君をトメる僕（3）		きたむら　ましゅう	実業之日本社	ジャルダンコミックス	G2:レーベル不一致(ジャルダンコミックス≠Jardin COMICS)
harem-camp	ハーレムきゃんぷっ!	9	10	9784434383700	2026-11-18	ハーレムきゃんぷっ！10		ユウキHB	彗星社	ナイトマ	G2:レーベル不一致(ナイトマ≠夜暇)
haruna-chan-sanjou	はるなちゃん参上!	4	5	9784832261532	1999-11-02	はるなちゃん参上（5）		秋吉由美子	芳文社	マンガタイムコミックス	G2:レーベル不一致(マンガタイムコミックス≠Manga time comics)
haruna-chan-sanjou	はるなちゃん参上!	4	6	9784832262065	2001-05-01	はるなちゃん参上（6）		秋吉由美子	芳文社	まんがタイムコミックス	G2:レーベル不一致(まんがタイムコミックス≠Manga time comics)
hei-omachi	へい!お待ちっ!	4	5	9784575821376	1996-03-28	へい！お待ちっ！（5）		ともだ秀和	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠Action comics pizazz)
hei-omachi	へい!お待ちっ!	4	6	9784575821765	1996-08-07	へい！お待ちっ！（6）		ともだ秀和	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠Action comics pizazz)
hei-omachi	へい!お待ちっ!	4	7	9784575822014	1996-11-28	へい！お待ちっ！（7）		ともだ秀和	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠Action comics pizazz)
hei-omachi	へい!お待ちっ!	4	8	9784575822427	1997-04-28	へい！お待ちっ！（8）		ともだ秀和	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠Action comics pizazz)
hei-omachi	へい!お待ちっ!	4	9	9784575822670	1997-07-10	へい！お待ちっ！（9）		ともだ秀和	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠Action comics pizazz)
hei-omachi	へい!お待ちっ!	4	10	9784575823745	1998-09-12	へい！お待ちっ！（10）		ともだ秀和	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠Action comics pizazz)
heikou-sekai-no-kimikimi-bokuboku	並行世界の君君僕僕	2	3	9784832204515	2024-11-05	並行世界の君君僕僕　3		津々浦	芳文社	芳文社コミックス　FUZコミックス	G2:レーベル不一致(芳文社コミックス　FUZコミックス≠FUZ comics)
heion-sedai-no-idatentachi	平穏世代の韋駄天達	8	9	9784592163299	2024-10-29	平穏世代の韋駄天達 9		クール教信者/天原	白泉社	ヤングアニマルコミックス	G2:レーベル不一致(ヤングアニマルコミックス≠YOUNG ANIMAL COMICS)
hi-hi-hi	Hi Hi Hi!	2	3	9784785924829	2004-11	Hihihi！（3）	東本昌平初期作品集	東本昌平	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠ACTION COMICS)
hime-sama-no-hanataba	姫様の花束	1	2	9784344808263	2006-10	姫様の花束（2）		碧也ぴんく	幻冬舎コミックス	バーズコミックス　ガールズコレクション	G2:レーベル不一致(バーズコミックス　ガールズコレクション≠バーガーコミックスガールズコレクション)
hime-sama-no-hanataba	姫様の花束	1	3	9784344810143	2007-06	姫様の花束（3）		碧也ぴんく	幻冬舎コミックス	バーズコミックス　ガールズコレクション	G2:レーベル不一致(バーズコミックス　ガールズコレクション≠バーガーコミックスガールズコレクション)
himitsu-no-hokenshitsu	ヒミツの保健室	4	5	9784785927851	2007-05	ヒミツの保健室（5）		山東ユカ	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YKコミックス)
hinata-cafe-e-youkoso	ひなたCafeへようこそ	1	2	9784758081672	2013-03-22	ひなたCafeへようこそ（2）		門井亜矢	一迅社	IDコミックス　4コマKINGSぱれっとコミックス	G2:レーベル不一致(IDコミックス　4コマKINGSぱれっとコミックス≠4コマkingsぱれっとcomics)
hittsuki-mottsuki-neko-mogure	ひっつきもっつきねこもぐれ	1	2	9784834233360	2025-02-25	ひっつきもっつき ねこもぐれ 2		新久 千映	ホーム社	集英社ホームコミックス	G2:レーベル不一致(集英社ホームコミックス≠オギャー!!)
hokuto-no-ken	北斗の拳	30	31	9784107701152	2002-03-27	北斗の拳（31（さらば愛しき者たちよ…そ）		原哲夫/武論尊	新潮社	Ｂｕｎｃｈ　ｗｏｒｌｄ	G2:レーベル不一致(Ｂｕｎｃｈ　ｗｏｒｌｄ≠ジャンプコミックス)
holic-rei	×××HOLiC・戻	4	5	9784065414224	2025-11-29	×××HOLiC・戻（5）		CLAMP	講談社	KCデラックス	G2:レーベル不一致(KCデラックス≠ヤンマガKCDX)
honba-joshikou-manual	本場ぢょしこうマニュアル	2	1	9784061765269	1987-02-26	本場ぢょしこうマニュアル（1）		有間しのぶ	講談社	ワイドKC	G2:レーベル不一致(ワイドKC≠通常版) / G6:override固定 / G6:canonical
honba-joshikou-manual	本場ぢょしこうマニュアル	2	3	9784061765764	1990-01-17	本場ぢょしこうマニュアル（3）		有間しのぶ	講談社	ワイドKC	G2:レーベル不一致(ワイドKC≠通常版) / G6:override固定 / G6:canonical
honba-joshikou-manual	本場ぢょしこうマニュアル	2	4	9784061765931	1990-10-17	本場ぢょしこうマニュアル（4）		有間しのぶ	講談社	ワイドKC	G2:レーベル不一致(ワイドKC≠通常版) / G6:override固定 / G6:canonical
honma-desse-okyaku-san	ほんまでっせお客さん	2	3	9784812458082	2003-05	ほんまでっせお客さん（3）	実録！たかし＆佳代の	村上たかし	竹書房	バンブーコミックス	G2:レーベル不一致(バンブーコミックス≠Bamboo comics)
hyouryuu-net-cafe	漂流ネットカフェ	3	4	9784575837605	2010-04	漂流ネットカフェ（4）		押見修造	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS) / G3:日付逆行(2010-04<2013-09)
hyouryuu-net-cafe	漂流ネットカフェ	3	5	9784575838152	2010-09	漂流ネットカフェ（5）		押見修造	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS) / G3:日付逆行(2010-09<2013-09)
hyouryuu-net-cafe	漂流ネットカフェ	3	6	9784575838640	2011-01	漂流ネットカフェ（6）		押見修造	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS) / G3:日付逆行(2011-01<2013-09)
hyouryuu-net-cafe	漂流ネットカフェ	3	7	9784575839197	2011-06	漂流ネットカフェ（7）		押見修造	双葉社	アクションコミックス	G2:レーベル不一致(アクションコミックス≠ACTION COMICS) / G3:日付逆行(2011-06<2013-09)
ichitarou-uotsu	一太郎ウオッ!	1	2	9784821195459	1997-01-21	一太郎ウオッ！（2）		のんた丸孝	ぶんか社	ぶんか社コミックス	G2:レーベル不一致(ぶんか社コミックス≠Bunkasha comics young teioh series) / G3:日付逆行(1997-01-21<1997-02)
idol-idol-story	Idol × idol story!	10	11	9784832206373	2026-08-03	IDOL×IDOL STORY！　11		得能正太郎	芳文社	芳文社コミックス　FUZコミックス	G2:レーベル不一致(芳文社コミックス　FUZコミックス≠FUZ comics)
ikenai-inbiteeshon	Ikenai!いんびテーション	11	12	9784063234121	1993-07-06	IKENAI！いんびテーション（12）		こしばてつや	講談社	ヤングマガジンKCスペシャル	G2:レーベル不一致(ヤングマガジンKCスペシャル≠ヤンマガKCスペシャル)
iketeru-police	イケてる刑事	4	5	9784785922450	2002-10	イケてる刑事（5）		佐野タカシ	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YOUNG KING COMICS)
iketeru-police	イケてる刑事	4	6	9784785923273	2003-07	イケてる刑事（6）		佐野タカシ	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YOUNG KING COMICS)
iketeru-police	イケてる刑事	4	7	9784785923860	2004-01	イケてる刑事（7）		佐野タカシ	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YOUNG KING COMICS)
iketeru-police	イケてる刑事	4	8	9784785924812	2004-11	イケてる刑事（8）		佐野タカシ	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YOUNG KING COMICS)
iketeru-police	イケてる刑事	4	9	9784785926366	2006-04	イケてる刑事（9）		佐野タカシ	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YOUNG KING COMICS)
