a_id	key	verdict	reason
154917	name:3rd Ie|name:神血の救世主	keep	同一作品
31115	name:AL WILLIAMSON|name:STAR WARS	drop	別作品(帝国の逆襲固有)
184379	name:AOIKO|name:追放勇者の優雅な生活	keep	同一作品
195162	name:AteRa|name:シーカーズ	keep	同一作品
135324	name:BaseSon|name:真・恋姫・無双	drop	別派生(萌将伝固有)
137617	name:Bcoca|name:四姉妹(エルフ)は夜をおまちかね	keep	同一作品
148499	name:Be-con|name:お姉さまと巨人	keep	同一作品
148499	name:Be-con|name:お姉さまと巨人(わたし)	keep	同一作品
37160	name:C.H. LINE|name:FRONT MISSION DOG LIFE ＆ DOG STILE	keep	同一作品
30130	name:CLAMP|name:CLAMP PREMIUM COLLECTION CLAMP学園探偵団	keep	同一作品再録版
30113	name:CLAMP|name:CLAMP PREMIUM COLLECTION CLOVER	keep	同一作品再録版
30107	name:CLAMP|name:CLAMP PREMIUM COLLECTIONちょびっツ	keep	同一作品再録版
30133	name:CLAMP|name:CLAMP PREMIUM COLLECTION東京BABYLON	keep	同一作品再録版
30119	name:CLAMP|name:CLAMP PREMIUM COLLECTION魔法騎士(マジックナイト)レイアース	keep	同一作品再録版
30697	name:CLAMP|name:CLAMP PREMIUM COLLECTION魔法騎士(マジックナイト)レイアース2	keep	同一作品再録版
111930	name:CYBIRD|name:イケメン戦国	keep	同一作品
30009	name:Clamp|name:ツバサ	drop	別作品(巻数不一致)
138139	name:Coin|name:暗殺スキルで異世界最強	keep	同一作品
173781	name:EURA|name:みつばものがたり|sub:呪いの少女と死の輪舞	keep	同一作品
44258	name:Founder masaki|name:12人の優しい殺し屋	keep	同一作品
58069	name:Founder masaki|name:黒×羊	keep	同一作品
186594	name:Fuyusora|name:白魔女さんとの辺境ぐらし	keep	同一作品
31564	name:GONZO|name:爆裂天使	keep	同一作品
115604	name:Garuku|name:ニトの怠惰な異世界症候群	keep	同一作品
160176	name:HAYADAI|name:落ちこぼれ国を出る	keep	同一作品
87135	name:Happy Elements K. K|name:あんさんぶるスターズ!ready for star	drop	別作品(Ready for Star固有)
163419	name:IプルT|name:俺の『全自動支援』で仲間たちが世界最強	keep	同一作品
158338	name:KANZUME|name:ひぐらしのなく頃に	keep	同一作品(アンソロジー)
179267	name:KAZUpub. 2022|name:世界最強の騎士は、必ず死ぬヒロインを救うため異世界でも最強の騎士となる	keep	同一作品
194615	name:KAZUpub. 2022|name:灰の世界は神の眼で彩づく	keep	同一作品
112095	name:Kakeru|name:ふかふかダンジョン攻略記	keep	同一作品
144529	name:Kei1961-|name:バブル	keep	同一作品(著者一致確認済)
51534	name:Key|name:リトルバスターズ!EXワンダービットワンダリング	keep	同一作品
121169	name:Kisimoto|name:Naruto	drop	別作品(読切と本編)
146349	name:Kuron|name:転生貴族の万能開拓	keep	同一作品
186985	name:LA軍|name:「勇者」パーティに潜入した魔王軍の暗殺者	keep	同一作品
101614	name:Laruha|name:あやかしお宿に嫁入りします。	keep	同一作品(副題一致)
187447	name:Leonat|name:異世界サウナでととのいスローライフ	keep	同一作品
198258	name:MAMAKOTO|name:千夜千食物語	keep	同一作品
168976	name:MIEKO|name:キングアビス	keep	同一作品(同著者)
181360	name:MIYABIpub. 2024|name:ヴィーナスミッション	keep	同一作品
129232	name:Meg|name:今夜、NOとは言わせない…	keep	同一作品
209376	name:Minto Studio|name:恋フレ	keep	同一作品
159316	name:Mori|name:Emma	drop	別作品(著者不一致)
209910	name:Mカフェ|name:転生賢者のやり直し	keep	同一作品
54651	name:NHK|name:飛べ!イサミダッシュ	drop	別作品(続編Dash)
98321	name:Nab_At|name:ピアシェ	keep	同一作品
33281	name:Nakazawa|name:Gen|sub:p「A」es descal「C」cos （Hadashi no Gen） Keiji Nakazawa.	keep	同一作品(海外版)
51716	name:Navel|name:俺たちに翼はない	keep	同一作品
184773	name:OTOSAMA|name:戦姫サバイバルサガ	keep	同一作品
175454	name:OUMA|name:下心が読めるアプリ	keep	同一作品
31600	name:Osamu Tezuka|name:ブラックジャック[韓国語]	keep	同一作品(海外版)
48555	name:QuinRose|name:クローバーの国のアリス 白ウサギと時計仕掛けの罠	drop	別ルート(白ウサギ)
136669	name:Re:mimu|name:王子の本命は悪役令嬢	keep	同一作品(副題一致)
78731	name:Rejet|name:DiABOLiK LOVERS	drop	別作品(Prequel固有)
155486	name:SCP財団|name:SCP財団コミックアンソロジー	keep	同一作品
155508	name:SNK|name:THE KING OF FIGHTERS|sub:A NEW BEGINNING	drop	別作品(外伝固有)
79859	name:Sadamoto|name:Neon genesis evangelion	drop	別作品(著者不一致)
187863	name:Stypub. 2023|name:屍王の帰還	keep	同一作品
41044	name:TEZUKA Osamu|name:Damons[韓国語]	keep	同一作品(海外版)
55191	name:TYPE-MOON|name:Fate/zeroコミックアラカルト	drop	別作品(アンソロ別物)
87196	name:TYPE-MOON|name:ちびちゅき!	keep	同一作品
49381	name:TYPE-MOON|name:氷室の天地	keep	同一作品
85831	name:Watase|name:Fushigi Yuugi	drop	別作品(番外読切)
180679	name:Xぴえろ|name:妻か死か	keep	同一作品
207494	name:Y. A|name:銭の力で、戦国の世を駆け抜ける。	keep	同一作品
30390	name:Yosizaki|name:Keroro|sub:grodan fr「゜」an rymden [Mine Yoshizaki].	keep	同一作品(海外版)
208839	name:Yuttou|name:解雇された宮廷錬金術師は辺境で大農園を作り上げる	keep	同一作品
112279	name:ZUN|name:東方酔蝶華|sub:ロータスイーター達の酔醒	keep	同一作品
145188	name:a20|name:宮廷鍛冶師の幸せな日常|sub:ブラックな職場を追放されたが、隣国で公爵令嬢に溺愛されながらホワイトな生活を送ります	keep	同一作品
201750	name:chia|name:追放聖女のどろんこ農園生活	keep	同一作品
182719	name:chippi|name:レアモンスター?それ、ただの害虫ですよ	keep	同一作品
202988	name:epina|name:竜に育てられた最強	keep	同一作品
182274	name:gum|name:辺境の魔法薬師	keep	同一作品
109231	name:hi8mugi|name:妹に婚約者を譲れと言われました	keep	同一作品
160365	name:kaede7|name:悠優の追放魔法使いと幼なじみな森の女神様。	keep	同一作品
168258	name:kakao|name:辺境の薬師、都でSランク冒険者となる	keep	同一作品
182187	name:kt60|name:追放された最弱庶民の成り上がりハーレム!	keep	同一作品
204449	name:momoru|name:もふもふと楽しむ無人島のんびり開拓ライフ	keep	同一作品
173649	name:nama|name:いいご身分だな、俺にくれよ	keep	同一作品
185596	name:nns|name:濡れ衣で追放された最強解呪士、幻の古代王国を再興させて無双する	keep	同一作品
