slug	work_type	current_genres	gemini_desc
1-nen-366-nichi-no-himitsu	educational_manga	essay,school	366日の誕生日の由来や星座、花言葉などを紹介する学習漫画。
1-suu-no-douka	story_manga	drama,historical	大陸書房から刊行された筒井百々子の単行本。
11-piki-no-neko-doronko	non_manga	comedy	馬場のぼるによる、ねこたちが泥遊びをする絵本作品。
4-n-megami-tensei-devil-children-koma-gyagu-battle	short_collection	comedy	ゲーム『デビルチルドレン』を題材にした4コマ漫画集。
50-dai-kara-no-tairyoku-kakumei	non_manga	essay	50代からの健康維持や体力向上を目的とした実用書。
action-poozu-5000	art_book	other	漫画やイラスト制作のためのポーズ集。
aien-kien	story_manga	drama	沖縄の歴史や伝承を題材にした短編漫画集。
aika	story_manga	comedy,fantasy	ワニブックスより刊行された此路あゆみによる全1巻の漫画作品。
aka-to-kiinu	story_manga	action,drama	少年画報社から刊行された小幡文生の短編集。
akatsuka-fujio-ga-kataru-64-yonin-no-mangakatachi	non_manga	drama	赤塚不二夫が多くの漫画家について語った対談やエッセイをまとめた書籍。
aki-ryuuzan-no-sutten-kororin-gekijou	short_collection	comedy	秋竜山による、日常の滑稽な場面を描いた一コマ漫画集。
akira-club	art_book	other	漫画『AKIRA』の制作資料やイラストを収録した公式ファンブック。
akuma-ga-yoru-kuru	short_collection	drama,horror	ひさうちみちおによる、不条理でシュールな短編漫画集。
all-colour-but-the-black	art_book	other	久保帯人の『BLEACH』画集。
anpanman-no-sekai	educational_manga	adventure	アンパンマンのキャラクターや世界観を解説した絵本・図鑑形式の書籍。
anpanman-to-mimi-sensei	educational_manga	adventure,comedy	アンパンマンのキャラクター、みみせんせいが登場する絵本作品。
anpanman-to-piichikumori	story_manga	adventure,comedy	アンパンマンが空飛ぶ雲の子供ぴいちくもりを助ける絵本作品。
aoike-yasuko-kareinaru-genga-no-sekai	art_book	other	青池保子の画業を振り返る原画集。カラーイラストやインタビューを収録。
arajin-ee-salaryman-kintarou-king-parusaa-moubaku-gosanke-daikouryaku	non_manga	comedy	パチスロ機の攻略法を解説した実用書・攻略本。
arashi-bunpai	educational_manga	action,drama	地方自治や行政の仕組みを解説する学習漫画。
asechiren-lamp-no-yoru	essay_manga	drama	手塚治虫の作品世界を米沢嘉博が解説・考察する評論・対談形式の書籍。
atarashii-kokugo-ichinen	educational_manga	other	東京書籍発行の小学校1年生用国語教科書。
azuma-hideo-shiidii-romu-world	art_book	other	吾妻ひでおのイラストや漫画を収録したPC用マルチメディアソフト。
badge	story_manga	drama	竹書房から刊行された萩原玲二の短編集。
barakamon-18-plus-1	art_book	comedy	『ばらかもん』のファンブック。設定資料や描き下ろし漫画などを収録。
bessatsu-hetaria	art_book	comedy	『ヘタリア』のイラストや設定資料を収録したムック本。
bikkuri-obake-yashiki	story_manga	horror	ポプラ社の「おばけの絵本」シリーズの一冊。おばけやしきを舞台にした児童向け作品。
bikkuri-sekaiichi-shizen-no-himitsu	educational_manga	adventure	学研のひみつシリーズ。自然界の驚異的な記録や現象を解説する学習漫画。
blades	art_book	other	士郎正宗のイラスト集。初期の作品や未発表画稿などが収録されている。
blanc-et-noir	art_book	other	小畑健の画集。DEATH NOTEやヒカルの碁などのカラーイラストを多数収録。
boku-ga-katai-ishi-o-butsukeruto-kimi-ha-itai-to-itte-kureru-darouka	short_collection	drama	天久聖一によるシュールな短編漫画集。
boku-ni-yoroshiku	story_manga	comedy	NTT出版から刊行された木村直巳の短編集。
boku-wa-sensou-wa-daikirai-yanase-takashi-no-heiwa-eno-omoi	educational_manga	war	やなせたかしの戦争体験と平和への願いを綴った絵本・漫画形式の作品。
bokunokureyon	non_manga	comedy	長新太による幼児向けの絵本作品。
bukkyou-no-shitsumonbako	educational_manga	drama	仏教の教えや歴史をQ&A形式で解説する学習漫画。
carmine	art_book	drama	貞本義行の画集。イラストや設定資料などが収録されている。
chie-no-wa	story_manga	drama	ペンギン書房から刊行された小だまたけしの短編集。
