slug	title	ours	rakuten	year	isbn
dear-noman	Dear NOMAN	矢澤おけ	寝路	2020	9784049130591
death-hotel	デスホテル	鮪オーケストラ	ハセガワM	2020	9784537143072
debu-to-love-to-ayamachi-to	デブとラブと過ちと!	旧都なぎ	ままかり	2020	9784866693460
deck-hitotsu-de-isekai-tanbou	デッキひとつで異世界探訪	ももしか藤子 / 空飛ぶひよこ	春夏冬エ / 棚架ユウ	2020	9784821139200
demodoriyakata-no-sebasu-chan	出戻り館のセバスチャン	片山誠	かたやま まこと	2020	9784785965884
densetsu-no-level-1-yuusha	伝説のレベル1勇者	アオキタクト	しゃど地蔵	2020	9784088915975
dolls-furontorain-doll-no-uta	ドールズフロントライン人形之歌	三上敬	上海散爆網絡技有限公司 / Ling	2020	9784758068482
don-t-touch-me	ドント・タッチ・ミー!	永田礼路	結城アオ	2020	9784434262777
dorei-yuugi-guren	奴隷遊戯GUREN	赤沢佳 / モチ漫画家	木村 隆志 / 井深 みつ / ヤマイ ナナミ	2020	9784088823539
dungeon-battle-royale	ダンジョンバトルロワイヤル	梅村真也 / 中野まや花	なぎはし ここ	2020	9784891996673
dungeon-harem-master	ダンジョン+ハーレム+マスター	低橋 / 大畑慎治	長次郎 / 三島千廣	2020	9784575411072
en-to-yukari	エンとゆかり	長谷良えりあ	しろううらやま	2020	9784832272170
enga	怨画	けいじろー	砂川どろ	2020	9784757565647
etchina-oshiri-ja-dame-desuka	えっちなお尻じゃダメですか?	西野きいな	鳩屋タマ	2020	9784796413503
fantasy-o-hotondo-shiranai-joshi-joshikousei-ni-yoru-isekai-teni-seikatsu	ファンタジーをほとんど知らない女子高生による異世界転移生活	蛍幻飛鳥	游紗　吹香 / コウ / shimano	2020	9784040643434
ferumi-kenkyuujo	フェルミ研究所	多平優香	フェルミ研究所	2020	9784065194218
fukujuu-to-amagami	服従と甘噛み	うすいかつら	志木見 ビビ	2020	9784396785130
fukumen-no-hitsuji	覆面の羊	坂崎未侑	船木涼介	2020	9784801968516
fukushuu-no-dokko	復讐の毒鼓	ときゎ	Meen X Baekdoo	2020	9784040646763
fushi-no-sougishi	不死の葬儀師	ゲンツキ	清宮　こう丞	2020	9784040644042
fushigi-no-kuni-no-heart-no-joou	不思議の国のハートの女王	由村 / 仕掛け番長	よはち / 長月　遥 / 鳴海　ゆき	2020	9784046800084
futago-wazurai	ふたごわずらい	瀬田U	桜野 いつき	2020	9784758021432
gacha-shi-ni-kamibiki-saretemita	ガチャ師に神引きされてみた	浪咲ゆか	長谷川 真也	2020	9784537143133
gachikoi-nenchakujuu	ガチ恋粘着獣	山崎将	星来	2020	9784801970557
gakushoku-hana-no-shiawase-gohan	学食「ハナ」のしあわせごはん	鉄山かや	pote	2020	9784758083515
gawacosu	ガワコス!!	やまうち	土平 ゆの	2020	9784098502073
gay-bar-no-mochigi-san	ゲイバーのもちぎさん	ごじょうふみえ	もちぎ	2020	9784065187272
ghost-girl	ゴーストガール	月乃睡蓮	紗池 晃久	2020	9784088825076
girigiri-out-2020	ギリギリアウト!	翠川稜	佐藤アキヒト	2020	9784796413909
god-of-dog	GOD OF DOG	甲斐とうしろう	木村 航	2020	9784065205617
goinkyo-collection	ご隠居コレクション	空木哲生	祀木円	2020	9784865896039
gokufuri-kyohi-shite-tesaguri-start-tokka-shinai-healer-nakama-to-wakarete-tabi-ni-deru	極振り拒否して手探りスタート!特化しないヒーラー、仲間と別れて旅に出る	なまざかな / あし	蒼井　一秀 / 刻一 / MIYA*KI	2020	9784040735726
goseichou-arigatou-gozaimasu	ご成長ありがとうございます	小倉あすか	三本阪奈	2020	9784106030666
goukon-aite-wa-nikushoku-keikan	合コン相手は肉食警官!?	月乃ひかり / 二日市とふろう	佐鳥 百 / 踊る毒林檎	2020	9784773072440
guriddoman-shinseiki-chuugakusei-nikki	SSSS.GRIDMAN新世紀中学生日記	鈴紀オズク	あり子 / SSSS.GRIDMAN	2020	9784040646312
gyakusou-randevuu	逆装ランデヴー	小手万里	次見 やをら	2020	9784065190968
hakase-noshippai	ハカセの失敗	史群アル仙	七野ワビせん	2020	9784781619255
hakoniwa-no-aruji-to-saigo-no-majo	箱庭の主と最期の魔女	津島つしま	うさ沢 妹子	2020	9784065217993
hallelujah-baby	ハレルヤベイビー	多賀タイラ	仔縞 楽々	2020	9784088551692
hana-no-chiruran-yoshiwara-yuukaku-koigatari	花の散るらん-吉原遊郭恋がたり-	朝吹まり	森猫 まりり	2020	9784098711352
haru-made-no-kyori	春までの距離	新多奏日	ハルモト紺	2020	9784865895926
hashire-kawata-kun	走れ!川田くん	ヘンリエッタ	伊佐 義勇	2020	9784065200537
hataraku-maou-sama-no-meshi	はたらく魔王さまのメシ!	姫なっつん / 和ケ原聡司	さだうおじ / 和ヶ原　聡司 / 029	2020	9784049130386
hataraku-saibou-baby	はたらく細胞BABY	福田やすひろ	福田 泰宏 / 清水 茜	2020	9784065182314
hayasegawa-kun-to-megami-na-onee-san	早瀬川君と女神なお姉さん	ゆめの	ちくわ。	2020	9784049129762
hayato-kun-to-saho-chan-wa-honjitsu-mo-ichaama	隼人くんと早穂ちゃんは本日もいちゃ甘。	なつみ理奈	久遠アユム	2020	9784821139965
hero-kun-ni-koishiterutsu	ヒーローくんに恋してるっ!	八街潤	如月 ゆきの	2020	9784098711796
herscherik-aaru-tensei-ouji-no-eiyuu-tan	ハーシェリクR転生王子の英雄譚	伊恵中二 / 福嶋ユッカ	柚葵ゆゆ / 楠のびる	2020	9784575411614
hikari-to-kage	光と影	叶輝	ひおん / RYU	2020	9784040649245
himeno-kun-wa-hime-ni-naritakunai	姫野くんは姫になりたくない	うすいかつら	三日月ランプ	2020	9784757569034
hito-no-musuko	人の息子	つるまいかだ	あの あやの	2020	9784065189184
hoshikuzu-terepasu	星屑テレパス	カコベン	大熊らすこ	2020	9784832272057
ibaraki-tte-dokoni-arundesuka	茨城ってどこにあるんですか?	都波みなと	真枝アキ	2020	9784832258143
ichiya-kagiri-no-zetsurin-kareshi	一夜限りの絶倫彼氏	かずいち	青井レミ	2020	9784907203986
ichizu-bitch-chan	一途ビッチちゃん	斎創	色のん	2020	9784040644370
igyou-esuteteikku	異形ヱステティック	上杉響士郎	鈍色家電	2020	9784040646848
ihatov-no-futari-no-sensei	イーハトーヴのふたりの先生	ワタヌキヒロヤ	山口　八三	2020	9784040645131
ikeda-kun	イケ田くん	小川錦	渥美 駿	2020	9784098501830
im-a-greaver	アイムアグリーバー!	久松エイト	ひさまつえいと	2020	9784866970141
imouto-wa-shiiaiee	妹はCIA	生方めぐみ	むうりあん	2020	9784098502455
inochi-mijikashi-yoiseyo-otome	いのち短し善せよ乙女	村里つむぎ	土管	2020	9784832272231
inu-ni-nattara-suki-na-hito-ni-hirowareta	犬になったら好きな人に拾われた。	いつつせ	古川 五勢	2020	9784065214930
isekai-de-item-corrector	異世界でアイテムコレクター	KuhnAndy / るぅ1mm	今泉　サルチェンコ / 時野　洋輔 / 冬馬　来彩	2020	9784040646060
isekai-ni-otosareta-jouka-wa-kihon-attomaaku-comic	異世界に落とされた…浄化は基本!@COMIC	槙島ギン / ほのぼのる500	中島鯛	2020	9784866990514
isekai-teni-jiraitsuki	異世界転移、地雷付き。	柴崎しょうじ / あし	レルシー / いつきみずほ / 猫猫　猫	2020	9784041092248
jiken-wa-skirt-no-naka-de	事件はスカートの中で	カエデミノル	ずみ子	2020	9784065206799
joou-denka-wa-oikari-no-youdesu	王女殿下はお怒りのようです	植田真太郎	四つ葉ねこ / 八ツ橋皓	2020	9784865546163
joshiryoku-takamena-shishihara-kun	女子力高めな獅子原くん	言炎	相舞 みー	2020	9784758035255
juujika-no-rokunin	十字架のろくにん	前屋進	中武 士竜	2020	9784065201220
juujin-kishi-no-keiai	獣人騎士の敬愛	朝谷コトリ	米子	2020	9784892124174
kaettekita-kita-misuteriasu-kaiketsubu	帰ってきた!ミステリアス解決部	庭猫もる	朔坂　みん	2020	9784041096468
kagekui	影喰	田村純兵	蒼井 たまご	2020	9784107722454
kaibutsu-maid-no-karei-naru-oshigoto	怪物メイドの華麗なるお仕事	紅城蒼	田辺　ゆがた	2020	9784041098936
kaijuuzamurai	怪獣侍	舞嶋大	木村 風太	2020	9784091431806
kanchigai-no-atelier-maisutaa	勘違いの工房主(アトリエマイスター)	KuhnAndy / パクゴヌン	古川奈春 / 時野洋輔	2020	9784434281372
kareshi-ga-iru-noni	カレシがいるのに	柚木N'	柚木N’	2020	9784253140867
katakoi-kekkon	片恋結婚	イヌヅカヒロ	おおひらしるす	2020	9784821139996
kikanshita-yuusha-no-gojitsu-tan	帰還した勇者の後日譚	音埜クルミ / しめさば	月夜乃古狸 / 吉沢メガネ	2020	9784757567221
kimi-ni-tsumugu-bouhaku	君に紡ぐ傍白	なむる。	矢坂しゅう	2020	9784801971011
kimi-no-sumire	きみの春花	えむだ	有馬 嵐	2020	9784866573977
kimi-no-uso-sura-aishiteru	君の嘘すら愛してる	徳之ゆいか	如月あい	2020	9784866970684
kimi-to-koishite-afogaato	君と恋してアフォガート	さとる	要まりこ	2020	9784774731988
kimono-chan-to-lolita-chan	着物ちゃんとロリータちゃん	森長あやみ	岡野く仔	2020	9784860721817
kindan-shitei-de-break-through	禁断師弟でブレイクスルー	貞清カズヒコ / 瀬戸メグル	えとうヨナ / アニッキーブラッザー / 竜徹	2020	9784803014433
kinsei-no-riveeru	金星のリヴェール	由村	沼地　どろまる	2020	9784049134285
kinyoubi-wa-atelier-de	金曜日はアトリエで	石田総司	浜田　咲良	2020	9784047361010
kioku-no-kaibutsu	記憶の怪物	望月うた	MAE	2020	9784801969582
kisu-to-zettai-sekai-seifuku	キスと絶対世界征服	いつこ	さゆこ	2020	9784049132878
kiyoku-tadashiku-fushidarani	清く正しくふしだらに	中村朝	三雲ジョージ	2020	9784757569584
koe-ga-dasenai-shoujo-wa-kanojo-ga-yasashisugiru-to-omotte-iru	声がだせない少女は「彼女が優しすぎる」と思っている	おひたし熱郎	矢村いち	2020	9784253229517
koibito-wa-oni-no-hime	コイビトは鬼の姫	秦槙吾	佐保	2020	9784801968523
kokuryuu-sama-no-minarai-hanayome	黒龍さまの見習い花嫁	アトリエ・セントー	三月ゆか	2020	9784861769788
kono-healer-mendokusai	このヒーラー、めんどくさい	ましろ	丹念に発酵	2020	9784040641652
kubo-san-wa-mob-o-yurusanai	久保さんは僕(モブ)を許さない	荒井小豆	雪森 寧々	2020	9784088914763
kurogyaru-ni-natta-kara-shinyuu-to-yatte-mita	黒ギャルになったから親友とヤってみた。	星た	織島ユポポ	2020	9784434274329
kusushi-no-hakushaku-reijou-wa-densetsu-no-koryuu-ni-aisareru	薬師の伯爵令嬢は伝説の仔竜に愛される	雨川水海 / 時雨さよ	Luna.M / みずつき / ひづき　みや	2020	9784047363939
kyabajou-to-himoneko	キャバ嬢とヒモ猫	ミツル	一式アキラ	2020	9784832258006
kyojinzoku-no-hanayome	巨人族の花嫁	低橋	ITKZ	2020	9784434268403
level-1-no-saikyou-kenja	レベル1の最強賢者	かなめもにか / 木塚麻弥	かん奈	2020	9784891996475
love-gurimowaaru	恋愛グリモワール	吉山航平	いぬやまりこ	2020	9784757568976
love-score	ラブスコア	LEN〈A7〉	LEN［A-7］	2020	9784065209110
lover-santa-claus	Lover Santa Claus	青山アルト	九重シャム	2020	9784344845930
lv-1-maou-to-room-yuusha	Lv 1魔王とワンルーム勇者	まえじま	toufu	2020	9784832237216
mabataki-yori-hayaku	瞬きより迅く!!	ふなつ一輝	ふなつ かずき	2020	9784088915852
mai-chan-no-onee-san-shiiku-gohan	舞ちゃんのお姉さん飼育ごはん。	北野はるた	秋津貴央	2020	9784801969933
majo-no-i	魔女の胃	上野りゅうじん	KARAS押形	2020	9784799749289
majo-o-mamoru	魔女をまもる。	槙えびし	槇えびし	2020	9784022143020
makai-no-shuyaku-wa-wareware-da	魔界の主役は我々だ!	家田明歩	津田沼篤 / 西修 / コネシマ	2020	9784253222686
maki-kun-wa-moteru-kedo-koi-ga-heta	巻くんはモテるけど恋がヘタ	半次	深澤ねじ	2020	9784799749272
maku-ga-oritara-bokura-wa-tsugai	幕が下りたら僕らは番	平安ジロー	ざらめ鮫	2020	9784801969506
mamanaranu	魔々ならぬ	衣田ぬぬ	ゆーき	2020	9784049131741
marvel-super-heroes-secret-wars	マーベルスーパーヒーローズ:シークレット・ウォーズ	音埜クルミ	ジム・シューター	2020	9784864914802
mask-otoko-wa-koishitakunainoni	マスク男子は恋したくないのに	鮫類	参号ミツル	2020	9784799747353
meiji-rabu-shop	明治ラブショップ	藏丸竜彦	蓮城 はに	2020	9784758021401
metcha-shoukansareta-ken-the-comic	めっちゃ召喚された件the comic	シチ	六甲島カモメ / さいとうさ	2020	9784800010315
metsubou-sekai-de-aku-no-kagakusha-to-ai-o-hagukumanaito-ikenai-youdesu	滅亡世界で悪の科学者と愛を育まないといけないようです	鶏尾	磐秋　ハル	2020	9784040642932
midori-no-basho	ミドリノバショ	明治みちる	岡 Q	2020	9784098502219
mimiyori-gohan	耳よりごはん♪	ジョポジョリン	さかき しん	2020	9784785967918
mizutamari-ni-ukabu-shima	水溜まりに浮かぶ島	三部敬	三部 けい	2020	9784065188583
moimoi-suisui	もいもいスイスイ	みいみつき	しでん	2020	9784049132311
motto-naka-made-aishite-ageru	もっとナカまで愛してあげる	まつだいお	星乃みなみ	2020	9784801971028
munou-no-taka	無能の鷹	吉本祐樹	はんざき 朝未	2020	9784065192306
murazukuri-game-no-npc-ga-namami-no-ningen-to-shika-omoenai	村づくりゲームのNPCが生身の人間としか思えない	茶柱一号	森田　和彦 / 昼熊 / 海鼠	2020	9784041093511
naisho-no-yoshuu	ないしょの予習	奥田薫	森井 暁正	2020	9784537143140
naiteru-kimi-ga-1-ban-daisuki	泣いてる君が1番大好き	あまね水咲	ともち	2020	9784846210120
nameraretakunai-namekawa-san	ナメられたくないナメカワさん	小手万里	阿東 里枝	2020	9784758021548
nanami-minami-wa-kagayakitai	七海みなみは輝きたい	上機しほ	屋久 ユウキ / 吉田 ばな / フライ	2020	9784091576187
natsume-no-sekai-ikai-taimaden	棗のセカイ-異界退魔伝-	若宮弘明	若宮 ひろあき	2020	9784065207352
neko-de-yokereba	ねこでよければ	安房さとる	やまもと りえ	2020	9784834285048
neko-no-kiku-chan	猫の菊ちゃん	ぼのこ	湊文	2020	9784047360846
neko-no-youna-nanika	猫のようなナニカ	栗之丸源	アヅミ　イノリ	2020	9784040643939
neko-o-hirotta-hanashi	猫を拾った話。	本多八十二	寺田 亜太朗	2020	9784065189924
neko-to-chiyo	ねことちよ	伊月一	せらみっく	2020	9784832271913
nichijou-no-fuchi	日常の淵	楠勝平	ササキバラ ゴウ	2020	9784480436733
nijisanji-sanba-kaani-baru	にじさんじさんばかーにばる	カツヲ / いちから株式会社	221 / にじさんじ	2020	9784199507243
nitou-to-tazuka-no-nichijou	仁藤と田塚の日常	あおいゆみ	砂糖と塩	2020	9784046800626
non-chan-to-akari	のんちゃんとアカリ	さかめがね	日日ねるこ	2020	9784864687386
ohime-sama-no-ohime-sama	お姫様のお姫様	山崎将	ホマレ	2020	9784253229715
ol-san-to-neko-no-hanashi	OLさんと猫のはなし	吉岡榊	嵩乃朔	2020	9784049130607
omawari-san-to-akujo-chan	おまわりさんと悪女ちゃん	猿和香ちみ	まどろみ太郎	2020	9784801971035
onegai-sonna-ni-kamanaide	お願い、そんなに噛まないで	鮫類	参号ミツル	2020	9784846210113
onnanoko-ga-daicha-dame-desuka	女の子が抱いちゃダメですか?	今井ささる	ねじがなめた	2020	9784098502400
onnatarashi-na-oji-san-ga-honki-ni-nattara	女たらしなオジサンが本気になったら。	竹若トモハル	南志都	2020	9784815590048
ookami-to-shugaaresu	狼とシュガーレス	ながやま由貴	藤原 えみ	2020	9784098712144
ookisugite-kare-no-are-ga-sakitcho-shika-hairimasen	大きすぎて、 (彼のアレが) 先っちょしか入りません!	さとる	藤原江奈	2020	9784821139989
ore-no-joushi-ga-elite-nanoni-hetare-kawaii	俺の上司がエリートなのにヘタレかわいい	秋久テオ	白崎 ナベ	2020	9784866573540
ore-o-tatasete-miroyo	俺を、たたせてみろよ	加奈	嶋永のの	2020	9784909699244
ore-sama-shachou-to-yuuwaku-trap-sakusen	俺様社長と誘惑☆トラップ作戦	能迅なのと	高山ねむ子 / ノウジン・ナノト	2020	9784596413147
oshi-ga-kounin-stalker-ni-narimashita	推しが公認ストーカーになりました	津島つしま	瀬尾みいのすけ	2020	9784801968844
oshite-dame-nara-oshite-miro	押して駄目なら押してみろ!	高妍	廣瀬　アユム	2020	9784049131598
otomege-tensou-ore-ga-heroine-de-kyuuseishu	乙女ゲー転送、俺がヒロインで救世主!?	夏川優希 / 天空宇宙流	武凪知 / 辻本ユウ	2020	9784757567481
otona-o-dame-ni-suru-kangoshi-kitano-san	大人をだめにする看護師北野さん	水野沙彰	ぜっきょ	2020	9784049129281
otoshigo-to-juusha-no-monogatari	落とし子と従者の物語	蛍幻飛鳥	水花ーsuika-	2020	9784434275432
paidon	ぱいどん	手塚治虫	「TEZUKA2020」プロジェクト	2020	9784065204993
papa-to-kyonyuu-jk-to-game-jikkyou	パパと巨乳JKとゲーム実況	かれい	糸吉　了一	2020	9784049130324
peanut-butter-sandwich	ピーナッツバターサンドウィッチ	拝田久	ミツコ	2020	9784065196212
perfect-scandal	パーフェクトスキャンダル	つわぶき杏	菊乃 杏	2020	9784098708031
piatto-unico	PIATTO UNICO	ふなつ一輝	ふなつ かずき	2020	9784088914909
ping-kong	PING KONG	望月帝	コミック・ジャクソン	2020	9784091297181
polarity-toumeiki	ポラリティ透明期	ぽこた	綾幡　フイヱ	2020	9784408415642
printernia-nippon	プリンタニア・ニッポン	鳶田ハジメ	迷子	2020	9784781619156
quattro-battery	クワトロバッテリー	武川慎	高嶋栄充	2020	9784253218917
raising-hell	レイジング・ヘル	空木哲生	荒木 光	2020	9784065181843
rakumei-majo-to-toki-o-kakeru-danna-sama-no-shinanai-konyakuin	落命魔女と時をかける旦那様の死なない婚約印	秦槙吾	あずや　ちとせ	2020	9784040643076
rin-chan-sansaara	りんちゃんさんさーら	おけいど	雅日野 琥珀	2020	9784065184929
risouteki-love-no-jouken	理想的恋愛の条件	どーるる	灰田 ナナコ	2020	9784758021692
rokujou-hitoma	六畳一魔	柏葉ぺす	鹿島初	2020	9784799213759
roriitameshi	ロリータ飯	森長あやみ	岡野く仔	2020	9784040647814
rukei-no-shima	流刑の島	桃田テツ	戯画オメガ	2020	9784434274527
rule-ihan-wa-asa-made-eichi	ルール違反は朝までH!?	あおいゆみ	rera	2020	9784909699251
saigo-no-isha-wa-ameagari-no-sora-ni-kimi-o-negau	最後の医者は雨上がりの空に君を願う	菅原竜 / 二宮敦人	すがはら竜	2020	9784866990767
saika-no-kami-wa-negawanai	災禍の神は願わない	雨水汐	尾羊 英	2020	9784758034791
saikopasu-kanojo-to-houkaisuru-boku-no-nichijou	サイコパス彼女と崩壊する僕の日常	うすいかつら / 吉山航平	Kfumi / HUILAMSI / ネーム構成:	2020	9784757569027
sakuma-kun-to-taki-kun-kekkon-suru-rashiiyo	佐久間くんと多喜くん、結婚するらしいよ	家田明歩	七緒	2020	9784434272875
samugari-ni-yuki	寒がりに雪	炊田鳩子	吉近イチ	2020	9784832237605
scars	Scars	おむたつ	たついこと	2020	9784757565838
sekai-wa-owattemo-ikiru-tte-tanoshii	世界は終わっても生きるって楽しい	植草美幸	鳥取砂丘	2020	9784865547481
sengoku-guriddoman	戦国グリッドマン	サブリック	SSSS.GRIDMAN / 田村ゆうき	2020	9784253229814
sensei-mou-damedesutsu	先生、もうダメですっ	真敷ひさめ	嘉島ちあき	2020	9784832291287
sex-delivery	セックス×デリバリー	倉田けい	瑛乃	2020	9784815501341
shabaou	娑婆王	今際之キワミ	暦	2020	9784253251624
shinsounoizu	シンソウノイズ	伊東フミ / DMM.com	海原望 / DMM　GAMES	2020	9784757564695
shiosai-no-majo	潮騒の魔女	上田アキ	もぐす	2020	9784758016810
shogun-ashikaga-yoshiaki	将軍足利義昭	國津武士	しまたけひと	2020	9784575854480
shouan-to-hibi	しょうあんと日々。	藤野もやむ	桑佳　あさ	2020	9784040657530
shoujotachi-no-kakusei	少女たちの覚醒	萩尾望都	恩田 陸	2020	9784480436788
shuryou-no-yumeka	狩猟のユメカ	竹村優作	古部 亮	2020	9784065201411
shuumatsu-sekai-no-hakoiri-musume	終末世界の箱入りムスメ	円井大地	みああわ	2020	9784800009944
sister-complex-2020	シスター・コンプレックス	ゆあま	Tam-U / えらんと / 草野　ほうき / ごくげつ / ZEN / 滝乃　大祐	2020	9784049130553
six	シックス	桃田テツ	照井にと	2020	9784866971193
sonic-the-hedgehog	ソニック・ザ・ヘッジホッグ	セガゲームス / 彩月つかさ / FlynnIan / Yardley!Tracy / HermsMatt / ItoLeonardo / ThomasAdam Bryce / LawrenceJack / ほのかあかり / StanleyEvan / HernandezJennifer / BreckleHeather / セガ (2020年) / WellsLamar / GrahamReggie / TramontanoPriscilla	イアン・フリン / ルビー・翔馬・ジェームズ	2020	9784909434715
sono-koi-wa-kare-o-mushibamu	その恋は彼を蝕む	蘇我捨恥	猫野まりこ	2020	9784832291195
soredemo-pen-wa-tomaranai	それでもペンは止まらない	鈴木ミニラ	熊田龍泉	2020	9784864687393
statement	ストメント	ポロロッカ	黒木 ろく	2020	9784098503308
suki-datta-gay-ga-hoka-no-josei-to-kekkon-shitemashita	好きだったゲイが他の女性と結婚してました	七瀬	さいとう林子	2020	9784865547542
suki-nanoni-karada-dake	好きなのにカラダだけ	温泉川ワブ	栗原はるな	2020	9784434267390
tada-shiawasena-isekai-kazoku-seikatsu-tenseishite-kondo-koso-shiawase-ni-kurashimasu	ただ幸せな異世界家族生活	君塚力 / 白石新	舞 / 水沢翔 / えいひ	2020	9784757569188
takada-kun-wa-hajimete-ga-osuki	鷹田くんはハジメテがお好き	飛世	冴月ゆと	2020	9784815590109
takane-no-hana-wa-chirasaretai	高嶺の花は、散らされたい	右京あやね	左京亜也	2020	9784403667220
takao-no-tengu-to-midori-no-heijitsu	高尾の天狗とミドリの平日	氷堂涼二	氷堂リョージ	2020	9784801969445
tamer-san-no-vuiaaruemuemuoo-ikusei-nisshi	テイマーさんのVRMMO育成日誌	上下 / 沢村治太郎	うえした / ジャジャ丸	2020	9784821139217
teal-blue-no-hairo	#ティールブルーの羽色	石川オレオ	河井あぽろ	2020	9784866970363
teiou-joushi-no-choukyou-sekkusu	帝王上司の調教セックス	松本ゆうか	空海リク	2020	9784864953450
teira-to-kera	ティラとケラ	高妍	市川　ヒロ	2020	9784049131529
tensei-shitara-butouha-reijou	転生したら武闘派令嬢!?	伊恵中二 / 八茶橋らっく	白瀬やや / きゃる	2020	9784575411607
tensei-shitara-ore-ga-heroine-de-aitsu-ga-yuusha-datta	転生したらオレがヒロインであいつが勇者だった	あかうめ	みずのもと	2020	9784865547290
tenshou-ero-elf-no-naka-no-hito-wa-29-sai-shojo-ol-desu	転生エロエルフの中の人は29歳処女OLです。	清水しの	蒼田カヤ	2020	9784864953894
the-boulder	ザ・ボルダー	あまみね	蜜浦 ミノル	2020	9784065195178
toaru-tenin-to-kyaku-no-hanashi	とある店員と客の話	えむだ	幸子	2020	9784757566156
tochigami-to-mura-de-ichiban-wakai-yome	土地神と、村で一番若い嫁	剛田ナギ	あらをか 青い	2020	9784758020633
tokaku-no-kyoudai	兎角ノ兄弟	アオキタクト	十束椿	2020	9784757568198
tokimeki-no-ikenie	ときめきのいけにえ	ひよどり祥子	うぐいす 祥子	2020	9784065200933
tonari-no-seki-ni-natta-bishoujo-ga-horesaseyou-to-karakatte-kuru-ga-itsu-no-ma-nika-kaeriuchi-ni	隣の席になった美少女が惚れさせようとからかってくるがいつの間にか返り討ちにしていた	あぐにゅん / サイとウマお	宮古蜂 / 荒三水	2020	9784575411560
toshishita-dekiai-tokidoki-ookami	年下、溺愛、ときどきオオカミ。	なもなき	蝶らら	2020	9784801970588
toshishita-kun-ga-asa-made-hanashite-kuremasentsu	年下くんが朝まで離してくれませんっ!	桜谷シュウ	岡田 衣代	2020	9784829650189
twins-sing	ツインズシング	うさとる	ゴリラスロウ	2020	9784823601101
uchi-no-obaa-chan-ga-motoyan-ni-nerawarete-imasu	うちのおばあちゃんが元ヤンに狙われています!	中島諒	星倉ハル	2020	9784865546330
uchi-no-otoutodomo-ga-sumimasen	うちの弟どもがすみません	尾崎あきら	オザキ アキラ	2020	9784088443461
unmei-no-hito-to-deaeru-koisuru-app	運命の人と出逢える恋するアプリ	背筋 / 月見だしお	結城　にこ / 弥生　万智	2020	9784040644936
unmei-o-shinjinai-kare-ga-iu-niwa	運命を信じない彼が言うには	オトクニ	おむ・ザ・ライス	2020	9784049132397
ura-aka-joshi	ウラアカジョシ	岩田れんたろう	七保志天十	2020	9784253300810
usotsuki-na-tetora	うそつきなテトラ	時雨さよ	ななのいち	2020	9784866970677
usotsuki-satsuki-wa-shi-ga-mieru	ウソツキ皐月は死が視える	ひいろろに	了子	2020	9784098503292
usotsuki-usotsuki	嘘月-ウソツキ-	井上知之	ミナミ	2020	9784098500321
vexation	ヴェクサシオン	明日乃隆	湯川義弘	2020	9784575854534
wafukuna-joushi-ga-itooshii	和服な上司がいとおしい	まえじま	原田繭	2020	9784832237209
wan-piisu-gakuen	ONE PIECE学園	搾精研究所 / 尾田栄一郎	小路 壮平	2020	9784088822730
wanko-soba-ni-iru	ワンコそばにいる	天野雀	路田行	2020	9784065184196
watashi-nande-wakarerarenai-ndarou	私、なんで別れられないんだろう	井上咲子	いのうえさきこ	2020	9784253107488
watashi-no-ani-wa-hito-o-ayamemashita	私の兄は人を殺めました	未散ソノオ	みずも	2020	9784867150412
watashi-no-oyome-kun	わたしのお嫁くん	細堀ゆかり	柴 なつみ	2020	9784065202692
watashitachi-5nin-5-mai-desu	わたしたち、5人姉妹です。	中島諒	泥川恵	2020	9784801969643
yakara-to-donkan	輩と鈍感	竹若トモハル	南 志都	2020	9784829650301
yamaguchi-kun-wa-warukunai	山口くんはワルくない	一本木尊	斉木 優	2020	9784065182413
yokohama-rokku	横浜ロック	熊谷祐樹	前田 治郎	2020	9784537142020
yome-no-manimani	嫁のまにまに	三木よう子	優風	2020	9784757565371
yoru-no-nightingale	夜のナイチンゲール♥	丸井シロ	羽浪由惚	2020	9784199507120
youkoso-ball-game-e	ようこそBALLGAMEへ!	丸本チンタ	田丸 鴇彦	2020	9784785967383
yume-no-hashibashi	夢の端々	藤峰式	須藤佑実	2020	9784396768027
yume-no-tadaji-o-koimadou	夢の直路を恋惑ふ	紺津名子	越田　うめ	2020	9784047362024
yurizukushi-no-kyoushitsu-de	ゆりづくしの教室で	北野はるた	しーめ	2020	9784758021449
yuunagi-ni-mae-boku-no-ribbon	夕凪に舞え、僕のリボン	よした	黒川　裕美	2020	9784047361133
yuusha-ni-haibokushita-maou-sama-wa-kaerizaku-tameni-mamono-guild-o-tsukuru-koto-ni-shimashita	勇者に敗北した魔王様は返り咲くために魔物ギルドを作ることにしました。	ごんたくにど	とうろう	2020	9784107722782
yuutousei-ja-irarenai	優等生じゃいられない!	レノTS	有馬 レンジ	2020	9784098501496
zatsu-na-seikatsu	雑な生活	なか憲人	中　憲人	2020	9784047360785
zenbu-kimi-no-sei	ぜんぶきみの性	森島コン	浅月　のりと	2020	9784049133608
zonbidarake-no-kono-sekai-dewa-sekkusu-shinaito-ikinokorenai	ゾンビだらけのこの世界ではセックスしないと生き残れない	大沢ういち	実倉 なる	2020	9784785967055
3-3ji-amemiya-kyouju-no-ocha-no-jikan	午後3時雨宮教授のお茶の時間	海月れおな	鷹野 久	2019	9784107722355
