ishii-hisaichi-no-keizai-gairon	standard/通常版	2	2周目適用(rakuten-regate)	isbn=9784022559999
janrou-densetsu-aoki-ookamitachi	standard/通常版	3	手掛かりなし	
janrou-densetsu-aoki-ookamitachi	standard/通常版	5	手掛かりなし	
jin	bunkobon/文庫版	1	手掛かりなし	
jin	bunkobon/文庫版	2	手掛かりなし	
jin	bunkobon/文庫版	3	手掛かりなし	
jin	bunkobon/文庫版	4	手掛かりなし	
jin	bunkobon/文庫版	5	手掛かりなし	
jin	bunkobon/文庫版	6	手掛かりなし	
jin	deluxe/デラックス版	1	手掛かりなし	
jin	deluxe/デラックス版	2	手掛かりなし	
jin	deluxe/デラックス版	3	手掛かりなし	
jin	deluxe/デラックス版	4	手掛かりなし	
jin	deluxe/デラックス版	9	手掛かりなし	
jin	standard/通常版	2	手掛かりなし	
jin	standard/通常版	3	手掛かりなし	
jin	standard/通常版	5	手掛かりなし	
jin	standard/通常版	6	手掛かりなし	
jin	standard/通常版	7	手掛かりなし	
jin	standard/通常版	8	手掛かりなし	
jinjuu-houretsuden	standard/通常版	11	手掛かりなし	
jitsuwa-imouto-deshita	standard/通常版	5	括弧題クエリ再走で適用(楽天)	
jitsuwa-imouto-deshita	standard/通常版	6	括弧題クエリ再走で適用(楽天)	
judo-itchokusen	standard/通常版	11	手掛かりなし	
judo-itchokusen	standard/通常版	12	手掛かりなし	
juusou-reijou-morenet	standard/通常版	2	楽天live在(適用済)	isbn=9784046840394 date=2024年09月17日頃
kage-no-kyuutei-majutsushi	standard/通常版	7	NDL在(適用済)	isbn=9784824009807 date=2024.10
kago-nashi-reijou-no-chiisa-na-mura	standard/通常版	6	NDL在(適用済)	isbn=9784047382084 date=2024.11
kami-o-kami-sama-gacha-de-umidashi-houdai	standard/通常版	4	NDL在(適用済)	isbn=9784049159684 date=2024.10
kamo-no-negi-niwa-doku-ga-aru	standard/通常版	9	NDL在(適用済)	isbn=9784088934501 date=2024.11
kanchigai-no-atelier-maisutaa	standard/通常版	7	括弧題クエリ再走で適用(楽天)	
kanojo-no-hitorigurashi-tsuu-out-manrui	deluxe/デラックス版	2	手掛かりなし	
kanon	standard/通常版	3	手掛かりなし	
kanon	standard/通常版	4	手掛かりなし	
kanon	standard/通常版	5	手掛かりなし	
kanon	standard/通常版	6	手掛かりなし	
kanon	standard/通常版	7	手掛かりなし	
kanon-usami-2003	standard/通常版	2	手掛かりなし	
kanon-usami-2003	standard/通常版	3	手掛かりなし	
kanon-usami-2003	standard/通常版	4	手掛かりなし	
kanon-usami-2003	standard/通常版	5	手掛かりなし	
kanon-usami-2003	standard/通常版	6	手掛かりなし	
kanon-usami-2003	standard/通常版	7	手掛かりなし	
karamizaka-ri	standard/通常版	2	NDL在(適用済)	isbn=9784065389416 date=2025.3
kashita-maryoku-wa-ribo-barai-de-kyousei-choushuu	standard/通常版	3	NDL在(適用済)	isbn=9784866753805 date=2024.10
kaze-no-wa-toki-no-wa-suna-no-wa	standard/通常版	2	手掛かりなし	
kaze-no-wa-toki-no-wa-suna-no-wa	standard/通常版	3	手掛かりなし	
kaze-no-wa-toki-no-wa-suna-no-wa	standard/通常版	4	手掛かりなし	
kaze-no-wa-toki-no-wa-suna-no-wa	standard/通常版	5	手掛かりなし	
keirin-yarou	standard/通常版	45	NDL在(適用済)	isbn=9784091397959 date=
kemono-jihen	standard/通常版	22	括弧題クエリ再走で適用(楽天9784088842158)	
kemono-jihen	standard/通常版	23	末尾続巻NDLで適用済	
kenrou-densetsu	standard/通常版	2	手掛かりなし	
kibaken	standard/通常版	9	手掛かりなし	
kigunasu-no-otometachi	standard/通常版	5	NDL在(適用済)	isbn=9784046836441 date=2024.10
killers-holiday	standard/通常版	7	NDL在(適用済)	isbn=9784867166574 date=2024.11
kimi-no-katana-ga-oreru-made	standard/通常版	4	JPRO照会で適用(9784098536214)。副題残余語型=外部題の〜月宮まつりの恋難き〜を残余語ゲートが誤弾き→副題学習ゲートを柱⑨/JPRO判定器に恒久実装	
kinshin-soukan-ando-esuemu-taiken	standard/通常版	10	手掛かりなし	
kinshin-soukan-ando-esuemu-taiken	standard/通常版	2	手掛かりなし	
kinshin-soukan-ando-esuemu-taiken	standard/通常版	3	手掛かりなし	
kinshin-soukan-ando-esuemu-taiken	standard/通常版	4	手掛かりなし	
kinshin-soukan-ando-esuemu-taiken	standard/通常版	5	手掛かりなし	
kinshin-soukan-ando-esuemu-taiken	standard/通常版	6	手掛かりなし	
kinshin-soukan-ando-esuemu-taiken	standard/通常版	7	手掛かりなし	
kinshin-soukan-ando-esuemu-taiken	standard/通常版	8	手掛かりなし	
kinshin-soukan-ando-esuemu-taiken	standard/通常版	9	手掛かりなし	
kinsou-no-verumeiyu	standard/通常版	9	NDL在(適用済)	isbn=9784757595118 date=2024.11
kiraware-ouji-no-yarinaoshi	standard/通常版	4	NDL在(適用済)	isbn=9784049159189 date=2024.9
kirumii-beibee	standard/通常版	15	NDL在(適用済)	isbn=9784832295735 date=2024.10
kodomo-kagaku-gijutsu-hakusho	standard/通常版	4	手掛かりなし	
kodomo-kagaku-gijutsu-hakusho	standard/通常版	5	手掛かりなし	
kodomo-kagaku-gijutsu-hakusho	standard/通常版	6	手掛かりなし	
kodomo-kagaku-gijutsu-hakusho	standard/通常版	7	手掛かりなし	
koe-de-oshigoto	standard/通常版	7	NDL在(適用済)	isbn=9784847037979 date=2012.1
koike-kazuo-no-za-shibi-golf	standard/通常版	3	2周目適用(rakuten-regate)	isbn=9784915289026
koike-kazuo-no-za-shibi-golf	standard/通常版	4	2周目適用(rakuten-regate)	isbn=9784915289033
koike-kazuo-no-za-shibi-golf	standard/通常版	5	2周目適用(rakuten-regate)	isbn=9784915289040
kojirase-kare-no-dekiai-ga-omosugimasu	standard/通常版	3	NDL在(適用済)	isbn=9784821159253 date=2024.11
kokurouou-to-shirogane-no-niehime	standard/通常版	4	NDL在(適用済)	isbn=9784046839732 date=2024.10
kono-boukensha-jinruishi-saikyou-desu	standard/通常版	3	NDL在(適用済)	isbn=9784253294539 date=2024.6
kono-sekai-ga-izure-horobu-koto-o-ore-dake-ga-shitte-iru	standard/通常版	10	NDL在(適用済)	isbn=9784065387221 date=2025.3
konya-uchi-ni-oide	standard/通常版	3	NDL在(適用済)	isbn=9784865182347 date=2024.10
korogaru-kyoudai	standard/通常版	7	楽天live在(適用済)	isbn=9784868051046 date=2025年09月16日
koukyuu-chahiden	standard/通常版	5	creator束縛再走で適用(分冊版ノイズ型)	
kuni-ni-saikyou-no-baria-o-hattara-heiwa-ni-narisugite-tsuihousareta-saremashita	standard/通常版	3	手掛かりなし	
kuooto-ando-half	standard/通常版	3	手掛かりなし	
kuooto-ando-half	standard/通常版	4	手掛かりなし	
kyouka-ayakashi-hichou	standard/通常版	2	手掛かりなし	
kyouran-reijou-nia-risuton	standard/通常版	6	NDL在(適用済)	isbn=9784757597846 date=2025.4
lemon-kids	standard/通常版	10	手掛かりなし	
lemon-kids	standard/通常版	2	手掛かりなし	
lemon-kids	standard/通常版	4	手掛かりなし	
lemon-kids	standard/通常版	8	手掛かりなし	
lemon-kids	standard/通常版	9	手掛かりなし	
level-1-kara-hajimaru-shoukan-musou	standard/通常版	5	NDL在(適用済)	isbn=9784867166338 date=2024.10
love-drug	standard/通常版	1	手掛かりなし	
love-drug	standard/通常版	2	楽天live在(適用済)	isbn=9784790118244 date=2006年10月
love-drug	standard/通常版	3	楽天live在(適用済)	isbn=9784790118428 date=2006年11月
love-drug	standard/通常版	5	楽天live在(適用済)	isbn=9784790118749 date=2007年01月
love-drug	standard/通常版	6	楽天live在(適用済)	isbn=9784790118923 date=2007年02月
love-drug	standard/通常版	7	楽天live在(適用済)	isbn=9784790119074 date=2007年03月
love-drug	standard/通常版	8	楽天live在(適用済)	isbn=9784790119241 date=2007年04月
madara-rumble	standard/通常版	2	楽天live在(適用済)	isbn=9784065374603 date=2024年11月13日
majikyuu-4-koma-steins-gate	standard/通常版	1	2周目適用(ndl-live2)	isbn=9784047264816
majikyuu-4-koma-steins-gate	standard/通常版	2	2周目適用(ndl-live2)	isbn=9784047265790
majikyuu-4-koma-steins-gate	standard/通常版	4	楽天live在(適用済)	isbn=9784047277663 date=2011年12月
majo-taisen	standard/通常版	11	NDL在(適用済)	isbn=9784867207048 date=2024.12
majutsu-guild-sousui	standard/通常版	5	NDL在(適用済)	isbn=9784065371305 date=2024.10
mameda-sensei	standard/通常版	2	手掛かりなし	
manga-girishia-shinwa-1991	standard/通常版	2	2周目適用(rakuten-regate)	isbn=9784324028278
manga-girishia-shinwa-1991	standard/通常版	4	2周目適用(rakuten-regate)	isbn=9784324028292
manga-girishia-shinwa-1991	standard/通常版	5	2周目適用(rakuten-regate)	isbn=9784324028308
manga-girishia-shinwa-1991	standard/通常版	7	2周目適用(rakuten-regate)	isbn=9784324028322
manga-houritsu-no-nukeana	standard/通常版	10	手掛かりなし	
manga-houritsu-no-nukeana	standard/通常版	11	手掛かりなし	
manga-houritsu-no-nukeana	standard/通常版	4	手掛かりなし	
manga-houritsu-no-nukeana	standard/通常版	7	2周目適用(ndl-live2)	isbn=9784426289010
manga-houritsu-no-nukeana	standard/通常版	8	2周目適用(ndl-live2)	isbn=9784426289027
manga-houritsu-no-nukeana	standard/通常版	9	手掛かりなし	
manga-project-ekkusu-chousenshatachi	standard/通常版	10	手掛かりなし	
manga-project-ekkusu-chousenshatachi	standard/通常版	9	手掛かりなし	
mangetsu-no-yoru-ni	standard/通常版	2	手掛かりなし	
mangetsu-no-yoru-ni	standard/通常版	4	手掛かりなし	
mangetsu-no-yoru-ni	standard/通常版	5	手掛かりなし	
mangetsu-no-yoru-ni	standard/通常版	6	手掛かりなし	
manhattan-op	bunkobon/文庫版	2	手掛かりなし	
marubou-kabushikigaisha	standard/通常版	23	手掛かりなし	
marugoshi-deka-super-collection	standard/通常版	15	NDL在(適用済)	isbn=9784408177120 date=2024.10
marugoshi-deka-super-collection	standard/通常版	20	NDL在(適用済)	isbn=9784408177397 date=2026.7
maseki-gourmet	standard/通常版	10	NDL在(適用済)	isbn=9784040755137 date=2024.9
mashou-no-ahosuta-san	standard/通常版	2	手掛かりなし	
matenrou	standard/通常版	9	手掛かりなし	
matsuken-quest	standard/通常版	2	NDL在(適用済)	isbn=9784253229883 date=2024.8
megami-haiboku	standard/通常版	3	NDL在(適用済)	isbn=9784048113199 date=2024.9
meitantei-yumemizu-kiyoshirou-jiken-note	deluxe/デラックス版	10	手掛かりなし	
menkui-egure-keibu	bunkobon/文庫版	2	手掛かりなし	
mikio-to-mikio	standard/通常版	10	手掛かりなし	
mikio-to-mikio	standard/通常版	11	手掛かりなし	
mikio-to-mikio	standard/通常版	12	手掛かりなし	
mikio-to-mikio	standard/通常版	13	手掛かりなし	
mikio-to-mikio	standard/通常版	14	手掛かりなし	
mikio-to-mikio	standard/通常版	15	手掛かりなし	
mikio-to-mikio	standard/通常版	16	手掛かりなし	
mikio-to-mikio	standard/通常版	17	手掛かりなし	
mikio-to-mikio	standard/通常版	18	手掛かりなし	
mikio-to-mikio	standard/通常版	2	手掛かりなし	
mikio-to-mikio	standard/通常版	3	手掛かりなし	
mikio-to-mikio	standard/通常版	4	手掛かりなし	
mikio-to-mikio	standard/通常版	5	手掛かりなし	
mikio-to-mikio	standard/通常版	6	手掛かりなし	
mikio-to-mikio	standard/通常版	7	手掛かりなし	
mikio-to-mikio	standard/通常版	8	手掛かりなし	
mikio-to-mikio	standard/通常版	9	手掛かりなし	
mikosuri-gekijou	standard/通常版	15	手掛かりなし	
mikosuri-gekijou	standard/通常版	16	手掛かりなし	
mikosuri-gekijou	standard/通常版	17	手掛かりなし	
milky-comic	standard/通常版	1	手掛かりなし	
milky-comic	standard/通常版	11	手掛かりなし	
milky-comic	standard/通常版	12	手掛かりなし	
milky-comic	standard/通常版	13	手掛かりなし	
milky-comic	standard/通常版	14	手掛かりなし	
milky-comic	standard/通常版	15	手掛かりなし	
milky-comic	standard/通常版	16	手掛かりなし	
milky-comic	standard/通常版	17	手掛かりなし	
milky-comic	standard/通常版	18	手掛かりなし	
milky-comic	standard/通常版	19	手掛かりなし	
milky-comic	standard/通常版	2	手掛かりなし	
milky-comic	standard/通常版	20	手掛かりなし	
milky-comic	standard/通常版	21	手掛かりなし	
milky-comic	standard/通常版	22	手掛かりなし	
milky-comic	standard/通常版	24	手掛かりなし	
milky-comic	standard/通常版	25	手掛かりなし	
milky-comic	standard/通常版	27	手掛かりなし	
milky-comic	standard/通常版	28	手掛かりなし	
milky-comic	standard/通常版	29	手掛かりなし	
milky-comic	standard/通常版	3	手掛かりなし	
milky-comic	standard/通常版	4	手掛かりなし	
milky-comic	standard/通常版	5	手掛かりなし	
milky-comic	standard/通常版	6	手掛かりなし	
milky-comic	standard/通常版	7	手掛かりなし	
milky-comic	standard/通常版	9	手掛かりなし	
mirai-no-musuko	standard/通常版	7	NDL在(適用済)	isbn=9784088935478 date=2025.2
mizudako-chan-kara-wa-nigerarenai	standard/通常版	2	楽天live在(適用済)	isbn=9784832204423 date=2024年10月01日
mobile-suit-gundam-moon-crisis	standard/通常版	2	手掛かりなし	
mobile-suit-z-gundam	standard/通常版	4	手掛かりなし	
moeyo-sensha-gakkou	standard/通常版	1	手掛かりなし	
moeyo-sensha-gakkou	standard/通常版	4	NDL在(適用済)	isbn=9784863202214 date=2009.7
mogura-no-uta	standard/通常版	86	NDL在(適用済)	isbn=9784091530028 date=2024.11
mogura-no-uta	standard/通常版	87	NDL在(適用済)	isbn=9784091530035 date=2024.12
moshimo-tokugawa-ieyasu-ga-souri-daijin-ni-nattara	standard/通常版	4	NDL在(適用済)	isbn=9784253309349 date=2024.6
munou-to-yobareta-seirei-tarashi	standard/通常版	5	NDL在(適用済)	isbn=9784800015181 date=2024.11
munou-to-yobareta-seirei-tarashi	standard/通常版	6	NDL在(適用済)	isbn=9784800015822 date=2025.4
mutsu-enmeiryuu-ikaiden-shura-no-mon	standard/通常版	12	NDL在(適用済)	isbn=9784065368565 date=2024.10
nageki-no-bourei-wa-intai-shitai	standard/通常版	10	NDL在(適用済)	isbn=9784049159905 date=2024.9
nageki-no-bourei-wa-intai-shitai	standard/通常版	11	NDL在(適用済)	isbn=9784049164589 date=2025.4
nainaidou	standard/通常版	6	NDL在(適用済)	isbn=9784065388327 date=2025.4
neboke-jinsei	standard/通常版	2	手掛かりなし	
nee-piyo-chan	standard/通常版	11	手掛かりなし	
nee-try-shite	standard/通常版	2	括弧題クエリ再走で適用(楽天)	
negai-o-kanaete-moraou-to-akuma-o-shoukan-shita-kedo-kawaikatta-node-kekkon-shimashita	standard/通常版	9	NDL在(適用済)	isbn=9784803020465 date=2024.12
neko-punch	standard/通常版	1	手掛かりなし	
neko-punch	standard/通常版	11	手掛かりなし	
neko-punch	standard/通常版	12	手掛かりなし	
neko-punch	standard/通常版	13	手掛かりなし	
neko-punch	standard/通常版	15	手掛かりなし	
neko-punch	standard/通常版	16	手掛かりなし	
neko-punch	standard/通常版	19	手掛かりなし	
neko-punch	standard/通常版	2	手掛かりなし	
neko-punch	standard/通常版	20	手掛かりなし	
neko-punch	standard/通常版	21	手掛かりなし	
neko-punch	standard/通常版	22	手掛かりなし	
neko-punch	standard/通常版	24	手掛かりなし	
neko-punch	standard/通常版	25	手掛かりなし	
neko-punch	standard/通常版	26	手掛かりなし	
neko-punch	standard/通常版	27	手掛かりなし	
neko-punch	standard/通常版	28	手掛かりなし	
neko-punch	standard/通常版	29	手掛かりなし	
neko-punch	standard/通常版	3	手掛かりなし	
neko-punch	standard/通常版	4	手掛かりなし	
neko-punch	standard/通常版	5	手掛かりなし	
neko-punch	standard/通常版	6	手掛かりなし	
neko-punch	standard/通常版	7	手掛かりなし	
neko-punch	standard/通常版	8	手掛かりなし	
neko-punch	standard/通常版	9	手掛かりなし	
neko-puni	standard/通常版	1	手掛かりなし	
neko-puni	standard/通常版	10	手掛かりなし	
neko-puni	standard/通常版	11	手掛かりなし	
neko-puni	standard/通常版	12	手掛かりなし	
neko-puni	standard/通常版	13	手掛かりなし	
neko-puni	standard/通常版	14	手掛かりなし	
neko-puni	standard/通常版	15	手掛かりなし	
neko-puni	standard/通常版	16	手掛かりなし	
neko-puni	standard/通常版	17	手掛かりなし	
neko-puni	standard/通常版	18	手掛かりなし	
neko-puni	standard/通常版	19	手掛かりなし	
neko-puni	standard/通常版	2	手掛かりなし	
neko-puni	standard/通常版	20	手掛かりなし	
neko-puni	standard/通常版	21	手掛かりなし	
neko-puni	standard/通常版	22	手掛かりなし	
neko-puni	standard/通常版	23	手掛かりなし	
neko-puni	standard/通常版	24	手掛かりなし	
neko-puni	standard/通常版	25	手掛かりなし	
netoraretemo-anata-no-kanojo	standard/通常版	2	手掛かりなし	
netoraretemo-anata-no-kanojo	standard/通常版	3	手掛かりなし	
nezumi-royale	standard/通常版	2	楽天live在(適用済)	isbn=9784065373071 date=2024年10月18日
nibante-no-onna	standard/通常版	4	NDL在(適用済)	isbn=9784065363515 date=2024.8
niiche-sensei	standard/通常版	21	NDL在(適用済)	isbn=9784046839725 date=2024.8
niigata-manga-taishou-sakuhinshuu	standard/通常版	4	手掛かりなし	
niigata-manga-taishou-sakuhinshuu	standard/通常版	5	手掛かりなし	
niigata-manga-taishou-sakuhinshuu	standard/通常版	6	2周目適用(ndl-live2)	isbn=9784902565003
niigata-manga-taishou-sakuhinshuu	standard/通常版	8	2周目適用(ndl-live2)	isbn=9784902565027
niigata-manga-taishou-sakuhinshuu	standard/通常版	9	2周目適用(ndl-live2)	isbn=9784902565034
ningen-korogashi	standard/通常版	2	2周目適用(rakuten-regate)	isbn=9784062040921
ningen-no-jouken	standard/通常版	1	手掛かりなし	
ningen-no-jouken	standard/通常版	3	手掛かりなし	
nippon-banashi	standard/通常版	2	手掛かりなし	
noroma-mahou-to-yobareta-mahoutsukai-wa-juuryoku-mahou-de-musou-suru	standard/通常版	2	NDL在(適用済)	isbn=9784041155783 date=2024.11
nyaight-of-the-living-cat	standard/通常版	6	NDL在(適用済)	isbn=9784800015570 date=2025.3
ochikobore-hoshi-1-mahoutsukai-wa-kyou-mo-muishiki-ni-cheat-o-tsukau	standard/通常版	5	NDL在(適用済)	isbn=9784434348525 date=2024.11
ochikobore-maken-tsukai-no-eiyuu-tan	standard/通常版	3	NDL在(適用済)	isbn=9784813763864 date=2024.11
omega-7	standard/通常版	6	手掛かりなし	
onape	standard/通常版	1	手掛かりなし	
onape	standard/通常版	3	手掛かりなし	
onape	standard/通常版	4	手掛かりなし	
only-sense-online	standard/通常版	20	NDL在(適用済)	isbn=9784040756370 date=2024.10
onna-kajishi-wa-ohitoyoshi-guild-ni-hirowaremashita	standard/通常版	5	NDL在(適用済)	isbn=9784049159172 date=2024.9
onna-kajishi-wa-ohitoyoshi-guild-ni-hirowaremashita	standard/通常版	6	NDL在(適用済)	isbn=9784049163803 date=2025.4
onnanoko-no-mayu	standard/通常版	3	NDL在(適用済)	isbn=9784801984554 date=2024.10
oogata-shinjin-no-kyouikugakari	standard/通常版	2	手掛かりなし	
ore-yuusha-ja-nai-desu-kara	standard/通常版	7	NDL在(適用済)	isbn=9784160901872 date=2024.10
osaka-geijutsu-daigaku-daigaku-manga	standard/通常版	1	NDL在(適用済)	isbn=9784883159413 date=2005.4-
osaka-geijutsu-daigaku-daigaku-manga	standard/通常版	4	NDL在(適用済)	isbn=9784862250148 date=2006.3
ossu-miri-chan	standard/通常版	4	手掛かりなし	
otokoun-ga-ii-rank-nanode-isekai-no-yamiochi-kami-sama-ni-metoraremashita	standard/通常版	1	手掛かりなし	
otokuyou-mainichi-kaa-san	standard/通常版	2	手掛かりなし	
otokuyou-mainichi-kaa-san	standard/通常版	4	手掛かりなし	
otokuyou-mainichi-kaa-san	standard/通常版	6	手掛かりなし	
otsu-san-teihen-chiyushi-to-manamusume-no-henkyou-life	standard/通常版	10	NDL在(適用済)	isbn=9784575419948 date=2024.10
ouhi-sama-wa-rikon-shitai	standard/通常版	5	NDL在(適用済)	isbn=9784065391969 date=2025.4
outo-no-hazure-no-renkinjutsushi	standard/通常版	5	creator束縛再走で適用(分冊版ノイズ型)	
pachikko-bojou	standard/通常版	2	手掛かりなし	
pachisuro-yancha-bugi	standard/通常版	10	手掛かりなし	
pachisuro-yancha-bugi	standard/通常版	11	手掛かりなし	
pachisuro-yancha-bugi	standard/通常版	13	手掛かりなし	
pachisuro-yancha-bugi	standard/通常版	15	手掛かりなし	
pachisuro-yancha-bugi	standard/通常版	18	手掛かりなし	
pachisuro-yancha-bugi	standard/通常版	3	手掛かりなし	
pachisuro-yancha-bugi	standard/通常版	4	手掛かりなし	
pachisuro-yancha-bugi	standard/通常版	7	手掛かりなし	
pachisuro-yancha-gaiden	standard/通常版	3	手掛かりなし	
pachisuro-yancha-gaiden	standard/通常版	5	手掛かりなし	
pachisuro-yancha-gaiden	standard/通常版	6	手掛かりなし	
papillon	standard/通常版	6	JPRO判定初回で適用(楽天実物裏取り済)	
parabellum	standard/通常版	2	手掛かりなし	
perfect-angel-lip	standard/通常版	1	手掛かりなし	
perfect-angel-lip	standard/通常版	3	手掛かりなし	
persona-4-4-koma-kings	standard/通常版	3	2周目適用(ndl-live2)	isbn=9784758004923
piasu-club	standard/通常版	10	手掛かりなし	
piasu-club	standard/通常版	11	手掛かりなし	
piasu-club	standard/通常版	12	手掛かりなし	
piasu-club	standard/通常版	14	手掛かりなし	
piasu-club	standard/通常版	15	手掛かりなし	
piasu-club	standard/通常版	17	手掛かりなし	
piasu-club	standard/通常版	18	手掛かりなし	
piasu-club	standard/通常版	19	手掛かりなし	
piasu-club	standard/通常版	20	手掛かりなし	
piasu-club	standard/通常版	21	手掛かりなし	
piasu-club	standard/通常版	22	手掛かりなし	
piasu-club	standard/通常版	23	手掛かりなし	
piasu-club	standard/通常版	3	手掛かりなし	
piasu-club	standard/通常版	4	手掛かりなし	
piasu-club	standard/通常版	5	手掛かりなし	
piasu-club	standard/通常版	6	手掛かりなし	
piasu-club	standard/通常版	7	手掛かりなし	
piasu-club	standard/通常版	8	手掛かりなし	
piasu-club	standard/通常版	9	手掛かりなし	
point-gifutaa-no-isekai-saikyou-soro-life	standard/通常版	5	NDL在(適用済)	isbn=9784575419931 date=2024.10
pose-file	standard/通常版	2	手掛かりなし	
pose-file	standard/通常版	7	手掛かりなし	
power-bomb-theater	standard/通常版	2	手掛かりなし	
power-bomb-theater	standard/通常版	3	手掛かりなし	
powerful-mazegohan	standard/通常版	2	手掛かりなし	
psycho-pasuto	standard/通常版	8	NDL在(適用済)	isbn=9784253293686 date=2024.8
pumpkin	standard/通常版	1	手掛かりなし	
pumpkin	standard/通常版	8	手掛かりなし	
purodeyuusaa-ni-naritai	standard/通常版	2	手掛かりなし	
rakkiidoggu-1-blast	standard/通常版	2	手掛かりなし	
red-mask	standard/通常版	4	手掛かりなし	
rekishi-ni-nokoru-akujo-ni-naruzo	standard/通常版	5	NDL在(適用済)	isbn=9784047381681 date=2024.9
robot-santou-hei	standard/通常版	8	手掛かりなし	
romeria-senki	standard/通常版	4	NDL在(適用済)	isbn=9784800014955 date=2024.9
ruriiro-princess	standard/通常版	10	手掛かりなし	
ruriiro-princess	standard/通常版	11	手掛かりなし	
ruriiro-princess	standard/通常版	12	手掛かりなし	
ruriiro-princess	standard/通常版	13	手掛かりなし	
ruriiro-princess	standard/通常版	5	手掛かりなし	
ruriiro-princess	standard/通常版	6	手掛かりなし	
ruriiro-princess	standard/通常版	7	手掛かりなし	
ruriiro-princess	standard/通常版	8	手掛かりなし	
ruriiro-princess	standard/通常版	9	手掛かりなし	
ryojou-mystery-file	standard/通常版	8	2周目適用(ndl-live2)	isbn=9784408177137
ryoushuu	standard/通常版	7	NDL在(適用済)	isbn=9784643930993 date=1993.12
ryuujin-no-saiaikon	standard/通常版	3	NDL在(適用済)	isbn=9784758019415 date=2024.12
ryuutei-no-mon	standard/通常版	5	手掛かりなし	
sabaku-no-maou	standard/通常版	4	手掛かりなし	
sabaku-no-maou	standard/通常版	6	手掛かりなし	
saibaa-comics	standard/通常版	1	手掛かりなし	
saibaa-comics	standard/通常版	10	手掛かりなし	
saibaa-comics	standard/通常版	12	手掛かりなし	
saibaa-comics	standard/通常版	2	手掛かりなし	
saibaa-comics	standard/通常版	3	手掛かりなし	
saibaa-comics	standard/通常版	4	手掛かりなし	
saibaa-comics	standard/通常版	6	手掛かりなし	
saibaa-comics	standard/通常版	7	手掛かりなし	
saibaa-comics	standard/通常版	8	手掛かりなし	
saibaa-comics	standard/通常版	9	手掛かりなし	
saikou-nando-meikyuu-de-party-ni-okizari-ni-sareta-esu-rank-kenshi-hontou-ni-mayoimakutte-daremo	standard/通常版	6	NDL在(適用済)	isbn=9784757597853 date=2025.4
saikyou-no-shienshoku-wajutsushi-de-aru-ore-wa-sekai-saikyou-kuran-o-shitagaeru	standard/通常版	10	NDL在(適用済)	isbn=9784824010049 date=2024.11
saikyou-onmyouji-no-isekai-tenseiki	standard/通常版	9	NDL在(適用済)	isbn=9784575420180 date=2024.11
saitou-takao-ikenami-shoutarou-jidai-gekiga-waido-selection	standard/通常版	2	手掛かりなし	
saitou-takao-ikenami-shoutarou-jidai-gekiga-waido-selection	standard/通常版	3	手掛かりなし	
saitou-takao-ikenami-shoutarou-jidai-gekiga-waido-selection	standard/通常版	4	手掛かりなし	
saitou-takao-ikenami-shoutarou-jidai-gekiga-waido-selection	standard/通常版	5	手掛かりなし	
saitou-takao-ikenami-shoutarou-jidai-gekiga-waido-selection	standard/通常版	6	手掛かりなし	
saitou-takao-ikenami-shoutarou-jidai-gekiga-waido-selection	standard/通常版	7	手掛かりなし	
saitou-takao-ikenami-shoutarou-jidai-gekiga-waido-selection	standard/通常版	8	手掛かりなし	
saitou-takao-ikenami-shoutarou-jidai-gekiga-waido-selection	standard/通常版	9	手掛かりなし	
sakuranbo-monogatari	standard/通常版	16	手掛かりなし	
sandman	standard/通常版	5	手掛かりなし	
sayonara-jitensha	standard/通常版	2	手掛かりなし	
sayounara-ryuusei-konnichiwa-jinsei	standard/通常版	13	楽天live在(適用済)	isbn=9784434344961 date=2024年09月19日頃
seekers	standard/通常版	2	NDL在(適用済)	isbn=9784253295727 date=2024.9
seijo-ja-nai-to-tsuihousareta-sareta-node-mofumofu-juusha-seijuu-to-onigiri-o-nigiru	standard/通常版	8	NDL在(適用済)	isbn=9784575420456 date=2024.12
sekai-o-sukuu-tame-ni-watashi-to-asachun-dekimasu-ka	standard/通常版	8	手掛かりなし	
sekai-saikyou-no-shitsuji	standard/通常版	5	NDL在(適用済)	isbn=9784088934211 date=2024.11
sekainorekishi	standard/通常版	10	手掛かりなし	
sekainorekishi	standard/通常版	12	手掛かりなし	
sekainorekishi	standard/通常版	4	手掛かりなし	
sekainorekishi	standard/通常版	5	手掛かりなし	
sekainorekishi	standard/通常版	6	手掛かりなし	
sekainorekishi	standard/通常版	8	手掛かりなし	
senri-no-michi-mo-dai-sanshou	standard/通常版	12	手掛かりなし	
servamp	standard/通常版	22	手掛かりなし	
servamp	standard/通常版	23	手掛かりなし	
shakaikamanganihonnonbiriryokou	standard/通常版	1	手掛かりなし	
shakaikamanganihonnonbiriryokou	standard/通常版	2	手掛かりなし	
shakaikamanganihonnonbiriryokou	standard/通常版	3	手掛かりなし	
shakaikamanganihonnonbiriryokou	standard/通常版	5	手掛かりなし	
shiitagerare-reijou-to-kegare-koushaku	standard/通常版	8	NDL在(適用済)	isbn=9784866753935 date=2024.12
shima-kousaku-zenshuu	standard/通常版	1	NDL在(適用済)	isbn=9784063647181 date=2008.5
shima-kousaku-zenshuu	standard/通常版	4	NDL在(適用済)	isbn=9784063647181 date=2008.5
