class	isbn	ym	title	author	publisher	slug	reason
new1a	9784088942919	2026-11	異世界転生した途端追放されましたが、ハズレスキル【調理】は世界で唯一魔物を従えら	松谷 祐汰/すかいふぁーむ	集英社		
new1a	9784088944098	2026-11	つづら先輩は元カノだから 1	すずの 志侑	集英社		
new1a	9784065455333	2026-11	夫が死にかけたので、あの世に連れ戻しに行った話〜死神ガイドと冥界へ、魂の救出ミッ	西 きほこ/naked ape	講談社		
new1a	9784253021388	2026-12	あたしにオテロを踊らせてごらん　1	おざわゆき	秋田書店		
new1a	9784785983406	2026-11	思い出食堂　豆腐の味噌汁編	アンソロジー	少年画報社		
new1a	9784868660644	2026-11	愛はいらない 恋させてよ 1	あめみくろ	Cygames		
new1a	9784065454916	2026-11	番失格　〜運命の相手に捨てられたけど、辺境伯に愛されて幸せです〜（1）	西根 羽南/英 蓮	講談社		
new1a	9784825000759	2026-11	毒バラの魔女は静かに暮らしたいのに〜騎士様からの一途な求婚お断り〜 1	雫森あゆこ/編乃肌	マイクロマガジン社		
new1a	9784834233636	2026-11	壊していいよ、すいかちゃん 1	虫歯	ホーム社		
new1a	9784785983321	2026-11	終電前のちょいごはん　薬院文月のみかづきレシピ 1	夏見こま/標野凪	少年画報社		
new1a	9784785983338	2026-11	ねこぱんち　まるごと☆ネコだらけ号	アンソロジー	少年画報社		
new1a	9784434388651	2026-11	トラニメガネ1	七介	ドリコム		
new1a	9784434388644	2026-11	KAGUYA1 〜いとうつくしうてゐたり〜	小見川なまり	ドリコム		
new1a	9784434388729	2026-11	99回断罪されたループ令嬢ですが今世は「超絶愛されモード」ですって!?7 〜真の	甲斐ろはる/裕時悠示/ひだかなみ	ドリコム		
new1a	9784046606839	2026-11	勇者からは逃げられない 1	D．P/富士田　けやき/toi8	KADOKAWA		
new1a	9784046606822	2026-11	午前5時のレコード　1	廾之	KADOKAWA		
new1a	9784046606815	2026-11	引退【武装商人】のゆるっと大陸横断旅行　1	ヒラスエ/右薙　光介/クロがねや	KADOKAWA		
new1a	9784046607126	2026-11	魔女ギャルの好きぴ！　1	さんかく。	KADOKAWA		
new1a	9784866698908	2026-11	いたいけな君のペールブルー	みのり	Jパブリッシング		
new1a	9784046608260	2026-11	悪役令嬢に転生した私が、なぜか暴君侯爵に溺愛されてるんですけど　1	アナゴちん/夏目　みや/桑島　黎音	KADOKAWA		
new1a	9784785983260	2026-11	おいしいね！　焼きたてアップルパイ	アンソロジー	少年画報社		
new1a	9784792608071	2026-11	森園みるくの奇々怪々	森園みるく	青林堂		
new1a	9784065452011	2026-11	おうちで恋が待ってる（1）	帆那 みつき	講談社		
new1a	9784049722000	2026-11	極魔法少女　1	さくまよしはる/高橋　右手	KADOKAWA		
new1a	9784045002472	2026-11	塹壕のほうき星　1	大上明久利	KADOKAWA		
new1a	9784299082862	2026-11	手塚治虫 創作に命を燃やし尽くした全生涯	大下 英治	宝島社		
new1a	9784785983222	2026-11	ひとりごはん　アツアツ♪グラタン	アンソロジー	少年画報社		
new1a	9784785983246	2026-11	午前0時のキッチンカー 1	藤川　よつ葉/桑佳あさ	少年画報社		
new1a	9784824019103	2026-11	番と知らずに私を買った純愛こじらせ騎士団長に運命の愛を捧げられました！ 1	になになこ/犬咲/御子柴リョウ	オーバーラップ		
new1a	9784041179710	2026-11	宇宙戦艦ヤマト 黎明篇　第3部　ツァラトゥストラ・ゾーン	岡秀樹/アステロイド6/umegrafix 梅野	KADOKAWA		
new1a	9784022144171	2026-11	つづ井さんのご自愛ください	つづ井	朝日新聞出版		
new1a	9784813034964	2026-11	GAPS　cosset	里つばめ	大洋図書		
new1a	9784087881370	2026-11	もう一度、君の声が聞けたなら	野原 広子	集英社		
new1a	9784813034957	2026-11	ひとみBIG LOVE	山本小鉄子	大洋図書		
new1a	9784065453292	2026-10	百鬼夜鏡（1）	西田 征史/ヨシコハ/果坂 青	講談社		
new1a	9784065404546	2026-10	捨てられ聖女は働かないっ！　〜追放されたので念願のスローライフはじめます〜（1）	犬丸 咲/イチカ	講談社		
new1a	9784087902594	2026-10	おしりダンディ ザ・ヤング なきむしな サンタクロース	トロル/春原 ロビンソン/菊池 晃弘	集英社		
new1a	9784824018984	2026-10	カナンの城 1　〜亡国の王女と世界の秘宝、それを巡る最強盗賊団と覇権国家の大活劇	パネグマ/駄犬/みことあけみ	オーバーラップ		
new1a	9784537224092	2026-09	【発売記念特典銀牙伝説ぷくぷくシール付き】 高橋よしひろ 犬マンガの世界	高橋 よしひろ	日本文芸社		
new1b	9784098548958	2026-11	及第点でも青春を！（1）	月瀬 しろ	小学館		
new1b	9784088852713	2026-11	ゴーストキャッチャーズ！ 1	いけだ 響	集英社		
new1b	9784088852959	2026-11	カノンマスター 1	町田 麗弥	集英社		
new1b	9784785983291	2026-11	マジカル☆エージェント 1	こあらゆかり	少年画報社		
new1b	9784088943930	2026-11	蜜月大正浪漫譚 1	小石川 珠子	集英社		
new1b	9784045003233	2026-11	アズキとナンキン 1	圷　見南子	KADOKAWA		
new1b	9784047386549	2026-11	話の話	サイトウ　マド	KADOKAWA		
new1b	9784045002830	2026-11	やってくる　1	サイトウ　マド	KADOKAWA		
new1b	9784867209585	2026-12	戦いしかしらない女騎士を甘やかし続けた（1）	夜愧	コアミックス		
new1b	9784867209578	2026-12	幼なじみを見る目が変わってしまった（1）	米蔵	コアミックス		
new1b	9784199611049	2026-11	我慢しないで触れてみなよ	リオナ	徳間書店		
new1b	9784088552774	2026-11	α王の運命 〜王妃候補の護衛のはずが王の番になりました〜 1	上原 有紗/カヅキ ハルカ（エブリスタ）	集英社		
new1b	9784911760086	2026-11	燐光_クラフトウェイヴ（1巻）	145	ソラジマ		
new1b	9784911760079	2026-11	あなたとさよならするための方法〜忘れら令嬢の婚活奮闘記〜（1巻）	夜渡なぎ	ソラジマ		
new1b	9784866698953	2026-11	お助けキャラも楽じゃない1	櫻庭まち/花待里	Jパブリッシング		
new1b	9784434388668	2026-11	可愛い死顔に魅せられて1	西あさひ	ドリコム		
new1b	9784434388705	2026-11	クズな彼との推し契約1	米畑炊	ドリコム		
new1b	9784045003264	2026-11	泣くねこ。泣く人間。	ふうこジャスミン	KADOKAWA		
new1b	9784866698915	2026-11	先輩、付き合ってください	ねむや	Jパブリッシング		
new1b	9784866698892	2026-11	マジカル・メロきゅん・ギミミック	はすもと	Jパブリッシング		
new1b	9784046607430	2026-11	地味令嬢、しごでき皇妃になる！1 契約婚のはずなのに冷血皇帝に溺愛されています	naoto/遠都衣/壱子みるく亭	KADOKAWA		
new1b	9784046607447	2026-11	演目、呪いの悪役令嬢1 オモチャとして買われた私が完璧王子の唯一の依存先!?	棚橋　はなた	KADOKAWA		
new1b	9784049722611	2026-11	拾われた没落令嬢は堅物侯爵様に溺愛されたい	卯城　チカ	KADOKAWA		
new1b	9784160902602	2026-11	八秒で跳べ1	坪田 侑也/夏嶋 みき	文藝春秋		
new1b	9784813034995	2026-11	ワンス・アポン・ア・ディスティニー　02.Antithese	屋号	大洋図書		
new1b	9784813034988	2026-11	ワンス・アポン・ア・ディスティニー　01.These	屋号	大洋図書		
new1b	9784800018410	2026-11	ララティーナの婚約 前世、戦場で共に散った私と騎士様はーー今世、田舎の伯爵令嬢と	カ加羽/三香	マッグガーデン		
new1b	9784065454657	2026-11	大人たちにはずっと内緒だぜ（1）	ゆきら	講談社		
new1b	9784045003158	2026-11	一生童貞のままでいいって思ってた？	凪澤	KADOKAWA		
new1b	9784045002373	2026-11	好きだけちょうだい	内海　ロング	KADOKAWA		
new1b	9784098548941	2026-11	GREEN BOY（1）	田代 弓也	小学館		
new1b	9784824019097	2026-11	午前0時、解けない魔法を私にかけて！ 1	伊時 潤/飛翔こたつ	オーバーラップ		
new1b	9784065453254	2026-11	青麦と時鳥（1）	久生 夕貴/和田 あつむ	講談社		
new1b	9784299071859	2026-11	私の秘密を婚約者に見られた時の対処法を誰か教えてください	穂泉 縁/白雲 八鈴	宝島社		
new1b	9784824018724	2026-10	碧斗くんの執愛は甘くて重い　〜年上幼なじみと濡れエロ同棲生活（1）	ひづきはるか	オーバーラップ		
new1b	9784824018687	2026-10	いたいのいたいのここにいて（1）	下野 圭	オーバーラップ		
ex_mid	9784301008668	2026-11	灰宮先輩は怖くてかわいい（4）	神山すむ	スクウェア・エニックス		
ex_mid	9784065454794	2026-11	消費生活者ターさん（2）	はんざき 朝未	講談社		
ex_mid	9784592167334	2026-11	《最強ステータス》を引き継いで人間に転生した聖獣ベヒーモス、勇者の婚約者（お姫様	森 あいり/銀翼 のぞみ	白泉社		
ex_mid	9784592167327	2026-11	Sランクモンスターの《ベヒーモス》だけど、猫と間違われてエルフ娘の騎士として暮ら	銀翼 のぞみ/東雲 太郎・夜ノ みつき	白泉社		
ex_mid	9784592161493	2026-11	異世界に行ったので手に職を持って生き延びます 2	林 ふみの/白露 鶺鴒/LINO	白泉社		
ex_mid	9784041179567	2026-11	ツッコミ待ちの町野さん 2	にちょぴん/くうねりん/サコ/KADOKAWA内	KADOKAWA		
ex_mid	9784785983314	2026-11	オニハソト　-鬼門街外伝ー 2	永田 晃一/ふくしま正保	少年画報社		
ex_mid	9784785983277	2026-11	バカ姉弟キング 3	安達哲	少年画報社		
ex_mid	9784785983284	2026-11	いきもにあっく！ 3	井上とさず	少年画報社		
ex_mid	9784065444559	2026-11	ナースの取扱説明書（トリセツ）（3）	座紀 光倫	講談社		
ex_mid	9784065453391	2026-11	もやしもん＋（2）	石川 雅之	講談社		
ex_mid	9784088943572	2026-11	義母の愛はママならないっ！ 2	ほみなみあ	集英社		
ex_mid	9784088944173	2026-11	慰謝料狩り 6	きづきあきら＋サトウナンキ	集英社		
ex_mid	9784785983215	2026-11	追放聖女の勝ち上がりライフ 4	まゆらん（ツギクル）/とぐろなす/イヌ乃さゑ汰	少年画報社		
ex_mid	9784065454701	2026-11	異世界メイドの三ツ星グルメ　現代ごはん作ったら王宮で大バズリしました（6）	U4/モリタ/nima	講談社		
ex_mid	9784065459607	2026-11	少女マクベス（2）	降田 天/うまみ ザウルス	講談社		
ex_mid	9784868660675	2026-11	ジャスティス・サーガ　-我の創りし理想の世界で幼女無双ー 3	山本神話	Cygames		
ex_mid	9784868660781	2026-11	ホメちょろ無双〜こじらせ最強女達をホメただけで最強PTに〜 4	からしと	Cygames		
ex_mid	9784868660651	2026-11	お嬢様の捕まえ方 4	城島袋	Cygames		
ex_mid	9784868660729	2026-11	飛んでけ聖剣 5	ヴィコ	Cygames		
ex_mid	9784199611018	2026-11	幸運な君と僕の未来（2）	加奈	徳間書店		
ex_mid	9784088552781	2026-11	α王の運命 〜王妃候補の護衛のはずが王の番になりました〜 2	上原 有紗/カヅキ ハルカ（エブリスタ）	集英社		
ex_mid	9784785983352	2026-11	伝言猫がカフェにいます 2	標野 凪/木綿八十子	少年画報社		
ex_mid	9784065454312	2026-11	死んだ木村を上演（2）	多鹿 たまね/金子 玲介	講談社		
ex_mid	9784434388682	2026-11	臼井くんはしのびない2	茶麻	ドリコム		
ex_mid	9784046606778	2026-11	久々に健康診断を受けたら最強ステータスになっていた 〜追放されたオッサン冒険者、	瀬田　青丸/夜分　長文/はにゅう/桑島　黎音	KADOKAWA		
ex_mid	9784049525168	2026-11	近づいて、スピカ2	fuyu	KADOKAWA		
ex_mid	9784046609007	2026-11	ダウナー系お姉さんに毎日カスの嘘を流し込まれる話　4	生倉　のゑる/はるばーど屋	KADOKAWA		
ex_mid	9784046608444	2026-11	異世界転移したけど、王立学院で事務員やってます（3） 平穏な日常、時々腹黒教授	秦　セロリ/虎石　幸子/黒埼	KADOKAWA		
ex_mid	9784046608437	2026-11	婚約破棄され捨てられるらしいので、軍人令嬢はじめます　2	宇海　みづ/雪/ノズ	KADOKAWA		
ex_mid	9784046608451	2026-11	ラスボス令息に殺される義姉ですが、彼を好きになってしまいました。　2	あるてぃ/かわい　澄香/夏目　レモン	KADOKAWA		
ex_mid	9784049723007	2026-11	国王陛下、私を飼ってください！　〜妹の身代わりで貢ぎ物にされましたが、愛され犬を	乙黒　ゆう/椿　蛍	KADOKAWA		
ex_mid	9784046607416	2026-11	悪役令嬢は王子の本性（溺愛）を知らない 6	西賀　スオミ/霜月　せつ/御子柴　リョウ	KADOKAWA		
ex_mid	9784160902688	2026-11	最恐魔法使いの愛が一途すぎる 封印された元聖女は禁忌の愛でお目覚めです 2	来須 みかん/白良木 羅々	文藝春秋		
ex_mid	9784160902671	2026-11	悪役令嬢のお嫁さま 3	かわの あきこ	文藝春秋		
ex_mid	9784800018427	2026-11	竜神様に見初められまして〜虐げられ令嬢の三食もふもふ溺愛付き生活〜 2	さとうきび畑/青季ふゆ	マッグガーデン		
ex_mid	9784800018366	2026-11	魔王様のバグトラップ迷宮制作記 3	あまがえる	マッグガーデン		
ex_mid	9784045000690	2026-11	ハルタ 2026-NOVEMBER volume 139	ハルタ編集部	KADOKAWA		
ex_mid	9784045001260	2026-11	佐藤英子(32)はヒーローになれたのか　1	八十八　良	KADOKAWA		
ex_mid	9784045002564	2026-11	海底清掃人マタタビュリス　2	本山　とらじろう	KADOKAWA		
ex_mid	9784045002960	2026-11	春のデジャヴに踊れ　2	おどる	KADOKAWA		
ex_mid	9784824019110	2026-11	侯爵家の次女は姿を隠す 3	乾 しろ/中村 猫/コユコム	オーバーラップ		
ex_mid	9784065453421	2026-11	新　仮面ライダーSPIRITS　ロンリー仮面ライダー編（2）	村枝 賢一/石ノ森 章太郎	講談社		
ex_mid	9784065452387	2026-11	Pumpkin　Scissors（25）	岩永 亮太郎	講談社		
ex_mid	9784065451991	2026-10	大嫌いなままでいいですので、私と子供を作ってもらえませんか？（4）	茜 たま/花戸 つき	講談社		
ex_mid	9784824018991	2026-10	古代魔法＜アンティカマギア＞はあまりにも 2	Katagiri/りんご犬	オーバーラップ		
ex_mid	9784824019028	2026-10	魔王とはじめるRPG 2	スエカネクミコ	オーバーラップ		
ex_mid	9784824019004	2026-10	お隣さんのギャルが僕を惚れさせたくて全力すぎる 2	瀬口たかひろ/枩 葉松	オーバーラップ		
ex_mid	9784824019035	2026-10	無能と言われ続けた魔導師、実は世界最強なのに幽閉されていたので自覚なし 3	すちふぁ/奉/mmu	オーバーラップ		
ex_mid	9784824019011	2026-10	最強の剣聖、美少女メイドに転生し箒で無双する 2	野村エージ/三日月猫/azuタロウ	オーバーラップ		
ex_mid	9784824018694	2026-10	Ωになれたらお前と番える？ 2	吉田くまこ	オーバーラップ		
ex_mid	9784860722388	2026-10	まんだらけZENBU（136）	まんだらけ	まんだらけ		
zokkan_hold	9784088853116		キャプテン2 21			同巻番号2既在(版違い/二重登録?) 既存=頁既在 slug=captain
zokkan_hold	9784785983307		ギャングキング 2			同巻番号2既在(版違い/二重登録?) 既存=頁既在 slug=gang-king
zokkan_hold	9784088944388		俺はまだ、本気を出していないDX 8			同巻番号8既在(版違い/二重登録?) 既存=頁既在 slug=ore-wa-mada-honki-o-dashite-inai-dx
zokkan_hold	9784868660668		弱男 -僕とモラ妻ー 4			series_key逆引き不可(preorder-pages由来=種2不在→seed直接追記が正) slug=jakudan-boku-to-mora-zuma
zokkan_hold	9784299079756		愛蔵版 シトラス学園			巻番号不明 slug=citrus-gakuen
new1a_hold	9784088852867		ハイキュー!! キャラクターリミックス 絆 及川と岩泉			slug生成不可(→ data/seeds/preorder-slug-manual.tsv に人が裁いたslugを置いて --isbn 再生成)
new1a_hold	9784041180112		ホロライブ学園			slug生成不可(→ data/seeds/preorder-slug-manual.tsv に人が裁いたslugを置いて --isbn 再生成)
new1a_hold	9784785983376		近畿霊務局			slug生成不可(→ data/seeds/preorder-slug-manual.tsv に人が裁いたslugを置いて --isbn 再生成)
new1a_hold	9784088942919		異世界転生した途端追放されましたが、ハズレスキル【調理】は世界で唯一魔物を従えら			slug生成不可(→ data/seeds/preorder-slug-manual.tsv に人が裁いたslugを置いて --isbn 再生成)
new1a_hold	9784785983321		終電前のちょいごはん 薬院文月のみかづきレシピ			slug生成不可(→ data/seeds/preorder-slug-manual.tsv に人が裁いたslugを置いて --isbn 再生成)
new1a_hold	9784434388729		99回断罪されたループ令嬢ですが今世は「超絶愛されモード」ですって!?7			slug生成不可(→ data/seeds/preorder-slug-manual.tsv に人が裁いたslugを置いて --isbn 再生成)
new1a_hold	9784046608260		悪役令嬢に転生した私が、なぜか暴君侯爵に溺愛されてるんですけど			slug生成不可(→ data/seeds/preorder-slug-manual.tsv に人が裁いたslugを置いて --isbn 再生成)
new1a_hold	9784299082862		手塚治虫 創作に命を燃やし尽くした全生涯			slug生成不可(→ data/seeds/preorder-slug-manual.tsv に人が裁いたslugを置いて --isbn 再生成)
new1a_hold	9784824019103		番と知らずに私を買った純愛こじらせ騎士団長に運命の愛を捧げられました!			slug生成不可(→ data/seeds/preorder-slug-manual.tsv に人が裁いたslugを置いて --isbn 再生成)
new1b_hold	9784088943930		蜜月大正浪漫譚			slug生成不可(→ data/seeds/preorder-slug-manual.tsv に人が裁いたslugを置いて --isbn 再生成)
new1b_hold	9784867209585		戦いしかしらない女騎士を甘やかし続けた			slug生成不可(→ data/seeds/preorder-slug-manual.tsv に人が裁いたslugを置いて --isbn 再生成)
new1b_hold	9784088552774		α王の運命			楽天ヨミ無し/汚染=捏造回避hold(NDL照合キューへ)
new1b_hold	9784434388668		可愛い死顔に魅せられて			slug生成不可(→ data/seeds/preorder-slug-manual.tsv に人が裁いたslugを置いて --isbn 再生成)
new1b_hold	9784046607430		地味令嬢、しごでき皇妃になる!			slug生成不可(→ data/seeds/preorder-slug-manual.tsv に人が裁いたslugを置いて --isbn 再生成)
new1b_hold	9784049722611		拾われた没落令嬢は堅物侯爵様に溺愛されたい			slug生成不可(→ data/seeds/preorder-slug-manual.tsv に人が裁いたslugを置いて --isbn 再生成)
new1b_hold	9784800018410		ララティーナの婚約 前世、戦場で共に散った私と騎士様はーー今世、田舎の伯爵令嬢と			slug生成不可(→ data/seeds/preorder-slug-manual.tsv に人が裁いたslugを置いて --isbn 再生成)
new1b_hold	9784824019097		午前0時、解けない魔法を私にかけて!			slug生成不可(→ data/seeds/preorder-slug-manual.tsv に人が裁いたslugを置いて --isbn 再生成)
ex_mid_hold	9784301008668		灰宮先輩は怖くてかわいい			全巻回収不成立 vols=[4]
ex_mid_hold	9784065454794		消費生活者ターさん			全巻回収不成立 vols=[2]
ex_mid_hold	9784592167334		《最強ステータス》を引き継いで人間に転生した聖獣ベヒーモス、勇者の婚約者(お姫様			全巻回収不成立 vols=[4]
ex_mid_hold	9784592167327		Sランクモンスターの《ベヒーモス》だけど、猫と間違われてエルフ娘の騎士として暮ら			全巻回収不成立 vols=[15]
ex_mid_hold	9784041179567		ツッコミ待ちの町野さん			全巻回収不成立 vols=[2]
ex_mid_hold	9784785983277		バカ姉弟キング			slug生成不可
ex_mid_hold	9784065453391		もやしもん+			slug生成不可
ex_mid_hold	9784088944173		慰謝料狩り			全巻回収不成立 vols=[6]
ex_mid_hold	9784065454701		異世界メイドの三ツ星グルメ 現代ごはん作ったら王宮で大バズリしました			全巻回収不成立 vols=[6]
ex_mid_hold	9784868660675		ジャスティス・サーガ -我の創りし理想の世界で幼女無双ー			全巻回収不成立 vols=[3]
ex_mid_hold	9784868660781		ホメちょろ無双			全巻回収不成立 vols=[4]
ex_mid_hold	9784868660651		お嬢様の捕まえ方			全巻回収不成立 vols=[4]
ex_mid_hold	9784868660729		飛んでけ聖剣			全巻回収不成立 vols=[5]
ex_mid_hold	9784199611018		幸運な君と僕の未来			全巻回収不成立 vols=[2]
ex_mid_hold	9784088552781		α王の運命			楽天ヨミ無し/汚染=捏造回避hold
ex_mid_hold	9784434388682		臼井くんはしのびない			全巻回収不成立 vols=[2]
ex_mid_hold	9784049525168		近づいて、スピカ			全巻回収不成立 vols=[2]
ex_mid_hold	9784046609007		ダウナー系お姉さんに毎日カスの嘘を流し込まれる話			全巻回収不成立 vols=[4]
ex_mid_hold	9784046608444		異世界転移したけど、王立学院で事務員やってます			全巻回収不成立 vols=[3]
ex_mid_hold	9784046608437		婚約破棄され捨てられるらしいので、軍人令嬢はじめます			slug生成不可
ex_mid_hold	9784046608451		ラスボス令息に殺される義姉ですが、彼を好きになってしまいました。			slug生成不可
ex_mid_hold	9784049723007		国王陛下、私を飼ってください!			楽天ヨミ無し/汚染=捏造回避hold
ex_mid_hold	9784046607416		悪役令嬢は王子の本性(溺愛)を知らない			全巻回収不成立 vols=[6]
ex_mid_hold	9784160902688		最恐魔法使いの愛が一途すぎる 封印された元聖女は禁忌の愛でお目覚めです			slug生成不可
ex_mid_hold	9784800018427		竜神様に見初められまして			slug生成不可
ex_mid_hold	9784800018366		魔王様のバグトラップ迷宮制作記			slug生成不可
ex_mid_hold	9784045000690		ハルタ 2026-NOVEMBER			楽天ヨミ無し/汚染=捏造回避hold
ex_mid_hold	9784045001260		佐藤英子(32)はヒーローになれたのか			全巻回収不成立 vols=[32]
ex_mid_hold	9784045002564		海底清掃人マタタビュリス			slug生成不可
ex_mid_hold	9784045002960		春のデジャヴに踊れ			全巻回収不成立 vols=[2]
ex_mid_hold	9784065452387		Pumpkin Scissors			全巻回収不成立 vols=[13, 25]
ex_mid_hold	9784824019035		無能と言われ続けた魔導師、実は世界最強なのに幽閉されていたので自覚なし			slug生成不可
ex_mid_hold	9784824019011		最強の剣聖、美少女メイドに転生し箒で無双する			slug生成不可
ex_mid_hold	9784824018694		Ωになれたらお前と番える?			全巻回収不成立 vols=[2]
ex_mid_hold	9784860722388		まんだらけZENBU			全巻回収不成立 vols=[136]
