最終発売日	slug	title	著者	巻数	status	adult
2027-11-30	morohoshi-daijirou-tanpen-shuusei	諸星大二郎短編集成	諸星大二郎	12	ongoing	
2027-04-20	deatte-3-pun-de-mimikaki	出会って3分で耳かき	三筋クエン酸	1	ongoing	
2027-02-19	the-last-terran	THE LAST TERRAN	たかしげ宙	1	ongoing	
2027-02-19	mitsuko-san-chino-second-recipe	ミツコさんちのセカンドレシピ	新久千映	1	ongoing	
2027-02-08	moto-kano-cafe	元カノカフェ	吉田貴司	1	ongoing	
2027-01-29	kouto-onmyou-gakkou	皇都陰陽学校	友麻 碧	1	ongoing	
2026-12-18	suterare-maou-no-gyakuten-harem-onna-yuusha-to-moto-yome-kakeru-4	捨てられ魔王の逆転ハーレム〜女勇者と元嫁×4に迫られる	ショーソン	1	ongoing	
2026-12-18	senpai-sono-o-shiri-wa-fu-majimedesu	先輩、そのお尻は不真面目です!	吉田ごはん	1	ongoing	
2026-12-18	oni-buchou-ga-imouto-ni-nattara-gap-arisugi-amaenbou	鬼部長が妹になったら〜ギャップありすぎ甘えん坊	いのうえみたん	1	ongoing	
2026-12-18	ma-kengouga-geki-miyamoto-musashi	魔剣豪画劇　宮本武蔵	山口貴由	1	ongoing	
2026-12-10	nani-ka-ga-okashii-kowai-kotowaza	何かがおかしい怖いことわざ	カメントツ	1	ongoing	
2026-12-04	ijime-to-kaeru-to-mama-to-fukushuu	イジメとカエルとママと復讐	原田 重光	1	ongoing	
2026-11-25	tada-no-monban-jitsu-wa-saikyou-dato-kizukanai	ただの門番、実は最強だと気づかない	今慈ムジナ	4	ongoing	
2026-11-25	risemara-death-gamer	リセマラ∞デスゲーマー	仲間友	1	ongoing	
2026-11-25	rinbansei-de-kyuuseishu-o-tantou-shite-kita-noni-konkai-no-ore-wa-maou-rashii	輪番制で救世主を担当してきたのに、今回の俺は魔王らしい	陶花ゆうの	2	ongoing	
2026-11-25	nan-no-torie-mo-nai-heibon-na-ore-ga-bijin-futago-shimai-o-inochigake	何の取り柄もない平凡な俺が美人双子姉妹を命懸けで助けた結果、実はヤンデレだった二人をガチ惚れさせてしまった件	水島紗鳥	1	ongoing	
2026-11-25	kutouruu-toka-zenzen-wakaranai-ore-ga-jashin-no-chikara-de-bakunyuu-joshi-to-musou-suru	クトゥルーとか全然わからない俺が、邪神の力で爆乳女子と無双する	サイトウミチ	6	ongoing	
2026-11-25	isekai-ni-houchigee-riron-o-mochikondara-sekai-saikyou-ni-nareru-setsu	異世界に放置ゲー理論を持ち込んだら世界最強になれる説	杯雪乃	2	ongoing	
2026-11-25	hitobito-o-kagenagara-sukutteiru-eiyuu-jitsu-wa-koushakuke-no-kuzu	人々を陰ながら救っている英雄、実は公爵家のクズ息子。というのを周囲は知っている	楓原こうた	2	ongoing	
2026-11-25	hazure-skill-renkin-koubou-de-hajimeru-dakkan-seikatsu	ハズレスキル『錬金工房』で始める奪還生活	青山有	1	ongoing	
2026-11-25	fuhai-no-zakoshougun	不敗の雑魚将軍	藤原みけ	1	ongoing	
2026-11-20	yo-watare-takatora	世渡れ! 高虎	亀八泰	1	ongoing	
2026-11-20	suki-koso-kurashi-no-jouzunare	好きこそ暮らしの上手なれ	もりみや仁	1	ongoing	
2026-11-20	shuumatsu-no-valkyrie-ki-tan-jack-za-ripper-no-file	終末のワルキューレ奇譚ジャック・ザ・リッパーの事件簿	イイヅカケイタ	12	ongoing	
2026-11-20	boku-dake-yomeru-kinsho-majutsu	僕だけ詠める禁書魔術	田中アム	1	ongoing	
2026-11-19	tokushin-no-kishi	涜神の騎士	金藤 澪	1	ongoing	
2026-11-19	soshite-kuchibiru-ni-chi-ga-nijimu	そして唇に血が滲む	杉本蜂太郎	1	ongoing	
2026-11-19	protocol-ryuuguu	プロトコル・リュウグウ	都留 泰作	1	ongoing	
2026-11-19	intai-shita-saikyou-ansatsusha-wa-henkyou-no-shima-de-shizuka-ni-kurashitai	隠退した最強暗殺者は辺境の島で静かに暮らしたい	平成 オワリ	1	ongoing	
2026-11-19	igc-girl	IGCガール	東 和広	1	ongoing	
2026-11-19	buttai-xyz	物体XYZ	モノノヴ	1	ongoing	
2026-11-18	shikiyoku-hadou	色欲覇道	嶋野磯太郎	1	ongoing	
2026-11-18	ikinari-gyaru-tsuma-to-shoyadesu	いきなりギャル妻と初夜です	みやむ	1	ongoing	
2026-11-13	booto-girl	ボートガール!	四葉夕卜	1	ongoing	
2026-11-09	puchi-hontouni-atta-yukaina-hanashi-nurse-no-hitorigoto-sp	ぷち本当にあった愉快な話 ナースのひとりごとSP	オムニバス	1	ongoing	
2026-11-09	kaijuu-romantics	怪獣ロマンティクス	じぃと	1	ongoing	
2026-11-09	hundred-note-coffin-robin	ハンドレッドノート	秋月 壱葉	1	ongoing	
2026-11-09	class-teni-de-kyoten-mahou-o-te-ni-iretara-harem-kyoudou-seikatsu-ga-hajimarimas	クラス転移で拠点魔法を手に入れたら、ハーレム共同生活が始まりました	百井 一途	1	ongoing	
2026-11-06	teikoku-uchuugun-shozoku-no-oredesu-ga-mikai-no-wakusei-ni-sounan	帝国宇宙軍所属の俺ですが、未開の惑星に遭難しました。なんかこの星、魔法とか存在しているんですけど!?	ネコミコズッキーニ	2	ongoing	
2026-11-06	still-you	Still you	西尾上	1	ongoing	
2026-11-06	kiki-machigai-kara-hajimaru-isekai-kaitakuki	聞き間違いから始まる異世界開拓記	西洋躑躅	1	ongoing	
2026-11-06	isekai-mattari-nikki-moto-densetsu-no-otoko-wa-onnanokotachi	異世界まったり日記 元伝説の男は女の子たちと静かに暮らしたい	フレデリック	1	ongoing	
2026-11-06	goblin-darake-no-sekai-de-ore-dake-cheat-fuyo-majutsu-de-jiyuu-ni-ikite-iku	ゴブリンだらけの世界で、俺だけ【チート付与魔術】で自由に生きていく	ハーーナ殿下	3	ongoing	
