class	isbn13	n_pages	group_shared_n	group_ratio	author_rel	isolated_side	num_mismatch	version_side	pages	group_id
WRONG_ISBN_FILL	9784253099356	2	1	20%	著者不一致				bikkuriman-omoshiro-land[ビックリマンおもしろランド] ed=standard/Movieコミックス vol=7 ed_vols=11 page_vols=11 date=1988-08-20 | bikkuriman-omoshirorando[ビックリマン おもしろランド] ed=standard/Movieコミックス vol=7 ed_vols=5 page_vols=5 date=1988-09-15	bikkuriman-omoshiro-land+bikkuriman-omoshirorando
WRONG_ISBN_FILL	9784063806205	2	1	33%	著者不一致				k-memory-of-red[K -メモリー・オブ・レッド-] ed=standard/講談社 vol=2 ed_vols=3 page_vols=3 date=2013-03-13 | k-shitsuki-1988[K] ed=standard/SPコミックス vol=2 ed_vols=2 page_vols=3 date=2013-03	k-memory-of-red+k-shitsuki-1988
WRONG_ISBN_FILL	9784757503724	2	1	50%	著者不一致				star-ocean-second-story[スターオーシャン セカンドストーリー] ed=standard/エニックススーパーコミック劇場 v.25 vol=6 ed_vols=3 page_vols=3 date=2001-01 | star-ocean-sekando-story[スターオーシャン セカンドストーリー] ed=standard/エニックススーパーコミック劇場 v.30 vol=6 ed_vols=2 page_vols=2 date=2001-01	star-ocean-second-story+star-ocean-sekando-story
WRONG_ISBN_FILL	9784757503830	2	1	33%	著者不一致				star-ocean-second-story[スターオーシャン セカンドストーリー] ed=standard/エニックススーパーコミック劇場 v.25 vol=5 ed_vols=3 page_vols=3 date=2001-01-22 | star-ocean-the-second-story[スターオーシャン セカンドストーリー] ed=standard/エニックススーパーコミック劇場 vol=5 ed_vols=7 page_vols=7 date=2001-02	star-ocean-second-story+star-ocean-the-second-story
WRONG_ISBN_FILL	9784257900757	2	1	50%	著者不一致				the-combat[ザ・コンバット] ed=standard/デュオ・セレクション・オリジナル vol=1 ed_vols=2 page_vols=2 date=1986-01 | the-konbatto[ザ・コンバット] ed=standard/デュオ・セレクション・オリジナル vol=1 ed_vols=2 page_vols=2 date=1986-01	the-combat+the-konbatto
TRIPLE_PLUS	9784253064293	3	2	67%	著者不一致				ultraman[ウルトラマン] ed=shinsoban/秋田書店 vol=1 ed_vols=2 page_vols=9 date=1997-07-04 | ultraman-1992[ウルトラマン] ed=shinsoban/秋田書店 vol=1 ed_vols=2 page_vols=3 date=1997-07-04 | ultraman-kazumine-1968[ウルトラマン] ed=shinsoban/秋田書店 vol=1 ed_vols=2 page_vols=6 date=1997-07-04	ultraman+ultraman-1992+ultraman-kazumine-1968
TRIPLE_PLUS	9784253064309	3	2	67%	著者不一致				ultraman[ウルトラマン] ed=shinsoban/秋田書店 vol=2 ed_vols=2 page_vols=9 date=1997-08-01 | ultraman-1992[ウルトラマン] ed=shinsoban/秋田書店 vol=2 ed_vols=2 page_vols=3 date=1997-08-01 | ultraman-kazumine-1968[ウルトラマン] ed=shinsoban/秋田書店 vol=2 ed_vols=2 page_vols=6 date=1997-08-01	ultraman+ultraman-1992+ultraman-kazumine-1968
TRIPLE_PLUS	9784884757397	3	1	33%	著者不一致				x-men[X-MEN] ed=standard/Bamboo comics vol=7 ed_vols=9 page_vols=21 date=1994-09 | x-men-1994[X-MEN] ed=standard/バンブーコミックス vol=7 ed_vols=11 page_vols=11 date=1994-09 | x-men-1994-4[エックスメン] ed=standard/バンブーコミックス vol=7 ed_vols=3 page_vols=3 date=1994-09-15	x-men+x-men-1994+x-men-1994-4
GRAFT_ISOLATED	9784801957794	2	2	100%	共通著者あり	bird-black-market			bird-black-maaketto[バード] ed=standard/近代麻雀コミックス vol=1 ed_vols=9 page_vols=9 date=2017-03-15 | bird-black-market[バード BLACK MARKET] ed=standard/近代麻雀コミックス vol=1 ed_vols=2 page_vols=2 date=2017-03-15	bird-black-maaketto+bird-black-market
GRAFT_ISOLATED	9784801960237	2	2	100%	共通著者あり	bird-black-market			bird-black-maaketto[バード] ed=standard/近代麻雀コミックス vol=2 ed_vols=9 page_vols=9 date=2017-09-01 | bird-black-market[バード BLACK MARKET] ed=standard/近代麻雀コミックス vol=2 ed_vols=2 page_vols=2 date=2017-09-01	bird-black-maaketto+bird-black-market
GRAFT_ISOLATED	9784785920852	2	2	100%	共通著者あり	gold-2			gold-2[ゴールド] ed=standard/少年画報社 vol=1 ed_vols=2 page_vols=2 date=2001-05-11 | gold-2004[GOLD] ed=standard/ヤングキングコミックス vol=1 ed_vols=16 page_vols=16 date=2001-05-11	gold-2+gold-2004
GRAFT_ISOLATED	9784785921101	2	2	100%	共通著者あり	gold-2			gold-2[ゴールド] ed=standard/少年画報社 vol=2 ed_vols=2 page_vols=2 date=- | gold-2004[GOLD] ed=standard/ヤングキングコミックス vol=2 ed_vols=16 page_vols=16 date=2001-08	gold-2+gold-2004
GRAFT_ISOLATED	9784779606816	2	2	100%	共通著者あり	guranpuri-tengoku-classic			guranpuri-tengoku[グランプリ天国] ed=standard/NEWS MOOK vol=1 ed_vols=6 page_vols=6 date=- | guranpuri-tengoku-classic[グランプリ天国クラシック] ed=standard/NEWS MOOK vol=1 ed_vols=2 page_vols=2 date=2009-08	guranpuri-tengoku+guranpuri-tengoku-classic
GRAFT_ISOLATED	9784779609534	2	2	100%	共通著者あり	guranpuri-tengoku-classic			guranpuri-tengoku[グランプリ天国] ed=standard/NEWS MOOK vol=2 ed_vols=6 page_vols=6 date=2010-07-15 | guranpuri-tengoku-classic[グランプリ天国クラシック] ed=standard/NEWS MOOK vol=2 ed_vols=2 page_vols=2 date=2010-07	guranpuri-tengoku+guranpuri-tengoku-classic
GRAFT_ISOLATED	9784833472616	2	2	100%	著者不一致	hikaru-kaze-2013			hikaru-kaze[光る風] ed=shinsoban/ALBA TROSS-VIEW vol=1 ed_vols=2 page_vols=18 date=2013-06-05 | hikaru-kaze-2013[光る風] ed=standard/ALBA TROSS-VIEW vol=1 ed_vols=2 page_vols=2 date=2013-06-05	hikaru-kaze+hikaru-kaze-2013
GRAFT_ISOLATED	9784833472623	2	2	100%	著者不一致	hikaru-kaze-2013			hikaru-kaze[光る風] ed=shinsoban/ALBA TROSS-VIEW vol=2 ed_vols=2 page_vols=18 date=2013-07-04 | hikaru-kaze-2013[光る風] ed=standard/ALBA TROSS-VIEW vol=2 ed_vols=2 page_vols=2 date=2013-07-04	hikaru-kaze+hikaru-kaze-2013
GRAFT_ISOLATED	9784063049022	2	2	100%	著者不一致	kasuga-no-tsubone-1988-2			kasuga-no-tsubone-1988[春日局] ed=shinsoban/講談社版(1988) vol=1 ed_vols=2 page_vols=22 date=1988-10-01 | kasuga-no-tsubone-1988-2[春日局] ed=standard/講談社 vol=1 ed_vols=2 page_vols=2 date=1988-10-01	kasuga-no-tsubone-1988+kasuga-no-tsubone-1988-2
GRAFT_ISOLATED	9784063049039	2	2	100%	著者不一致	kasuga-no-tsubone-1988-2			kasuga-no-tsubone-1988[春日局] ed=shinsoban/講談社版(1988) vol=2 ed_vols=2 page_vols=22 date=1988-12-01 | kasuga-no-tsubone-1988-2[春日局] ed=standard/講談社 vol=2 ed_vols=2 page_vols=2 date=1988-12-01	kasuga-no-tsubone-1988+kasuga-no-tsubone-1988-2
GRAFT_ISOLATED	9784569554600	2	2	100%	著者不一致	shinsengumi-1996			shinsengumi[新選組] ed=shinsoban/PHP研究所版(1996) vol=1 ed_vols=1 page_vols=18 date=1996-12-26 | shinsengumi-1996[新選組] ed=standard/PHP研究所 vol=1 ed_vols=1 page_vols=2 date=1996-12-26	shinsengumi+shinsengumi-1996
GRAFT_ISOLATED	9784569573526	2	2	100%	著者不一致	shinsengumi-1996			shinsengumi[新選組] ed=bunkobon/PHP文庫 vol=1 ed_vols=1 page_vols=18 date=2000-01 | shinsengumi-1996[新選組] ed=bunkobon/PHP文庫 vol=1 ed_vols=1 page_vols=2 date=2000-01	shinsengumi+shinsengumi-1996
GRAFT_ISOLATED	9784061086111	2	2	100%	著者不一致	shinsengumi-tezuka-1967			shinsengumi[新選組] ed=shinsoban/手塚治虫漫画全集 vol=1 ed_vols=1 page_vols=18 date=1977-06-10 | shinsengumi-tezuka-1967[新選組] ed=standard/手塚治虫漫画全集 vol=1 ed_vols=1 page_vols=3 date=1977-06-10	shinsengumi+shinsengumi-tezuka-1967
GRAFT_ISOLATED	9784063737271	2	2	100%	著者不一致	shinsengumi-tezuka-1967			shinsengumi[新選組] ed=bunkobon/手塚治虫文庫全集 vol=1 ed_vols=1 page_vols=18 date=2009-12-11 | shinsengumi-tezuka-1967[新選組] ed=bunkobon/手塚治虫文庫全集 vol=1 ed_vols=1 page_vols=3 date=2009-12-11	shinsengumi+shinsengumi-tezuka-1967
GRAFT_ISOLATED	9784835455310	2	2	100%	共通著者あり	wild-7-1972	1		wild-7[ワイルド7] ed=kanzenban/復刊ドットコム vol=3 ed_vols=16 page_vols=168 date=2017-11 | wild-7-1972[ワイルド7 1972] ed=standard/復刊ドットコム vol=1 ed_vols=3 page_vols=3 date=2017-11	wild-7+wild-7-1972
GRAFT_ISOLATED	9784835455327	2	2	100%	共通著者あり	wild-7-1972	1		wild-7[ワイルド7] ed=kanzenban/復刊ドットコム vol=4 ed_vols=16 page_vols=168 date=2018-01-21 | wild-7-1972[ワイルド7 1972] ed=standard/復刊ドットコム vol=3 ed_vols=3 page_vols=3 date=2018-01-21	wild-7+wild-7-1972
GRAFT_ISOLATED	9784845809950	2	1	100%	共通著者あり	keishichou-0-ka-no-onna			0-shinohara-1977[0課の女] ed=shinsoban/SPコミックス vol=6 ed_vols=1 page_vols=10 date=1997-04 | keishichou-0-ka-no-onna[警視庁0課の女] ed=standard/SPコミックス vol=6 ed_vols=1 page_vols=1 date=1997-04	0-shinohara-1977+keishichou-0-ka-no-onna
GRAFT_ISOLATED	9784812453209	2	1	100%	共通著者あり	batsuichi-30ans			batsuichi-30ans[バツイチ30ans] ed=standard/竹書房 vol=1 ed_vols=1 page_vols=1 date=1999-10-27 | batsuichi-trentaine[バツイチ・トランタン] ed=standard/Bamboo comics vol=1 ed_vols=2 page_vols=2 date=1999-09-27	batsuichi-30ans+batsuichi-trentaine
GRAFT_ISOLATED	9784778320218	2	1	100%	著者不一致	blue-2006			blue-2006[BLUE] ed=standard/光文社コミックス vol=1 ed_vols=1 page_vols=1 date=2006-08 | blue-sakisaka-2006[BLUE] ed=shinsoban/Ohta comics vol=1 ed_vols=1 page_vols=11 date=2006-08	blue-2006+blue-sakisaka-2006
GRAFT_ISOLATED	9784845808144	2	1	100%	共通著者あり	bon-kudo	1		bon[Bon] ed=standard/SPコミックス vol=2 ed_vols=5 page_vols=5 date=1994-09-09 | bon-kudo[ボン] ed=standard/SPコミックス vol=1 ed_vols=1 page_vols=1 date=1994-09-09	bon+bon-kudo
GRAFT_ISOLATED	9784091390332	2	1	100%	共通著者あり	city-mansion-no-shikaku			city-mansion-no-shikaku[シティ・マンションの死角] ed=standard/Judy romance vol=1 ed_vols=1 page_vols=1 date=1987-08 | fuufu-tantei-funsenki[夫婦探偵奮戦記] ed=standard/小学館 vol=1 ed_vols=10 page_vols=20 date=1987-07-23	city-mansion-no-shikaku+fuufu-tantei-funsenki
GRAFT_ISOLATED	9784594028718	2	1	100%	共通著者あり	dekirukana-returns	1		dekirukana[できるかな] ed=standard/SPA!COMICS vol=2 ed_vols=4 page_vols=4 date=2000-04 | dekirukana-returns[できるかなリターンズ] ed=standard/Spa! comics vol=1 ed_vols=1 page_vols=1 date=2000-04-20	dekirukana+dekirukana-returns
GRAFT_ISOLATED	9784091390394	2	1	100%	共通著者あり	kanashimi-no-shupuuru	1		fuufu-tantei-funsenki[夫婦探偵奮戦記] ed=standard/小学館 vol=6 ed_vols=10 page_vols=20 date=1989-10-26 | kanashimi-no-shupuuru[哀しみのシュプール] ed=standard/Judy romance vol=1 ed_vols=1 page_vols=1 date=1989-11	fuufu-tantei-funsenki+kanashimi-no-shupuuru
GRAFT_ISOLATED	9784091390363	2	1	100%	共通著者あり	kieta-onna-no-requiem	1		fuufu-tantei-funsenki[夫婦探偵奮戦記] ed=standard/小学館 vol=4 ed_vols=10 page_vols=20 date=1988-10-26 | kieta-onna-no-requiem[消えた女のレクイエム] ed=standard/Judy romance vol=1 ed_vols=1 page_vols=1 date=1988-11	fuufu-tantei-funsenki+kieta-onna-no-requiem
GRAFT_ISOLATED	9784091390349	2	1	100%	共通著者あり	masquerade-1988	1		fuufu-tantei-funsenki[夫婦探偵奮戦記] ed=standard/小学館 vol=2 ed_vols=10 page_vols=20 date=1987-12-15 | masquerade-1988[マスカレード] ed=standard/Judy romance vol=1 ed_vols=1 page_vols=1 date=1988-01	fuufu-tantei-funsenki+masquerade-1988
GRAFT_ISOLATED	9784091390370	2	1	100%	共通著者あり	matenrou-typhoon	1		fuufu-tantei-funsenki[夫婦探偵奮戦記] ed=standard/小学館 vol=5 ed_vols=10 page_vols=20 date=1989-02-25 | matenrou-typhoon[摩天楼タイフーン] ed=standard/Judy romance vol=1 ed_vols=1 page_vols=1 date=1989-03	fuufu-tantei-funsenki+matenrou-typhoon
GRAFT_ISOLATED	9784091390356	2	1	100%	共通著者あり	monochrome-no-onna	1		fuufu-tantei-funsenki[夫婦探偵奮戦記] ed=standard/小学館 vol=3 ed_vols=10 page_vols=20 date=1988-05-26 | monochrome-no-onna[モノクロームの女] ed=standard/Judy romance vol=1 ed_vols=1 page_vols=1 date=1988-06	fuufu-tantei-funsenki+monochrome-no-onna
GRAFT_ISOLATED	9784091391414	2	1	100%	共通著者あり	trap	1		fuufu-tantei-funsenki[夫婦探偵奮戦記] ed=standard/小学館 vol=8 ed_vols=10 page_vols=20 date=1990-09-26 | trap[Trap] ed=standard/Judy romance vol=1 ed_vols=1 page_vols=1 date=1990-10	fuufu-tantei-funsenki+trap
GRAFT_ISOLATED	9784091391421	2	1	100%	共通著者あり	warning-1991	1		fuufu-tantei-funsenki[夫婦探偵奮戦記] ed=standard/小学館 vol=9 ed_vols=10 page_vols=20 date=1991-02-26 | warning-1991[Warning] ed=standard/Judy romance vol=1 ed_vols=1 page_vols=1 date=1991-03	fuufu-tantei-funsenki+warning-1991
GRAFT_ISOLATED	9784091391438	2	1	100%	共通著者あり	yami-no-ekusasaizu-1991	1		fuufu-tantei-funsenki[夫婦探偵奮戦記] ed=standard/小学館 vol=10 ed_vols=10 page_vols=20 date=1991-05-25 | yami-no-ekusasaizu-1991[闇のエクササイズ] ed=standard/Judy romance vol=1 ed_vols=1 page_vols=1 date=1991-06	fuufu-tantei-funsenki+yami-no-ekusasaizu-1991
GRAFT_ISOLATED	9784061732001	2	1	100%	共通著者あり	hi-no-tori-shoujo-kurabuban			hi-no-tori-shoujo-kurabuban[火の鳥 少女クラブ版] ed=standard/手塚治虫漫画全集 vol=1 ed_vols=1 page_vols=1 date=1980-03-20 | hinotori[火の鳥] ed=standard/手塚治虫漫画全集 vol=1 ed_vols=17 page_vols=60 date=1980-03-20	hi-no-tori-shoujo-kurabuban+hinotori
GRAFT_ISOLATED	9784480441027	2	1	100%	共通著者あり	kajimunugatai-kaze-ga-kataru-okinawasen			kajimunugatai[カジムヌガタイ] ed=bunkobon/ちくま文庫 vol=1 ed_vols=1 page_vols=2 date=2026-06-20 | kajimunugatai-kaze-ga-kataru-okinawasen[カジムヌガタイ : 風が語る沖縄戦] ed=standard/ちくま文庫 ; ひ36-1 vol=1 ed_vols=1 page_vols=1 date=2026-06	kajimunugatai+kajimunugatai-kaze-ga-kataru-okinawasen
GRAFT_ISOLATED	9784088750620	2	1	100%	共通著者あり	karutteto			karutteto[かるってと] ed=standard/ヤングジャンプ・コミックス・スペシャル vol=2 ed_vols=1 page_vols=1 date=1991-09-19 | quartet[かるてっと] ed=standard/ヤングジャンプ・コミックス vol=2 ed_vols=3 page_vols=3 date=1991-09-19	karutteto+quartet
GRAFT_ISOLATED	9784569845760	2	1	100%	著者不一致	musashi-2019	1		musashi-2019[武蔵] ed=standard/PHP研究所 vol=1 ed_vols=1 page_vols=1 date=2019-12-04 | musashi-motomiya-1977[武蔵] ed=shinsoban/PHP研究所版 vol=0 ed_vols=1 page_vols=8 date=2019-12-04	musashi-2019+musashi-motomiya-1977
GRAFT_ISOLATED	9784091218551	2	1	100%	共通著者あり	ningyonokizu	1		ningyo-series[人魚シリーズ] ed=standard/るーみっくわーるどスペシャル vol=2 ed_vols=2 page_vols=5 date=1993-01-15 | ningyonokizu[人魚の傷] ed=standard/るーみっくわーるどスペシャル vol=1 ed_vols=1 page_vols=1 date=1993-01-15	ningyo-series+ningyonokizu
