分類	slug	題	版type	imprint	publisher	版の巻数	多数派	少数派	少数派ISBN
SERIES低(表記/サブレーベル差)	himegoto	ヒメゴト	None	ビッグコミックスモバMAN	小学館	8	ビッグコミックスx6	ビッグコミックス　モバMAN	9784091840967,9784091844248
SERIES低(表記/サブレーベル差)	himitsu-season0	秘密season0	None	HANA TO YUME COMICS SPECIAL	白泉社	10	花とゆめコミックスx9	花とゆめコミックススペシャル	9784592212409
SERIES低(表記/サブレーベル差)	hiyokko-ryourinin	ひよっこ料理人	None	ビッグコミックス	小学館	10	ビッグ コミックスx7	ビッグ コミックス〔オリジナル〕 / ビッグコミックスオリジナル	9784091843074,9784091848086,9784091852243
SERIES低(表記/サブレーベル差)	hokuto-no-ken	北斗の拳	None	集英社文庫 コミック版	集英社	15	集英社文庫(コミック版)x12	集英社文庫	9784086172905,9784086172967,9784086172974
SERIES低(表記/サブレーベル差)	honey-bitter	Honey Bitter	None	Cookie	集英社	14	りぼんマスコットコミックスクッキーx11	りぼんマスコットコミックス	9784088674285,9784088674728,9784088675404
SERIES低(表記/サブレーベル差)	horeshou-no-half-elf-san	惚れ症のハーフエルフさん	None	ヴァルキリーコミックス	キルタイムコミュニケーション	4	ヴァルキリーコミックスx3	ヴァルキリーコミックス　407	9784799220948
SERIES低(表記/サブレーベル差)	houkago-orange	放課後オレンジ	None	フラワーコミックス	小学館	5	フラワーコミックスx4	フラワーコミックス　Sho-comiフラワーコミックス	9784091318503
SERIES低(表記/サブレーベル差)	hyouma-no-hata	兵馬の旗	None	ビッグコミックス	小学館	10	ビッグコミックスx7	ビッグ コミックス〔ビッグ〕	9784091846303,9784091848048,9784091852083
SERIES低(表記/サブレーベル差)	i-am-a-hero	アイアムアヒーロー	None	ビッグコミックス	小学館	22	ビッグコミックスx20	ビッグコミックススピリッツ	9784091840509,9784091842466
SERIES低(表記/サブレーベル差)	i-shojo-plus	i・ショウジョ+	None	ジャンプ・コミックス	集英社	14	ジャンプコミックスx10	ジャンプコミックス　PLUS	9784088804798,9784088805207,9784088806136,9784088806808
SERIES低(表記/サブレーベル差)	idolish7	アイドリッシュセブン	None	HANATOYUME COMICS SPECIAL	白泉社	7	花とゆめコミックスx6	花とゆめコミックススペシャル　LaLa	9784592212010
SERIES低(表記/サブレーベル差)	idrunk	アイドランク	None	メテオCOMICS	フレックスコミックス	4	メテオCOMICSx3	メテオCOMICS　フレックスコミックス	9784866750828
SERIES低(表記/サブレーベル差)	ikusei-jouzu-na-boukensha-youjo-o-hiroi-second-life-o-ikuji-ni-sasageru	育成上手な冒険者、幼女を拾い、セカンドライフを育児に捧げる	None	NOVA COMICS	一二三書房	5	ノヴァコミックスx4	ノヴァコミックス　6	9784824207326
SERIES低(表記/サブレーベル差)	innocent-rouge	イノサンRouge	None	ヤングジャンプコミックスGJ	集英社	12	ヤングジャンプコミックスx9	ヤングジャンプコミックスGJ / ヤングジャンプコミックス　GJ	9784088902678,9784088904146,9784088905037
SERIES低(表記/サブレーベル差)	iranai-akuyaku-reijou-wagakuni-de-hikitorimasu-wa	要らない悪役令嬢、我が国で引き取りますわ	None	Bamboo comics	竹書房	4	バンブーコミックス 異世界BCx3	バンブーコミックス	9784801985391
SERIES低(表記/サブレーベル差)	isekai-de-kojiin-o-hiraita-kedo-naze-dare-hitori-sudatou-to-shinai-ken	異世界で孤児院を開いたけど、なぜか誰一人巣立とうとしない件	None	Bamboo comics	竹書房	12	バンブーコミックスx9	バンブーコミックス 異世界BC	9784801986633,9784801988729,9784801990678
SERIES低(表記/サブレーベル差)	isekai-kuimetsu-no-same	異世界喰滅のサメ	None	ヴァルキリーコミックス	キルタイムコミュニケーション	11	ヴァルキリーコミックスx8	ヴァルキリーコミックス　380 / ヴァルキリーコミックス　403 / ヴァルキリーコミックス　418	9784799219928,9784799220733,9784799221341
SERIES低(表記/サブレーベル差)	isekai-majutsushi-wa-mahou-o-tonaenai	異世界魔術師は魔法を唱えない	None	ヴァルキリーコミックス	キルタイムコミュニケーション	6	ヴァルキリーコミックスx5	ヴァルキリーコミックス　391	9784799220306
SERIES低(表記/サブレーベル差)	isekai-ni-kita-mitai-dakedo-dou-sureba-yoi-no-darou	異世界に来たみたいだけど如何すれば良いのだろう ～社畜SEのマイペース冒険記～	None	バーズコミックス	幻冬舎	6	バーズコミックスx5	バーズコミックス　異世界に来たみたいだけど如何すれば良いのだろう　〜社畜SEのマイペース冒険記〜　1	9784344851511
SERIES低(表記/サブレーベル差)	isekai-nonbiri-camp	異世界のんびりキャンプ	None	グラストCOMICS	スターツ出版	4	グラストCOMICSx3	グラストCOMICS　グラストコミックス	9784813765929
SERIES低(表記/サブレーベル差)	ishakoi-h	イシャコイH	None	HLC Silky presents	白泉社	7	白泉社レディース・コミックスx5	白泉社レディースコミックス　シルキープレゼンツ	9784592157717,9784592157724
SERIES低(表記/サブレーベル差)	ishin-no-kagura	維新のKAGURA	None	KCDX	講談社	5	KCデラックス　MAGAZINE　E-no　COMICSx4	KCデラックス	9784063760521
SERIES低(表記/サブレーベル差)	itazura-na-kiss	イタズラなkiss	None	集英社文庫	集英社	14	集英社文庫(コミック版)x13	集英社文庫	9784086181419
SERIES低(表記/サブレーベル差)	jarinko-chie	じゃりン子チエ	None	アクション・コミックス	双葉社	44	アクションコミックスx42	アクションコミックス　Ｃｏｉｎｓアクションオリジナル	9784575990843
SERIES低(表記/サブレーベル差)	jesus-sajin-kouro	Jesus砂塵航路	None	ビッグコミックス	小学館	14	ビッグ コミックスx13	ビッグコミックス・モバMAN	9784091843395
SERIES低(表記/サブレーベル差)	jiangshi-x	キョンシーX	None	JUMP COMICS+	集英社	4	ジャンプコミックスx3	ジャンプコミックス　キョンシーX	9784088834870
SERIES低(表記/サブレーベル差)	jigoku-sensei-nube	地獄先生ぬ～べ～	None	集英社文庫 コミック版	集英社	20	集英社文庫(コミック版)x17	集英社文庫	9784086184311,9784086184441,9784086184465
SERIES低(表記/サブレーベル差)	jigokudou-reikai-tsuushin	地獄堂霊界通信	None	Good!afternoon	講談社	12	アフタヌーンKCx9	アフタヌーンKC good！ afternoon / アフタヌーンKC　Good！　afernoon	9784063106251,9784063106848,9784063107418
SERIES低(表記/サブレーベル差)	jingitachi-tachihara2018	仁義S (たち)	None	Akita top comics wide	秋田書店	8	秋田トップコミックスWIDEx6	秋田トップコミックス	9784253249508,9784253249515
SERIES低(表記/サブレーベル差)	jk-kara-yarinaosu-silver-plan	JKからやり直すシルバープラン	None	ヴァルキリーコミックス	キルタイムコミュニケーション	13	ヴァルキリーコミックスx12	ヴァルキリーコミックス　372	9784799219515
SERIES低(表記/サブレーベル差)	joou-no-hana	女王の花	None	フラワーコミックス	小学館	15	フラワーコミックスx13	フラワーコミックス　ベツコミフラワーコミックス / フラワーコミックス・ベツコミ	9784091320094,9784091343086
SERIES低(表記/サブレーベル差)	juui-dolittle	獣医ドリトル	None	ビッグコミックス	小学館	20	ビッグコミックスx17	ビッグ コミックス〔ビッグ〕	9784091843173,9784091846433,9784091850485
SERIES低(表記/サブレーベル差)	kachou-fuugetsu-uyo-kyokusetsu	花鳥風月紆余曲折	None	講談社コミックス（月マ）	講談社	5	月刊少年マガジンKCx4	月刊少年マガジンＫＣ　佐佐木勝彦漫画全集　９	9784063711905
SERIES低(表記/サブレーベル差)	kachou-shima-kousaku	課長島耕作	None	KCデラックス	講談社	8	KCデラックス　モーニングx7	KCデラックス	9784063340372
SERIES低(表記/サブレーベル差)	kakegurui	賭ケグルイ	None	ガンガンコミックスjoker	スクウェア・エニックス	22	ガンガンコミックス　JOKERx20	ガンガンコミックス	9784757545106
SERIES低(表記/サブレーベル差)	kamigami-no-itadaki	神々の山嶺	None	集英社文庫	集英社	5	集英社文庫(コミック版)x4	集英社文庫	9784086185271
SERIES低(表記/サブレーベル差)	kamigami-to-hitobito-no-hibi	神々と人々の日々	None	YOUNG JUMP COMICS X	集英社	4	ヤングジャンプコミックスx3	ヤングジャンプコミックス改	9784088795737
SERIES低(表記/サブレーベル差)	kamome-chance	かもめ☆チャンス	None	ビッグコミックス	小学館	20	ビッグコミックスx18	ビッグ コミックス〔スピリッツ〕	9784091842589,9784091845085
SERIES低(表記/サブレーベル差)	kango-joshu-no-nana-chan	看護助手のナナちゃん	None	オリジナルBIG COMICS SPECIAL	小学館	11	ビッグ コミックスx9	ビッグコミックススペシャル	9784091837806,9784091843784
SERIES低(表記/サブレーベル差)	kanojo-wa-uso-o-aishisugiteru	カノジョは嘘を愛しすぎてる	None	Cheese!フラワーコミックス	小学館	22	フラワーコミックスx19	フラワーコミックス Cheese！フラワーコミックス / フラワーコミックス〔チーズ！〕 / フラワーコミックス・チーズ	9784091335562,9784091338648,9784091348241
SERIES低(表記/サブレーベル差)	kare-to-koi-nante	彼と恋なんて	None	マーガレットコミックス	集英社	8	マーガレットコミックスx6	マーガレットコミックス　ココハナ	9784088455068,9784088455846
SERIES低(表記/サブレーベル差)	kariage-kun	かりあげクン	None	アクションコミックス	双葉社	64	アクションコミックスx54	アクションコミックス　まんがタウン	9784575943887,9784575944013,9784575944259,9784575944525
SERIES低(表記/サブレーベル差)	kasenjou-no-hateruma	火線上のハテルマ	None	ビッグコミックス	小学館	8	ビッグコミックススピリッツx7	ビッグ コミックス	9784091874726
SERIES低(表記/サブレーベル差)	kawa-ni-sazanami	かわにさざなみ	None	LC	フロンティアワークス	6	リラクトコミックス　Hugピクシブシリーズx5	リラクトコミックス	9784866579047
SERIES低(表記/サブレーベル差)	kawasemi-san-no-tsuri-gohan	カワセミさんの釣りごはん	None	ACTION COMICS	双葉社	13	アクションコミックス　（月刊アクション）x10	アクションコミックス	9784575860450,9784575861129,9784575861822
SERIES低(表記/サブレーベル差)	kekkai-sensen	血界戦線	None	ジャンプ・コミックス SQ	集英社	10	ジャンプコミックスx8	ジャンプコミックス　SQコミックス	9784088701097,9784088703398
SERIES低(表記/サブレーベル差)	kekkai-sensen-back-2-back	血界戦線Back 2 Back	None	ジャンプコミックス	集英社	10	ジャンプコミックスx9	ジャンプコミックス　SQ．	9784088805429
SERIES低(表記/サブレーベル差)	kekkon-love	結婚×レンアイ。	None	HLC Silky presents	白泉社	9	白泉社レディース・コミックスx8	白泉社レディースコミックス　シルキープレゼンツ	9784592155911
SERIES低(表記/サブレーベル差)	kenka-shoubai	喧嘩商売	None	ヤンマガKC	講談社	24	ヤンマガKCスペシャルx23	ヤンマガKC	9784063616156
SERIES低(表記/サブレーベル差)	kichiku-eiyuu	鬼畜英雄	None	NOVA COMICS	一二三書房	15	ノヴァコミックスx13	ノヴァコミックス　14 / ノヴァコミックス　15	9784824206541,9784824207357
SERIES低(表記/サブレーベル差)	kiichi-vs	キーチVS	None	ビッグコミックス	小学館	11	ビッグ コミックスx10	ビッグ コミックス〔スペリオール〕	9784091845290
SERIES低(表記/サブレーベル差)	kimi-dake-o-mitsumeteru	君だけをみつめてる	None	ヤングジャンプ・コミックス・スペシャル	集英社	7	ヤングジャンプコミックススペシャルx5	ヤングジャンプコミックス	9784088754918,9784088755571
SERIES低(表記/サブレーベル差)	kimi-no-tameni-hiku-chopin	君のために弾くショパン	None	HLC Silky presents	白泉社	4	白泉社レディースコミックスx3	白泉社レディースコミックス　シルキープレゼンツ	9784592155447
SERIES低(表記/サブレーベル差)	kingyo-no-fun-sakurada-2012	金魚の糞	None	Cheese!フラワーコミックス	小学館	4	フラワーコミックスx3	フラワーコミックス〔チーズ！〕	9784091344489
SERIES低(表記/サブレーベル差)	kirara	Kirara	None	ヤングジャンプ・コミックス	集英社	6	ヤングジャンプコミックススペシャルx5	ヤングジャンプコミックス	9784088753003
SERIES低(表記/サブレーベル差)	kiritani-san-chotsu-sore-kuunsuka	桐谷さんちょっそれ食うんすか!?	None	ACTION COMICS	双葉社	20	アクションコミックスx13	アクションコミックス　（月刊アクション）	9784575859713
SERIES低(表記/サブレーベル差)	kisarazu-kun-no-batsubatsu-ga-mitai	木更津くんの××が見たい	None	donna comics	小学館クリエイティブ	13	donna　Comicsx11	donna COMICS（ドンナ・コミックス）	9784778086442
SERIES低(表記/サブレーベル差)	kiss-zekkou-kiss	キス、絶交、キス	None	少コミCheese!フラワーコミックス	小学館	10	フラワーコミックス　少コミチーズ！x8	フラワーコミックス	9784091371652,9784091384959
SERIES低(表記/サブレーベル差)	kobayashi-san-no-meidoragon-eruma-no-ooeru-nikki	小林さんちのメイドラゴン エルマのOL日記	None	ACTION COMICS	双葉社	12	アクションコミックス　（月刊アクション）x7	アクションコミックス	9784575860757,9784575861549
SERIES低(表記/サブレーベル差)	kobayashi-san-no-meidoragon-kanna-no-nichijou	小林さんちのメイドラゴン カンナの日常	None	ACTION COMICS	双葉社	16	アクションコミックス　（月刊アクション）x7	アクションコミックス	9784575860542,9784575861655,9784575862560
SERIES低(表記/サブレーベル差)	kobayashi-san-no-meidoragon-maid-wa-boku-no-chomechome-fafnir	小林さんちのメイドラゴン ルコアは僕の××です。	None	ACTION COMICS	双葉社	10	アクションコミックス　（月刊アクション）x7	アクションコミックス	9784575860894,9784575861648,9784575862553
SERIES低(表記/サブレーベル差)	koharu-no-hibi	こはるの日々	None	Good! afternoon KC	講談社	4	アフタヌーンKC　good！AFTERNOONx3	アフタヌーンKC	9784063878592
SERIES低(表記/サブレーベル差)	koi-nanka-hajimaranai	恋なんかはじまらない	None	Cheese!フラワーコミックス	小学館	7	フラワーコミックス　チーズ！x6	フラワーコミックス	9784091310781
SERIES低(表記/サブレーベル差)	koi-to-shinzou	恋と心臓	None	HANATOYUME COMICS SPECIAL	白泉社	10	花とゆめコミックスx7	花とゆめコミックススペシャル	9784592228189,9784592228196,9784592228448
SERIES低(表記/サブレーベル差)	koi-uma	恋うま	None	プチコミフラワーコミックス	小学館	6	フラワーコミックス　プチコミフラワーコミックスx5	フラワーコミックス	9784091375162
SERIES低(表記/サブレーベル差)	koisuru-otome-no-tsukurikata	恋する〈おとめ〉の作り方	None	None	一迅社	12	comic POOLx7	comic POOL　comic POOL	9784758029063
SERIES低(表記/サブレーベル差)	koko-ga-ai-no-mannaka	ここが愛のまん中	None	HLC Silky presents	白泉社	5	白泉社レディースコミックスx4	白泉社レディースコミックス　シルキープレゼンツ	9784592155652
SERIES低(表記/サブレーベル差)	kokurikozaka-kara	コクリコ坂から	None	KCなかよし	徳間書店	4	アニメージュコミックスx3	アニメージュコミックススペシャル	9784197701612
SERIES低(表記/サブレーベル差)	kono-onee-san-wa-fiction-desu	このお姉さんはフィクションです!?	None	ACTION COMICS	双葉社	8	アクションコミックス　COMIC　HIGH’S　BRANDx6	アクションコミックス	9784575839494,9784575840971
SERIES低(表記/サブレーベル差)	kore-wa-koidesu	これは恋です	None	りぼんマスコットコミックス クッキー	集英社	8	りぼんマスコットコミックスクッキーx6	りぼんマスコットコミックス	9784088671987,9784088672403
SERIES低(表記/サブレーベル差)	korosensee-quest	殺せんせーQ!	None	ジャンプコミックス	集英社	5	ジャンプコミックスx4	ジャンプコミックス　最強ジャンプ	9784088807331
SERIES低(表記/サブレーベル差)	kotonaru-jigen-no-kanrinin-san	異なる次元の管理人さん	None	Kirara menu	芳文社	5	まんがタイムKRコミックスx4	まんがタイムKRコミックス　KIRARA　MENU	9784832246812
SERIES低(表記/サブレーベル差)	koukou-tekken-den-tough	高校鉄拳伝タフ	None	ヤングジャンプ・コミックス・スペシャル	集英社	42	ヤングジャンプコミックスx29	ヤングジャンプコミックススペシャル	9784088752617,9784088752624,9784088752631,9784088752648,9784088752655,9784088752
SERIES低(表記/サブレーベル差)	koushaku-reijou-ni-tensei-shite-shimatta-node-mental-otome-na-ore-wa-zenryoku-de-onnanoko-o	公爵令嬢に転生してしまったので、メンタル乙女な俺は、全力で女の子を楽しみます	None	Bamboo comics	竹書房	5	バンブーコミックスx4	バンブーコミックス BCf	9784801986534
SERIES低(表記/サブレーベル差)	kozure-ookami	子連れ狼	None	漫画アクション・コミックス	小池書院	21	キングシリーズx10	キングシリーズ／漫画スーパーワイド	9784862258434,9784862258441,9784862258472
SERIES低(表記/サブレーベル差)	kuroda-sanjuurokkei	黒田・三十六計	None	NON COMIC	リイド社	8	SPコミックス　時代劇シリーズx7	SPコミックス	9784845839216
SERIES低(表記/サブレーベル差)	kuroko-no-basket-replace-plus	黒子のバスケReplace PLUS	None	JUMP COMICS+	集英社	10	ジャンプコミックスx8	ジャンプコミックス　PLUS	9784088804149,9784088805627
SERIES低(表記/サブレーベル差)	kyokugen-fuufu	極限夫婦	None	ACTION COMICS	双葉社	10	アクションコミックスx8	アクションコミックス　（月刊アクション）	9784575859072,9784575859645
SERIES低(表記/サブレーベル差)	kyoto-teramachi-sanjou-no-holmes	京都寺町三条のホームズ	None	ACTION COMICS	双葉社	15	アクションコミックス　（月刊アクション）x10	アクションコミックス	9784575860467,9784575861501
SERIES低(表記/サブレーベル差)	last-inning	ラストイニング	None	ビッグコミックス	小学館	44	ビッグ コミックスx41	ビッグコミックススピリッツ	9784091841186,9784091842459,9784091844286
SERIES低(表記/サブレーベル差)	lens-no-mukou-no-megamitachi	レンズの向こうの女神たち	None	NOVA COMICS	一二三書房	4	ノヴァコミックスx3	ノヴァコミックス　4	9784824206558
SERIES低(表記/サブレーベル差)	let-haikyuu	れっつ!ハイキュー!?	None	JUMP COMICS+	集英社	11	ジャンプコミックスx8	ジャンプコミックス　PLUS	9784088803241,9784088804941,9784088807140
SERIES低(表記/サブレーベル差)	lost-man	LOST MAN	None	ビッグコミックス	小学館	17	ビッグコミックスx13	ビッグ コミックス〔スピリッツ〕 / ビッグコミックススピリッツ	9784091841605,9784091842596,9784091845092,9784091845788
SERIES低(表記/サブレーベル差)	love-allergy	恋愛アレルギー	None	LOVE COFFRE COMICS	ブライト出版	5	ラブコフレコミックスx4	ラブコフレ	9784861237423
SERIES低(表記/サブレーベル差)	love-bou-kun	恋愛暴君	None	METEOR COMICS	ほるぷ出版	14	メテオCOMICSx13	メテオCOMICS　フレックスコミックス	9784593858583
SERIES低(表記/サブレーベル差)	luck-stealer	Luck Stealer	None	Jump comics SQ	集英社	10	ジャンプコミックス　SQ．x9	ジャンプコミックス	9784088703794
SERIES低(表記/サブレーベル差)	madame-petit	マダム・プティ	None	花とゆめCOMICS	白泉社	11	花とゆめコミックスx10	花とゆめコミックス　別冊花とゆめ	9784592196570
SERIES低(表記/サブレーベル差)	mahoro-ekimae-tada-benriken	まほろ駅前多田便利軒	None	花とゆめコミックススペシャル	白泉社	4	花とゆめコミックススペシャルx3	花とゆめコミックス	9784592198345
SERIES低(表記/サブレーベル差)	mahou-shoujo-kazumi-magica	魔法少女かずみ☆マギカ	None	Kirara menu	芳文社	5	まんがタイムKRコミックスx4	まんがタイムKRコミックス フォワードシリーズ	9784832241220
SERIES低(表記/サブレーベル差)	mahou-shoujo-site	魔法少女サイト	None	少年チャンピオン・コミックス	秋田書店	16	少年チャンピオンコミックスx11	少年チャンピオンコミックス　タップ！	9784253224031,9784253224048,9784253224055,9784253224062,9784253224079
SERIES低(表記/サブレーベル差)	mahou-shoujo-taruto-magica	魔法少女たると☆マギカ	None	Kirara menu	芳文社	5	まんがタイムKRコミックスx4	まんがタイムKRコミックス　フォワードシリーズ	9784832248236
SERIES低(表記/サブレーベル差)	makoto-chan	まことちゃん	None	少年サンデーコミックス	小学館	24	少年サンデーコミックス・セレクトx20	少年サンデーコミックス	9784091222916,9784091222923,9784091222930,9784091222947
SERIES低(表記/サブレーベル差)	manadeshi-ni-uragirarete-shinda-otsu-san-yuusha-shijou-saikyou-no-maou-to-shite-ikikaeru	愛弟子に裏切られて死んだおっさん勇者、史上最強の魔王として生き返る	None	Bamboo comics	竹書房	5	バンブーコミックスx4	バンブーコミックス 異世界BC	9784801987210
SERIES低(表記/サブレーベル差)	manmaru-potager	まんまるポタジェ	None	マーガレットコミックス	集英社	12	マーガレットコミックスx11	マーガレットコミックス　YOU	9784088454580
SERIES低(表記/サブレーベル差)	maooeru	まおーえる!	None	ブリーゼコミックス	キルタイムコミュニケーション	4	ブリーゼコミックスx3	ブリーゼコミックス　73	9784799220214
SERIES低(表記/サブレーベル差)	maou-no-hajimekata	魔王の始め方	None	ヴァルキリーコミックス	キルタイムコミュニケーション	11	ヴァルキリーコミックスx9	ヴァルキリーコミックス　376 / ヴァルキリーコミックス　431	9784799219775,9784799221570
SERIES低(表記/サブレーベル差)	meitantei-conan-2005	名探偵コナン特別編	None	てんとう虫コミックス	小学館	50	てんとう虫コミックス（少年）x48	てんとう虫コミックス	9784091413680,9784091414601
SERIES低(表記/サブレーベル差)	midoriyama-koukou	緑山高校	None	YOUNGJUMP COMICS	集英社	19	ヤングジャンプコミックスx18	ヤングジャンプコミックスセレクション	9784834220490
SERIES低(表記/サブレーベル差)	mitsubara-no-kekkon-deep-rabu	蜜薔薇の結婚ディープラブ	None	Love Silky	白泉社	6	花とゆめコミックスx5	花とゆめコミックススペシャル	9784592228097
SERIES低(表記/サブレーベル差)	mitsudan	蜜談	None	HLC Silky presents	白泉社	5	白泉社レディースコミックス　シルキープレゼンツx4	白泉社レディースコミックス	9784592154174
SERIES低(表記/サブレーベル差)	mizu-ni-sumu-hana	水に棲む花	None	Betsucomiフラワーコミックス	小学館	5	フラワーコミックス　ベツコミx4	フラワーコミックス	9784091383952
SERIES低(表記/サブレーベル差)	mobu-joshikousei-no-ore-demo-boukensha-ni-nareba-riajuu-ni-naremasu-ka	モブ高生の俺でも冒険者になればリア充になれますか?	None	NOVA COMICS	一二三書房	8	ノヴァコミックスx7	ノヴァコミックス　8	9784824206756
SERIES低(表記/サブレーベル差)	moment	モーメント	None	マーガレットコミックス	集英社	20	マーガレットコミックスx15	マーガレットコミックス　ココハナ	9784088452470,9784088453408,9784088454252,9784088455198,9784088456157
SERIES低(表記/サブレーベル差)	motohashi-kyoudai	本橋兄弟	None	torch comics	双葉社	6	アクションコミックス　（月刊アクション）x5	アクションコミックス	9784575858457
SERIES低(表記/サブレーベル差)	muteki-no-kodomotachi	無敵の子供たち	None	Generous comics	桜桃書房	4	ガストコミックスx3	ガストコミックス・GENEROUSコミックス	9784871839648
SERIES低(表記/サブレーベル差)	nana	NANA	None	りぼんマスコットコミックス	集英社	21	りぼんマスコットコミックスx18	りぼんマスコットコミックス・クッキー	9784088567075,9784088568164,9784088568423
SERIES低(表記/サブレーベル差)	naoko	奈緒子	None	ビッグコミックス	小学館	32	ビッグ コミックスx31	ビッグコミックスクス	9784091835512
SERIES低(表記/サブレーベル差)	natsu-no-zenjitsu	夏の前日	None	Good!afternoon KC	講談社	5	アフタヌーンKC　good！AFTERNOONx4	アフタヌーンKC	9784063878295
SERIES低(表記/サブレーベル差)	neko-youkai	ねこようかい	None	None	竹書房	11	バンブーコミックスx9	バンブーコミックス　バンブーコミックス	9784801961876
SERIES低(表記/サブレーベル差)	new-game	New game!	None	Kirara menu	芳文社	13	まんがタイムKRコミックスx10	まんがタイムKRコミックス　KIRARA　MENU	9784832244146,9784832245464,9784832246560
SERIES低(表記/サブレーベル差)	nick-shadow-no-mayonaka-no-toshokan	ニック・シャドウの真夜中の図書館	None	Goma comics	ゴマブックス	10	Ｇｏｍａ　ｃｏｍｉｃｓ　Ｕｎｉｔｅｄ　Ｋｉｎｇｄｏｍ　Ｆａｎx9	Ｇｏｍａ　ｃｏｍｉｃｓ	9784777191024
SERIES低(表記/サブレーベル差)	no-guns-life	ノー・ガンズ・ライフ	None	ヤングジャンプコミックス・ウルトラ	集英社	13	ヤングジャンプコミックスx10	ヤングジャンプコミックス　ウルトラ	9784088901244,9784088902463,9784088904023
SERIES低(表記/サブレーベル差)	nohara-hiroshi-hirumeshi-no-ryuugi	野原ひろし昼メシの流儀	None	ACTION COMICS	双葉社	15	アクションコミックスx8	アクションコミックス　（月刊アクション）	9784575853506,9784575855647
SERIES低(表記/サブレーベル差)	nomi-joshi	のみじょし	None	Bamboo comics	竹書房	15	バンブーコミックスx14	バンブーコミックス　バンブーコミックス	9784801960831
SERIES低(表記/サブレーベル差)	nude-fighter-yuzuki	ヌードファイター柚希	None	ビッグコミックス	小学館	5	ビッグ コミックスx4	ビッグコミックス　モバMAN	9784091841025
SERIES低(表記/サブレーベル差)	nyanko-sensei-ga-iku	ニャンコ先生が行く!	None	HANA TO YUME COMICS SPECIAL	白泉社	5	花とゆめコミックスx4	花とゆめコミックススペシャル	9784592217466
SERIES低(表記/サブレーベル差)	ohitori-sama-monogatari	おひとり様物語	None	ワイドKC Kiss	講談社	10	ワイドKCx9	ワイドKC キス	9784063377217
SERIES低(表記/サブレーベル差)	oi-pii-tan	おいピータン!!	None	講談社コミックスキス	講談社	17	ワイドKCx15	ワイドKC kiss / ワイドKC　kiss	9784063259131,9784063376838
SERIES低(表記/サブレーベル差)	okuchi-ga-etchi-na-jakuten-datte-rival-no-elite-douryou-ni-barete-shimaimashita	おくちがエッチな弱点だって、ライバルのエリート同僚にバレてしまいました	None	Melt comics	祥伝社	5	メルトコミックスx4	メルトコミックス　メルトコミックス	9784396701482
SERIES低(表記/サブレーベル差)	ol-shinkaron	OL進化論	None	ワイドKCモーニング	講談社	42	ワイドKCx39	ワイドKCモーニング	9784063376869,9784063377040,9784063377323
SERIES低(表記/サブレーベル差)	old-boy-ruuzu-senki	オールド・ボーイ ルーズ戦記	None	ACTION COMICS	双葉社	8	アクションコミックスx6	アクションコミックス　Coinsアクションオリジナル	9784575992038,9784575992137
SERIES低(表記/サブレーベル差)	omaera-zenin-mendokusai	お前ら全員めんどくさい!	None	METEOR COMICS	ほるぷ出版	10	メテオCOMICSx8	メテオCOMICS　フレックスコミックス	9784866750491,9784866750972
SERIES低(表記/サブレーベル差)	omoide-no-toki-shuuri-shimasu	思い出のとき修理します	None	マーガレットコミックス	集英社	6	マーガレットコミックスx5	マーガレットコミックス　ココハナ	9784088454559
SERIES低(表記/サブレーベル差)	one-piece-party	ワンピースパーティー	None	ジャンプコミックス	集英社	7	ジャンプコミックスx5	ジャンプコミックス　最強ジャンプ	9784088805528,9784088807324
SERIES低(表記/サブレーベル差)	oni-no-hanayome	鬼の花嫁	None	noicomi COMICS	スターツ出版	10	noicomi COMICSx7	noicomi COMICS　10 / noicomi COMICS　8 / noicomi COMICS　9	9784813765417,9784813765721,9784813766223
SERIES低(表記/サブレーベル差)	onna-no-ko-no-shokutaku	女の子の食卓	None	りぼんマスコットコミックス クッキー	集英社	8	りぼんマスコットコミックスクッキーx7	りぼんマスコットコミックス	9784088672069
SERIES低(表記/サブレーベル差)	ookii-ganbare-douki-chan	おおきい!がんばれ同期ちゃん	None	GRAPHICTION BOOKS	ジーオーティー	4	GRAPHICTION BOOKSx3	GRAPHICTION BOOKS　GRAPHICTION BOOKS	9784823602641
SERIES低(表記/サブレーベル差)	orange-2012	orange	None	マーガレットコミックス	双葉社	7	アクションコミックスx4	アクションコミックス　（月刊アクション）	9784575857054
SERIES低(表記/サブレーベル差)	oretachi-no-field	俺たちのフィールド	None	少年サンデーコミックスワイド版	小学館	18	少年サンデーコミックスワイド版x16	少年サンデーコミックス	9784091267214,9784091267283
SERIES低(表記/サブレーベル差)	orfina	Orfina	None	None	角川書店	12	ドラゴンコミックスx11	ドラゴンコミックスエイジ	9784047124042
SERIES低(表記/サブレーベル差)	orukusen-oukokushi	オルクセン王国史	None	NOVA COMICS	一二三書房	7	ノヴァコミックスx5	ノヴァコミックス　6 / ノヴァコミックス　7	9784824206060,9784824207333
SERIES低(表記/サブレーベル差)	oshi-ni-ninchi-shite-morau-tame-ni-idol-hajimemashita	推しに認知してもらうためにアイドル始めました。	None	ブリーゼコミックス	キルタイムコミュニケーション	5	ブリーゼコミックスx4	ブリーゼコミックス　92	9784799220962
