layer	stem	title	ei	etype	label	number	kind	isbn	date	rak_title	rak_author	rak_publisher	other_slug	other_title	in_db	route	layer_note
A_種2のみ(本番未描画)	12-no-kekkon-monogatari	12の結婚物語	0	standard	通常版	1	LEAD	9784063197631	1997-02-13	12の結婚物語(1)	風間宏子	講談社			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	ai-1995	愛	0	standard	通常版	1	LEAD	9784537105445	2006-10	愛!!	金沢有倖	日本文芸社			o	overrides	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	0	standard	通常版	1	LEAD	9784253242110	2006-08-31	赤川次郎ミステリー三毛猫ホームズと名探偵たち	赤川次郎	秋田書店			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	azufareo-no-sobayounin	蒼竜(アズファレオ)の側用人	0	standard	通常版	1	LEAD	9784592213307	2016-05-20	蒼竜の側用人	千歳四季	白泉社			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	azufareo-no-sobayounin	蒼竜(アズファレオ)の側用人	0	standard	通常版	2	LEAD	9784592216223	2017-04-20	蒼竜の側用人 2	千歳四季	白泉社			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	azufareo-no-sobayounin	蒼竜(アズファレオ)の側用人	0	standard	通常版	3	LEAD	9784592216230	2017-10-20	蒼竜の側用人 3	千歳四季	白泉社			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	azufareo-no-sobayounin	蒼竜(アズファレオ)の側用人	0	standard	通常版	4	LEAD	9784592216247	2018-04-20	蒼竜の側用人 4	千歳四季	白泉社			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	boku-no-doubutsuen-nikki	ぼくの動物園日記	0	standard	通常版	2	MID	9784834211511	1989-05-19	ぼくの動物園日記(2)	飯森広一	集英社			o	canon:volumes	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	boku-no-doubutsuen-nikki	ぼくの動物園日記	1	shinsoban	Jump comics	3	MID	9784834211528	1989-06-19	ぼくの動物園日記(3)	飯森広一	集英社			o	canon:extra[0]	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	boku-no-doubutsuen-nikki	ぼくの動物園日記	0	standard	通常版	4	MID	9784834211535	1989-07-19	ぼくの動物園日記(4)	飯森広一	集英社			o	canon:volumes	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	comic-image-special	コミックイマージュ・スペシャル	0	standard	通常版	1	LEAD	9784893673404	1993-08	コミック・イマージュ・スペシャル 1	すたんだっぷ	白夜書房			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	doll-hime-wa-koi-o-uranau	人形姫は恋を占う	0	standard	通常版	1	LEAD	9784864235488	2023-01	人形姫は恋を占う. 1	舵, 英里	冬水社			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	fate-grand-order	Fate/grand order	0	standard	通常版	1	LEAD	9784758033282	2018-01	Fate/Grand Order -mortalis:stella-(1)	白峰/TYPE-MOON	一迅社			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	fushigi-tobe-kun	ふしぎトーボくん	0	standard	通常版	2	MID	9784834213942	1995-01-19	ふしぎトーボくん(2)	ちばあきお	集英社			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	hal-ayase-2017	ハル	0	standard	通常版	1	LEAD	9784088450636	2013-06-25	ハル	綾瀬羽美	集英社			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	hana-ichimonme	花いちもんめ	0	standard	通常版	1	LEAD	9784088535029	1989-10-13	花いちもんめ	谷川史子	集英社			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	houshin-kenbunroku	封神見聞録	0	standard	通常版	1	LEAD	9784931396128	1997-07	封神見聞録(1)	アンソロジー	ノアール出版			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	hyper-restaurant	ハイパーレストラン	0	standard	通常版	1	LEAD	9784870256590	1997-12-08	ハイパーレストラン(1)	霧香&聖娜	スクウェア・エニックス			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	hyper-restaurant	ハイパーレストラン	0	standard	通常版	2	LEAD	9784870253872	1998-09-12	ハイパーレストラン(2)	霧香&聖娜	スクウェア・エニックス			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
