class	shared/small	ratio	author_match	stemA	titleA	authorA	stemB	titleB	authorB	isbns_sample
DUP_PAGE	3/5	60%	同著者	tobidase-doubutsu-no-mori	とびだせどうぶつの森	大崎亮平	tobidase-doubutsu-no-mori-harikiri-sonchou-ippee	とびだせどうぶつの森 はりきり村長イッペー!	大崎亮平	9784091420978,9784091421920,9784091424105
DUP_PAGE	3/4	75%	別著者	valkyrie-profile	VALKYRIE PROFILE	藍山恵	valkyrie-profile-2001	VALKYRIE PROFILE	祥寺はるか	9784757506145,9784757506732,9784757508187
DUP_PAGE	3/4	75%	別著者	valkyrie-profile	VALKYRIE PROFILE	藍山恵	valkyrie-profile-2001-2	VALKYRIE PROFILE	金田一蓮十郎	9784757506145,9784757506732,9784757508187
DUP_PAGE	3/3	100%	同著者	wani-bunsho	ワニ分署	篠原とおる	wani-bunsho-2010	82分署	篠原とおる	9784088572017,9784088572086,9784088572109
DUP_PAGE	2/4	50%	別著者	1-yamamoto-1993	1	山本英夫	ichi	Ichi	篠原花那	9784063523713,9784063523744
DUP_PAGE	2/2	100%	同著者	3-bunnoichi-sanbunnoichi	1/3さんぶんのいち	千葉コズエ	sanbunnoichi-2017	1/3	千葉コズエ	9784091391902,9784091397393
DUP_PAGE	2/2	100%	同著者	bara-monogatari-2008	ばら物語	滝沢聖峰	tale-of-rose-knight	Tale of Rose Knight	滝沢聖峰	9784499229579,9784499229807
SHARED_FEW	2/16	12%	別著者	boku-no-hero-academia	僕のヒーローアカデミア	堀越耕平	vijirante	ヴィジランテ	別天荒人	9784088828596,9784089082911
DUP_PAGE	2/2	100%	同著者	charenjaazu	チャレンジャーズ	高永ひなこ	goukaku-kigan	合格祈願	高永ひなこ	9784592203216,9784592204206
DUP_PAGE	2/2	100%	同著者	dragon-efekuto-sakamoto-ryouma-ibun	ドラゴンエフェクト 坂本龍馬異聞	K Storm	dragon-effect	ドラゴンエフェクト	K Storm	9784864683098,9784864683180
DUP_PAGE	2/3	67%	別著者	fire-emblem-1993	ファイアーエムブレム	島田ひろかず	fire-emblem-nintendo-1996	ファイアーエムブレム	うさ銀太郎	9784796244138,9784796244473
DUP_PAGE	2/2	100%	同著者	ganbarekierunashikiso-usuko-san	がんばれ!消えるな!!色素薄子さん	水月とーこ	ganbarekierunashikisousuko-san	がんばれ!きえるな!!色素薄子さん	水月とーこ	9784758061568,9784758061766
DUP_PAGE	2/2	100%	別著者	genji-monogatari-2023	源氏物語	Teamバンミカス	genji-monogatari-masaki-1983	源氏物語	赤塚不二夫	9784051002640,9784052058622
SHARED_FEW	2/8	25%	同著者	gifuu-doudou	義風堂々!!	武村勇治	gifuu-doudou-naoe-kanetsugu-maeda-deka-sakegatari	義風堂々!!直江兼続-前田慶次酒語り	武村勇治	9784199800092,9784199800290
DUP_PAGE	2/3	67%	別著者	ginga-tetsudou-no-yoru	銀河鉄道の夜	ますむらひろし	gingatetsudou-no-yoru	銀河鉄道の夜	永島慎二	9784052057779,9784594016982
DUP_PAGE	2/2	100%	別著者	ginga-tetsudou-no-yoru-2023	銀河鉄道の夜	Teamバンミカス	ginga-tetsudou-no-yoru-miyazawa-1992	銀河鉄道の夜	松田一輝	9784052039201,9784052057779
DUP_PAGE	2/2	100%	別著者	ginga-tetsudou-no-yoru-2023	銀河鉄道の夜	Teamバンミカス	gingatetsudou-no-yoru	銀河鉄道の夜	永島慎二	9784052039201,9784052057779
DUP_PAGE	2/2	100%	別著者	ginga-tetsudou-no-yoru-miyazawa-1992	銀河鉄道の夜	松田一輝	gingatetsudou-no-yoru	銀河鉄道の夜	永島慎二	9784052039201,9784052057779
DUP_PAGE	2/2	100%	同著者	ginneko-minmin	ぎんねこMINMIN	立原あゆみ	usaneko-chan	うさねこちゃん	立原あゆみ	9784091408815,9784091408822
DUP_PAGE	2/2	100%	同著者	hakuouki-2010	薄桜鬼	ひらく椥	hakuouki-2011	薄桜鬼 新選組奇譚	ひらく椥	9784048689182,9784048703413
SHARED_FEW	2/7	29%	同著者	haruka-naru-toki-no-naka-de-6	遙かなる時空の中で6	水野十子	haruka-naru-toki-no-naka-de-7	遙かなる時空(とき)の中で7	水野十子	9784065124659,9784065404485
DUP_PAGE	2/3	67%	同著者	in-hand	インハンド	朱戸アオ	in-hand-2019	インハンドプロローグ	朱戸アオ	9784065153444,9784065386941
DUP_PAGE	2/3	67%	別著者	isekai-ni-kita-mitai-dakedo-dou-sureba-yoi-no-darou	異世界に来たみたいだけど如何すれば良いのだろう	白石新	isekai-ni-kita-mitai-dakedo-dousureba-yoinodarou	異世界に来たみたいだけど如何すれば良いのだろう	森ゆきなつ	9784344855571,9784344856714
DUP_PAGE	2/3	67%	別著者	joker-1998-3	Joker	野間美由紀	joker-2012	JOKER	上杉可南子	9784575334678,9784575334838
SHARED_FEW	2/5	40%	同著者	kouun-ryuusui	こううんりゅうすい	本宮ひろ志	kouun-ryuusui-jo-fuku	こううんりゅうすい＜徐福＞	本宮ひろ志	9784088910574,9784088911489
SHARED_FEW	2/5	40%	同著者	kouun-ryuusui-jo-fuku	こううんりゅうすい＜徐福＞	本宮ひろ志	kouun-ryuusui-jofuku-nobunaga	こううんりゅうすい〈徐福〉〈信長〉	本宮ひろ志	9784088910574,9784088911489
SHARED_FEW	2/5	40%	同著者	kouun-ryuusui-jo-fuku	こううんりゅうすい＜徐福＞	本宮ひろ志	kouun-ryuusui-nobunaga	こううんりゅうすい〈信長〉	本宮ひろ志	9784088910574,9784088911489
SHARED_FEW	2/11	18%	同著者	kowai-hon	こわい本	楳図かずお	umezu-kazuo-kowai-hon	楳図かずおこわい本	楳図かずお	9784257720010,9784257720065
DUP_PAGE	2/2	100%	別著者	kuro-tokage	黒とかげ	高階良子	kurotokage-2019	黒トカゲ	森下裕美	9784061082106,9784062606127
SHARED_FEW	2/7	29%	同著者	kyou-kara-city-hunter	今日からシティハンター	錦ソクラ	kyou-kara-city-hunter-2021	今日から City hunter	錦ソクラ	9784867201138,9784867201626
DUP_PAGE	2/3	67%	別著者	last-order-2000	ラストオーダー	高田裕三	last-order-kazunari-2021	ラストオーダー	ひいろ莎々	9784065208182,9784065245736
SHARED_FEW	2/6	33%	同著者	mahou-senki-lyrical-nanoha-force	魔法戦記リリカルなのはforce	緋賀ゆかり	mahou-senki-lyrical-nanoha-force-touruu-karaado	魔法戦記リリカルなのはForce true colored	緋賀ゆかり	9784041202579,9784041205983
DUP_PAGE	2/3	67%	別著者	miyazawa-kenji-mangakan	宮沢賢治・漫画館	あすなひろし	miyazawa-kenji-mangakan-1996	宮澤賢治・漫画館	永島慎二	9784267014086,9784267014253
SHARED_FEW	2/7	29%	同著者	mobile-suit-gundam-thunderbolt	機動戦士ガンダムサンダーボルト	太田垣康男	mobile-suit-gundam-thunderbolt-gaiden	機動戦士ガンダムサンダーボルト外伝	太田垣康男	9784091591746,9784098604371
DUP_PAGE	2/2	100%	同著者	nekken-kanfuu-club	熱拳カンフークラブ	魚戸おさむ	nekkyo-kanfuu-club	熱挙カンフークラブ	魚戸おさむ	9784091412317,9784091412324
DUP_PAGE	2/4	50%	同著者	oruchuban-ebichu	おるちゅばんエビちゅ	伊藤理佐	oruchuban-ebichuchu	おるちゅばんエビちゅちゅ～	伊藤理佐	9784391920352,9784575946178
DUP_PAGE	2/3	67%	別著者	persona-1998	Persona	上田信舟	persona-2001	ペルソナ	松枝尚嗣	9784088731292,9784088732022
DUP_PAGE	2/2	100%	同著者	puramo-otoko-to-purichii-joshi	プラモ男子とプリチー女子	ソラキスズ	puramo-otoko-to-purichii-joshi-mizuo-to-iena-no-ichinen-sensou	プラモ男子とプリチー女子 ミズオとイエナの一年戦争	ソラキスズ	9784091853097,9784091853929
DUP_PAGE	2/4	50%	同著者	sangoku-rensenki	三国恋戦記	あず真矢	sangoku-rensenki-otome-no-heihou	三国恋戦記 オトメの兵法!	あず真矢	9784800001603,9784800002327
DUP_PAGE	2/4	50%	別著者	shaman-king-faust-8	SHAMAN KING FAUST 8	はるこ	shaman-king-the-super-star	SHAMAN KING THE SUPER STAR	武井宏之	9784065140529,9784065260791
SHARED_FEW	2/24	8%	同著者	shanaou-yoshitsune	遮那王義経	沢田ひろふみ	shanaou-yoshitsune-genpei-no-kassen	遮那王義経源平の合戦	沢田ひろふみ	9784063713749,9784063713862
DUP_PAGE	2/2	100%	同著者	sherlock-berugureebia-no-shuubun	SHERLOCKベルグレービアの醜聞	Jay.	sherlock-ooinaru-game	SHERLOCK大いなるゲーム	Jay.	9784041016862,9784041120200
SHARED_FEW	2/6	33%	同著者	shin-kurosagi	新クロサギ	黒丸	shin-kurosagi-kanketsu-hen	新クロサギ完結編	黒丸	9784091843135,9784091850379
DUP_PAGE	2/2	100%	同著者	shin-tokyo-koushinkyoku	新東京行進曲	どおくまん	tokyo-koushinkyoku	東京行進曲	どおくまん	9784197821112,9784197821211
DUP_PAGE	2/2	100%	同著者	shouta-no-sushi-2	将太の寿司2	寺沢大介	shouta-no-sushi-2-world-stage	将太の寿司2 World Stage	寺沢大介	9784063545043,9784063545272
DUP_PAGE	2/2	100%	同著者	tensei-shitara-koutei-deshita	転生したら皇帝でした	久松エイト	tensei-shitara-koutei-deshita-umarenagara-no-koutei-wa-konosaki-ikinokoreru-ka-comic	転生したら皇帝でした～生まれながらの皇帝はこの先生き残れるか～@COMIC	久松エイト	9784866996813,9784866998862
SHARED_FEW	2/5	40%	別著者	to-heart-2	To heart 2	御形屋はるか	to-heart-2-2005	To heart 2	きたうみつな	9784757523401,9784757523418
DUP_PAGE	2/3	67%	別著者	trinity-seven	トリニティセブン	奈央晃徳	trinity-seven-anastasia-seiden	トリニティセブン アナスタシア聖伝	Bcoca	9784040738390,9784040740560
DUP_PAGE	2/3	67%	別著者	valkyrie-profile-2000	VALKYRIE PROFILE	魔神ぐり子	valkyrie-profile-2001	VALKYRIE PROFILE	祥寺はるか	9784757502895,9784757506145
DUP_PAGE	2/3	67%	別著者	valkyrie-profile-2000	VALKYRIE PROFILE	魔神ぐり子	valkyrie-profile-2001-2	VALKYRIE PROFILE	金田一蓮十郎	9784757502895,9784757506145
SHARED_FEW	2/7	29%	別著者	x-men	X-MEN	レイニル・フランシス・ユー	x-men-1994	X-MEN	ヒグチヒロシ	9784796873390,9784796873406
SHARED_FEW	2/7	29%	別著者	x-men	X-MEN	レイニル・フランシス・ユー	x-men-1994-5	X-MEN	児嶋都	9784796873390,9784796873406
DUP_PAGE	2/2	100%	同著者	yoru-shibari-oobaado	夜縛◆夜明曲(オーバード)	RAN	yoshibari-oobaado	夜縛◆夜明曲	RAN	9784040693040,9784040698373
SHARED_FEW	1/3	33%	同著者	2011-ritsu-kiwamemichi-koukou-2011	私立極道高校2011	宮下あきら	shiritsu-kiwamemichi-koukou	私立極道高校	宮下あきら	9784537129144
DUP_PAGE	1/1	100%	同著者	ano-hi-no-aozora	あの日の青空	吉田秋生	umimachi-diary	海街diary	吉田秋生	9784091670731
DUP_PAGE	1/1	100%	同著者	aozora-kazoku	あおぞら家族	芝しってる	aozora-kazoku-serekuto	あおぞら家族セレクト	芝しってる	9784871221719
DUP_PAGE	1/1	100%	同著者	apuroozukassai	アプローズ	有吉京子	buruuju	ブルージュ	有吉京子	9784253076692
DUP_PAGE	1/2	50%	同著者	atashi-ni-yarasena	教師にやらせな!	酒井美羽	atashi-ni-yarasena-stj	教師にやらせな!S・T・J	酒井美羽	9784821189144
DUP_PAGE	1/1	100%	同著者	bakuten-hero-bureedaa-diijiei	爆転ヒーローブレーダーDJ	おおせよしお	bakuten-hero-bureedaa-dj	爆転HEROブレーダーDJ	おおせよしお	9784091430311
DUP_PAGE	1/1	100%	同著者	batsuichi-30ans	バツイチ30ans	小池田マヤ	batsuichi-trentaine	バツイチ・トランタン	小池田マヤ	9784812453209
DUP_PAGE	1/2	50%	同著者	bird	バード	かざま鋭二	bird-1994	Bird	かざま鋭二	9784575819434
DUP_PAGE	1/1	100%	別著者	brains	ブレインズ	久保田眞二	brains-1997	BRAINS	伊藤智義	9784087825404
DUP_PAGE	1/1	100%	同著者	bullets	Bullets	士郎正宗	intron-depot	INTRON DEPOT	士郎正宗	9784878922947
DUP_PAGE	1/2	50%	別著者	comic-higashino-keigo-mystery	コミック東野圭吾ミステリー	オキモト・シュウ	comic-higashino-keigo-mystery-2014	コミック東野圭吾ミステリー	松枝尚嗣	9784253249393
DUP_PAGE	1/1	100%	同著者	comic-kyuuyaku-seisho-souseiki	コミック旧約聖書 創世記	藤原カムイ	souseiki-1989	創世記	藤原カムイ	9784906175437
SHARED_FEW	1/4	25%	別著者	daitokai-ni-hoero	大都会にほえろ	楠桂	yu-no-hana-tubame	湯の花つばめ	こなみ詔子	9784049247268
SHARED_FEW	1/16	6%	同著者	dear-boys	Dear boys	八神ひろき	dear-boys-act-3	DEAR BOYS ACT 3	八神ひろき	9784065392737
DUP_PAGE	1/1	100%	同著者	dessin	dessin	小野塚カホリ	nico-says	NICO SAYS	小野塚カホリ	9784764818675
DUP_PAGE	1/1	100%	同著者	diamond-no-a-act-2	ダイヤのA act 2	寺嶋裕二	diamond-no-a-act-2-gaiden-teitou-vs-ugumori	ダイヤのA act 2外伝帝東VS鵜久森	寺嶋裕二	9784065396568
DUP_PAGE	1/1	100%	同著者	dusk-story	ダスクストーリィ	TONO	dusk-street	ダスクストリート	TONO	9784420170147
DUP_PAGE	1/2	50%	別著者	enueichikee-sono-toki-rekishi-ga-ugoita	NHKその時歴史が動いた	井上大助	nhk-sono-toki-rekishi-ga-ugoita	NHKその時歴史が動いた	ながいのりあき	9784834250688
DUP_PAGE	1/1	100%	同著者	eva-lady	Eva lady	御米椎	eva-lady-miyonescy	エヴァ・レディ	御米椎	9784884757038
SHARED_FEW	1/4	25%	同著者	fate-grand-order-turas-r-alta	Fate/Grand Order-turas réalta-	カワグチタケシ	fate-grand-order-turas-realta	Fate/Grand Order-turas realta-	カワグチタケシ	9784065114063
DUP_PAGE	1/2	50%	別著者	fukkokuban-shounen-magazine-dai-zenshuu	復刻版少年マガジン大全集	ジョージ秋山	fukkokuban-shounen-magazine-daizenshuu	復刻版少年マガジン大全集	赤塚不二夫	9784063131888
DUP_PAGE	1/2	50%	別著者	gegege-no-kitarou-1987	ゲゲゲの鬼太郎	水木プロ	saishinban-gegege-no-kitarou	最新版 ゲゲゲの鬼太郎	水木しげる	9784061004894
DUP_PAGE	1/2	50%	別著者	genji-monogatari-2023	源氏物語	Teamバンミカス	genji-monogatari-miyagi-2010	源氏物語	真崎春望	9784052058622
DUP_PAGE	1/2	50%	別著者	genji-monogatari-masaki-1983	源氏物語	赤塚不二夫	genji-monogatari-miyagi-2010	源氏物語	真崎春望	9784052058622
SHARED_FEW	1/10	10%	別著者	gifuu-doudou	義風堂々!!	武村勇治	gifuu-doudou-kaze-no-gunshi-kuroda-kanbei	義風堂々!!疾風 (かぜ) の軍師黒田官兵衛	山田俊明	9784199802287
SHARED_FEW	1/10	10%	別著者	gifuu-doudou-kaze-no-gunshi-kuroda-kanbei	義風堂々!!疾風 (かぜ) の軍師黒田官兵衛	山田俊明	gifuu-doudou-naoe-kanetsugu-maeda-deka-hanagatari	義風堂々!!直江兼続-前田慶次花語り	出口真人	9784199802287
SHARED_FEW	1/8	12%	別著者	gifuu-doudou-naoe-kanetsugu-maeda-deka-hanagatari	義風堂々!!直江兼続-前田慶次花語り	出口真人	gifuu-doudou-naoe-kanetsugu-maeda-deka-sakegatari	義風堂々!!直江兼続-前田慶次酒語り	武村勇治	9784199800290
DUP_PAGE	1/2	50%	別著者	ginga-tetsudou-no-yoru	銀河鉄道の夜	ますむらひろし	ginga-tetsudou-no-yoru-2023	銀河鉄道の夜	Teamバンミカス	9784052057779
DUP_PAGE	1/2	50%	別著者	ginga-tetsudou-no-yoru	銀河鉄道の夜	ますむらひろし	ginga-tetsudou-no-yoru-miyazawa-1992	銀河鉄道の夜	松田一輝	9784052057779
SHARED_FEW	1/4	25%	別著者	golf-jinsei	ゴルフ・人生	いけうち誠一	pastel-kazoku	パステル家族	セイ	9784575850550
DUP_PAGE	1/1	100%	別著者	golgo-13	ゴルゴ13	さいとう・たかを	uesugi-kenshin	上杉謙信	岡村賢二	9784845825806
SHARED_FEW	1/5	20%	同著者	gundam-exa	GUNDAM EXA	ときた洸一	gundam-exa-2013	ガンダムEXA	ときた洸一	9784041201596
SHARED_FEW	1/5	20%	同著者	gurazeni	グラゼニ	アダチケイジ	gurazeni-2014	Gurazeni	アダチケイジ	9784063883824
SHARED_FEW	1/3	33%	同著者	haisai-taiyou-musume	ハイサイ!太陽娘	池田さとみ	teida-neenee	太陽娘	池田さとみ	9784776741718
DUP_PAGE	1/1	100%	同著者	hal-ayase-2017	ハル	牧野あおい	hal-makino-2010	Hal	牧野あおい	9784088670560
DUP_PAGE	1/1	100%	同著者	hi-no-ataru-sakamichi	陽のあたる坂道	吉田秋生	umimachi-diary	海街diary	吉田秋生	9784091670403
DUP_PAGE	1/1	100%	同著者	honto-yajuu	ほんと野獣	山本小鉄子	like-the-beast	Like the beast	山本小鉄子	9784796414265
DUP_PAGE	1/1	100%	同著者	hurricane	ハリケーン	ワタセセイゾウ	hurricane-1996	Hurricane	ワタセセイゾウ	9784061045842
SHARED_FEW	1/5	20%	別著者	iyahaya-nantomo	イヤハヤ南友	永井豪＆ダイナミック・プロ	iyahayanantomo	イヤハヤ南友	永井豪	9784594017996
DUP_PAGE	1/2	50%	同著者	jinrou-e-no-tensei-maou-no-fukukan	人狼への転生、魔王の副官	瑚澄遊智	jinrou-eno-tensei-maou-no-fukukan-hajimari-no-show	人狼への転生、魔王の副官 はじまりの章	瑚澄遊智	9784803011180
DUP_PAGE	1/1	100%	同著者	kaerenai-futari	帰れないふたり	吉田秋生	umimachi-diary	海街diary	吉田秋生	9784091670489
SHARED_FEW	1/3	33%	同著者	kaitou-lupin-den-abanchurie-toujou-hen	怪盗ルパン伝アバンチュリエ 登場編	森田崇	kaitou-lupin-den-aventurier	怪盗ルパン伝アバンチュリエ	森田崇	9784835646275
SHARED_FEW	1/4	25%	同著者	kawaite-sourou	乾いて候	小島剛夕	kuchiyaku-mondo-kawaitesourou	唇役主丞乾いて候	小島剛夕	9784862257796
DUP_PAGE	1/1	100%	別著者	kibun-wa-mou-sensou	気分はもう戦争	大友克洋	kibun-wa-mou-sensou-2002	気分はもう戦争	藤原カムイ	9784047134942
DUP_PAGE	1/1	100%	同著者	kingdom-hearts-3	キングダムハーツⅢ	天野シロ	kingdom-hearts-3-2020	キングダムハーツ3	天野シロ	9784757565913
SHARED_FEW	1/3	33%	同著者	koi-shita-hito-wa-imouto-no-kawari-ni-shinde-kure-to-itta	恋した人は、妹の代わりに死んでくれと言った。@COMIC	家守まき	koishita-hito-wa-imouto-no-kawari-ni-shindekure-to-itta-imouto-to-kekkon-shita-kataomoi-aite-ga	恋した人は、妹の代わりに死んでくれと言った。-妹と結婚した片思い相手がなぜ今さら私のもとに?と思ったら-@COMIC	家守まき	9784867942628
DUP_PAGE	1/1	100%	同著者	koi-to-junrei	恋と巡礼	吉田秋生	umimachi-diary	海街diary	吉田秋生	9784091670786
DUP_PAGE	1/2	50%	別著者	kouya-hijiri	高野聖	田辺節雄	kouyahijiri	高野聖	杲栄順	9784324090145
DUP_PAGE	1/1	100%	同著者	lemon-hakusho	れもん白書	吉田まゆみ	lemon-hakusho-1979	レモン白書	吉田まゆみ	9784061089389
SHARED_FEW	1/6	17%	同著者	macross-7-trash	マクロス7トラッシュ	美樹本晴彦	macross-7-trash-2009	マクロス7trash	美樹本晴彦	9784047131057
DUP_PAGE	1/1	100%	同著者	magical-girl-llyrical-nanoha	Magical Girl Llyrical NANOHA	長谷川光司	magical-girl-lyrical-nanoha-movie-1st-the-comics	Magical Girl Lyrical Nanoha movie 1st the comics	長谷川光司	9784056070712
DUP_PAGE	1/1	100%	同著者	mahiru-no-tsuki	真昼の月	吉田秋生	umimachi-diary	海街diary	吉田秋生	9784091670373
SHARED_FEW	1/3	33%	同著者	mangaban-nobushi-no-gourmet	漫画版野武士のグルメ	土山しげる	nobushi-no-gourmet	野武士のグルメ	土山しげる	9784344027398
DUP_PAGE	1/1	100%	別著者	mazinger	Mazinger	永井豪	mazinger-z	マジンガーZ	桜多吾作	9784063300727
DUP_PAGE	1/1	100%	同著者	mobile-suit-gundam-f90	Mobile suit gundam F90	中原れい	mobile-suit-gundam-f90-1997	機動戦士ガンダムF90	中原れい	9784891891497
DUP_PAGE	1/2	50%	同著者	mousou-suit	妄想戦士	小野寺浩二	mousou-suit-yamamoto	妄想戦士ヤマモト	小野寺浩二	9784785925246
SHARED_FEW	1/3	33%	同著者	onna-kudouden-rei	女苦道伝れい	叶精作	shin-onna-kudouden-rei	新女苦道伝れい	叶精作	9784073404347
