優先度	分類	位置	slug	題	版idx	版type	imprint	出版社	ISBN帯	版の巻数	逸脱巻	逸脱ISBN	発売日	前の正常ISBN	次の正常ISBN	逸脱幅	日付整合	帯era	帯era差	帯当年数	楽天題	楽天叢書	楽天発売日	楽天判型	特装signal	題不一致
A	SPIKE_1	内部	fantasista-stella	ファンタジスタステラ	0	standard	少年サンデーコミックス	小学館	978409	14	9	9784099418441	2014-11-14	9784091251039	9784091255808	816264	整合	2024	10	9	ファンタジスタステラ（9）	［特装版コミック］	2014年11月14日頃	カセット、ＣＤ等	特装	
A	SPIKE_1	内部	it-s-my-life	IT'S MY LIFE	0	standard	裏少年サンデーコミックス	小学館	978409	11	3	9784099418601	2015-10-07	9784091261830	9784091270252	814835	整合	2024	9	7	IT’S MY LIFE 3 カラーワークスコレクション限定版	裏少年サンデーコミックス	2015年10月07日頃	カセット、ＣＤ等	限定	
A	SPIKE_1	内部	12sai	12歳。	0	standard	ちゃおコミックス	小学館	978409	20	7	9784099418595	2015-07-22	9784091367303	9784091382061	803653	整合	2024	9	7	12歳。7 〜トマドイ〜 アニメDVD・生写真つき限定版BOX	ちゃおコミックス	2015年07月22日頃	カセット、ＣＤ等	限定,dvd,box	
A	SPIKE_1	内部	umamusume-pisupisu-supisupi-gorushi-chan	ウマ娘ピスピス☆スピスピ ゴルシちゃん	0	standard	Coro coro comics SP = コロコロコミックススペシャル	小学館	978409	8	3	9784099431754	2024-12-03	9784091497406	9784091540188	789157	整合	2024	0	30	ウマ娘 ピスピス☆スピスピ ゴルシちゃん 3 アクスタつき特装版	コロコロコミックス	2024年12月18日頃	カセット、ＣＤ等	特装	
A	SPIKE_1	内部	unmei-no-makimodoshi	運命の巻戻士	0	standard	コロコロコミックス	小学館	978409	13	10	9784099432041	2025-08-01	9784091540324	9784091541093	789095	整合	2024	1	37	運命の巻戻士 10 アクリルスタンドつき特装版	コロコロコミックス	2025年07月28日頃	カセット、ＣＤ等	特装,アクリル	
A	SPIKE_1	内部	mobile-suit-gundam-thunderbolt	機動戦士ガンダムサンダーボルト	0	standard	BIG SUPERIOR COMICS SPECIAL	小学館	978409	27	3	9784098604371	2014-03	9784091853073	9784091867186	673719	整合	2022	8	1	機動戦士ガンダム サンダーボルト 外伝（3）	ビッグ コミックス	2019年09月30日	コミック	外伝	
A	SPIKE_1	内部	orfina	Orfina	0	standard		角川書店	978404	12	8	9784047124042	2005-06-01	9784049261622	9784049261882	213758	★日付も逆行	2007	2	333	新装版オルフィーナ8	ドラゴンコミックスエイジ	2005年05月30日	コミック	新装	
A	SPIKE_1	内部	moyashimon	もやしもん	0	standard	イブニングKC	講談社	978406	13	11	9784065427460	2012-03	9784063523508	9784063524567	190290	整合	2026	14	1	新装版　もやしもん（11）	KCデラックス	2026年03月23日	コミック	新装	
A	SPIKE_1	内部	dear-boys-act-3	DEAR BOYS ACT 3	0	standard	MONTHLY SHONEN MAGAZINE COMICS	講談社	978406	15	8	9784065392737	2011-10	9784063712902	9784063713220	167951	整合	2024	13	1	DEAR　BOYS　新装版（8）	KCデラックス	2025年07月16日	コミック	新装	
A	SPIKE_1	内部	hotaru-no-yomeiri	ホタルの嫁入り	0	standard	裏少年サンデーコミックス	小学館	978409	12	8	9784099432010	2025-06-14	9784098540396	9784098542505	88951	整合	2024	1	37	ホタルの嫁入り 8 ジオラマアクリルスタンド付き特装版	マンガワンコミックス	2025年06月18日頃	カセット、ＣＤ等	特装,アクリル	
A	SPIKE_1	内部	hoshikuzu-no-ouji-sama	星屑の王子様	0	standard	Ura Sunday comics	小学館	978409	11	9	9784099432119	2025-11-08	9784098541973	9784098545599	88652	整合	2024	1	37	星屑の王子様 9 ボイスドラマコード付き特装版	裏少年サンデーコミックス	2025年11月19日頃	カセット、ＣＤ等	特装	
A	SPIKE_1	内部	oh-takarazuka	Oh!タカラヅカ	0	standard	ヤングマガジンコミックス	講談社	978406	8	3	9784061020597	1986-11-18	9784061745100	9784061745254	72451	★日付も逆行	1985	1	518	Oh！タカラヅカ（3）	ヤングマガジンKCスペシャル	1986年11月18日頃	コミック		
A	SPIKE_1	内部	fushigi-yuugi-byakko-senki	ふしぎ遊戯白虎仙記	0	standard	flowersフラワーコミックスα	小学館	978409	6	5	9784099432188	2025-10-03	9784098730629	9784098734177	69801	整合	2024	1	37	ふしぎ遊戯 白虎仙記 5 巫女＆七星士缶バッジ2種セット付き特装版	フラワーコミックス α	2025年10月09日頃	カセット、ＣＤ等	特装,缶バッジ	
A	SPIKE_1	内部	arslan-senki	アルスラーン戦記	0	standard	あすかコミックスDX	講談社	978406	25	5	9784063587944	2016-05-03	9784063955088	9784063957938	36714	整合	2010	6	141	DVD付き　アルスラーン戦記（5）限定版	講談社キャラクターズA	2016年05月03日頃	コミック	限定,dvd,キャラクターズ	
A	SPIKE_1	内部	magi	マギ	0	standard	少年サンデーコミックス	小学館	978409	37	24	9784091592019	2015-01-16	9784091252784	9784091258106	33391	整合	2005	10	136	マギ 24 ポストカードブック付き特別版	小学館プラス・アンコミックスシリーズ	2015年01月16日頃	コミック	特別版,プラス・アン	
A	SPIKE_1	内部	hiatari-ryoukou	陽あたり良好!	0	standard	フラワーコミックス	小学館	978409	4	3	9784091633194	1981-03-25	9784091307125	9784091307156	32604	整合	2002	21	12	陽あたり良好！（3）	マイファーストワイド	2016年07月	コミック	ワイド	
A	SPIKE_1	内部	katte-ni-kaizou	かってに改蔵	0	standard	少年サンデーコミックス	小学館	978409	26	23	9784091590220	2004-01	9784091264626	9784091264640	32558	整合	2005	1	311	かってに改蔵特別版（23）	小学館プラス・アンコミックス	2003年12月	コミック	特別版,プラス・アン	
A	SPIKE_1	内部	saraiya-goyou	さらい屋五葉	0	standard	Ikki comix	小学館	978409	8	7	9784091590725	2010-03	9784091884640	9784091885296	29392	整合	2005	5	144	さらい屋五葉（第7集）限定版	小学館プラス・アンコミックス	2010年02月	コミック	限定,プラス・アン	
A	SPIKE_1	内部	ajin	亜人	0	standard	アフタヌーンKC	講談社	978406	17	8	9784063587968	2016-04-29	9784063880984	9784063881899	29302	整合	2010	6	141	DVD付き　亜人（8）限定版	講談社キャラクターズA	2016年04月29日頃	コミック	限定,dvd,キャラクターズ	
A	SPIKE_1	内部	witch-craft-works	ウィッチクラフトワークス	0	standard	Good!afternoon	講談社	978406	17	8	9784063587128	2015-01-07	9784063879810	9784063880991	29269	整合	2010	5	156	DVD付き　ウィッチクラフトワークス（8）限定版	講談社キャラクターズA	2015年01月07日頃	コミック	限定,dvd,キャラクターズ	
A	SPIKE_1	内部	hakubo-no-chronicle	白暮のクロニクル	0	standard	ビッグコミックス	小学館	978409	11	9	9784091592361	2016-09	9784091875969	9784091892614	28360	整合	2005	11	123	白暮のクロニクル 9 『ドラゴン急流』特別漫画小冊子付き！	小学館プラス・アンコミックスシリーズ	2016年08月30日	コミック	小冊子,プラス・アン	
A	SPIKE_1	内部	tetsuwan-birdy-evolution	鉄腕バーディーevolution	0	standard	ビッグコミックス	小学館	978409	13	7	9784091590923	2011-03	9784091834874	9784091838537	24395	整合	2005	6	130	鉄腕バーディーEVOLUTION（7）初回限定版	小学館プラス・アンコミックス	2011年02月	コミック	限定,初回,プラス・アン	
A	SPIKE_1	内部	ore-sama-kingdom	オレ様キングダム	0	standard	ちゃおコミックス	小学館	978409	12	8	9784091591340	2012-12	9784091345691	9784091352750	23859	整合	2005	7	129	オレ様キングダム（8）	小学館プラス・アンコミックス	2012年11月	コミック	プラス・アン	
A	SPIKE_1	内部	dolly-kanon	ドーリィ♪カノン	0	standard	ちゃおコミックス	小学館	978409	10	4	9784091591739	2013-12-25	9784091355447	9784091361196	23054	整合	2005	8	136	ドーリィ♪カノン ／ 4 DVDつき特別版	ちゃおコミックス	2013年12月25日	コミック	dvd,特別版	
A	SPIKE_1	内部	mashiroke-complex	真代家こんぷれっくす!	0	standard	FC	小学館	978409	8	5	9784091591999	2014-12	9784091356079	9784091375278	21672	整合	2005	9	130	真代家こんぷれっくす！（5）	小学館プラス・アンコミックス	2014年11月28日頃	コミック	プラス・アン	
A	SPIKE_1	内部	get-love	GET LOVE!!	0	standard	少コミフラワーコミックス	小学館	978409	7	5	9784091590381	2004-11	9784091383457	9784091383471	20691	整合	2005	1	311	Get　love！（5）DVD付プレミア	小学館プラス・アンコミックス	2004年10月	コミック	dvd,プラス・アン	
A	SPIKE_1	内部	boku-wa-imouto-ni-koi-o-suru	僕は妹に恋をする	0	standard	Sho-Comiフラワーコミックス	小学館	978409	10	8	9784091590411	2005-03	9784091385253	9784091385277	20514	整合	2005	0	316	僕は妹に恋をする（8）特別版	小学館プラス・アンコミックス	2005年02月	コミック	特別版,プラス・アン	
A	SPIKE_1	内部	penguin-no-mondai	ペンギンの問題	0	standard	てんとう虫コミックス	小学館	978409	15	8	9784091590732	2010-03	9784091408457	9784091410863	17987	整合	2005	5	144	ペンギンの問題（第8巻）初回限定版	小学館プラス・アンコミックス	2010年03月	コミック	限定,初回,プラス・アン	
A	SPIKE_1	内部	tensei-akujo-no-kurorekishi	転生悪女の黒歴史	0	standard	花とゆめCOMICS	白泉社	9784592	19	18	9784592106418	2026-04-20	9784592222187	9784592222200	11577	整合	2018	8	4	転生悪女の黒歴史 オリジナルアニメBlu-ray付き特装版 18	マルチメディア商品	2026年04月03日頃	コミック	特装,blu-ray	
A	SPIKE_1	内部	shura-ga-yuku	修羅がゆく	0	standard	ゴラク・コミックス	日本文芸社	9784537	41	18	9784537153118	1994-02-09	9784537038736	9784537038972	11414	★日付も逆行	2005	11	2	修羅がゆく（18）	Ｇコミックス	2006年07月06日頃	コミック		
A	SPIKE_1	内部	31-aidoriimu	31☆アイドリーム	0	standard	花とゆめCOMICS	白泉社	9784592	7	3	9784592105633	2015-12-18	9784592217220	9784592217244	11159	整合	2018	3	7	31☆アイドリーム（3）特装版	［特装版コミック］	2015年12月18日頃	コミック	特装	
A	SPIKE_1	内部	niehime-to-kemono-no-ou	贄姫と獣の王	0	standard	花とゆめCOMICS	白泉社	9784592	15	6	9784592105879	2018-01-19	9784592215455	9784592215479	10958	整合	2018	0	15	贄姫と獣の王 ドラマCD付き限定版 6		2018年01月19日	コミック	限定,ドラマcd	
A	SPIKE_1	内部	vampire-naito-memories	ヴァンパイア騎士(ナイト)memories	0	standard	花とゆめCOMICS	白泉社	9784592	11	4	9784592105978	2019-02-05	9784592211235	9784592211259	10526	整合	2018	1	10	ヴァンパイア騎士 memories ドラマCD付き特装版 4		2019年02月05日頃	コミック	特装,ドラマcd	
A	SPIKE_1	内部	boku-o-tsutsumu-tsuki-no-hikari	ボクを包む月の光	0	standard	花とゆめCOMICS	白泉社	9784592	15	14	9784592105589	2014-09-19	9784592190974	9784592190998	8539	整合	2018	4	4	ボクを包む月の光ーぼく地球次世代編ー（14）ドラマCD付き限	［特装版コミック］	2014年09月19日頃	コミック	特装,ドラマcd	
A	SPIKE_1	内部	tenshi-2-bunnoichi-houteishiki	天使1/2方程式	0	standard	花とゆめCOMICS	白泉社	9784592	13	4	9784592105541	2013-09-20	9784592190080	9784592190103	8454	整合	2018	5	3	天使1／2方程式（4）ドラマCD付初回	［特装版コミック］	2013年09月20日頃	コミック	特装,初回,ドラマcd	
A	SPIKE_1	内部	sukitte-iinayo	好きっていいなよ。	0	standard	講談社コミックスデザート	講談社	978406	18	11	9784063584493	2013-07	9784063657197	9784063657623	7270	整合	2010	3	152	好きっていいなよ。（11）	［特装版コミック］	2013年07月	コミック	特装	
A	SPIKE_1	内部	dokaben	ドカベン	0	standard	少年チャンピオン・コミックス	秋田書店	9784253	42	9	9784253102421	1974-09	9784253030663	9784253030731	7169	★日付も逆行	2004	30	1	ドカベン（9）		1990年08月01日頃	コミック		
A	SPIKE_1	内部	asobi-asobase	あそびあそばせ	0	standard	Jets comics	白泉社	9784592	15	7	9784592105220	2019-01	9784592161264	9784592161288	5604	整合	2018	1	10	あそびあそばせ アニメDVD付き限定版 7		2018年12月26日頃	コミック	限定,dvd	
A	SPIKE_1	内部	orange-2012	orange	0	standard	マーガレットコミックス	双葉社	9784575	7	6	9784575791976	2017-05	9784575847093	9784575857054	5512	整合			1	orange complete BOX		2022年03月24日頃	カセット、ＣＤ等	box	
A	SPIKE_1	内部	mahou-sensei-negima	魔法先生ネギま!	0	standard	講談社コミックスマガジン	講談社	978406	38	14	9784063582291	2006-04	9784063636215	9784063636925	5392	整合	2010	4	107	魔法先生ネギま！ 14 限定版		2006年04月	コミック	限定	
A	SPIKE_1	内部	mujaki-no-rakuen	無邪気の楽園	0	standard	Jets comics	白泉社	9784592	13	10	9784592105145	2016-09	9784592147589	9784592147602	4244	整合	2018	2	10	無邪気の楽園 アニメDVD付き限定版 10		2016年08月29日頃	コミック	限定,dvd	
A	SPIKE_1	内部	yomekura	ヨメクラ	0	standard	SHŌNEN CHAMPION COMICS	秋田書店	9784253	11	7	9784253181969	2017-09	9784253220651	9784253220781	3869	整合	2010	7	5	ヨメクラ（7）特装版	［特装版コミック］　少年チャンピオンコミックス	2017年09月	コミック	特装	
A	SPIKE_1	内部	henjo	変女	0	standard	Jets comics	白泉社	9784592	21	6	9784592105701	2017-02	9784592141976	9784592141990	3627	整合	2018	1	15	変女〜変な女子高生 甘栗千子〜 ドラマCD付き限定版 6		2017年01月27日	コミック	限定,ドラマcd	
A	SPIKE_1	内部	joshi-shougakusei-hajimemashita-p	女子小学生はじめましたP!	0	standard	Jets comics	白泉社	9784592	10	5	9784592105695	2016-12-26	9784592141747	9784592148661	3605	整合	2018	2	10	女子小学生はじめました P! ドラマCDつき初回限定版 5		2016年12月26日頃	コミック	限定,初回,ドラマcd	
A	SPIKE_1	内部	jigoku-shoujo-returns	地獄少女R	0	standard	講談社コミックスなかよし	講談社	978406	11	4	9784063621877	2011-04-06	9784063642902	9784063643138	2103	整合	2005	6	371	地獄少女R（4）特装版	プレミアムKC　なかよし	2011年04月	コミック	特装	
A	SPIKE_1	内部	sonna-omizu-no-hitorigoto	そんなお水のひとりごと	0	standard	講談社コミックスミミ	講談社	978406	4	2	9784063274424	1994-02-12	9784063258073	9784063258141	1628	★日付も逆行	1997	3	606	そんなお水のひとりごと（2）	MiMi　KC	1994年02月12日頃	新書		
A	SPIKE_1	内部	get-bakkaazu-dakkanya	Get backers奪還屋	0	standard	SHONEN MAGAZINE COMICS	講談社	978406	39	36	9784063620603	2006-08	9784063636673	9784063637434	1607	整合	2005	1	1079	Get　Backers奪還屋（36）限定版	プレミアムＫＣ　少年マガジン	2006年08月	コミック	限定	
A	SPIKE_1	内部	sakigake-cromartie-koukou	魁!!クロマティ高校	0	standard	SHONEN MAGAZINE COMICS	講談社	978406	17	8	9784063620269	2003-11	9784063632873	9784063633443	1261	整合	2005	2	1498	魁！！クロマティ高校（8）限定版	プレミアムＫＣ　少年マガジン	2003年11月	コミック	限定	
A	SPIKE_1	内部	boku-shika-shiranai-kimi-no-naka	僕しか知らない君のナカ。	0	standard	Bamboo comics	竹書房	97848019	3	2	9784801975569	2022-03	9784801963788	9784801963795	1177	★日付も逆行	2022	0	76	僕しか知らない君のナカ。EXTRA STAGE（2）	バンブーコミックス 潤恋オトナセレクション	2022年02月15日	コミック		
A	SPIKE_1	内部	hetaria	ヘタリア	0	standard	BIRZ EXTRA	幻冬舎コミックス	9784344	6	3	9784344832947	2014-12-24	9784344815148	9784344822337	1061	★日付も逆行	2015	1	139	ヘタリア　Axis Powers Speciale　3	バーズコミックス	2014年12月24日頃	コミック		
A	SPIKE_1	内部	kami-sama-nanka-shinjinai-bokura-no-eden	神様なんか信じない僕らのエデン	0	deluxe	ビーボーイコミックスデラックス	リブレ	97847997	4	2	9784799762257	2023-04-10	9784799751947	9784799751954	1030	★日付も逆行	2023	0	25	神様なんか信じない僕らのエデン 2	BE×BOY COMICS DELUXE	2023年04月10日	コミック		
A	SPIKE_1	先頭	bakusou-kyoudai-let-s-goo-return-racers	爆走兄弟レッツ&ゴー!!Return Racers!!	0	standard	Coro coroアニキcomics	小学館	978409	6	1	9784099418625	2016-03-11		9784091424280	799434	整合	2024	8	5	爆走兄弟レッツ＆ゴー！！Return Racers！！1 超限定		2016年03月11日頃	カセット、ＣＤ等	限定	
A	SPIKE_1	先頭	shiritsu-sutopuri-shougakkou	私立すとぷり小学校	0	standard	Coro coro comics special	小学館	978409	4	1	9784099431631	2024-07-19		9784091540232	789140	整合	2024	0	30	私立すとぷり小学校 アクリルスタンドつき特装版	てんとう虫コミックス（少年）	2024年07月19日頃	カセット、ＣＤ等	特装,アクリル	
A	SPIKE_1	先頭	hyper-yo-yo-accel	ハイパーヨーヨーACCEL	0	standard	コロコロコミックススペシャル	小学館	978409	4	1	9784099431884	2025-05-30		9784091540607	789128	整合	2024	1	37	ハイパーヨーヨーACCEL 1 限定ヨーヨー付き特装版	コロコロコミックス	2025年04月28日頃	カセット、ＣＤ等	特装,限定	
A	SPIKE_1	末尾	mobile-00-gundam-00	機動戦士ガンダム00	0	standard	マガジンZKC	角川書店	978404	4	4	9784041064047	2018-01-26	9784047151413		608737	整合	2017	1	967	新装版　機動戦士ガンダム00（4）	角川コミックス・エース	2018年01月26日	コミック	新装	
A	SPIKE_1	先頭	eiyuu-sangokushi	英雄三国志	0	deluxe	ジャンプ・コミックス・デラックス	集英社	978408	3	1	9784088594262	2004-07		9784087476835	111743	★日付も逆行	1995	9	429	英雄三国志（第1巻）	ジャンプコミックスデラックス	2004年07月	コミック		
A	SPIKE_1	末尾	hinotori	火の鳥	2	bunkobon	角川文庫	角川書店	978404	14	14	9784041077955	2018-12-22	9784041851135		77318	整合	2017	1	967	火の鳥14 別巻	角川文庫	2018年12月22日頃	文庫	別巻	
A	SPIKE_1	先頭	clamp-premium-collection-clamp-gakuen-tanteidan	CLAMP PREMIUM COLLECTION CLAMP学園探偵団	1	standard	あすかコミックスDX	角川書店	978404	3	1	9784049246643	1997-04-24		9784048523974	72267	★日付も逆行	1996	1	268	CLAMP学園探偵団　第1巻	あすかコミックス	1997年04月24日	コミック		★別題
A	SPIKE_1	末尾	flcl	フリクリ	0	standard	マガジンZKC	講談社	978406	3	3	9784062836173	2007-06	9784063490626		65445	整合	2007	0	8	フリクリ（下）	講談社box	2007年06月	単行本	box	
A	SPIKE_1	先頭	shogi-no-watanabe-kun	将棋の渡辺くん	0	standard	SHONEN MAGAZINE COMICS	講談社	978406	8	1	9784063955590	2015-12-09		9784063378504	57709	整合	2016	1	1162	将棋の渡辺くん（1）	ワイドKC	2015年12月09日頃	コミック	ワイド	
A	SPIKE_1	先頭	okoshiyasu-chitose-chan	おこしやす、ちとせちゃん	0	standard	KODANSHA WIDE KC BE・LOVE	講談社	978406	8	1	9784063930757	2016-11-11		9784063378658	55210	整合	2016	0	1366	おこしやす、ちとせちゃん	ワイドKC	2016年11月11日頃	コミック	ワイド	
A	SPIKE_1	末尾	u-31	U-31	0	standard	モーニングKC	講談社	978406	3	3	9784062836838	2008-11	9784063289909		45307	整合	2007	0	11	U-31（下）完全版	講談社ｂｏｘ	2008年11月	単行本	完全版	
A	SPIKE_1	先頭	boku-no-platinum-lady	ボクのプラチナレディー	0	standard	ちゃおコミックス	小学館	978409	3	1	9784091590060	2006-01		9784091304049	28602	整合	2005	1	327	ボクのプラチナレディー（1）	小学館プラス・アンコミックス	2005年11月	コミック	プラス・アン	
A	SPIKE_1	末尾	touken-ranbu-autodoa-ibun-touken-yaei	刀剣乱舞あうとどあ異聞刀剣野営	0	standard	PRINCESS COMICS	秋田書店	9784253	4	4	9784253009935	2026-01-23	9784253276559		26662	整合	2025	1	256	刀剣乱舞　あうとどあ異聞　刀剣野営　グッズ付き特装版　4	プリンセス・コミックス	2026年01月16日	コミック	特装	
A	SPIKE_1	末尾	monster	Monster	0	standard	ビッグコミックス	小学館	978409	18	18	9784091590015	2002-04	9784091852779		26276	整合	2005	3	317	MONSTER（18）	小学館プラス・アンコミックス	2002年02月	コミック	プラス・アン	
A	SPIKE_1	末尾	rogu-horizon-gaiden-honeymoon-roguzu	ログ・ホライズン外伝HoneyMoonLogs	0	standard	電撃コミックス	KADOKAWA	978404	4	4	9784048667012	2014-08-27	9784048919388		25237	整合	2014	0	473	ログ・ホライズン外伝 HoneyMoonLogs　4	電撃コミックス	2014年08月27日頃	コミック	外伝	
A	SPIKE_1	末尾	akuyaku-reijou-kari-no-funtou	悪役令嬢〈仮〉の奮闘	0	standard	フロースコミック	KADOKAWA	978404	6	6	9784046603319	2026-07-17	9784046848819		24550	整合	2026	0	292	悪役令嬢（仮）の奮闘　異世界転生に気づいたので婚約破棄して魂の番を探します6	フロース　コミック	2026年07月03日頃	コミック		★別題
A	SPIKE_1	末尾	no-6	No. 6	0	standard	ARIA	講談社	978406	9	9	9784063584967	2014-03	9784063806601		22164	整合	2010	4	157	No．6（＃9）CD付き特装版	［特装版コミックス］	2014年03月	コミック	特装	
A	SPIKE_1	末尾	code-geass	コードギアス	0	standard	角川コミックス・エース	KADOKAWA	978404	5	5	9784041018965	2014-09-26	9784041209806		19084	★日付も逆行	2017	3	413	コードギアス　双貌のオズ　（5）	角川コミックス・エース	2014年09月26日頃	コミック		
A	SPIKE_1	先頭	future-card-buddyfight	フューチャーカードバディファイト	0	standard	コロコロコミックス	小学館	978409	11	1	9784091591906	2014-03		9784091417961	17394	整合	2005	9	130	フューチャーカード バディファイト ／ 1 限定スタートデッキつき	小学館プラス・アンコミックスシリーズ	2014年03月	コミック	限定,プラス・アン	
A	SPIKE_1	末尾	miracle-1992	MIRACLE	0	standard	ぶ～けコミックス	集英社	978408	4	4	9784088475479	2002-08-28	9784088602783		12731	整合	2010	8	275	Miracle（4）新装版	マーガレットコミックス	2002年08月	コミック	新装	
A	SPIKE_1	末尾	akatsuki-no-yona	暁のヨナ	0	standard	花とゆめCOMICS	白泉社	9784592	47	47	9784592106494	2026-02-09	9784592225355		11886	整合	2018	8	4	暁のヨナ YONA MEMORIAL イラスト集付き特装版 47	マルチメディア商品	2026年02月20日頃	コミック	特装	
A	SPIKE_1	末尾	last-game	ラストゲーム	0	standard	花とゆめCOMICS	白泉社	9784592	11	11	9784592105664	2016-10-05	9784592210597		10493	整合	2018	2	10	ラストゲーム ドラマCD付き特装版 11		2016年10月05日頃	コミック	特装,ドラマcd	
A	SPIKE_1	先頭	omega-tribe-kingdom	オメガトライブキングダム	0	standard	ビッグコミックス	小学館	978409	11	1	9784091874856	2005-12		9784091801685	7317	整合	2005	0	813	OMEGA　TRIBE　KINGDOM（1）	ビッグコミックス	2005年10月28日頃	コミック		★別題
A	SPIKE_1	先頭	zenryaku-onii-chan-wa-seijo-ni-narimashita	前略、お兄ちゃんは聖女になりました。	0	standard	Glanz BLcomics	星雲社	9784434	4	1	9784434377327	2026-07-17		9784434318054	5927	★日付も逆行	2026	0	134	前略、お兄ちゃんは聖女になりました。4	Glanz　BLcomics	2026年07月17日頃	コミック		
A	SPIKE_1	先頭	golf-jinsei	ゴルフ・人生	0	standard	ACTION COMICS	双葉社	9784575	4	1	9784575850550	1995-06		9784575821796	2876	整合	2020	25	1	パステル家族（6）		2017年11月10日	コミック		★別題
A	SPIKE_1	末尾	saiyuuki-reload-blast	最遊記 RELOAD BLAST	0	standard	IDコミックス	一迅社	97847580	3	3	9784758032681	2017-11	9784758059329		2664	整合	2017	0	40	最遊記RELOAD　BLAST（3）特装版	IDコミックススペシャル	2017年10月31日頃	コミック	特装	
A	SPIKE_1	先頭	bajiru-shi-no-yuugana-seikatsu	バジル氏の優雅な生活	0	standard	Jets comics	白泉社	9784592	9	1	9784592138136	1980-09-20		9784592113522	2461	整合	1998	18	1	☆愛蔵版☆　バジル氏の優雅な生活　1	ジェッツコミックス	1991年01月01日	新書	愛蔵	
A	SPIKE_1	先頭	marcello-storia	マルチェロ物語	0	standard		白泉社	9784592	8	1	9784592138174	1982-04-20		9784592114420	2375	整合	1998	16	7	☆愛蔵版☆　マルチェロ物語（ストーリア）上	ジェッツコミックス	1991年01月01日	新書	愛蔵	
A	SPIKE_1	先頭	harukanaru-toki-no-naka-de	遙かなる時空の中で	0	standard	花とゆめコミックススペシャル	白泉社	9784592	17	1	9784592197010	2000-07-05		9784592174554	2246	整合	2013	13	1	遥かなる時空の中で 1 愛蔵版	花とゆめCOMICS	2012年07月	コミック	愛蔵	
A	SPIKE_1	先頭	kuruwa-genji	廓源氏	0	standard	まんがグリム童話	ぶんか社	97848211	3	1	9784821189922	2010-04		9784821170821	1910	整合	2010	0	44	まんがグリム童話（廓源氏）		2010年04月	文庫		★別題
A	SPIKE_1	末尾	shin-noroi-no-shoutaijou	新呪いの招待状	0	standard	ぶんか社コミックス	ぶんか社	97848211	5	5	9784821170685	2011-01	9784821189458		1877	整合	2010	1	27	花鬼館	ホラーMコミックス	2010年12月	コミック		★別題
A	SPIKE_1	先頭	hidoku-shinaide	酷くしないで	0	standard	Be-boy comics	リブレ出版	97847997	8	1	9784799724668	2014-12-10		9784799711682	1298	★日付も逆行	2015	1	16	酷くしないで小鳥遊彰編	ビーボーイコミックス	2014年12月10日頃	コミック		
A	SPIKE_N	内部	gakken-manga-nippon-no-rekishi	学研まんが 日本の歴史	0	standard		学研	978405	16	3,14	9784050048298,9784050048373	1982-10-20	9784051047283	9784051047306	99902	★日付も逆行			4						
A	SPIKE_N	内部	karakaijouzu-no-takagi-san	からかい上手の高木さん	0	standard	ゲッサン少年サンデーコミックススペシャル	小学館	978409	19	15,18	9784099430825,9784099431136	2021-02-12	9784098502103	9784098506910	92391	整合	2024	3	10	からかい上手の高木さん 15 からかいカレンダーカード付き特別版	ゲッサン少年サンデーコミックス	2021年02月12日頃	カセット、ＣＤ等	特別版	
A	SPIKE_N	内部	youkai-watch	妖怪ウォッチ	0	standard	コロコロコミックス	小学館	978409	23	2,8	9784091591692,9784091592163	2014-01	9784091416551	9784091417091	17460	整合	2005	9	130	妖怪ウォッチ（2）	小学館プラス・アンコミックスシリーズ	2013年12月27日頃	コミック	プラス・アン	
A	SPIKE_N	内部	gakuen-baby-shittaazu	学園ベビーシッターズ	0	standard	花とゆめCOMICS	白泉社	9784592	27	16,22	9784592105855,9784592106272	2018-01-04	9784592195757	9784592195771	11464	整合	2018	0	15	学園ベビーシッターズ ドラマCD付き特装版 16		2018年01月04日頃	コミック	特装,ドラマcd	
A	SPIKE_N	内部	fukumenkei-noise	覆面系ノイズ	0	standard	花とゆめCOMICS	白泉社	9784592	18	13,15	9784592105756,9784592105909	2017-06-20	9784592216124	9784592216148	11037	整合	2018	1	15	覆面系ノイズ ドラマCD付き限定版 13		2017年06月20日頃	コミック	限定,ドラマcd	
A	SPIKE_N	内部	skip-beat	スキップ・ビート!	0	standard	花とゆめCOMICS	白泉社	9784592	53	40,44	9784592105718,9784592106159	2017-03-20	9784592194996	9784592216414	11028	整合	2018	1	15	スキップ・ビート!ドラマCD付初回限定版 40		2017年03月20日頃	コミック	限定,初回,ドラマcd	
A	SPIKE_N	内部	soredemo-sekai-wa-utsukushii	それでも世界は美しい	0	standard	花とゆめCOMICS	白泉社	9784592	25	8,21	9784592105572,9784592213253	2014-09-19	9784592194774	9784592194798	8920	整合	2018	4	4	それでも世界は美しい（8）ドラマCD付き限	［特装版コミック］	2014年09月19日頃	コミック	特装,ドラマcd	
A	SPIKE_N	内部	hanma-baki	範馬刃牙	0	standard	少年チャンピオン・コミックス	秋田書店	9784253	37	12,16	9784253292726,9784253292764	2008-04-08	9784253209939	9784253209953	8277	整合	2024	16	2	新装版 範馬刃牙 12	少年チャンピオン・コミックス・エクストラ	2022年04月07日	コミック	新装	
