巻数,タイトル,最新巻発売月,未発売,状態,著者,出版社,総巻数(全版合計),slug,URL
17,リラックマ4クママンガ,2026-06,,ongoing,コンドウアキ,shufu-to-seikatsu,17,rirakkuma-4kuma-4-ga,https://mangal.shuichi0725.workers.dev/manga/rirakkuma-4kuma-4-ga
17,人外姫様(イモータルプリンセス)、始めました,2026-05,,ongoing,子日あきすず/割田コマ,kodansha,17,imootaru-princess-hajimemashita,https://mangal.shuichi0725.workers.dev/manga/imootaru-princess-hajimemashita
17,機動戦士ガンダムNT(ナラティブ),2025-11,,completed,大森倖三,kadokawa,17,kidou-senshi-gundam-narrative,https://mangal.shuichi0725.workers.dev/manga/kidou-senshi-gundam-narrative
17,薬屋のひとりごと,2026-07,,ongoing,日向夏/ねこクラゲ,square-enix,17,kusuriya-no-hitorigoto-shino,https://mangal.shuichi0725.workers.dev/manga/kusuriya-no-hitorigoto-shino
16,よつばと!,2025-02,,ongoing,あずまきよひこ,ascii-media-works,16,yotsuba-to,https://mangal.shuichi0725.workers.dev/manga/yotsuba-to
16,ガチ恋粘着獣,2025-09,,completed,星来,coamix,16,gachikoi-nenchakujuu,https://mangal.shuichi0725.workers.dev/manga/gachikoi-nenchakujuu
16,バキ外伝,2026-03,,ongoing,猪原賽/猪原賽/陸井栄史,akita,16,baki-gaiden,https://mangal.shuichi0725.workers.dev/manga/baki-gaiden
16,マギクラフト・マイスター,2026-10,予約,ongoing,秋ぎつね/吉舎和幸,kadokawa,16,magi-craft-meister,https://mangal.shuichi0725.workers.dev/manga/magi-craft-meister
16,モエカレはオレンジ色,2026-10,予約,completed,玉島ノン,kodansha,16,moekare-wa-orangeiro,https://mangal.shuichi0725.workers.dev/manga/moekare-wa-orangeiro
16,不遇職〈鑑定士〉が実は最強だった,2025-06,,completed,茨木野/藤モロホシ,kodansha,16,fuguushoku-kanteishi-ga-jitsu-wa-saikyou-datta,https://mangal.shuichi0725.workers.dev/manga/fuguushoku-kanteishi-ga-jitsu-wa-saikyou-datta
16,村人転生,2025-06,,ongoing,たかはしあん/イチソウヨウ,futabasha,16,murabito-tensei,https://mangal.shuichi0725.workers.dev/manga/murabito-tensei
16,蜘蛛ですが、なにか?,2026-02,,ongoing,馬場翁/グラタン鳥,kadokawa,16,kumo-desu-nanika,https://mangal.shuichi0725.workers.dev/manga/kumo-desu-nanika
15,うちの弟どもがすみません,2026-06,,ongoing,尾崎あきら,shueisha,15,uchi-no-otoutodomo-ga-sumimasen,https://mangal.shuichi0725.workers.dev/manga/uchi-no-otoutodomo-ga-sumimasen
15,きんこん土佐日記,2025-05,,ongoing,村岡マサヒロ,(unknown),15,kinkon-tosa-nikki,https://mangal.shuichi0725.workers.dev/manga/kinkon-tosa-nikki
15,とっておきドラえもん,2026-02,,ongoing,藤子・F・不二雄,shogakukan,15,totteoki-doraemon,https://mangal.shuichi0725.workers.dev/manga/totteoki-doraemon
15,ののちゃん,2026-07,,ongoing,いしいひさいち,(unknown),15,nono-chan,https://mangal.shuichi0725.workers.dev/manga/nono-chan
15,ラーメン大好き小泉さん,2026-05,,ongoing,なるみなる,akita,15,ramen-daisuki-koizumi-san,https://mangal.shuichi0725.workers.dev/manga/ramen-daisuki-koizumi-san
15,ワンダンス,2025-12,,ongoing,珈琲,kodansha,15,wondance,https://mangal.shuichi0725.workers.dev/manga/wondance
15,暴食のベルセルク,2026-05,,ongoing,滝乃大祐,micro-magazine,15,boushoku-no-beruseruku,https://mangal.shuichi0725.workers.dev/manga/boushoku-no-beruseruku
15,父は英雄、母は精霊、娘の私は転生者。,2026-10,予約,ongoing,松浦/大堀ユタカ,square-enix,15,chichi-wa-eiyuu-haha-wa-seirei-musume-no-watashi-wa-tenseisha,https://mangal.shuichi0725.workers.dev/manga/chichi-wa-eiyuu-haha-wa-seirei-musume-no-watashi-wa-tenseisha
15,裏切られたSランク冒険者の俺は、愛する奴隷の彼女らと共に奴隷だけのハーレムギルドを作る,2026-09,,ongoing,柊咲/川田暁生,shueisha,15,uragirareta-esuranku-boukensha-no-ore-wa-aisuru-dorei-no-kanojora-to-tomo-ni-dorei-dake-no-harem,https://mangal.shuichi0725.workers.dev/manga/uragirareta-esuranku-boukensha-no-ore-wa-aisuru-dorei-no-kanojora-to-tomo-ni-dorei-dake-no-harem
15,賢者の弟子を名乗る賢者,2026-03,,ongoing,すえみつぢっか/りゅうせんひろつぐ,micro-magazine,15,kenja-no-deshi-o-nanoru-kenja,https://mangal.shuichi0725.workers.dev/manga/kenja-no-deshi-o-nanoru-kenja
15,転生貴族の万能開拓,2026-07,,ongoing,錬金王/るれくちぇ/Kuron,kodansha,15,tensei-kizoku-no-bannou-kaitaku,https://mangal.shuichi0725.workers.dev/manga/tensei-kizoku-no-bannou-kaitaku
15,骸骨騎士様、只今異世界へお出掛け中,2026-06,,ongoing,澤野明,overlap,15,gaikotsu-kishi-sama-tadaima-isekai-e-odekakechuu,https://mangal.shuichi0725.workers.dev/manga/gaikotsu-kishi-sama-tadaima-isekai-e-odekakechuu
14,Sランクパーティから解雇された〈呪具師〉,2026-06,,ongoing,LA軍/小川錦,kodansha,14,s-rank-party-kara-kaiko-sareta-jugushi,https://mangal.shuichi0725.workers.dev/manga/s-rank-party-kara-kaiko-sareta-jugushi
14,おかしな転生,2026-05,,ongoing,古流望/飯田せりこ/富沢みどり,to-books,14,okashina-tensei,https://mangal.shuichi0725.workers.dev/manga/okashina-tensei
14,ふしぎの国のバード,2026-10,予約,ongoing,佐々大河,kadokawa,14,fushigi-no-kuni-no-bird,https://mangal.shuichi0725.workers.dev/manga/fushigi-no-kuni-no-bird
14,ゴブリンスレイヤー外伝,2025-12,,ongoing,栄田健人,square-enix,14,goblin-slayer-gaiden,https://mangal.shuichi0725.workers.dev/manga/goblin-slayer-gaiden
14,ハズレ枠の〈状態異常スキル〉で最強になった俺がすべてを蹂躙するまで,2026-06,,ongoing,内々けやき/篠崎芳/鵜吉しょう,overlap,14,hazurewaku-no-joutai-ijou-skill-de-saikyou-ni-natta-ore-ga-subete-o-juurin-suru-made,https://mangal.shuichi0725.workers.dev/manga/hazurewaku-no-joutai-ijou-skill-de-saikyou-ni-natta-ore-ga-subete-o-juurin-suru-made
14,ファイナルファンタジーロスト・ストレンジャー,2026-05,,ongoing,水瀬葉月/亀屋樹,square-enix,14,final-fantasy-lost-stranger,https://mangal.shuichi0725.workers.dev/manga/final-fantasy-lost-stranger
14,ロード・エルメロイ2世の事件簿,2026-04,,ongoing,東冬,kadokawa,14,road-erumeroi-2-sei-no-file,https://mangal.shuichi0725.workers.dev/manga/road-erumeroi-2-sei-no-file
14,冒険者ライセンスを剥奪されたおっさんだけど、愛娘ができたのでのんびり人生を謳歌する,2026-06,,ongoing,唯浦史,square-enix,14,boukensha-license-o-hakudatsusareta-otsu-san-dakedo-manamusume-ga-dekita-node-nonbiri-jinsei-o,https://mangal.shuichi0725.workers.dev/manga/boukensha-license-o-hakudatsusareta-otsu-san-dakedo-manamusume-ga-dekita-node-nonbiri-jinsei-o
14,出遅れテイマーのその日暮らし,2026-10,予約,ongoing,棚架ユウ/タチバナ,kadokawa,14,deokure-tamer-no-sonohigurashi,https://mangal.shuichi0725.workers.dev/manga/deokure-tamer-no-sonohigurashi
14,死に戻りの幸薄令嬢、今世では最恐ラスボスお義兄様に溺愛されてます,2026-09,,ongoing,柚子れもん/山いも三太郎,kodansha,14,shinimodori-no-sachiusu-reijou-konsei-de-wa-saikyou-rasubosu-onii-sama-ni-dekiai-dekiaisaretemasu,https://mangal.shuichi0725.workers.dev/manga/shinimodori-no-sachiusu-reijou-konsei-de-wa-saikyou-rasubosu-onii-sama-ni-dekiai-dekiaisaretemasu
14,社畜さんは幼女幽霊に癒されたい。,2026-01,,completed,有田イマリ,square-enix,14,shachiku-san-wa-youjo-yuurei-ni-iyasaretai,https://mangal.shuichi0725.workers.dev/manga/shachiku-san-wa-youjo-yuurei-ni-iyasaretai
14,転生した大聖女は、聖女であることをひた隠す,2026-04,,ongoing,十夜/青辺マヒト,earth-star,14,tensei-shita-daiseijo-wa-seijo-de-aru-koto-o-hitakakusu,https://mangal.shuichi0725.workers.dev/manga/tensei-shita-daiseijo-wa-seijo-de-aru-koto-o-hitakakusu
14,辺境の薬師、都でSランク冒険者となる,2026-09,,ongoing,kakao/茨木野,kodansha,14,henkyou-no-kusushi-miyako-de-esu-rank-boukensha-to-naru,https://mangal.shuichi0725.workers.dev/manga/henkyou-no-kusushi-miyako-de-esu-rank-boukensha-to-naru
13,4軍くん〈仮〉,2026-04,,ongoing,森高夕次/末広光,shueisha,13,4-gun-kun-kari,https://mangal.shuichi0725.workers.dev/manga/4-gun-kun-kari
13,Aランクパーティを離脱した俺は、元教え子たちと迷宮深部を目指す。,2026-08,,ongoing,右薙光介/ユーリ,kodansha,13,eeranku-party-o-ridatsu-shita-ore-wa-motooshiegotachi-to-meikyuu-shinbu-o-mezasu,https://mangal.shuichi0725.workers.dev/manga/eeranku-party-o-ridatsu-shita-ore-wa-motooshiegotachi-to-meikyuu-shinbu-o-mezasu
13,Destiny Unchain Online,2026-08,,ongoing,resn/ヤチモト,kodansha,13,destiny-unchain-online,https://mangal.shuichi0725.workers.dev/manga/destiny-unchain-online
13,Re:ゼロから始める異世界生活,2026-04,,ongoing,長月達平/マツセダイチ,kadokawa,13,ri-zero-kara-hajimeru-isekai-seikatsu,https://mangal.shuichi0725.workers.dev/manga/ri-zero-kara-hajimeru-isekai-seikatsu
13,WORST外伝サブロクサンタ,2026-06,,ongoing,北原健世/林たかあき,akita,13,worst-gaiden-saburoku-santa,https://mangal.shuichi0725.workers.dev/manga/worst-gaiden-saburoku-santa
13,はぐちさん,2026-10,予約,ongoing,くらっぺ,shodensha,13,haguchi-san,https://mangal.shuichi0725.workers.dev/manga/haguchi-san
13,テンカイチ,2026-02,,ongoing,中丸洋介/あずま京太郎,kodansha,13,tenkaichi-azuma,https://mangal.shuichi0725.workers.dev/manga/tenkaichi-azuma
13,悪食令嬢と狂血公爵,2026-06,,ongoing,星彼方/水辺チカ,kodansha,13,akujiki-reijou-to-kyouketsu-koushaku,https://mangal.shuichi0725.workers.dev/manga/akujiki-reijou-to-kyouketsu-koushaku
13,技巧貸与(スキル・レンダー)のとりかえし,2026-07,,ongoing,黄波戸井ショウリ/小山ナオト,kodansha,13,skill-rendaa-no-torikaeshi,https://mangal.shuichi0725.workers.dev/manga/skill-rendaa-no-torikaeshi
13,斎藤義龍に生まれ変わったので、織田信長に国譲りして長生きするのを目指します!,2026-10,予約,ongoing,田村ゆうき/巽未頼,akita,13,saitou-yoshitatsu-ni-umarekawatta-node-oda-nobunaga-ni-kuniyuzuri-shite-nagaiki-suru-no-o,https://mangal.shuichi0725.workers.dev/manga/saitou-yoshitatsu-ni-umarekawatta-node-oda-nobunaga-ni-kuniyuzuri-shite-nagaiki-suru-no-o
13,新米オッサン冒険者、最強パーティに死ぬほど鍛えられて無敵になる。,2026-05,,ongoing,岸馬きらく/荻野ケン,hobby-japan,13,shinmai-otsu-san-boukensha-saikyou-party-ni-shinuhodo-kitaerarete-muteki-ni-naru,https://mangal.shuichi0725.workers.dev/manga/shinmai-otsu-san-boukensha-saikyou-party-ni-shinuhodo-kitaerarete-muteki-ni-naru
13,没落予定の貴族だけど、暇だったから魔法を極めてみた@COMIC,2026-10,予約,ongoing,三木なずな/秋咲りお,to-books,13,botsuraku-yotei-no-kizoku-dakedo-hima-datta-kara-mahou-o-kiwamete-mita-comic,https://mangal.shuichi0725.workers.dev/manga/botsuraku-yotei-no-kizoku-dakedo-hima-datta-kara-mahou-o-kiwamete-mita-comic
13,淡海(あふみ)乃海,2026-01,,ongoing,もとむらえり,to-books,13,afumi-no-umi,https://mangal.shuichi0725.workers.dev/manga/afumi-no-umi
13,異世界から聖女が来るようなので、邪魔者は消えようと思います,2026-09,,ongoing,蓮水涼/ばち,kadokawa,13,isekai-kara-seijo-ga-kuru-you-nanode-jamamono-wa-kieyou-to-omoimasu,https://mangal.shuichi0725.workers.dev/manga/isekai-kara-seijo-ga-kuru-you-nanode-jamamono-wa-kieyou-to-omoimasu
13,異世界で上前はねて生きていく,2026-10,予約,ongoing,岸若まみず/こばみそ,futabasha,13,isekai-de-uwamae-hanete-ikite-iku,https://mangal.shuichi0725.workers.dev/manga/isekai-de-uwamae-hanete-ikite-iku
13,私の推しは悪役令嬢。,2026-10,予約,ongoing,いのり。/青乃下,ichijinsha,13,watashi-no-oshi-wa-akuyaku-reijou,https://mangal.shuichi0725.workers.dev/manga/watashi-no-oshi-wa-akuyaku-reijou
13,脱いだら絶倫!?,2026-04,,ongoing,嶋永のの,daitosha,13,nui-dara-zetsurin,https://mangal.shuichi0725.workers.dev/manga/nui-dara-zetsurin
12,Fate/stay night〈Heaven's Feel〉,2026-11,予約,ongoing,TYPE-MOON/タスクオーナ,kadokawa,12,fate-stay-night-heaven-s-feel,https://mangal.shuichi0725.workers.dev/manga/fate-stay-night-heaven-s-feel
12,あやかしお宿に嫁入りします。,2025-10,,ongoing,友麻碧/衣丘わこ,kadokawa,12,ayakashi-oyado-ni-yomeiri-shimasu,https://mangal.shuichi0725.workers.dev/manga/ayakashi-oyado-ni-yomeiri-shimasu
12,ねぇ、ぴよちゃん,2026-04,,ongoing,青沼貴子,takeshobo,12,nee-piyo-chan,https://mangal.shuichi0725.workers.dev/manga/nee-piyo-chan
12,イケナイ菜々子さん,2026-05,,ongoing,あさぎ龍,shonen-gahosha,12,ikenai-nanako-san,https://mangal.shuichi0725.workers.dev/manga/ikenai-nanako-san
12,勇者パーティーを追放されたビーストテイマー、最強種の猫耳少女と出会う,2026-09,,ongoing,深山鈴/茂村モト,square-enix,12,yuusha-party-o-tsuihousareta-beast-tamer-tamer-no-neko-ji-shoujo-to-deau,https://mangal.shuichi0725.workers.dev/manga/yuusha-party-o-tsuihousareta-beast-tamer-tamer-no-neko-ji-shoujo-to-deau
12,勘違いの工房主(アトリエマイスター),2026-03,,ongoing,時野洋輔/古川奈春,seiunsha,12,kanchigai-no-atelier-maisutaa,https://mangal.shuichi0725.workers.dev/manga/kanchigai-no-atelier-maisutaa
12,合コンに行ったら女がいなかった話,2026-10,予約,ongoing,蒼川なな,square-enix,12,goukon-ni-ittara-onna-ga-inakatta-hanashi,https://mangal.shuichi0725.workers.dev/manga/goukon-ni-ittara-onna-ga-inakatta-hanashi
12,嘆きの亡霊は引退したい,2025-11,,ongoing,槻影/蛇野らい,kadokawa,12,nageki-no-bourei-wa-intai-shitai,https://mangal.shuichi0725.workers.dev/manga/nageki-no-bourei-wa-intai-shitai
12,姫騎士は蛮族(バルバロイ)の嫁,2026-06,,ongoing,コトバノリアキ,kodansha,12,himekishi-wa-barubaroi-no-yome,https://mangal.shuichi0725.workers.dev/manga/himekishi-wa-barubaroi-no-yome
12,学園騎士のレベルアップ!,2026-01,,ongoing,三上康明/白石識,futabasha,12,gakuen-kishi-no-level-appu,https://mangal.shuichi0725.workers.dev/manga/gakuen-kishi-no-level-appu
12,少年イン・ザ・フッド,2026-04,,ongoing,SITE,fusosha,12,shounen-in-za-fuddo,https://mangal.shuichi0725.workers.dev/manga/shounen-in-za-fuddo
12,恋する〈おとめ〉の作り方,2026-07,,ongoing,万丈梓,ichijinsha,12,koisuru-otome-no-tsukurikata,https://mangal.shuichi0725.workers.dev/manga/koisuru-otome-no-tsukurikata
12,我にチートを,2026-05,,ongoing,温泉卵/山田モジ美,akita,12,ware-ni-cheat-o,https://mangal.shuichi0725.workers.dev/manga/ware-ni-cheat-o
12,指先から本気の熱情,2025-09,,completed,川野タニシ,seiunsha,12,yubisaki-kara-honki-no-netsujou,https://mangal.shuichi0725.workers.dev/manga/yubisaki-kara-honki-no-netsujou
12,日・日・天(そら)のたより,2026-06,,completed,夢路行,akita,12,nichi-nichi-sora-no-tayori,https://mangal.shuichi0725.workers.dev/manga/nichi-nichi-sora-no-tayori
12,日本へようこそエルフさん。,2026-01,,ongoing,まきしま鈴木/青乃下,hobby-japan,12,nippon-e-youkoso-elf-san,https://mangal.shuichi0725.workers.dev/manga/nippon-e-youkoso-elf-san
12,最凶の支援職〈話術士〉である俺は世界最強クランを従える,2026-05,,ongoing,じゃき/やもりちゃん,overlap,12,saikyou-no-shienshoku-wajutsushi-de-aru-ore-wa-sekai-saikyou-kuran-o-shitagaeru,https://mangal.shuichi0725.workers.dev/manga/saikyou-no-shienshoku-wajutsushi-de-aru-ore-wa-sekai-saikyou-kuran-o-shitagaeru
12,最弱な僕は〈壁抜けバグ〉で成り上がる,2026-07,,ongoing,北川ニキタ/畑優以,kodansha,12,saijaku-na-boku-wa-kabenuke-bagu-de-nariagaru,https://mangal.shuichi0725.workers.dev/manga/saijaku-na-boku-wa-kabenuke-bagu-de-nariagaru
12,最強の職業は勇者でも賢者でもなく鑑定士〈仮〉らしいですよ?,2026-06,,ongoing,あてきち/武田充司,seiunsha,12,saikyou-no-shokugyou-wa-yuusha-demo-kenja-demo-naku-kanteishi-kari-rashii-desu-yo,https://mangal.shuichi0725.workers.dev/manga/saikyou-no-shokugyou-wa-yuusha-demo-kenja-demo-naku-kanteishi-kari-rashii-desu-yo
12,本田鹿の子の本棚,2026-08,,ongoing,佐藤将,leed,12,honda-kanoko-no-hondana,https://mangal.shuichi0725.workers.dev/manga/honda-kanoko-no-hondana
12,氷属性男子とクールな同僚女子,2026-09,,ongoing,殿ヶ谷美由記,square-enix,12,koori-zokusei-otoko-to-coolna-douryou-joshi,https://mangal.shuichi0725.workers.dev/manga/koori-zokusei-otoko-to-coolna-douryou-joshi
12,瞬きより迅く!!,2025-04,,completed,ふなつ一輝,shueisha,12,mabataki-yori-hayaku,https://mangal.shuichi0725.workers.dev/manga/mabataki-yori-hayaku
12,終末のワルキューレ奇譚ジャック・ザ・リッパーの事件簿,2026-11,予約,ongoing,イイヅカケイタ,coamix,12,shuumatsu-no-valkyrie-ki-tan-jack-za-ripper-no-file,https://mangal.shuichi0725.workers.dev/manga/shuumatsu-no-valkyrie-ki-tan-jack-za-ripper-no-file
12,織津江大志の異世界クリ娘(むす)サバイバル日誌,2026-06,,ongoing,KAKERU/瀬口たかひろ,akita,12,oritsue-taishi-no-isekai-kurimusu-survival-nisshi,https://mangal.shuichi0725.workers.dev/manga/oritsue-taishi-no-isekai-kurimusu-survival-nisshi
12,茉莉花官吏伝,2025-10,,ongoing,石田リンネ/高瀬わか,akita,12,matsurika-kanriden,https://mangal.shuichi0725.workers.dev/manga/matsurika-kanriden
12,虐げられ令嬢とケガレ公爵,2025-12,,completed,廻,flex-comix,12,shiitagerare-reijou-to-kegare-koushaku,https://mangal.shuichi0725.workers.dev/manga/shiitagerare-reijou-to-kegare-koushaku
12,諸星大二郎短編集成,2027-11,予約,ongoing,諸星大二郎,shogakukan,12,morohoshi-daijirou-tanpen-shuusei,https://mangal.shuichi0725.workers.dev/manga/morohoshi-daijirou-tanpen-shuusei
