slug	verdict	evidence
0-nousha-minato	desc_weak	クライマックス
arafoo-shachiku-no-golem-master	desc_weak	大団円
boyfriend-yamada-2009	desc_weak	クライマックス
celebrity-game	desc_weak	フィナーレ
chaosic-rune-es	desc_weak	クライマックス
dual-na-kanojo-no-taoshikata	desc_weak	クライマックス
houkago-sekigahara	desc_weak	終幕
i-c-u	desc_weak	フィナーレ
kekkon-wa-hakaba-ka-gooru-ka-romance-ka	desc_weak	クライマックス
kimongai	desc_part	第1部完結
kiss-ariki	desc_weak	クライマックス
kyuuteii-no-musume	desc_weak	クライマックス
lunatic-circus	desc_part	第一部完結
machi-no-tomu-ando-sooya	desc_weak	クライマックス
mahou-shoujo-lyrical-nanoha-innocent	desc_weak	クライマックス
ossu-haruka-chan	desc_weak	大団円
panzer-princess	desc_weak	フィナーレ
saihate-ni-circus	desc_part	第一部完結
sand-no-meshi-to-are-ga-suki	desc_weak	フィナーレ
shinomiya-kouta-wa-mada-shinenai	desc_weak	フィナーレ
slapstick	desc_weak	クライマックス
tade-kuu-kimi-mo-suki-zuki	desc_weak	クライマックス
winged-mermaids	desc_weak	フィナーレ
yuki-to-matsu	desc_part	第一部完結
