消えた巻数	slug	title	type	表示label	表示imprint	表示巻数	畳まれた種2版[出版社]	canonical	消えたISBN
0	kiryuuin-kaya-ni-chi-o-suwareru-dake-no-kan-tan-na-oshigoto	鬼龍院カヤに血を吸われるだけの簡単なおしごと	standard	通常版	ドラゴンコミックスエイジ	3	ドラゴンコミックスエイジ[角川グループパブリッシング,角川グループホールデ] / ドラゴンコミックスエイジ[角川グループパブリッシング]		
0	kodomo-kagaku-gijutsu-hakusho	子ども科学技術白書	standard	通常版		3	None[国立印刷局] / None[大蔵省印刷局]		
0	koharu-hiyori-mizuki-2004	こはるびより	standard	通常版	DENGEKI COMICS	5	DENGEKI COMICS[角川グループパブリッシング,角川書店] / 電撃コミックス[角川グループパブリッシング]		
0	koi-to-senkyo-to-chocolate	恋と選挙とチョコレート	standard	通常版	電撃コミックス	6	アスキー・メディアワークス[KADOKAWA,角川グループパブリッシング] / 電撃コミックス[KADOKAWA,角川グループパブリッシング]		
0	koi-yori-aoku	恋より青く	standard	通常版	オギャー!!	5	オギャー!![集英社,集英社 (発売)] / 集英社ホームコミックス. オギャー!![集英社]		
0	kokoro-connect-on-air	ココロコネクト	standard	通常版	ファミ通クリアコミックス	5	ファミ通クリアコミックス[KADOKAWA,角川グループパブリッシング] / ファミ通クリアコミックス[角川グループパブリッシング]		
0	komorebi-no-hito	木洩れ日のひと	standard	通常版	FC swing	6	FC swing[祥伝社] / FC swing[祥伝社] / None[光文社]		
0	konjou-no-koi	紺青の恋	standard	通常版	ヒーローズコミックスふらっと	3	ヒーローズコミックスふらっと[小学館クリエイティブ,小学館クリエイティブ (発] / ヒーローズコミックスふらっと[小学館クリエイティブ]		
0	konyakuhakisaretaonnahaosananajiminiitadakarechaimashitaichi	婚約破棄された女は幼なじみにいただかれちゃいました。	standard	通常版	Daito comics TL (teens love) シリーズ	4	Daito comics TL (teens love) シリーズ[大都社 (発売)] / Daito comics TLシリーズ[大都社]		
0	koodogiasu-shikkoku-no-renya	コードギアス 漆黒の蓮夜	standard	通常版	角川コミックス・エース	7	角川コミックス・エース[KADOKAWA,角川グループパブリッシング,角] / 角川コミックス・エース[角川グループパブリッシング] / 角川コミックス・エース[角川グループパブリッシング]		
0	kore-wa-zombie-desu-ka	これはゾンビですか?	standard	通常版	ドラゴンコミックスエイジ	8	ドラゴンコミックスエイジ[KADOKAWA,角川グループパブリッシング,角] / ドラゴンコミックスエイジ[角川グループパブリッシング]		
0	kore-wa-zombie-desu-ka-hai-anata-no-yome-desu	これはゾンビですか? はい、アナタの嫁です	standard	通常版	角川コミックス・エース	5	角川コミックス・エース[角川グループパブリッシング,角川グループホールデ] / 角川コミックス・エース[角川グループパブリッシング]		
0	koushakuke-ni-umarete-shonichi-ni-atotsugi-shikkaku-no-rakuin-o-osaremashita-ga-kyou-mo-genki-ni	公爵家に生まれて初日に跡継ぎ失格の烙印を押されましたが今日も元気に生きてます!	standard	通常版	Regina COMICS	6	Regina COMICS[星雲社 (発売)] / Regina COMICS[星雲社] / Regina COMICS[星雲社]		
0	kuooto-ando-half	1/4×1/2	standard	通常版	眠れぬ夜の奇妙な話コミックス	7	Nemuki+コミックス[朝日新聞出版] / Nemuki+コミックス[朝日新聞出版] / [ソノラマコミックス][朝日新聞出版] / 眠れぬ夜の奇妙な話コミックス[朝日ソノラマ]		
0	kurumi-no-naka	胡桃の中	standard	通常版	Be-boy comics	4	Zero comics[リブレ出版] / クロフネcomics[リブレ]		
0	kuudere-zuma	クーデレづま	standard	通常版	occupai	3	occupai[星雲社 (発売)] / occupai[星雲社]		
0	kuuki-ga-yomeru-shinnyuu-shine-to-buaiso-na-senpai	空気が(「読める」)新入社員と無愛想な先輩	standard	通常版	IDコミックス	7	IDコミックス. Zero-sum comics[講談社] / IDコミックス[一迅社,講談社] / IDコミックス[講談社]		
0	kuusou-kagaku-edison	空想科学エジソン	deluxe	デラックス版	バーズコミックスデラックス	3	BIRZ COMICS DELUXE[幻冬舎] / バーズコミックスデラックス[ソニー・マガジンズ]		
0	kuusou-kagaku-taisen	空想科学大戦	standard	通常版	空想科学COMICALIZATION	4	空想科学COMICALIZATION[ソニー・マガジンズ,メディアファクトリー] / 空想科学COMICALIZATION[メディアファクトリー]		
0	kyojinzoku-no-hanayome	巨人族の花嫁	standard	通常版	Glanz BLcomics	10	Glanz BLcomics[星雲社,星雲社 (発売)] / Glanz BLcomics[星雲社]		
0	kyonyuu-to-loli-to-boyish	巨乳とロリとボーイッシュ	standard	通常版	IDコミックス／REXコミックス	2	IDコミックス[講談社] / IDコミックス／REXコミックス[一迅社]		
0	kyou-kara-city-hunter-2021	今日から City hunter	standard	通常版	ゼノンコミックス	18	ゼノンコミックス[コアミックス,徳間書店] / ゼノンコミックス[コアミックス] / ゼノンコミックス[コアミックス]		
0	kyou-kara-keiyaku-kazoku-hajimemasu	今日から、契約家族はじめます	standard	通常版	アルファノルンCOMICS	3	アルファノルンCOMICS[星雲社,星雲社 (発売)] / アルファノルンCOMICS[星雲社]		
0	kyoukaisenjou-no-horizon	境界線上のホライゾン	standard	通常版	電撃コミックス	6	アスキー・メディアワークス[角川グループホールディングス] / 電撃コミックス[KADOKAWA,角川グループパブリッシング] / 電撃コミックス[KADOKAWA]		
0	kyuuketsuki	吸血姫	standard	通常版	Flex comix	5	Flex comix[ソフトバンククリエイティブ] / フレックスコミックス[ほるぷ出版]		
0	kyuukoku-no-meshia	救国のメシア	standard	通常版	Missy comics	2	Missy comics[宙出版] / ネクストFコミックス[ジャイブ]		
0	kyuukyoku-no-komyushou-wotaku-joshi-no-watashi-ga-soshage-no-sekai-ni-kita-kedo-oshi-ga-toutosugite	究極のコミュ障オタク女子の私がソシャゲの世界にきたけど、推しが尊すぎてつらい	standard	通常版	Missy comics	6	Missy comics[宙出版] / ネクストFコミックス[ジャイブ]		
0	last-exile-ginyoku-no-fam	ラストエグザイル 銀翼のファム	standard	通常版	角川コミックス・エース	3	角川コミックス・エース[●角川グループパブリッシング（東京）] / 角川コミックス・エース[角川グループパブリッシング]		
0	lemon-angel	レモンエンジェル	standard	通常版	YOUNGJUMP COMICSSPECIAL	10	None[集英社] / YOUNGJUMP COMICSSPECIAL[集英社] / ヤングジャンプ・コミックス[集英社] / ヤングジャンプ・コミックス・スペシャル[ホーム社,集英社]		
0	little-busters-end-of-refrain	リトルバスターズ!End of Refrain	standard	通常版	アスキー・メディアワークス	4	アスキー・メディアワークス[KADOKAWA] / アスキー・メディアワークス[角川グループパブリッシング] / 電撃コミックス[KADOKAWA] / 電撃コミックス[KADOKAWA]		
0	log-horizon	ログ・ホライズン	standard	通常版	ファミ通クリアコミックス	11	ドラゴンコミックスエイジ[KADOKAWA,角川グループパブリッシング] / ドラゴンコミックスエイジ[KADOKAWA] / ファミ通クリアコミックス[角川グループパブリッシング]		
0	love-control	恋愛操作	standard	通常版	Super be-boy comics	9	Super be-boy comics[リブレ出版] / Super be×boy comics[リブレ] / Super be×boy comics[リブレ出版] / スーパービーボーイコミックス[リブレ]		
0	loveless	LOVELESS	standard	通常版	IDコミックス	13	IDコミックス[スタジオDNA,一迅社] / IDコミックス[講談社]		
0	machigai-shoukan	間違い召喚!	standard	通常版	アルファポリスCOMICS	5	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	machine-doll-wa-kizutsukanai	機巧少女は傷つかない	standard	通常版	MFコミックス	9	MFコミックス[KADOKAWA,メディアファクトリー] / MFコミックス[メディアファクトリー] / MFコミックス[メディアファクトリー]		
0	magical-dream-kirapichi-5	マジカル★ドリームキラピチ5	standard	通常版	ピチコミックス	4	ピチコミックス[学研プラス] / ピチコミックス[学研マーケティング]		
0	magical-miracle	Magical×Miracle	standard	通常版	Zero-sum comics	6	Zero-sum comics[スタジオDNA,一迅社] / Zero-sum comics[一賽舎]		
0	mahou-no-tenshi-creamy-mami-fukigenna-ohime-sama	魔法の天使クリィミーマミ不機嫌なお姫様	standard	通常版	タタン	7	ゼノンコミックス[コアミックス] / タタン[竹書房]		
0	mahou-shoujo-lyrical-nanoha-vivid-furu-colors	魔法少女リリカルなのはViVid FULL COLORS	standard	通常版	角川コミックス・エース	6	角川コミックス・エース[KADOKAWA] / 角川コミックス・エース[角川グループパブリッシング] / 角川コミックス・エース[角川グループパブリッシング]		
0	mahoujin-guruguru	魔法陣グルグル	standard	通常版	ガンガンコミックス	16	GANGAN COMICS[エニックス] / ガンガンコミックス[エニックス,スクウェア・エニックス]		
0	mahoutsukai-yousei-senmon-magic-star-gakuin	魔法使い養成専門マジックスター学院	standard	通常版	Gファンタジーコミックス	5	Gファンタジーコミックス[エニックス,スクウェア・エニックス] / Gファンタジーコミックス[エニックス]		
0	maid-kara-haha-ni-narimashita	メイドから母になりました	standard	通常版	Regina COMICS	13	Regina COMICS[星雲社,星雲社 (発売)] / Regina COMICS[星雲社] / Regina COMICS[星雲社]		
0	maji-de-watashi-ni-koishinasai-afterparty	真剣で私に恋しなさい!!afterparty!!	standard	通常版	電撃コミックス	5	アスキー・メディアワークス[角川グループホールディングス] / 電撃コミックス[KADOKAWA,角川グループパブリッシング,角] / 電撃コミックス[KADOKAWA]		
0	makai-ouji-devils-and-realist	魔界王子devils and realist	standard	通常版	IDコミックス	15	IDコミックス[一迅社,講談社] / IDコミックス[一迅社]		
0	maken-no-deshi-wa-munou-de-saikyou	魔剣の弟子は無能で最強!	standard	通常版	ガンガンコミックスup!	9	ガンガンコミックスup![スクウェア ・ エニックス,スクウェア・エニック] / ガンガンコミックスup![スクウェア・エニックス]		
0	makikomare-shoukan-soshite-watashi-wa-kami-deshita	巻き込まれ召喚!?そして私は『神』でした??	standard	通常版	アルファポリスCOMICS	8	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	manga-de-zesshou-shinfogia	まんがDE絶唱しんふぉぎあ	standard	通常版	単行本コミックス	4	単行本コミックス[KADOKAWA,KADOKAWA (発売)] / 単行本コミックス[KADOKAWA]		
0	manga-nippon-no-rekishi	マンガ日本の歴史	bunkobon	文庫版	中公文庫	55	中公文庫[中央公論新社,中央公論社] / 中公文庫[中央公論社]		
0	manga-saiensu	まんがサイエンス	deluxe	デラックス版	ノーラコミックスdeluxe	14	ノーラコミックスdeluxe[学研] / ノーラコミックスdeluxe[学研教育出版,学習研究社]		
0	maouna-anoko-to-murabito-a	魔王なあの娘と村人A	standard	通常版	電撃コミックス	5	電撃コミックス[KADOKAWA,角川グループパブリッシング] / 電撃コミックス[KADOKAWA]		
0	maoyuu-4-koma-muitemasenyo-maousama	まおゆう4コマ「向いてませんよ、魔王様」	standard	通常版	マジキューコミックス	3	マジキューコミックス[KADOKAWA,角川グループパブリッシング] / マジキューコミックス[角川グループパブリッシング]		
0	maoyuu-maou-yuusha	まおゆう魔王勇者	standard	通常版	ファミ通クリアコミックス	8	ファミ通クリアコミックス[KADOKAWA,角川グループパブリッシング] / ファミ通クリアコミックス[KADOKAWA] / ファミ通クリアコミックス[角川グループパブリッシング]		
0	maoyuu-maou-yuusha-kono-ware-no-mono-to-nare-yuushayo-kotowaru	まおゆう魔王勇者 「この我のものとなれ、勇者よ」「断る!」	standard	通常版	角川コミックス・エース	18	角川コミックス・エース[KADOKAWA,角川グループパブリッシング,角] / 角川コミックス・エース[角川グループパブリッシング]		
0	maraya	マラヤ	standard	通常版	DENGEKI COMICS	4	DENGEKI COMICS[主婦の友社] / Dengeki Comics EX[主婦の友社,角川書店]		
0	mari-to-shingo	摩利と新吾	standard	通常版	木原敏江全集	13	木原敏江全集[角川書店] / 花とゆめCOMICS[白泉社]		
0	maria-holic	まりあ✝ほりっく	standard	通常版	MFコミックス	14	MFコミックス[KADOKAWA,メディアファクトリー] / MFコミックス[KADOKAWA]		
0	marii-to-ellie-no-atelier-zaaruburugu-no-renkinjutsushi-sekando-season	マリーとエリーのアトリエザールブルグの錬金術士 Second Season	standard	通常版	マジキューコミックス	5	マジキューコミックス[KADOKAWA,角川グループパブリッシング] / マジキューコミックス[KADOKAWA,角川グループパブリッシング]		
0	matsuoka-kunio-youkai-taiji	松岡國男妖怪退治	standard	通常版	角川コミックス・エース	4	角川コミックス・エース[KADOKAWA,●KADOKAWA,角川グルー] / 角川コミックス・エース[角川グループパブリッシング]		
0	mauri-to-ryuu	マウリと竜	deluxe	デラックス版	BBC deluxe	2	BBC deluxe[リブレ出版] / ビーボーイコミックスデラックス[リブレ]		
0	mayo-chiki	まよチキ!	standard	通常版	MFコミックス	7	MFコミックス[KADOKAWA,メディアファクトリー] / MFコミックス[メディアファクトリー]		
0	mental-diver	めんたるダイバー	standard	通常版	アスキーコミックス	4	アスキーコミックス[アスキー,アスキー出版局] / アスキーコミックス[アスキー]		
0	mida-love	みだlove♪	standard	通常版	IDコミックス	4	IDコミックス[一迅社,講談社] / IDコミックス[講談社]		
0	miira-no-kaikata	ミイラの飼い方	standard	通常版	ACTION COMICS	23	ACTION COMICS. COMiCO BOOKS[双葉社] / ACTION COMICS[NHN comico,双葉社]		
0	mikakunin-de-shinkoukei	未確認で進行形	standard	通常版	4コマkingsぱれっとcomics	16	4コマkingsぱれっとcomics[一迅社,講談社] / IDコミックス[講談社]		
0	mikosuri-gekijou-kuradashi	みこすり半劇場 蔵出し	standard	通常版		6	None[ぶんか社,日本文華社] / None[ぶんか社]		
0	milky-comic	milky comic	standard	通常版		5	None[ミリオン出版,大洋図書] / None[大洋図書]		
0	minivan	みにヴぁん	standard	通常版	角川コミックス・エース・エクストラ	7	単行本コミックス[KADOKAWA] / 角川コミックス・エース・エクストラ[角川グループパブリッシング,角川グループホールデ]		
0	mirrorman-2d	ミラーマン2D	standard	通常版	HCヒーローズコミックス	4	HCヒーローズコミックス[小学館クリエイティブ (発売)] / HCヒーローズコミックス[小学館クリエイティブ]		
0	missing	Missing	standard	通常版	DENGEKI COMICS	2	DENGEKI COMICS[角川書店] / 電撃コミックス[メディアワークス]		
0	mizu-no-mori-ki-tan	水の森綺譚	standard	通常版	MOEコミックス	4	MOEコミックス[MOE出版] / ファンタジーコミックス[偕成社] / 偕成社ファンタジーコミックス[偕成社]		
0	mizu-shika-denai-shinguu-koppu-o-sazukatta-boku-wa-fumou-no-ryouchi-de-suki-ni-ikiru-koto-ni	水しか出ない神具〈コップ〉を授かった僕は、不毛の領地で好きに生きる事にしました	standard	通常版	アルファポリスCOMICS	6	アルファポリスCOMICS[星雲社 (発売)] / アルファポリスCOMICS[星雲社,星雲社 (発売)]		
0	mobile-shinseiki-gundam-ekkusu	機動新世紀ガンダムX	standard	通常版	講談社コミックボンボン	4	Kadokawa Comics A[角川書店] / 講談社コミックスボンボン[講談社] / 講談社コミックボンボン[講談社]		
0	mobile-suit-crossbone-gundam-ghost	機動戦士クロスボーン・ガンダムゴースト	standard	通常版	角川コミックス・エース	12	角川コミックス・エース[KADOKAWA,角川グループパブリッシング] / 角川コミックス・エース[KADOKAWA,角川グループホールディングス]		
0	mobile-suit-gundam-00i	機動戦士ガンダム00I	standard	通常版	角川コミックス・エース	3	角川コミックス・エース[角川グループパブリッシング,角川グループパブリッ] / 角川コミックス・エース[角川グループパブリッシング]		
0	mobile-suit-gundam-emuesubuiaaru-jonii-raiden-no-kikan	機動戦士ガンダムMSV-R ジョニー・ライデンの帰還	standard	通常版	角川コミックス・エース	26	角川コミックス・エース[KADOKAWA,角川グループパブリッシング] / 角川コミックス・エース[KADOKAWA]		
0	mobile-suit-gundam-emuesuvui-aaru-uchuu-seiki-eiyuu-densetsu	機動戦士ガンダムMSV-R 宇宙世紀英雄伝説	standard	通常版	角川コミックスエース	9	角川コミックスエース[KADOKAWA,角川グループパブリッシング] / 角川コミックス・エース[KADOKAWA]		
0	mobile-suit-gundam-ji-origin	機動戦士ガンダムTHE ORIGIN	standard	通常版	角川コミックス・エース	24	角川コミックス・エース[KADOKAWA,角川グループパブリッシング,角] / 角川コミックス・エース[角川グループパブリッシング] / 角川コミックス・エース[角川書店] / 角川コミックス・エース[角川書店] / 角川コミックス・エース[角川書店]		
0	mobile-suit-gundam-san	機動戦士ガンダムさん	standard	通常版	Kadokawa Comics A	23	Kadokawa Comics A[角川グループパブリッシング,角川書店] / Kadokawa Comics A[角川グループパブリッシング] / Kadokawa Comics A[角川書店] / 角川コミックス・エース[KADOKAWA,角川グループパブリッシング] / 角川コミックス・エース[KADOKAWA,角川グループパブリッシング] / 角川コ		
0	mobile-suit-gundam-seed-ri	機動戦士ガンダムSEED Re:	standard	通常版	角川コミックスエース	3	角川コミックスエース[KADOKAWA] / 角川コミックスエース[角川グループパブリッシング]		
0	mobile-suit-gundam-shiidiiee-wakaki-suisei-no-shouzou	機動戦士ガンダム C.D.A.若き彗星の肖像	standard	通常版	角川コミックス・エース	14	角川コミックス・エース[角川グループパブリッシング,角川書店] / 角川コミックス・エース[角川グループパブリッシング,角川書店]		
0	mobile-suit-gundam-yuushii-bandeshine	機動戦士ガンダムUCバンデシネ	standard	通常版	角川コミックス・エース	17	角川コミックス・エース[KADOKAWA,角川グループパブリッシング,角] / 角川コミックス・エース[角川グループパブリッシング] / 角川コミックス・エース[角川グループパブリッシング]		
0	mobile-suit-zeta-gundam-difain	機動戦士ZガンダムDefine	standard	通常版	角川コミックス・エース	12	角川コミックス・エース[KADOKAWA,角川グループパブリッシング] / 角川コミックス・エース[KADOKAWA,角川グループパブリッシング] / 角川コミックス・エース[KADOKAWA] / 角川コミックス・エース[KADOKAWA]		
0	mobile-zekki-gundam-sequel	機動絶記ガンダムSEQUEL	standard	通常版	HCヒーローズコミックス	7	HCヒーローズコミックス[小学館クリエイティブ,小学館クリエイティブ (発] / HCヒーローズコミックス[小学館クリエイティブ] / HCヒーローズコミックス[小学館クリエイティブ]		
0	mobu-nanoni-makikomarete-imasu	モブなのに巻き込まれています	standard	通常版	Regina COMICS	3	Regina COMICS[星雲社 (発売)] / Regina COMICS[星雲社]		
0	mobuko-no-koi	モブ子の恋	standard	通常版	ゼノンコミックス	26	ゼノンコミックス[コアミックス,徳間書店] / ゼノンコミックス[コアミックス]		
0	mofumofu-to-isekai-slow-life-o-mezashimasu	もふもふと異世界でスローライフを目指します!	standard	通常版	アルファポリスCOMICS	16	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社] / アルファポリスCOMICS[星雲社]		
0	monogatari-no-naka-no-hito	物語の中の人	standard	通常版	アルファポリスCOMICS	13	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社] / アルファポリスCOMICS[星雲社]		
0	monster-hunter	モンスターハンター 閃光の狩人	standard	通常版	ファミ通クリアコミックス	10	ファミ通クリアコミックス[KADOKAWA,角川グループパブリッシング,角] / ファミ通クリアコミックス[角川グループパブリッシング]		
0	ms-saga	MS SAGA	standard	通常版	B-club comic	10	B-club comic[バンダイ] / None[バンダイ] / ガンダムアンソロジーコミック[主婦の友社] / 機動戦士ガンダムコミックアンソロジー[バンダイ,主婦の友社] / 機動戦士ガンダムコミックアンソロジー[主婦の友社] / 機動戦士ガンダムコミックアンソロジー[主婦の友社] / 機動戦士ガンダムコミックアンソロジー[主婦の友社]		
0	muchuu-de-tsunagaru-4	夢中でつながる午前4時	standard	通常版	LB COMICS	4	LB COMICS[講談社,講談社 (発売)] / LB COMICS[講談社]		
0	mugen-no-skill-getter	無限のスキルゲッター!	standard	通常版	アルファポリスCOMICS	6	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	mune-kyun-deka	胸キュン刑事	standard	通常版	SHONEN MAGAZINE COMICS	6	SHONEN MAGAZINE COMICS[\講談社,講談社] / 講談社コミックス 月マ[講談社] / 講談社コミックス[講談社]		
0	murder-princess	MURDER PRINCESS	standard	通常版	DENGEKI COMICS	2	DENGEKI COMICS[角川グループパブリッシング] / DENGEKI COMICS[角川書店]		
0	mushiokuri-no-miko	虫葬りの巫女	standard	通常版	ヒーローズコミックスふらっと	4	ヒーローズコミックスふらっと[小学館クリエイティブ (発売)] / ヒーローズコミックスふらっと[小学館クリエイティブ]		
0	muv-luv-alternative	マブラヴオルタネイティヴ	standard	通常版	電撃コミックス	17	アスキー・メディアワークス[KADOKAWA,角川グループパブリッシング] / 電撃コミックス[KADOKAWA,角川グループパブリッシング]		
0	muv-luv-alternative-total-eclipse-rising	マブラヴオルタネイティヴトータル・イクリプスrising	standard	通常版	電撃コミックス	6	アスキー・メディアワークス[KADOKAWA] / 電撃コミックス[KADOKAWA,角川グループパブリッシング]		
0	nagasarete-airantou	ながされて藍蘭島	standard	通常版	ガンガンコミックス	44	ガンガンコミックス[エニックス,スクウェア・エニックス] / ガンガンコミックス[スクウェア・エニックス]		
0	nagato-yuki-chan-no-shoushitsu	長門有希ちゃんの消失	standard	通常版	角川コミックス・エース	10	角川コミックス・エース[KADOKAWA,角川グループパブリッシング] / 角川コミックス・エース[角川グループパブリッシング]		
0	nakazawa-deka-chosakushuu	中沢啓治著作集	standard	通常版		4	None[DINO BOX] / None[DINO BOX] / None[DINO BOX] / None[DINOBOX]		
0	nareru-esuii	なれる!SE	standard	通常版	ファミ通クリアコミックス	4	ファミ通クリアコミックス[KADOKAWA,角川グループパブリッシング,角] / ファミ通クリアコミックス[角川グループパブリッシング]		
0	naru-doma	ナルどマ	standard	通常版	ビーズログコミックス	2	ACTION COMICS[NHN comico] / ビーズログコミックス[KADOKAWA]		
0	nee-chan-no-tomodachi-ga-uzai-hanashi	姉ちゃんの友達がうざい話	standard	通常版		4	None[講談社,講談社 (発売)] / None[講談社]		
0	nekuromaria-hanashoubu	ネクロマリア-花菖蒲-	standard	通常版	E・2コミックス	2	E☆2コミックス[廣済堂出版] / E・2コミックス[廣済堂あかつき]		
0	neo-angelique	ネオアンジェリーク	standard	通常版	あすかコミックスDX	5	あすかコミックスDX[角川グループパブリッシング] / あすかコミックスDX[角川書店]		
0	netsuai-prince-oniichan-wa-kimi-ga-suki	熱愛プリンス お兄ちゃんはキミが好き	standard	通常版	ネクストFコミックス	24	Astro comics[宙出版] / ネクストFコミックス[ジャイブ,ジャイブ (発売)]		
0	nigakute-amai-refrain	にがくてあまいrefrain	standard	通常版	ヒーローズコミックスふらっと	7	ヒーローズコミックスふらっと[小学館クリエイティブ,小学館クリエイティブ (発] / ヒーローズコミックスふらっと[小学館クリエイティブ]		
0	niiche-sensei	ニーチェ先生	standard	通常版	MFコミックス	24	MFコミックス ジーンシリーズ[メディアファクトリー] / MFコミックス. ジーンシリーズ[KADOKAWA] / MFコミックス[KADOKAWA]		
0	nijinsky-guuwa	ニジンスキー寓話	standard	通常版	ぶ～けコミックス	5	ぶーけコミックス[秋田書店,集英社] / ぶ～けコミックス[集英社] / ぶ～けコミックス[集英社]		
0	nina-san-no-mahou-seikatsu	ニーナさんの魔法生活	standard	通常版	メテオCOMICS	6	[メテオCOMICS][フレックスコミックス] / メテオCOMICS[ほるぷ出版,フレックスコミックス]		
0	ningen-club	人間倶楽部	standard	通常版	Emerald comics Hi	14	Emerald comics Hi[主婦と生活社,宙出版] / Emerald comics[宙出版] / None[主婦と生活社]		
0	ninja-boy-tonton-tobimaru	忍者ボーイとんとん飛丸	standard	通常版	ジャンプ コミックス	7	ジャンプ コミックス[集英社] / ジャンプ・コミックス[講談社,集英社]		
0	nishimura-shinobu-no-kobe-motomachi-shimoyamate-dress	西村しのぶの神戸・元町“下山手ドレス”	standard	通常版	ニュータイプ100%コミックス	3	None[KADOKAWA] / ニュータイプ100%コミックス[角川書店] / 単行本コミックス[角川グループパブリッシング]		
0	noble-children-no-zankoku	ノーブルチルドレンの残酷	standard	通常版	シルフコミックス	2	シルフコミックス[KADOKAWA] / シルフコミックス[角川グループパブリッシング]		
0	nokemono-to-hanayome	ノケモノと花嫁	standard	通常版	通常版	8	BIRZ EXTRA[幻冬舎] / None[インデックス・コミュニケーションズ,モール・オブ]	canonical有	
0	nonbiri-buiaaruemuemuooki	のんびりVRMMO記	standard	通常版	アルファポリスCOMICS	14	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	notari-matsutarou	のたり松太郎	shinsoban	ちばてつや全集(1997)	ちばてつや全集	21	ちばてつや全集[ホーム社,集英社] / ちばてつや全集[集英社]	canonical有	
0	nyan-koi	にゃんこい!	standard	通常版	Flex comix	6	Flex comix[ソフトバンククリエイティブ] / METEOR COMICS[ほるぷ出版]		
0	obaa-chan-shoujo-hinata-chan	老女的 (おばあちゃん) 少女ひなたちゃん	standard	通常版	ゼノンコミックス	11	Zenon comics = ゼノンコミックス[コアミックス] / ゼノンコミックス[コアミックス,徳間書店] / ゼノンコミックス[コアミックス] / ゼノンコミックス[徳間書店]		
0	ochikobore-hoshi-1-mahoutsukai-wa-kyou-mo-muishiki-ni-cheat-o-tsukau	落ちこぼれ〈☆1〉魔法使いは、今日も無意識にチートを使う	standard	通常版	アルファポリスCOMICS	7	アルファポリスCOMICS[星雲社 (発売)] / アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	oda-nobuna-no-yabou	織田信奈の野望	standard	通常版	角川コミックス・エース	6	角川コミックス・エース[KADOKAWA,角川グループパブリッシング,角] / 角川コミックス・エース[角川グループパブリッシング]		
0	offline-game	おふらいんげーむ	standard	通常版	ACTION COMICS	8	ACTION COMICS[双葉社] / Angel comics[エンジェル出版]		
0	oidasareta-bannoushoku-ni-atarashii-jinsei-ga-hajimarimashita	追い出された万能職に新しい人生が始まりました	standard	通常版	アルファポリスCOMICS	11	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	oji-sama-koushaku-wa-koisuru-otoshigoro	おじさま侯爵は恋するお年頃	standard	通常版	Missy comics	16	Missy comics[宙出版] / ネクストFコミックス[ジャイブ,ジャイブ (発売)]		
0	oji-san-to-marshmallow	おじさんとマシュマロ	standard	通常版		5	None[一迅社] / None[一迅社] / None[一迅社] / None[一迅社] / None[講談社]		
0	ojoyan	お女ヤン!!	standard	通常版	魔法のiらんどコミックス	15	魔法のiらんどCOMICS[KADOKAWA] / 魔法のiらんどコミックス[KADOKAWA,角川グループパブリッシング,角]		
0	omae-ni-dakareru-nante-kiitenai	お前に抱かれるなんて聞いてない!	standard	通常版	caramelコミックス	6	caramelコミックス[日販アイ・ピー・エス,日販アイ・ピー・エス (発] / caramelコミックス[日販アイ・ピー・エス]		
0	omaera-zenin-mendokusai	お前ら全員めんどくさい!	standard	通常版	METEOR COMICS	10	METEOR COMICS[ほるぷ出版] / [メテオCOMICS][フレックスコミックス] / メテオCOMICS[ほるぷ出版,フレックスコミックス]		
0	omamori-himari	おまもりひまり	standard	通常版	Kadokawa Comics Dragon Jr.	12	DRAGON COMICS AGE[角川グループパブリッシング] / Kadokawa Comics Dragon Jr.[角川グループパブリッシング] / ドラゴンコミックスエイジ[KADOKAWA,角川グループパブリッシング]		
0	omega-7	オメガ7	standard	通常版	通常版	5	None[SBクリエイティブ] / None[ゴマブックス,ソフトバンククリエイティブ] / ドリマガcomics[ソフトバンクパブリッシング]	canonical有	
0	onihei-hankachou	鬼平犯科帳	standard	文春時代コミックス	文春時代コミックス	128	文春コミックス[文芸春秋] / 文春時代コミックス[文芸春秋,文芸春秋情報出版,文藝春秋] / 文春時代コミックス[文芸春秋,文芸春秋情報出版,文藝春秋] / 文春時代コミックス[文藝春秋]	canonical有	
0	onii-sama-to-chikai-no-bara	お兄様と誓いの薔薇	standard	通常版	Missy comics	4	Missy comics[宙出版] / ネクストFコミックス[ジャイブ]		
0	onna-no-ko-monogatari	おんなのこ物語	standard	通常版	Chuko comics	5	Chuko comics[中央公論社] / フラワーコミックス[小学館]		
