slug	work_type	current	gemini_proposal	gemini_desc
1-ga-moshi-sekai-ga-hitotsu-no-class-dattara	educational_manga	comedy	school	世界各国の人口や経済状況をクラスの生徒に見立てて解説する学習漫画。
1999-nostradamus-jigoku-no-x-file	educational_manga	mystery,supernatural	sci-fi	ノストラダムスの予言を題材にしたオカルト・解説漫画。
1999-seikimatsu-no-daikyoufu	educational_manga	mystery,supernatural	horror	ノストラダムスの大予言を題材にしたオカルト・解説漫画。
20-dai-no-kokoro-to-karada	educational_manga	drama	essay	20代女性の健康や悩み、ライフスタイルをテーマにした実用・啓発漫画。
2012-nen-chikyuu-metsubou-no-kiki	educational_manga	essay,supernatural	sci-fi	2012年人類滅亡説をテーマにした学習漫画。
4-koma-manga-de-wakaru-kotowaza-150	educational_manga	comedy	4-koma	4コマ漫画を通して150のことわざの意味や使い方を解説する学習漫画。
airabuketsuekigata	educational_manga	comedy	essay	血液型と性格の関連性を解説した血液型人間学の漫画。
alien-no-daishinjitsu	educational_manga	mystery,supernatural	sci-fi	飛鳥昭雄による、宇宙人やUFOの存在を解説するオカルト・科学読み物。
bakuten-denju-bureedaa-dj	educational_manga	action,comedy	sports	ベイブレードの遊び方やテクニックを解説する学習漫画。
chie-baa-chan-no-chiebukuro	educational_manga	comedy	essay,gag	生活の知恵や豆知識をチエばあちゃんが紹介する学習漫画。
chikyuu-daikaimetsu-no-kyoufu	educational_manga	mystery,supernatural	sci-fi	地球の破滅や天変地異をテーマにした科学解説漫画。
1-1-wa	short_collection	comedy,romance	drama,slice-of-life	さそうあきらによる短編集。日常の機微や人間模様を描いた作品群。
12shoku-no-cocktail	short_collection	gourmet	drama,slice-of-life	バーを舞台に、カクテルにまつわる人間模様を描いた短編集。
16-byoukan-no-misshitsu	short_collection	drama,mystery	horror,suspense	大橋薫によるホラー・サスペンス短編集。
1936-2021-furuya-mitsutoshi-memorial-selection	short_collection	other	comedy,gag,slice-of-life	古谷三敏の代表作や名作を収録した追悼作品集。
2014-nama-dokusha-toukou-natsu-za-best	short_collection	essay	4-koma,comedy,gag	芳文社の漫画雑誌に掲載された読者投稿作品をまとめたアンソロジー。
21-seiki-no-tame-no-azuma-hideo	short_collection	other	gag,sci-fi	吾妻ひでおの短編作品集。初期から中期にかけての作品を収録。
23-no-sakana	short_collection	drama	comedy,gag,slice-of-life	森下裕美による初期の短編集。日常や人間模様を描いた作品を収録。
3ji-no-oyatsu	short_collection	comedy	drama,romance,slice-of-life	池谷理香子による短編集。表題作ほか、恋愛や日常を描いた短編を収録。
4tsu-no-hanzai	short_collection	drama	mystery,suspense	つげ義春の初期貸本漫画作品を収録した短編集。
5-ma-kousaku-hoka-5dai-animeka-sakuhin-kyouen	short_collection	drama	comedy,gag	講談社の漫画家たちが島耕作ら人気キャラを描いたコラボ短編集。
5-ma-kousaku-hoka-5dai-animeka-sakuhin-toujou	short_collection	drama	comedy,gag	講談社の漫画家による、島耕作を題材としたアンソロジー作品。
5-okunengo-ni-igai-na-ketsumatsu	short_collection	comedy	fantasy,mystery,sci-fi	usiのイラストとショートショートを組み合わせた短編集。
5tsu-no-akogare-oshigoto-story	short_collection	drama	romance,school,slice-of-life	少女漫画家5名による、憧れの職業をテーマにした読み切り短編集。
