slug	title	authors	canonical済	worst	page_shape	cluster_shape
1-2-no-1-rou	1・2の三四郎	小林まこと		8年 standard 6巻(1988-08-06)→7巻(1980-05)	standard[通常版]/少年マガジンコミックス 20冊 1979-02〜1988-08-06 ; bunkobon[文庫版]/講談社漫画文庫 12冊 2000-01〜2000-06	sid42303/ed51238 standard[少年マガジンコミックス] 15冊 1979-02〜1983-03-20 ISBN14 || sid42303/ed51239 standard[KCマガジン] 1冊 1983-01〜1983-01 ISBN1 || sid42303/ed51240 standard[講談社コミックス] 4冊 1980-08〜1982-08 ISBN4 || sid42303/ed51241 standard[KCスペシャル] 12冊 1988-03〜1989-02 ISBN12 || sid42303/ed51242 bunkobon[講談社漫画文庫] 12冊 2000-01〜2000-06 ISBN12 || sid42303/ed51243 standard[KPC] 7冊 2004-03〜2009-08 ISBN7
1-2-no-ahho	1・2のアッホ!!	コンタロウ		8年 standard 1巻(1986-03)→7巻(1978-03)	standard[通常版]/ジャンプコミックス 10冊 1978-03〜1986-08	sid6884/ed8069 standard[ジャンプコミックスセレクション] 6冊 1986-03〜1986-08 ISBN6 || sid6884/ed8070 standard[ジャンプコミックス] 4冊 1976-10-31〜1977-12-31 ISBN0 || sid6884/ed8071 standard[Jump comics = ジャンプ・コミックス] 1冊 1978-03〜1978-03 ISBN0 || sid130233/ed147502 standard[ジャンプ・コミックス] 6冊 1977-05-31〜1978-11 ISBN0
1000-nen-joou	1000年女王	松本零士		9年 standard 1巻(1991-07-10)→4巻(1982-11)	standard[通常版]/ワクワクシリーズ 5冊 1982-11〜1991-09-10 ; bunkobon[文庫版]/小学館文庫 3冊 1995-09〜1995-09	sid43449/ed52763 standard[-] 1冊 2023-03〜2023-03 ISBN1 || sid43449/ed52764 standard[小学館叢書] 3冊 1991-07-10〜1991-09-10 ISBN3 || sid43449/ed52765 bunkobon[小学館文庫] 3冊 1995-09〜1995-09 ISBN3 || sid43449/ed52766 standard[My first wide] 2冊 2002-12〜2002-12 ISBN2 || sid43449/ed52767 standard[ワクワクシリーズ] 3冊 1980-07-20〜1981-04 ISBN0 || sid43449/ed52768 standard[ワクワクコミックス] 5冊 1981-01〜1983-08 ISBN0 || sid43449/ed52769 standard[学研のアニメ絵本] 1冊 1981-12〜1981-12 ISBN0
81-bunch-no-inu	81番地の犬	西田陽子		5年 standard 5巻(2000-02-16)→6巻(1995-12-11)	standard[通常版]/あおばコミックス 6冊 1995-12-11〜2000-02-16	sid57358/ed71125 standard[あおばコミックス] 3冊 -〜- ISBN3 || sid57358/ed71126 standard[スコラレディースコミック] 3冊 -〜- ISBN2
aa-ichirou	ああ一郎	こせきこうじ		8年 standard 4巻(1990-05-10)→5巻(1982-03)	standard[通常版]/JUMP SUPER COMICS 5冊 1981-10〜1990-05-10	sid3820/ed4517 standard[ジャンプスーパー・コミックス] 3冊 1990-02-14〜1990-05 ISBN1 || sid3820/ed4518 standard[JUMP SUPER COMICS] 5冊 1981-10〜1982-03 ISBN0
aburemon	あぶれもん	嶺岸信明		5年 standard 2巻(1993-03)→3巻(1988-03-22)	standard[通常版]/近代麻雀コミックス 5冊 1988-03-22〜1993-03	sid62896/ed76866 standard[近代麻雀コミックス] 2冊 1989-03〜1993-03 ISBN0 || sid128934/ed146113 standard[近代麻雀コミックス] 2冊 -〜- ISBN0 || sid128934/ed146114 standard[-] 2冊 -〜- ISBN1
ahiru-no-sora	あひるの空	日向武史		9年 standard 26巻(2010-02-17)→27巻(2001-04-16)	standard[通常版]/講談社コミックスマガジン 50冊 2001-04-16〜2018-11-16	sid17387/ed20477 standard[SHONEN MAGAZINE COMICS] 20冊 2011-02-17〜2018-11 ISBN20 || sid17387/ed20478 standard[講談社コミックスマガジン] 29冊 2001-04-16〜2010-10-15 ISBN29 || sid17387/ed20479 standard[少年マガジンコミックス] 1冊 2012-02-17〜2012-02-17 ISBN1
akagi	アカギ	福本伸行		7年 standard 1巻(2000-10)→2巻(1993-01)	standard[通常版]/近代麻雀コミックス 36冊 1993-01〜2018-07	sid30886/ed36200 standard[近代麻雀コミックス] 36冊 1992-05〜2018-07 ISBN36 || sid30886/ed36201 standard[バンブーコミックス] 6冊 2000-10〜2003-05 ISBN6 || sid30886/ed36202 standard[Bamboo comics] 1冊 2006-04〜2006-04 ISBN1
akashiro-tamago	赤白たまご	東宮千子		5年 bunkobon 1巻(2012-10)→3巻(2007-05)	standard[通常版]/いち*ラキコミックス 13冊 2005-12〜2010-12 ; bunkobon[文庫版]/冬水社文庫 8冊 2007-05〜2013-01	sid116184/ed132636 standard[いち*ラキコミックス] 13冊 2005-12〜2010-12 ISBN13 || sid116184/ed132637 bunkobon[冬水社文庫] 6冊 2012-10〜2013-01 ISBN6
akira	AKIRA	大友克洋		6年 deluxe 5巻(1999-12-11)→6巻(1993-03-23)	deluxe[デラックス版]/KC deluxe 6冊 1984-09-21〜1999-12-11 ; standard[通常版]/- 5冊 2003-12〜2004-03	sid42692/ed51825 standard[アニメKC] 5冊 2000-08-23〜2000-08-23 ISBN5 || sid42692/ed51826 deluxe[講談社コミックスデラックス] 3冊 1985-09-04〜1999-12-11 ISBN3 || sid42692/ed51827 deluxe[KC deluxe] 3冊 1984-09-21〜1987-07-10 ISBN3 || sid42711/ed51850 standard[-] 6冊 2003-12〜2004-04 ISBN6 || sid57484/ed71261 standard[講談社アニメコミックス] 5冊 1988-08-29〜1988-12-06 ISBN4 || sid57485/ed71262 standard[-] 27冊 -〜- ISBN0
