slug	title	vol	isbn	other_cluster
kariage-kun	かりあげクン	51	9784575943429	ほんにゃらごっこ かりあげクン
kariage-kun	かりあげクン	52	9784575943696	ほんにゃらごっこ かりあげクン
kariage-kun	かりあげクン	53	9784575943887	ほんにゃらごっこ かりあげクン
kariage-kun	かりあげクン	54	9784575944013	ほんにゃらごっこ かりあげクン
kariage-kun	かりあげクン	55	9784575944259	ほんにゃらごっこ かりあげクン
kariage-kun	かりあげクン	56	9784575944525	ほんにゃらごっこ かりあげクン
kariage-kun	かりあげクン	57	9784575944648	ほんにゃらごっこ かりあげクン
kariage-kun	かりあげクン	58	9784575944747	ほんにゃらごっこ かりあげクン
kariage-kun	かりあげクン	59	9784575944907	ほんにゃらごっこ かりあげクン
kariage-kun	かりあげクン	60	9784575945027	ほんにゃらごっこ かりあげクン
honnyaragokko-kariage-kun	ほんにゃらゴッコ かりあげクン	29	9784575935714	かりあげクン
honnyaragokko-kariage-kun	ほんにゃらゴッコ かりあげクン	31	9784575936209	かりあげクン
bar-lemon-heart-2014	BARレモン・ハート	2	9784575812541	BARレモン・ハート
bar-lemon-heart-2014	BARレモン・ハート	3	9784575813906	BARレモン・ハート
bar-lemon-heart-2014	BARレモン・ハート	4	9784575814347	BARレモン・ハート
bar-lemon-heart-2014	BARレモン・ハート	6	9784575815153	BARレモン・ハート
bar-lemon-heart-2014	BARレモン・ハート	7	9784575815597	BARレモン・ハート
bar-lemon-heart-2014	BARレモン・ハート	8	9784575816419	BARレモン・ハート
bar-lemon-heart-2014	BARレモン・ハート	17	9784575825848	BARレモン・ハート
bar-lemon-heart-2014	BARレモン・ハート	19	9784575828948	BARレモン・ハート
bar-lemon-heart-2014	BARレモン・ハート	20	9784575829709	BARレモン・ハート
bar-lemon-heart-2014	BARレモン・ハート	21	9784575831030	BARレモン・ハート
bar-lemon-heart-2014	BARレモン・ハート	22	9784575832365	BARレモン・ハート
bar-lemon-heart-2014	BARレモン・ハート	26	9784575838275	BARレモン・ハート
bikkuriman-omoshirorando	ビックリマン おもしろランド	4	9784253099325	ビックリマンおもしろランド
basutaado	バスタード	14	9784088718361	BASTARD!!
1-yamamoto-1993	1	2	9784091937322	殺し屋1
1-yamamoto-1993	1	3	9784091937339	殺し屋1
joker	JOKER	2	9784403622427	JOKER REBOOT
x-men-1994-4	エックスメン	3	9784884757304	X-MEN
x-men-1994-4	エックスメン	4	9784884757311	X-MEN
x-men-1994-4	エックスメン	5	9784884757328	X-MEN
x-men-1994-4	エックスメン	6	9784884757380	X-MEN
x-men-1994-4	エックスメン	7	9784884757397	X-MEN
x-men-1994-4	エックスメン	8	9784884757403	X-MEN
x-men-1994-4	エックスメン	9	9784884757410	X-MEN
x-men-1994-4	エックスメン	10	9784884757427	X-MEN
x-men-1994-4	エックスメン	11	9784884757434	X-MEN
b-t-x	ビート・エックス	13	9784047132696	B'T X-ビート・エックス-
b-t-x	ビート・エックス	14	9784047132849	B'T X-ビート・エックス-
b-t-x	ビート・エックス	15	9784047133020	B'T X-ビート・エックス-
meitantei-conan-tokubetsuhen-2016	名探偵コナン 特別編	5	9784091425355	名探偵コナン特別編
meitantei-conan-tokubetsuhen-2016	名探偵コナン 特別編	7	9784091425379	名探偵コナン特別編
meitantei-conan-tokubetsuhen-2016	名探偵コナン 特別編	10	9784091425409	名探偵コナン特別編
meitantei-conan-tokubetsuhen-2016	名探偵コナン 特別編	11	9784091427816	名探偵コナン特別編
meitantei-conan-tokubetsuhen-2016	名探偵コナン 特別編	13	9784091427830	名探偵コナン特別編
meitantei-conan-tokubetsuhen-2016	名探偵コナン 特別編	14	9784091427847	名探偵コナン特別編
rave	Rave	9	9784063129502	超感電少女モナ
star-ocean-second-story	スターオーシャン セカンドストーリー	5	9784757500556	スターオーシャン セカンドストーリー 4コママンガ劇場
harukanaru-toki-no-naka-de	遙かなる時空の中で	9	9784592174622	遥かなる時空の中で
sky-high	スカイハイ	3	9784088766591	スカイハイ・新章
nhk-sono-toki-rekishi-ga-ugoita	NHKその時歴史が動いた	2	9784834250633	NHKその時歴史が動いた
manga-grimm-douwa	まんがグリム童話	6	9784821184514	金瓶梅
manga-grimm-douwa	まんがグリム童話	7	9784821185504	金瓶梅
manga-grimm-douwa	まんがグリム童話	8	9784821185948	金瓶梅
manga-grimm-douwa	まんがグリム童話	9	9784821186341	金瓶梅
manga-grimm-douwa	まんがグリム童話	19	9784821173013	金瓶梅
manga-grimm-douwa	まんがグリム童話	20	9784821173549	金瓶梅
manga-grimm-douwa	まんがグリム童話	21	9784821174058	金瓶梅
