stem	title	route	ei	etype	label	imprint	number	kind	main_prefix	publisher	prev_num	prev_date	prev_isbn	next_num	next_date	next_isbn	ed_isbn_min	ed_isbn_max	have_n	have_min	have_max
sabaku-no-maou	沙漠の魔王	canon:volumes	0	standard	通常版		4	MID		不明	3	1952-11		5					5	1	7
sabaku-no-maou	沙漠の魔王	canon:volumes	0	standard	通常版		6	MID		不明	5			7					5	1	7
shounen-keniya	少年ケニヤ	canon:extra[0]	1	other	単行本(1962-63・版元不明)	単行本(1962-63・版元不明)	4	MID		不明	3	1962-08		5	1963-01				4	2	6
shounen-keniya	少年ケニヤ	canon:extra[4]	5	bunkobon	文庫版(角川文庫)	角川文庫	6	MID	9784041	角川書店	5		9784041547052	11		9784041547113	9784041547052	9784041547182	10	4	18
shounen-keniya	少年ケニヤ	canon:extra[4]	5	bunkobon	文庫版(角川文庫)	角川文庫	7	MID	9784041	角川書店	5		9784041547052	11		9784041547113	9784041547052	9784041547182	10	4	18
shounen-keniya	少年ケニヤ	canon:extra[4]	5	bunkobon	文庫版(角川文庫)	角川文庫	8	MID	9784041	角川書店	5		9784041547052	11		9784041547113	9784041547052	9784041547182	10	4	18
shounen-keniya	少年ケニヤ	canon:extra[4]	5	bunkobon	文庫版(角川文庫)	角川文庫	9	MID	9784041	角川書店	5		9784041547052	11		9784041547113	9784041547052	9784041547182	10	4	18
shounen-keniya	少年ケニヤ	canon:extra[4]	5	bunkobon	文庫版(角川文庫)	角川文庫	10	MID	9784041	角川書店	5		9784041547052	11		9784041547113	9784041547052	9784041547182	10	4	18
anmitsuhime	あんみつ姫	seed4	0	bunkobon	文庫版	こけし文庫	2	MID			1	1956-09		3	1976-07				2	1	3
akadou-suzunosuke	赤胴鈴之助	canon:extra[0]	1	other	初出単行本(1957-59・版元不明)	初出単行本(1957-59・版元不明)	2	MID		不明	1	1957-07-01		3	1957-04				13	1	19
akadou-suzunosuke	赤胴鈴之助	canon:extra[0]	1	other	初出単行本(1957-59・版元不明)	初出単行本(1957-59・版元不明)	4	MID		不明	3	1957-04		5	1957-07				13	1	19
akadou-suzunosuke	赤胴鈴之助	canon:extra[0]	1	other	初出単行本(1957-59・版元不明)	初出単行本(1957-59・版元不明)	7	MID		不明	6	1957-07		9	1957-03				13	1	19
akadou-suzunosuke	赤胴鈴之助	canon:extra[0]	1	other	初出単行本(1957-59・版元不明)	初出単行本(1957-59・版元不明)	8	MID		不明	6	1957-07		9	1957-03				13	1	19
akadou-suzunosuke	赤胴鈴之助	canon:extra[0]	1	other	初出単行本(1957-59・版元不明)	初出単行本(1957-59・版元不明)	16	MID		不明	15	1958-01		17	1958-09				13	1	19
akadou-suzunosuke	赤胴鈴之助	canon:extra[0]	1	other	初出単行本(1957-59・版元不明)	初出単行本(1957-59・版元不明)	18	MID		不明	17	1958-09		19	1959-02				13	1	19
tange-sazen	丹下左膳	seed4	0	standard	通常版		2	MID			1			4	1959-01				2	1	4
tange-sazen	丹下左膳	seed4	0	standard	通常版		3	MID			1			4	1959-01				2	1	4
sebangou-0	背番号0	canon:volumes	0	standard	通常版	寺田ヒロオまんが全集	5	MID		不明	4			6	1960-08-05				2	4	6
shiroi-pilot	白いパイロット	canon:extra[0]	1	other	手塚治虫漫画選集版(鈴木出版)	手塚治虫漫画選集	2	MID		鈴木出版	1	1962-11		3	1963-01				2	1	3
0	0戦はやと	canon:extra[0]	1	other	少年コミックス版(少年画報社)	少年コミックス	4	MID		少年画報社	3	1964-07-01		5	1965-01-01				4	1	5
0	0戦はやと	canon:extra[1]	2	shinsoban	辻なおき0戦シリーズ(若木書房)	辻なおき0戦シリーズ	2	MID		若木書房	1	1973		3	1973				4	1	5
shinsengumi	新選組	canon:volumes	0	standard	通常版	バーガーSC	3	MID	9784840	メディアファクトリー	2	2003-12-22	9784840109222	4	2004-02-23	9784840109314	9784840109116	9784840109390	4	1	5
norainu-no-oka	のら犬の丘	canon:volumes	0	standard	通常版	サンデーコミックス	4	MID		秋田書店	3	1969-11-30		5	1970-09-05				6	1	7
kaibutsu-kun-1988	怪物くん	canon:extra[0]	1	shinsoban	藤子不二雄Aランド	藤子不二雄Aランド	19	MID	9784835	ブッキング	18	2002-11	9784835430171	21	2002-12-28	9784835430201	9784835430003	9784835430201	19	1	21
kaibutsu-kun-1988	怪物くん	canon:extra[0]	1	shinsoban	藤子不二雄Aランド	藤子不二雄Aランド	20	MID	9784835	ブッキング	18	2002-11	9784835430171	21	2002-12-28	9784835430201	9784835430003	9784835430201	19	1	21
kaibutsu-kun-1988	怪物くん	canon:extra[6]	7	shinsoban	キング・コミックス	キング・コミックス	2	MID		少年画報社	1	1968-03-15		6	1981-06-25				2	1	6
kaibutsu-kun-1988	怪物くん	canon:extra[6]	7	shinsoban	キング・コミックス	キング・コミックス	3	MID		少年画報社	1	1968-03-15		6	1981-06-25				2	1	6
kaibutsu-kun-1988	怪物くん	canon:extra[6]	7	shinsoban	キング・コミックス	キング・コミックス	4	MID		少年画報社	1	1968-03-15		6	1981-06-25				2	1	6
kaibutsu-kun-1988	怪物くん	canon:extra[6]	7	shinsoban	キング・コミックス	キング・コミックス	5	MID		少年画報社	1	1968-03-15		6	1981-06-25				2	1	6
judo-itchokusen	柔道一直線	canon:volumes	0	standard	通常版	キング・コミックス	11	MID		少年画報社	10			13					11	1	13
judo-itchokusen	柔道一直線	canon:volumes	0	standard	通常版	キング・コミックス	12	MID		少年画報社	10			13					11	1	13
judo-itchokusen	柔道一直線	canon:extra[0]	1	shinsoban	サンケイコミックス版	サンケイコミックス	2	MID		サンケイ出版	1	1986-01-01		3	1986-01-01				9	1	10
jaiantotaifuu	ジャイアント台風	canon:extra[1]	2	shinsoban	KCスペシャル	KCスペシャル	6	MID		講談社	5	1990-05-06		7	1990-07-06				6	1	7
jaiantotaifuu	ジャイアント台風	canon:extra[2]	3	shinsoban	ヒット・コミック	ヒット・コミック	5	MID		不明	4			9					2	4	9
jaiantotaifuu	ジャイアント台風	canon:extra[2]	3	shinsoban	ヒット・コミック	ヒット・コミック	6	MID		不明	4			9					2	4	9
jaiantotaifuu	ジャイアント台風	canon:extra[2]	3	shinsoban	ヒット・コミック	ヒット・コミック	7	MID		不明	4			9					2	4	9
jaiantotaifuu	ジャイアント台風	canon:extra[2]	3	shinsoban	ヒット・コミック	ヒット・コミック	8	MID		不明	4			9					2	4	9
