# カタカナ題の英語綴りslug候補(AI生成+Web検証780件・★未適用)。 workflow 2026-06-05。
key	title	hepburn	en_slug	status
name:「アズールレーン」運営|name:アズールレーンスマイルディッシュ!	アズールレーンスマイルディッシュ!	azuru-reen-sumairu-disshu	azur-lane-smile-dish	web_confirmed
name:「ジ・アニメ」編集部|name:アリオン	アリオン	arion	arion	ai_high
name:44626|name:ティータイム	ティータイム	teiitaimu	tea-time	ai_high
name:abec|name:ソードアート・オンライン-キス・アンド・フライ-	ソードアート・オンライン-キス・アンド・フライ-	sodo-aato-onrain-kisu-ando-furai	sword-art-online-kiss-and-fly	ai_high
name:AKIRA|name:コミックコンビニ	コミックコンビニ	komikku-konbini	comic-convenience	unresolved
name:AKIRA|name:レモンキッズ	レモンキッズ	remon-kizzu	lemon-kids	ai_high
name:ALLYN|name:デイジー|sub:公爵の婚約者になる方法	デイジー	deijii	daisy	ai_high
name:am|name:チンカルボー.	チンカルボー.	chinkarubo	KEEP_HEPBURN	keep_hepburn
name:Applibot|name:ギャングロード	ギャングロード	gyangu-rodo	gang-road	ai_high
name:Asuka|name:F・U・C・K	F・U・C・K	efu-yu-shii-kee	fuck	ai_high
name:Aum Mat Studio|name:スピリット・ジャンプ	スピリット・ジャンプ	supiritto-janpu	spirit-jump	ai_high
name:Bikkuri|name:デビルズキャンディ	デビルズキャンディ	debiruzu-kyandi	devils-candy	ai_high
name:Bob|name:CYBERブルー	CYBERブルー	saibaa-buru	cyber-blue	ai_high
name:BudianskyBob|name:トランスフォーマークラシックス	トランスフォーマークラシックス	toransufomaa-kurashikkusu	transformers-classics	ai_high
name:BurnettAlan|name:バットマン:アニメイテッド・アドベンチャー	バットマン:アニメイテッド・アドベンチャー	battoman-animeiteddo-adobenchaa	batman-animated-adventures	ai_high
name:C.ブロンテ|name:ジェーン・エア	ジェーン・エア	jieen-ea	jane-eyre	ai_high
name:CAPCOM|name:ドラゴンズドグマリヴァイブス	ドラゴンズドグマリヴァイブス	doragonzu-doguma-rivaibusu	dragons-dogma-revives	web_corrected
name:ChaeHabin|name:アデライド	アデライド	aderaido	adelaide	web_confirmed
name:chibi|name:アンネームドメモリー	アンネームドメモリー	anneemudo-memorii	unnamed-memory	ai_high
name:CHIHIRO|name:ブレス・ザ・ブラッド	ブレス・ザ・ブラッド	buresu-za-buraddo	bless-the-blood	ai_high
name:Cierra|name:ベアトリーチェ	ベアトリーチェ	beatoriiche	beatrice	ai_high
name:CIRCUS|name:D.C.～ダ・カーポ	D.C.～ダ・カーポ	d-c-da-kaapo	da-capo	ai_high
name:CIRCUS|name:D.C.Ⅲ～ダ・カーポⅢ～	D.C.Ⅲ～ダ・カーポⅢ～	da-kaapo-surii	da-capo-3	ai_high
name:CLAMP|name:CLAMPノキセキ	CLAMPノキセキ	kuranpu-no-kiseki	clamp-no-kiseki	ai_high
name:CLAMP|name:カブキブ!	カブキブ!	kabukibu	kabukibu	ai_high
name:Craft Egg|name:バンドリ!ガールズバンドパーティ!Roselia Stage	バンドリ!ガールズバンドパーティ!Roselia Stage	bandori-gaaruzu-bando-paatei-rozeria-suteeji	bandori-girls-band-party-roselia-stage	ai_high
name:Craft Egg|name:バンドリ!ガールズバンドパーティ!イベントダイアリー	バンドリ!ガールズバンドパーティ!イベントダイアリー	bandori-gaaruzu-bando-paatei-ibento-daiarii	bandori-girls-band-party-event-diary	ai_high
name:DMM GAMES|name:サークレット・プリンセス	サークレット・プリンセス	saakuretto-purinsesu	circlet-princess	ai_high
name:DODAM-EO|name:レディーメイドクイーン	レディーメイドクイーン	redii-meido-kuiin	readymade-queen	web_confirmed
name:DringenbergMike|name:サンドマン	サンドマン	sandoman	sandman	ai_high
name:Eden's Notes|name:マジナ!	マジナ!	majina	KEEP_HEPBURN	keep_hepburn
name:F.E.A.R.|name:アリアンロッド・サガコミックアンソロジー	アリアンロッド・サガコミックアンソロジー	arianroddo-saga-komikku-ansorojii	arianrhod-saga-comic-anthology	ai_high
name:Frank Miller|name:シン・シティ	シン・シティ	shin-shitei	sin-city	ai_high
name:G・ウィロー・ウィルソン|name:Ms.マーベル	Ms.マーベル	mizu-maaberu	ms-marvel	ai_high
name:Genyaky|name:デビダン!	デビダン!	debidan	KEEP_HEPBURN	keep_hepburn
