wrong_n	slug	label_author	title	wrong_isbn_trueauthor
34	marugoshi-deka-special	渡辺みちお	まるごし刑事Special	9784408170497(北芝健); 9784408171012(北芝健); 9784408171319(北芝健)
32	cyborg-009	シュガー佐藤/土山よしき	サイボーグ009	9784253060011(石ノ森章太郎); 9784253060035(石ノ森章太郎); 9784253170352(石ノ森章太郎)
28	lupin-iii-y	山上正月	ルパン三世Y	9784575936186(モンキーパンチ); 9784575936438(モンキーパンチ); 9784575936681(モンキーパンチ)
27	gate	竿尾悟	ゲート	9784434167034(柳内たくみ); 9784434174681(柳内たくみ); 9784434180484(柳内たくみ)
27	kenja-no-mago	緒方俊輔	賢者の孫	9784041050361(菊池政治); 9784041055366(菊池政治); 9784041055373(菊池政治)
27	gegege-no-kitarou	松本しげのぶ/ラルフ・マッカーシー	ゲゲゲの鬼太郎	9784065120811(水木しげる); 9784061731158(水木しげる); 9784061731165(水木しげる)
26	drop-og-out-of-ganchu	鈴木大	ドロップOG	9784253214285(品川ヒロシ); 9784253214292(品川ヒロシ); 9784253214308(品川ヒロシ)
26	black-jack	吉富昭仁	ブラック・ジャック	9784253031615(手塚治虫); 9784253031639(手塚治虫); 9784253031646(手塚治虫)
26	mariaaju	オキモト・シュウ	マリアージュ	9784063885378(亜樹直); 9784063885521(亜樹直); 9784063885859(亜樹直)
24	harigane-service-ace	咲	ハリガネサービスACE	9784253224659(荒達哉); 9784253224666(荒達哉); 9784253224673(荒達哉)
24	harigane-service	咲	ハリガネサービス	9784253224369(荒達哉); 9784253224376(荒達哉); 9784253224383(荒達哉)
22	chicken-iguchi-2024	歳脇将幸	チキン	9784253227742(井口達也); 9784253227759(井口達也); 9784253227766(井口達也)
21	tenkuu-shinpan	大羽隆廣	天空侵犯	9784063769791(三浦追儺); 9784063770568(三浦追儺); 9784063771114(三浦追儺)
20	mahou-shoujo-lyrical-nanoha-vivid	藤真拓哉	魔法少女リリカルなのはViVid	9784047153738(都築真紀); 9784047154841(都築真紀); 9784047156593(都築真紀)
20	souta-no-houchou-derakkusu	本庄敬	蒼太の包丁deluxe	9784408175829(末田雄一郎); 9784408175874(末田雄一郎); 9784408175911(末田雄一郎)
19	fire-emblem-seisen-no-keifu	うさ銀太郎	ファイアーエムブレム聖戦の系譜	9784889917321(大沢美月); 9784889917383(大沢美月); 9784889917468(大沢美月)
18	mobile-suit-gundam-0083-rebellion	夏元雅人	機動戦士ガンダム0083 REBELLION	9784041210161(富野由悠季); 9784041210178(富野由悠季); 9784041019122(富野由悠季)
18	project-x-chousensha-tachi	NHKプロジェクトX制作班	プロジェクトX挑戦者たち	9784872878394(日本放送協会); 9784872878424(日本放送協会); 9784872878431(日本放送協会)
18	kurosaki-kun-no-iinari-ni-nante-naranai	よの・志郎	黒崎くんの言いなりになんてならない	9784063419269(マキノ); 9784063419412(マキノ); 9784063419627(マキノ)
17	shonan-seven	高橋伸輔	SHONANセブン	9784253223317(藤沢とおる); 9784253223324(藤沢とおる); 9784253223331(藤沢とおる)
17	jigoku-sensei-nube-neo	岡野剛	地獄先生ぬ～べ～NEO	9784088802565(真倉翔); 9784088803029(真倉翔); 9784088803623(真倉翔)
17	karada-sagashi	村瀬克俊	カラダ探し	9784088802916(ウェルザード); 9784088803470(ウェルザード); 9784088804248(ウェルザード)
16	saint-seiya-saintia-show	久織ちまき	聖闘士星矢セインティア翔	9784253235938(関善之); 9784253235945(関善之); 9784253235952(関善之)
15	peanuts-essence	SchulzCharles Monroe	ピーナッツエッセンス	9784835452562(チャールズmシュルツ); 9784835452579(チャールズmシュルツ); 9784835452586(チャールズmシュルツ)
15	psychometrer	朝基まさし	サイコメトラー	9784063820928(安童夕馬); 9784063821024(安童夕馬); 9784063821352(安童夕馬)
15	tokyo-ravens	鈴見敦	東京レイヴンズ	9784047155824(あざの耕平); 9784047156234(あざの耕平); 9784047157361(あざの耕平)
15	toshokan-sensou	弓きいろ	図書館戦争	9784592180463(有川浩); 9784592180470(有川浩); 9784592180487(有川浩)
14	souta-no-houchou-special	本庄敬	蒼太の包丁 special	9784408173009(末田雄一郎); 9784408173214(末田雄一郎); 9784408173450(末田雄一郎)
14	kindaichi-shounen-no-file-returns	さとうふみや	金田一少年の事件簿R	9784063950397(天樹征丸); 9784063951325(天樹征丸); 9784063951998(天樹征丸)
14	shingeki-no-kyojin-before-za-fall	士貴智志	進撃の巨人 Before the fall	9784063764390(諫山創); 9784063764604(諫山創); 9784063764864(諫山創)
14	hidan-no-aria-aa	橘書画子	緋弾のアリアAA	9784757531802(赤松中学); 9784757532953(赤松中学); 9784757534346(赤松中学)
14	persona-5	村崎久都	ペルソナ5	9784091277503(atlus); 9784091280459(atlus); 9784091282651(atlus)
14	drop	鈴木大	ドロップ	9784253213318(高橋ヒロシ); 9784253213325(高橋ヒロシ); 9784253213332(高橋ヒロシ)
13	kemonomichi	まったくモー助	けものみち	9784041055434(暁なつめ); 9784041055496(暁なつめ); 9784041070512(暁なつめ)
13	hige-o-soru-soshite-joshikousei-o-hirou	士土幽太郎	ひげを剃る。そして女子高生を拾う。	9784041083512(ぶーた); 9784041088579(ぶーた); 9784041094525(ぶーた)
13	mobile-suit-crossbone-gundam-dust	長谷川裕一	機動戦士クロスボーン・ガンダムDUST	9784041051054(富野由悠季); 9784041055557(富野由悠季); 9784041059883(富野由悠季)
12	ri-zero-kara-hajimeru-isekai-seikatsu	(unknown)	Re:ゼロから始める異世界生活	9784040678283(長月達平); 9784040647432(大塚真一郎); 9784046800343(大塚真一郎)
12	pureibooru-2	コージィ城倉	プレイボール2	9784088812564(ちばあきお); 9784088814445(ちばあきお); 9784088814926(ちばあきお)
12	sangokushi-1992	勝間田具治	三国志	9784309612614(笠原和夫); 9784309612621(笠原和夫); 9784309612638(笠原和夫)
11	mahouka-koukou-no-yuutousei	森夕	魔法科高校の優等生	9784048917810(石田可奈); 9784048917827(石田可奈); 9784048663038(石田可奈)
11	genma-taisen-ribaasu	早瀬マサト	幻魔大戦Rebirth	9784091261182(平井和正); 9784091262851(平井和正); 9784091270399(平井和正)
11	hammer-session	棚橋なもしろ	ハンマーセッション!	9784063637984(小金丸大和); 9784063638264(小金丸大和); 9784063638455(小金丸大和)
11	kemonomichi-kagemaru-1980	影丸穣也	けものみち	9784253015837(真樹日佐夫); 9784253015844(真樹日佐夫); 9784821191741(真樹日佐夫/影丸譲也)
11	dorei-yuugi	赤沢佳	奴隷遊戯	9784088812410(ヤマイナナミ); 9784088812977(ヤマイナナミ); 9784088814414(ヤマイナナミ)
11	fire-emblem-nintendo-1996	うさ銀太郎	ファイアーエムブレム	9784796243834(大沢美月); 9784796243971(大沢美月); 9784796244039(大沢美月)
11	fate-grand-order-comic-la-carte	HenselerThomas	Fate/Grand Orderコミックアラカルト	9784041040928(typemoon); 9784041042885(typemoon); 9784041046890(typemoon)
11	ikazuchi	佐野タカシ	雷神	9784789780223(森みずほ); 9784789780292(森みずほ); 9784789780421(森みずほ)
11	fate-extra-shiishiishii-fox-tail	たけのこ星人	フェイト/エクストラCCC FoxTail	9784041210550(typemoon); 9784041033265(typemoon/マーベラス); 9784041040911(typemoon/マーベラス)
11	maou-sama-retry-r	身ノ丈あまる	魔王様、リトライ!R	9784575411324(飯野まこと); 9784575411898(飯野まこと); 9784575412581(飯野まこと)
11	super-robot-taisen-oojii-ji-insupekutaa-record-obu-eeteiiekkusu-bad-beat-bankaa	八房龍之助	スーパーロボット大戦OG-ジ・インスペクター-Record of ATX BAD BEAT BUNKER	9784048922258(srプロデュースチーム); 9784048926973(srプロデュースチーム); 9784048934831(srプロデュースチーム)
10	reibaishi-izuna-asenshon	岡野剛	霊媒師いずなAscension	9784088793412(真倉翔); 9784088794044(真倉翔); 9784088794914(真倉翔)
10	nemuri-kyoushirou	柳川ヨシヒロ	眠狂四郎	9784107710031(柳川喜弘); 9784107710130(柳川喜弘); 9784107710277(柳川喜弘)
10	dungeon-ni-deai-o-motomerunowa-machigatteirudarouka	九二枝	ダンジョンに出会いを求めるのは間違っているだろうか	9784757541665(大森藤ノ); 9784757543041(大森藤ノ); 9784757544642(大森藤ノ)
10	mobile-suit-gundam-emuesuvui-aaru	虎哉孝征	機動戦士ガンダムMSV-R	9784041040966(大河原邦男); 9784041073513(大河原邦男); 9784041080023(大河原邦男)
10	konya-wa-tsuki-ga-kirei-desu-toriaezu-shine	月並甲介	今夜は月が綺麗ですが、とりあえず死ね	9784063714937(要マジュロ); 9784063925197(要マジュロ); 9784063925487(要マジュロ)
10	super-cub	蟹丹	スーパーカブ	9784041069615(博); 9784041078525(博); 9784041084687(博)
10	maou	大須賀めぐみ	魔王	9784091212245(伊坂幸太郎); 9784091212542(伊坂幸太郎); 9784091212856(伊坂幸太郎)
10	kuroko-no-basket-replace-plus	高橋一郎	黒子のバスケReplace PLUS	9784088804149(藤巻忠俊); 9784088805627(藤巻忠俊/平林佐和子); 9784088806822(平林佐和子)
10	wan-piisu-gakuen	搾精研究所	ONE PIECE学園	9784088822730(尾田栄一郎); 9784088825618(尾田栄一郎); 9784088830056(尾田栄一郎)
10	inazuma-eleven	やぶのてんや	イナズマイレブン	9784091406996(レベルファイブ); 9784091407801(レベルファイブ); 9784091408303(レベルファイブ)
10	mobile-suit-gundam-valpurgis	葛木ヒヨン	機動戦士ガンダムヴァルプルギス	9784041065419(富野由悠季); 9784041072806(矢立肇/富野由悠季); 9784041078914(矢立肇/富野由悠季)
10	reibaishi-izuna	岡野剛	霊媒師いずな	9784088597232(真倉翔); 9784088597539(真倉翔); 9784088597805(真倉翔)
10	doreiku	大石普人	奴隷区	9784575841718(岡田伸一); 9784575842241(岡田伸一); 9784575842814(岡田伸一)
9	bubble	今村KSK	バブル	9784253305419(kei); 9784253305426(kei); 9784253305433(kei)
9	densetsu-no-yuusha-no-densetsu	長蔵ヒロコ	伝説の勇者の伝説	9784047125940(とよた瑣織); 9784047126169(とよた瑣織); 9784047126367(とよた瑣織)
9	ryuuko	千葉きよかず	龍子	9784408165417(千葉潔和); 9784408165554(千葉潔和); 9784408165646(千葉潔和)
9	soukyuu-no-fafunaa	松下朋未	蒼穹のファフナー	9784063765250(xebec); 9784063765595(xebec); 9784063765847(xebec)
9	uchuu-senkan-yamato-2199	むらかわみちお	宇宙戦艦ヤマト2199	9784041203361(結城信輝); 9784041205594(結城信輝); 9784041207864(結城信輝)
9	yuugiou-zearu	三好直人	遊☆戯☆王ZEXAL	9784088702544(吉田伸); 9784088703848(吉田伸); 9784088705279(吉田伸)
9	crows-explode	水島力也/神田哲也漫画家/向井康介	クローズEXPLODE	9784253253017(高橋ヒロシ); 9784253253024(高橋ヒロシ); 9784253253031(高橋ヒロシ)
8	bartender-a-tokyo	加治佐修	バーテンダーa Tokyo	9784088798226(城アラキ); 9784088798936(城アラキ); 9784088900964(城アラキ)
8	deadpool-samurai	DugganGerry	デッドプール	9784796871679(ヴィクターギシュラー); 9784796875684(ジェリーダガン); 9784796875691(ジェリーダガン)
8	mahouka-koukou-no-rettousei-2025	柚木N'/竹田羽角/佐島勤/飛口芽衣	魔法科高校の劣等生	9784049128642(石田可奈); 9784049132359(石田可奈); 9784048935388(石田可奈)
8	the-idolm-ster-million-live-blooming-clover	稲山覚也	アイドルマスターミリオンライブ!Blooming Clover	9784048932998(バンダイナムコエンターテインメント); 9784048933001(バンダイナムコエンターテインメント); 9784048938075(バンダイナムコエンターテインメント)
8	devil-survivor	ひいろ莎々	デビルサバイバー	9784063763980(ヤスダスズヒト); 9784063764086(ヤスダスズヒト); 9784063764314(ヤスダスズヒト)
8	enma	ののやまさき	エンマ	9784063800036(土屋計); 9784063800265(土屋計); 9784063800425(土屋計)
8	fukushuu-no-dokko-riwaindo	ときゎ	復讐の毒鼓REWIND	9784046806444(meenxbaekdoo); 9784046806451(meenxbaekdoo); 9784046806468(meenxbaekdoo)
8	bless	石田万	ブレス	9784065286494(園山ゆきの); 9784065294178(園山ゆきの); 9784065317198(園山ゆきの)
