slug	title	std_vols	covered	missing	covered_pct	gap_start_vol	type	missing_volumes	missing_isbns
rekka-no-honoo	烈火の炎	33	32	1	97	33	北斗型	33	9784099410742
shouta-no-sushi	将太の寿司	28	27	1	96	29	北斗型	29	
hokuto-no-ken	北斗の拳	30	27	3	90	28	北斗型	28,29,30	9784107700964,9784107701008,9784107701114
shin-kootaroo-makaritooru	新・コータローまかりとおる!	27	26	1	96	27	北斗型	27	9784063129458
sanshirou-no-jijou	三四郎²	20	19	1	95	20	北斗型	20	9784253052733
hana-no-deka	花の慶次	19	18	1	95	20	北斗型	20	9784107700902
otoyan	音やん	17	16	1	94	19	北斗型	19	
uanpaia-game	吸血遊戯	15	14	1	93	15	北斗型	15	9784403617782
cobra-1995	Cobra	13	12	1	92	15	北斗型	15	9784040675268
mesu-yo-kagayake	メスよ輝け!!	15	12	3	80	13	北斗型	13,14,15	9784834283938,9784834283945,9784834283952
tokyo-juliet	東京ジュリエット	13	12	1	92	13	北斗型	13	9784091377234
shouwa-genroku-rakugo-shinjuu	昭和元禄落語心中	19	10	9	53	11	北斗型	11,12,13,14,16,17,18,19,20	
the-last-man	ラストマン	12	10	2	83	11	北斗型	11,12	9784063369311,9784063369403
rasen-no-kakera	螺旋のかけら	10	9	1	90	10	北斗型	10	9784403614873
b-t-x-1999	B'T X-ビート・エックス-	11	8	3	73	13	北斗型	13,14,15	9784047132696,9784047132849,9784047133020
josanin-e-oideyo	助産院へおいでよ	10	8	2	80	9	北斗型	9,10	9784063190083,9784063190311
juuou-bio	獣王バイオ	9	8	1	89	9	北斗型	9	9784253041966
perman	パーマン	12	7	5	58	8	北斗型	8,9,10,11,12	9784124101829,9784124101942,9784124102024,9784124102062
perman-fujiko-1979	パーマン	11	7	4	64	8	北斗型	8,9,10,12	9784124101829,9784124101942,9784124102062
shin-gal-boy	新ギャルボーイ!	10	7	3	70	8	北斗型	8,9,10	9784063190045,9784063190250,9784063190281
tenshi-no-uta	天使の唄	9	7	2	78	8	北斗型	8,9	9784063411355,9784063411485
esprit	エスプリト	8	7	1	88	8	北斗型	8	9784861278587
someday	SOMEDAY	8	7	1	88	8	北斗型	8	9784091521880
tachibana-kiku-no-amaeta-kankei	立花菊の甘えた関係	8	7	1	88	8	北斗型	8	9784063259292
seiden-rg-veeda	聖伝 RG VEDA	8	6	2	75	8	北斗型	8,10	9784403613500,9784403614163
love-god	Love god	9	6	3	67	7	北斗型	7,8,9	9784063369328,9784063369540,9784063369656
amaenaideyotsu	あまえないでよっ!!	7	6	1	86	7	北斗型	7	9784847035913
crossroad	crossroad	7	6	1	86	7	北斗型	7	9784253192972
goumaden-shuten-douji	降魔伝 手天童子	7	6	1	86	7	北斗型	7	9784253230698
kagemusha-tokugawa-ieyasu	影武者徳川家康	7	6	1	86	7	北斗型	7	9784107701299
shinsei-motemote-oukoku	神聖モテモテ王国	7	6	1	86	7	北斗型	7	9784090060687
date-masamune	伊達政宗	8	5	3	62	6	北斗型	6,7,8	9784061043459,9784061043466,9784061043473
ryouma-e	龍馬へ	7	5	2	71	6	北斗型	6,7	9784063129519,9784063129854
shiro-no-jouken	白の条件	7	5	2	71	6	北斗型	6,7	9784063274134,9784063274219
sore-wa-enokida	それはエノキダ!	7	5	2	71	6	北斗型	6,7	9784063374681,9784063374698
behind-master	BEHIND MASTER	6	5	1	83	6	北斗型	6	9784757515581
gouhou-lilac	豪放ライラック	6	5	1	83	6	北斗型	6	9784847036002
koizumi-san-no-katei-no-jijou	小泉さんちの「家庭の事情」	6	5	1	83	6	北斗型	6	9784088470054
onna-daitarou	女大太郎	6	5	1	83	6	北斗型	6	9784063129861
sangokushi-yamasaki-2005	さんごくし	6	5	1	83	6	北斗型	6	9784253208369
ryuutei-no-mon	竜蹄の門	5	4	1	80	6	北斗型	6	9784845858262
shin-obake-no-qtarou	新オバケのQ太郎	7	4	3	57	5	北斗型	5,6,7	9784124102468,9784124102505,9784124102543
sweet-10	スイート10	7	4	3	57	5	北斗型	5,6,7	9784063259360,9784063259476,9784063259650
teppen-1993	てっぺん	7	4	3	57	5	北斗型	5,6,7	9784063274851,9784063274905,9784063274950
boys-be-l-co-op	Boys be…L co-op	6	4	2	67	5	北斗型	5,6	9784063129601,9784063129878
bussen	ぶっせん	6	4	2	67	5	北斗型	5,6	9784063374667,9784063374735
abinai-doumei	あBない同盟	5	4	1	80	5	北斗型	5	9784061761407
bakumatsu-fuuunroku-makoto	幕末風雲録誠	5	4	1	80	5	北斗型	5	9784063129885
boukyaku-no-cradle	忘却のクレイドル	5	4	1	80	5	北斗型	5	9784861278655
dr-kou	Dr.汞	5	4	1	80	5	北斗型	5	9784063369847
hakka-shoujo	薄花少女	5	4	1	80	5	北斗型	5	
hip-ni-rori-pop	Hipにロリポップ	5	4	1	80	5	北斗型	5	9784061764224
kurogane	黒鉄	5	4	1	80	5	北斗型	5	9784063380224
lion-wada-2002	リオン	5	4	1	80	5	北斗型	5	9784063491586
lost-virgin-project	ロスト・ヴァージン・プロジェクト	5	4	1	80	5	北斗型	5	9784063411416
nishimuku-samurai	にしむく士	5	4	1	80	5	北斗型	5	9784063190151
pachinko-bakuretsu-musume	パチンコバクレツ娘	5	4	1	80	5	北斗型	5	
puroresu-akuyaku-series	プロレス悪役シリーズ	5	4	1	80	5	北斗型	5	
renaiteki-shunkan	恋愛的瞬間	5	4	1	80	5	北斗型	5	9784088470085
sutegataki-hitobito	捨てがたき人々	5	4	1	80	5	北斗型	5	
yokubou-to-koi-no-meguri	欲望と恋のめぐり	5	4	1	80	5	北斗型	5	9784091590145
yunbo-kun	ゆんぼくん	5	4	1	80	5	北斗型	5	
mazin-saga-nagai	魔神サーガ	4	3	1	75	6	北斗型	6	9784594025731
pilot-a	パイロットA	4	3	1	75	5	北斗型	5	
full-kon	フル・コン	6	3	3	50	4	北斗型	4,5,6	9784861762758,9784861763205,9784861763809
houjou-tokimune	北条時宗	6	3	3	50	4	北斗型	4,5,6	9784063343960,9784063344264,9784063344592
the-big-o	THEビッグオー	6	3	3	50	4	北斗型	4,5,6	9784063490473,9784063490657,9784063490794
yameru-monkatsu	やめるもんかっ!	6	3	3	50	4	北斗型	4,5,6	9784063190069,9784063190168,9784063190205
ex-shounen-hyouryuu	EX～少年漂流～	5	3	2	60	4	北斗型	4,5	9784063129717,9784063130386
fuuun-san-shimai-lin3	風雲三姉妹LIN3	5	3	2	60	4	北斗型	4,5	9784063490596,9784063490756
inochi-kurenai-no-shugoshin	命～紅の守護神～	5	3	2	60	4	北斗型	4,5	9784063123555,9784063123890
kishin	機神	5	3	2	60	4	北斗型	4,5	9784063490527,9784063490695
mouretsusensei	もうれつ先生	5	3	2	60	4	北斗型	4,5	
ragukomi	ラグこみ!	5	3	2	60	4	北斗型	4,5	9784861762628,9784861762802
salaryman-senka	サラリーマン専科	5	3	2	60	4	北斗型	4,5	9784061765856,9784061765870
x-man	Xマン	5	3	2	60	4	北斗型	4,5	
decapolice	デカポリス	4	3	1	75	4	北斗型	4	9784253058889
guardian-dog	ガーディアン・ドッグ	4	3	1	75	4	北斗型	4	9784861762567
junjou-buriki-kan	純情ブリキCAN	4	3	1	75	4	北斗型	4	9784061761766
kaze-no-runner	彩風のランナー	4	3	1	75	4	北斗型	4	9784091690746
kokuran	黒蘭	4	3	1	75	4	北斗型	4	9784047135253
kuusou-kagaku-taisen	空想科学大戦	4	3	1	75	4	北斗型	4	9784789717250
miracle-1992	MIRACLE	4	3	1	75	4	北斗型	4	
mobile-shinseiki-gundam-ekkusu	機動新世紀ガンダムX	4	3	1	75	4	北斗型	4	9784047138704
mobile-suit-gundam-uchuu-no-ixtab	機動戦士ガンダム宇宙のイシュタム	4	3	1	75	4	北斗型	4	9784047136922
owaru-koi-ja-needaro	終わる恋じゃねぇだろ	4	3	1	75	4	北斗型	4	9784063028461
piikan-gerira	ぴーかんゲリラ	4	3	1	75	4	北斗型	4	9784061762602
raijin	雷神	4	3	1	75	4	北斗型	4	9784063129663
shin-mobile-senki-gundam-wing-1996-3	新機動戦記ガンダムW	4	3	1	75	4	北斗型	4	9784056012941
shounen-tanteidan	少年探偵団	4	3	1	75	4	北斗型	4	
strange-academy	ストレンジ・アカデミー	4	3	1	75	4	北斗型	4	
tenshi-ni-naritai	天使になりたい	4	3	1	75	4	北斗型	4	9784063412352
tetsu-kiba	鉄騎馬	4	3	1	75	4	北斗型	4	9784091522481
yami-ni-naku-oni	闇に哭く鬼	4	3	1	75	4	北斗型	4	9784253096270
botsu-chan-no-jidai	『坊っちゃん』の時代	3	2	1	67	5	北斗型	5	9784575935233
higurashi-no-naku-koro-ni-himatsubushihen	ひぐらしのなく頃に 暇潰し編	3	2	1	67	4	北斗型	4	9784757525573
genma-taisen	幻魔大戦	4	2	2	50	3	北斗型	3,4	
ichinen-c-gumi-kyoufu-kaigi	1年C組恐怖会議	4	2	2	50	3	北斗型	3,4	9784063122862,9784063123609
kijima-nikki	木島日記	4	2	2	50	3	北斗型	3,4	9784048535533,9784048536097
koisuru-kachou-minami-sakiko	恋する課長南咲子	4	2	2	50	3	北斗型	3,4	9784063259339,9784063259452
milk-closet	ミルククローゼット	4	2	2	50	3	北斗型	3,4	9784063142709,9784063142792
navagraha	ナヴァグラハ	4	2	2	50	3	北斗型	3,4	9784065182642,9784065182659
orange-delivery	オレンジでりばりぃ	4	2	2	50	3	北斗型	3,4	9784861762109,9784861762840
riman-gambler-mouse	リーマンギャンブラーマウス	4	2	2	50	3	北斗型	3,4	9784063287646,9784063287844
seton	シートン	4	2	2	50	3	北斗型	3,4	9784575940251,9784575941517
susume-dai2-shounen-kouka-gakkou	突撃め!第二少年工科学校	4	2	2	50	3	北斗型	3,4	9784063129625,9784063129892
tengoku-eno-kaidan-2004	天国への階段	4	2	2	50	3	北斗型	3,4	9784063348842,9784063348910
alabaster	アラバスター	3	2	1	67	3	北斗型	3	
anan-no-hoshi	アナンの地球	3	2	1	67	3	北斗型	3	9784253079532
blaze	ブレイズ	3	2	1	67	3	北斗型	3	9784253091718
botamochi-o-sagashite	ボタモチを探して!	3	2	1	67	3	北斗型	3	9784091373335
bukkomi-no-taku	特攻の拓	3	2	1	67	3	北斗型	3	9784063243161
bura-samurai	無頼侍	3	2	1	67	3	北斗型	3	9784757731141
crush-gear-n	クラッシュギアNitro	3	2	1	67	3	北斗型	3	9784063239966
dengeki-tenjikaazu	電撃テンジカーズ	3	2	1	67	3	北斗型	3	9784048703383
dino2	Dino²	3	2	1	67	3	北斗型	3	9784063348828
fuurin-kazan	風林火嶄	3	2	1	67	3	北斗型	3	9784063211221
hack-tasogare-no-udewa-densetsu	.hack//黄昏の腕輪伝説	3	2	1	67	3	北斗型	3	9784047135994
higurashi-no-naku-koro-ni-tatarikoroshihen	ひぐらしのなく頃に 祟殺し編	3	2	1	67	3	北斗型	3	9784757525580
hokuto-chan-no-nanatsuboshi	北斗ちゃんの七つ星	3	2	1	67	3	北斗型	3	9784861768446
itsumo-kokoro-ni-taiyou-o	いつも心に太陽を	3	2	1	67	3	北斗型	3	9784061764255
j-no-subete	Jの総て	3	2	1	67	3	北斗型	3	9784778320096
kankyou-hogotai-mottai-9	環境保護隊モッタイ9	3	2	1	67	3	北斗型	3	9784593856992
kazoku-no-okite	家族のオキテ	3	2	1	67	3	北斗型	3	9784253201148
koukenryoku-ouryou-sousakan-nakabou-rintarou	公権力横領捜査官中坊林太郎	3	2	1	67	3	北斗型	3	9784107701947
loose	Loose	3	2	1	67	3	北斗型	3	9784088470092
majime-kanojo	マジメ彼女	3	2	1	67	3	北斗型	3	9784575843866
maken-x-another	魔剣X ANOTHER	3	2	1	67	3	北斗型	3	9784063490763
makyou-gakuen-fuuunki-half-ando-half	魔境学園風雲記ハーフ＆ハーフ	3	2	1	67	3	北斗型	3	9784047134195
merry-go-round	メリーゴーランド	3	2	1	67	3	北斗型	3	9784061788183
na-mo-naki-tori-no-tobu-yoake	名も無き鳥の飛ぶ夜明け	3	2	1	67	3	北斗型	3	9784048537315
nanpaya-ken	ナンパ屋★KEN	3	2	1	67	3	北斗型	3	9784253145244
popokan	ポポ缶	3	2	1	67	3	北斗型	3	9784840229234
princess-ai	Princess Ai	3	2	1	67	3	北斗型	3	9784403618079
puchipuchi	プチプチ	3	2	1	67	3	北斗型	3	9784757510005
ra-seenu-no-hoshi	ラ・セーヌの星	3	2	1	67	3	北斗型	3	
rockman-megamix	ロックマンメガミックス	3	2	1	67	3	北斗型	3	9784757713918
sekirara-love-life	セキララLOVE LIFE	3	2	1	67	3	北斗型	3	9784063337921
shin-mobile-senki-gundam-daburyuu	新機動戦記ガンダムW	3	2	1	67	3	北斗型	3	9784056012538
shiranami	Shiranami	3	2	1	67	3	北斗型	3	9784403615870
sono-shichi-no-mono	其の七の者	3	2	1	67	3	北斗型	3	9784063337709
stand-by-miiche	STAND☆BYみーちぇ!!	3	2	1	67	3	北斗型	3	9784063490770
stray-little-devil	STRAY LITTLE DEVIL	3	2	1	67	3	北斗型	3	9784840233682
teiou-eno-michi	帝王への道	3	2	1	67	3	北斗型	3	9784063337945
tenshi-no-matsuei	てんしの末裔	3	2	1	67	3	北斗型	3	9784832275669
thirty-girl	サーティーガール	3	2	1	67	3	北斗型	3	9784592142331
thomas-no-shinzou	トーマの心臓	3	2	1	67	3	北斗型	3	
tokko	TOKKO	3	2	1	67	3	北斗型	3	9784063348750
tokyo-battle	東京バトル	3	2	1	67	3	北斗型	3	9784861762970
train-train-2002	トレイン・トレイン	3	2	1	67	3	北斗型	3	9784403617874
trouble-maker-2002	トラブルメイカー	3	2	1	67	3	北斗型	3	9784877348120
usa	USA	3	2	1	67	3	北斗型	3	9784048679695
working-musume	ワーキング娘。	3	2	1	67	3	北斗型	3	9784061789647
zenmai-jikake-no-teina	ぜんまいじかけのティナ	3	2	1	67	3	北斗型	3	9784061789715
saitou-takawo-no-taifuu-gorou	さいとう・たかを'S台風五郎	2	1	1	50	18	北斗型	18	
otonashi-genjuu	音無し幻十	2	1	1	50	10	北斗型	10	9784845839575
canon-2023	カノン	2	1	1	50	8	北斗型	8	
tokyo-mafia	東京魔悲夜	2	1	1	50	6	北斗型	6	
yume-camera	夢カメラ	2	1	1	50	5	北斗型	5	
kozame-kaikyou	虎鮫海峡	2	1	1	50	4	北斗型	4	9784253102278
tange-sazen	丹下左膳	2	1	1	50	4	北斗型	4	
tokyo-babylon	東京BABYLON	2	1	1	50	4	北斗型	4	9784403612824
gandharva	ガンダルヴァ	2	1	1	50	3	北斗型	3	9784309728445
kaina	腕	2	1	1	50	3	北斗型	3	9784845846238
little-butterfly	リトル・バタフライ	2	1	1	50	3	北斗型	3	9784877243395
milky-way	ミルキーウェイ	2	1	1	50	3	北斗型	3	
mizushina-takayuki-no-mizu-cinema	みずしな孝之のミズシネマ	2	1	1	50	3	北斗型	3	9784087821581
oppai-no-tatsujin	おっぱいの達人	2	1	1	50	3	北斗型	3	9784877553067
ryoushite-sourou	料して候	2	1	1	50	3	北斗型	3	9784862254450
shinkuu-yuusetsu	真空融接	2	1	1	50	3	北斗型	3	9784757733169
soba-ni-oideyo	そばにおいでよ	2	1	1	50	3	北斗型	3	9784063274370
toriyama-akira-marusaku-gekijou-aratame	鳥山明○作劇場「改」	2	1	1	50	3	北斗型	3	9784081066926
10-2016	10	2	1	1	50	2	北斗型	2	
1549-jieitai-1549	戦国自衛隊1549	2	1	1	50	2	北斗型	2	9784047137707
arashi-no-hatoba	嵐の波止場	2	1	1	50	2	北斗型	2	
asterisk-akaishi-1992	アスターリスク	2	1	1	50	2	北斗型	2	9784091343420
attack-on	アタック☆オン	2	1	1	50	2	北斗型	2	9784091364951
beddononakadeshinitaino	ベッドの中で死にたいの	2	1	1	50	2	北斗型	2	
bokutachi-no-sotsugyou	ぼくたちの卒業	2	1	1	50	2	北斗型	2	9784091368850
bomber-girl	Bomber girl	2	1	1	50	2	北斗型	2	9784785921941
bukatsudou	部活動	2	1	1	50	2	北斗型	2	9784861272509
butouden-hikaru	舞闘伝火華流	2	1	1	50	2	北斗型	2	9784861762123
captain-ultra	キャプテンウルトラ	2	1	1	50	2	北斗型	2	
cecilia-doors	セシリア・ドアーズ	2	1	1	50	2	北斗型	2	9784403614354
charenjaa-aaa	挑戦者AAA	2	1	1	50	2	北斗型	2	
chikaranoarika	力の在り処	2	1	1	50	2	北斗型	2	
choushuu-faibu	長州ファイブ	2	1	1	50	2	北斗型	2	9784757746022
colorful-joker	虹色JOKER	2	1	1	50	2	北斗型	2	9784592178972
domestic	ドメスティック	2	1	1	50	2	北斗型	2	9784832230361
dream-walker-riona	ドリーム・ウォーカーRiona	2	1	1	50	2	北斗型	2	9784091362759
f1-guranpuri-tengoku	F1グランプリ天国	2	1	1	50	2	北斗型	2	9784575933895
flower-festival	フラワー・フェスティバル	2	1	1	50	2	北斗型	2	9784091720825
fugurumakan-raihouki	文車館来訪記	2	1	1	50	2	北斗型	2	
