slug	class	action	wrong	own_isbn_candidates	db_authors	own_sample
joker-1998	MIXED_deinterleave	DEINTERLEAVE_review	1	0	河奈マリオ	
mahouka-koukou-no-rettousei-2018	MIXED_deinterleave	DEINTERLEAVE_review	1	3	マジコ	9784757550681(魔法科高校の劣等生 来訪者編/マジコ); 9784757552081(魔法科高校の劣等生 来訪者編/マジコ); 9784757553675(魔法科高校の劣等生 来訪者編/マジコ)
mobile-suit-gundam-thunderbolt	MIXED_deinterleave	DEINTERLEAVE_review	1	71	太田垣康男/富野由悠季	9784041042601(機動戦士ガンダムさん/富野由悠季); 9784041055540(機動戦士ガンダムさん/富野由悠季); 9784041064016(機動戦士ガンダム00/富野由悠季)
oz-itsuki-2004	MIXED_deinterleave	DEINTERLEAVE_review	1	0	樹ナツミ	
pure	MIXED_deinterleave	DEINTERLEAVE_review	1	0	柿本ケンジロウ	
rifrein	MIXED_deinterleave	DEINTERLEAVE_review	1	0	岡田ユキオ	
romanshingu-saga	MIXED_deinterleave	DEINTERLEAVE_review	1	3	面堂カズキ	9784197900046(ロマンシングサガ2（1）/面堂カズキ/森本洋); 9784835459707(ロマンシング サ・ガ2 II -傭兵皇帝オライオ/葉月マユミ/面堂カズキ); 9784835459714(ロマンシング サ・ガ2 III -最終皇帝編ー/葉月マユミ/面堂カズキ)
samurai-spirits	MIXED_deinterleave	DEINTERLEAVE_review	1	0	島本和彦	
worst-komuro-1970	ALL_WRONG	REPOINT	29	2	小室孝太郎	9784835456904(ワースト = WORST : 完全版/小室孝太郎); 9784835456911(ワースト = WORST : 完全版/小室孝太郎)
manga-grimm-douwa-2003	ALL_WRONG	REPOINT	23	12	魔木子	9784821170425(まんがグリム童話お江戸くノ一変化のお椰事件帖（3/魔木子); 9784821171453(まんがグリム童話毒婦たちの犯罪白書/魔木子); 9784821175598(まんがグリム童話妖八犬伝（1）/魔木子)
gurazeni-tokyo-doomuhen	ALL_WRONG	REPOINT	13	16	アダチケイジ/コジィ城倉	9784063870046(グラゼニ（01）/アダチケイジ/森高夕次); 9784063870435(グラゼニ（2）/アダチケイジ/森高夕次); 9784063870695(グラゼニ（3）/アダチケイジ/森高夕次)
gifuu-doudou	ALL_WRONG	REPOINT	10	17	武村勇治	9784107714473(義風堂々！！直江兼続前田慶次月語り（1）/武村勇治/原哲夫); 9784107714725(義風堂々！！直江兼続前田慶次月語り（2）/武村勇治/原哲夫); 9784107714930(義風堂々！！直江兼続前田慶次月語り（3）/武村勇治/原哲夫)
nito-monogatari	ALL_WRONG	REPOINT	10	1	滝沢聖峰	9784845855414(二兎物語/滝沢聖峰)
gold-2004	ALL_WRONG	REPOINT	8	11	山本隆一郎	9784785920852(GOLD（1）/山本隆一郎); 9784785921101(GOLD（2）/山本隆一郎); 9784785937386(GOLD/山本隆一郎)
angel	ALL_WRONG	REPOINT	6	13	遊人	9784537106541(Angel/遊人); 9784537107081(Angel/遊人); 9784537107753(Angel・kiss/遊人)
kirara-hiramatsu-1987	ALL_WRONG	REPOINT	6	1	平松伸二	9784845860852(キララ/平松伸二)
red	ALL_WRONG	REPOINT	6	10	村枝賢一	9784063770162(RED/村枝賢一); 9784063770179(RED/村枝賢一); 9784063770186(RED/村枝賢一)
sp-2000	ALL_WRONG	REPOINT	5	2	国友ヤスユキ	9784862256393(SPセキュリティポリス/国友ヤスユキ); 9784862256409(SPセキュリティポリス/国友ヤスユキ)
suikoden-2000	ALL_WRONG	REPOINT	5	4	サイトウタカヲ	9784418965151(水滸伝（巻ノ1）/サイトウタカヲ); 9784418965168(水滸伝（巻ノ2）/サイトウタカヲ); 9784418965175(水滸伝（巻ノ3）/サイトウタカヲ)
blazblue	ALL_WRONG	REPOINT	4	1	吉岡榊	9784047129085(BLAZBLUE/吉岡榊)
mahouka-koukou-no-rettousei-2012	ALL_WRONG	REPOINT	4	19	キタウミツナ	9784301000778(魔法科高校の劣等生/キタウミツナ); 9784757542723(魔法科高校の劣等生 九校戦編/キタウミツナ); 9784757542723(魔法科高校の劣等生九校戦編（1）/キタウミツナ/佐島勤)
mahouka-koukou-no-rettousei-2025	ALL_WRONG	REPOINT	3	58	柚木n'/竹田羽角/佐島勤/飛口芽衣	9784040641379(魔法科高校の劣等生 司波達也暗殺計画　1/一乃ユユ/佐島勤/石田可奈); 9784040647135(魔法科高校の劣等生 司波達也暗殺計画　2/一乃ユユ/佐島勤/石田可奈); 9784046801852(魔法科高校の劣等生 司波達也暗殺計画　3/一乃ユユ/佐島勤/石田可奈)
reset	ALL_WRONG	REPOINT	3	1	高橋ユキ	9784864953009(リセット : 囚われの全身整形/高橋ユキ)
answer	ALL_WRONG	REPOINT	2	2	maria	9784088444567(アンサー = Answer/maria); 9784088445472(アンサー = Answer/maria)
box-1991	ALL_WRONG	REPOINT	2	1	池上遼一	9784091188731(Box : 暗い箱/池上遼一)
cool	ALL_WRONG	REPOINT	2	5	許斐剛	9784086188753(COOL/許斐剛); 9784088800882(LADY COOL/許斐剛); 9784088800882(LADY　COOL（1）/許斐剛)
share	ALL_WRONG	REPOINT	2	2	三ツ葉優雨	9784098701018(share/三ツ葉優雨); 9784098703340(share/三ツ葉優雨)
engage-watanabe-2009	ALL_WRONG	REPOINT	2	2	渡辺瑞樹	9784063494228(エンゲージ/渡辺瑞樹); 9784063494327(エンゲージ/渡辺瑞樹)
face-2019	ALL_WRONG	REPOINT	2	1	サカワキヒロ太	9784537139266(フェイス : 背徳の囁き/サカワキヒロ太)
face	ALL_WRONG	REPOINT	2	1	ユキモリリョウ	9784779003998(フェイス/ユキモリリョウ)
joker	ALL_WRONG	REPOINT	2	4	道原カツミ	9784403622243(JOKER REBOOT/道原カツミ); 9784403622243(JOKER REBOOT　1/霜月カイリ/麻城ユウ/道原カツミ); 9784403622427(JOKER REBOOT/麻城ユウ/道原カツミ)
nein	ALL_WRONG	REPOINT	2	2	有坂アコ	9784041050514(Nein　〜9th　Story〜　（1）　限定版/soundhorizon/有坂アコ/渡太); 9784041053614(Nein 〜9th Story〜 (2) 限定版/有坂アコ/soundhorizon)
rising-sun	ALL_WRONG	REPOINT	2	37	藤原サトシ	9784575841114(ライジングサン/藤原サトシ); 9784575841633(ライジングサン/藤原サトシ); 9784575852530(ライジングサンR : RENGER ＆ RESC/藤原サトシ)
sengoku-jieitai-2014	ALL_WRONG	REPOINT	2	6	森秀樹	9784845846689(戦国自衛隊/森秀樹); 9784845846702(戦国自衛隊/森秀樹); 9784845853601(戦国自衛隊/森秀樹)
to-heart-2	ALL_WRONG	REPOINT	2	3	御形屋ハルカ	9784840232272(ToHeart2（1）　DVD付限定版/御形屋ハルカ/aquaplus); 9784840239011(To heart 2/御形屋ハルカ); 9784840239011(ToHeart2　（3）　DVD付限定版/御形屋ハルカ/aquaplus)
comic-higashino-keigo-mystery-2014	ALL_WRONG	REPOINT	1	2	松枝尚嗣	9784408174839(コミック東野圭吾ミステリー/松枝尚嗣); 9784408174839(コミック東野圭吾ミステリー「ウインクで乾杯」/松枝尚嗣/東野圭吾)
eden-sakurazawa-2014	ALL_WRONG	REPOINT	1	1	桜沢エリカ	9784420152815(エデン/桜沢エリカ)
koi-shita-hito-wa-imouto-no-kawari-ni-shinde-kure-to-itta	ALL_WRONG	REPOINT	1	1	家守マキ	9784867940143(恋した人は、妹の代わりに死んでくれと言った。@C/家守マキ)
koishita-hito-wa-imouto-no-kawari-ni-shindekure-to-itta-imouto-to-kekkon-shita-kataomoi-aite-ga	ALL_WRONG	REPOINT	1	2	家守マキ/永野水貴	9784866996806(恋した人は、妹の代わりに死んでくれと言った。-妹/家守マキ); 9784866998442(恋した人は、妹の代わりに死んでくれと言った。-妹/家守マキ)
love-taishitsu	ALL_WRONG	REPOINT	1	3	近藤旭	9784864956222(恋愛体質 : 恋を知らない僕が君を愛するまで/近藤旭); 9784864956420(恋愛体質 : 恋を知らない僕が君を愛するまで/近藤旭); 9784864956420(恋愛体質2　恋を知らない僕が君を愛するまで　NF/近藤旭)
rinjou	ALL_WRONG	REPOINT	1	4	上農ヒロ昭	9784537126129(臨場/上農ヒロ昭); 9784537126136(臨場/上農ヒロ昭); 9784537126136(臨場（下）/上農ヒロ昭/横山秀夫小説家)
rocketman	ALL_WRONG	REPOINT	1	3	水木シゲル	9784063775013(貸本漫画集（1）ロケットマン他/水木シゲル); 9784778031541(ロケットマン/水木シゲル); 9784778031541(ロケットマン 限定版BOX/水木シゲル)
samurai-soldier	ALL_WRONG	REPOINT	1	1	山本隆一郎	9784088774879(サムライソルジャー/山本隆一郎)
snow	ALL_WRONG	REPOINT	1	1	吉田優希	9784065397336(スノウ/吉田優希)
tenyoritakaku	ALL_WRONG	REPOINT	1	1	現津ミカミ	9784832277687(天より高く/現津ミカミ)
stand-up	ALL_WRONG	REPOINT	1	1	板垣雅也	9784091408921(STAND UP!/板垣雅也)
work-in	ALL_WRONG	REPOINT	1	2	鈴木ツタ	9784862527745(Work in/鈴木ツタ); 9784862527745(Work　in限定版/鈴木ツタ)
zero-matsumoto	ALL_WRONG	REPOINT	1	2	松本大洋	9784098600366(ZERO 十点鐘/松本大洋); 9784098600366(ZERO 十点鐘 : God save the /松本大洋)
red-dragon-ikeno-2016	WRONG_plus_unknown	REPOINT	1	5	池野雅博	9784041044025(レッドドラゴン/池野雅博); 9784041044216(レッドドラゴン/池野雅博); 9784041052396(レッドドラゴン/池野雅博)
jipang	ALL_WRONG	STRIP_or_ALIAS_review	62	0	速水翼	
high-score-aruko-2002	ALL_WRONG	STRIP_or_ALIAS_review	24	0	アルコ	
ultraman-g	ALL_WRONG	STRIP_or_ALIAS_review	20	0	島本和彦	
gogo-monster	ALL_WRONG	STRIP_or_ALIAS_review	18	0	松本大洋	
yume-de-aetara-1985	ALL_WRONG	STRIP_or_ALIAS_review	15	0	小椋冬美	
darling-2008	ALL_WRONG	STRIP_or_ALIAS_review	13	0	秋本尚美	
gurazeni-pa-riiguhen	ALL_WRONG	STRIP_or_ALIAS_review	13	0	コジィ城倉	
buyuden	ALL_WRONG	STRIP_or_ALIAS_review	12	0	満田拓也	
buyuuden	ALL_WRONG	STRIP_or_ALIAS_review	12	0	モリヤマツル	
meioukeikakuzeoraimaa	ALL_WRONG	STRIP_or_ALIAS_review	12	0	高屋良樹	
fire-emblem-1993	ALL_WRONG	STRIP_or_ALIAS_review	11	0	島田ヒロカズ	
fire-emblem-nintendo-1996	WRONG_plus_unknown	STRIP_or_ALIAS_review	11	0	ウサ銀太郎	
mobile-suit-gundam-f90	ALL_WRONG	STRIP_or_ALIAS_review	10	0	中原レイ	
perman-fujiko-1979	ALL_WRONG	STRIP_or_ALIAS_review	10	0	藤子不二雄	
maya-2004	ALL_WRONG	STRIP_or_ALIAS_review	9	0	須藤真澄	
silver-suetsugu-2005	ALL_WRONG	STRIP_or_ALIAS_review	9	0	末次由紀	
final-fantasy-lost-stranger	ALL_WRONG	STRIP_or_ALIAS_review	8	0	ムツキラン	
gold-1997	ALL_WRONG	STRIP_or_ALIAS_review	8	0	魔木子	
mahouka-koukou-no-rettousei	ALL_WRONG	STRIP_or_ALIAS_review	8	0	柚木n'/蒼和伸	
saint-bladers	ALL_WRONG	STRIP_or_ALIAS_review	8	0	印照	
tempest-1993	ALL_WRONG	STRIP_or_ALIAS_review	7	0	庄司陽子	
top	ALL_WRONG	STRIP_or_ALIAS_review	7	0	池田サトミ	
1-yamamoto-1993	ALL_WRONG	STRIP_or_ALIAS_review	6	0	山本英夫	
charisma-2	ALL_WRONG	STRIP_or_ALIAS_review	5	0	花小路ユミ	
kuro-1999	ALL_WRONG	STRIP_or_ALIAS_review	5	0	奥浩哉	
kuro	ALL_WRONG	STRIP_or_ALIAS_review	5	0	青インク	
change-2018	ALL_WRONG	STRIP_or_ALIAS_review	4	0	曽田正人/冨山玖呂	
isekai-ni-kita-mitai-dakedo-dousureba-yoinodarou	ALL_WRONG	STRIP_or_ALIAS_review	4	0	森ユキナツ	
jihad-sadakane-1993	ALL_WRONG	STRIP_or_ALIAS_review	4	0	山根和俊	
jun-1983	ALL_WRONG	STRIP_or_ALIAS_review	4	0	森下裕美	
persona-1998	ALL_WRONG	STRIP_or_ALIAS_review	4	0	上田信舟	
shin-mobile-senki-gundam-wing-1996-2	ALL_WRONG	STRIP_or_ALIAS_review	4	0	ムッチリムウニイ	
shin-mobile-senki-gundam-wing-1996-3	ALL_WRONG	STRIP_or_ALIAS_review	4	0	細雪純/樹本祐季	
tales-of-destiny-inomata-2000	WRONG_plus_unknown	STRIP_or_ALIAS_review	4	0	杉基イクラ	
tales-of-destiny2	WRONG_plus_unknown	STRIP_or_ALIAS_review	4	0	makoto号	
24colors	ALL_WRONG	STRIP_or_ALIAS_review	3	0	千葉コズエ	
colors-2001	ALL_WRONG	STRIP_or_ALIAS_review	3	0	啄木鳥シンキ	
gingatetsudou-no-yoru	ALL_WRONG	STRIP_or_ALIAS_review	3	0	永島慎二/石原ハルヒコ/北原文野	
hakkou-1985	ALL_WRONG	STRIP_or_ALIAS_review	3	0	長岡良子	
joker-1998-3	ALL_WRONG	STRIP_or_ALIAS_review	3	0	野間美由紀	
joker-2012	ALL_WRONG	STRIP_or_ALIAS_review	3	0	上杉可南子	
jun-1997	ALL_WRONG	STRIP_or_ALIAS_review	3	0	関谷巌	
kiss-2014	ALL_WRONG	STRIP_or_ALIAS_review	3	0	森田ユキ	
last-man	ALL_WRONG	STRIP_or_ALIAS_review	3	0	vivésbastien	
lastman	ALL_WRONG	STRIP_or_ALIAS_review	3	0	二宮裕次	
mint-1997	ALL_WRONG	STRIP_or_ALIAS_review	3	0	池谷理香子	
nihonnorekishi	ALL_WRONG	STRIP_or_ALIAS_review	3	0	笠原一男	
nippon-no-rekishi-2007-2	ALL_WRONG	STRIP_or_ALIAS_review	3	0	井上大助	
red-nakaji-1990	ALL_WRONG	STRIP_or_ALIAS_review	3	0	ナカジ有紀	
reset-2005	ALL_WRONG	STRIP_or_ALIAS_review	3	0	筒井哲也	
ringo	ALL_WRONG	STRIP_or_ALIAS_review	3	0	コイオミナト	
shin-mobile-senki-gundam-daburyuu	ALL_WRONG	STRIP_or_ALIAS_review	3	0	細雪純/氷栗優	
shin-mobile-senki-gundam-wing-1996	ALL_WRONG	STRIP_or_ALIAS_review	3	0	ミズキ健/樹本祐季	
takeru-1984	ALL_WRONG	STRIP_or_ALIAS_review	3	0	石渡治	
wonder-three	ALL_WRONG	STRIP_or_ALIAS_review	3	0	貴島煉瓦	
crusader-kawaso-2002	ALL_WRONG	STRIP_or_ALIAS_review	2	0	河惣益巳	
fight-2000	ALL_WRONG	STRIP_or_ALIAS_review	2	0	亜月裕	
fight-2006	ALL_WRONG	STRIP_or_ALIAS_review	2	0	佐々木潤子	
gadget	ALL_WRONG	STRIP_or_ALIAS_review	2	0	衛藤ヒロユキ	
gift-2009	ALL_WRONG	STRIP_or_ALIAS_review	2	0	山田j太	
gift-2012	ALL_WRONG	STRIP_or_ALIAS_review	2	0	塩森恵子	
gift-ichinose-2015	ALL_WRONG	STRIP_or_ALIAS_review	2	0	一ノ瀬ユマ	
gym-2000	ALL_WRONG	STRIP_or_ALIAS_review	2	0	池上遼一	
hataraku-onee-san	ALL_WRONG	STRIP_or_ALIAS_review	2	0	後藤ユタカ	
joker-yamane-1997	ALL_WRONG	STRIP_or_ALIAS_review	2	0	山根和俊	
junk-2005	ALL_WRONG	STRIP_or_ALIAS_review	2	0	ユミミ	
k-shitsuki-1988	ALL_WRONG	STRIP_or_ALIAS_review	2	0	谷口ジロ	
kaze-no-tani-no-naushika-1984	ALL_WRONG	STRIP_or_ALIAS_review	2	0	unknown	
kurotokage-2019	ALL_WRONG	STRIP_or_ALIAS_review	2	0	森下裕美	
majuugari	ALL_WRONG	STRIP_or_ALIAS_review	2	0	葉月秋子	
sleeping-beauty-yoshikawa-2003	ALL_WRONG	STRIP_or_ALIAS_review	2	0	吉川新	
takeru	ALL_WRONG	STRIP_or_ALIAS_review	2	0	寺沢武一	
venus-2015	ALL_WRONG	STRIP_or_ALIAS_review	2	0	麻生歩	
x-men	ALL_WRONG	STRIP_or_ALIAS_review	2	0	unknown	
bakudan-1995	WRONG_plus_unknown	STRIP_or_ALIAS_review	2	0	宮下アキラ	
fire-emblem-thracia-776-2000	WRONG_plus_unknown	STRIP_or_ALIAS_review	2	0	日野慎之助	
valkyrie-profile-2001-2	WRONG_plus_unknown	STRIP_or_ALIAS_review	2	0	金田一蓮十郎	
valkyrie-profile-2001	WRONG_plus_unknown	STRIP_or_ALIAS_review	2	0	祥寺ハルカ	
x-men-1994-5	WRONG_plus_unknown	STRIP_or_ALIAS_review	2	0	児嶋都/萩原玲二	
x-men-1994	WRONG_plus_unknown	STRIP_or_ALIAS_review	2	0	ヒグチヒロシ/ヤスエコジ	
15sai	ALL_WRONG	STRIP_or_ALIAS_review	1	0	アサギ龍	
16-sai-kiss	ALL_WRONG	STRIP_or_ALIAS_review	1	0	宮坂香帆	
17sai	ALL_WRONG	STRIP_or_ALIAS_review	1	0	清水洋三	
19sai	ALL_WRONG	STRIP_or_ALIAS_review	1	0	北川夕夏	
27sai	ALL_WRONG	STRIP_or_ALIAS_review	1	0	ワタナベ志穂	
sai	ALL_WRONG	STRIP_or_ALIAS_review	1	0	ワタセセイゾウ	
ragunasenki	ALL_WRONG	STRIP_or_ALIAS_review	1	0	外薗昌也	
aya	ALL_WRONG	STRIP_or_ALIAS_review	1	0	速水翼	
catwalk	ALL_WRONG	STRIP_or_ALIAS_review	1	0	ケロリン	
cinderella-2004	ALL_WRONG	STRIP_or_ALIAS_review	1	0	寺館和子	
desire-1989	ALL_WRONG	STRIP_or_ALIAS_review	1	0	森園ミルク	
doll-1996	ALL_WRONG	STRIP_or_ALIAS_review	1	0	惣領冬実	
doll-2000	ALL_WRONG	STRIP_or_ALIAS_review	1	0	緒方剛志	
eden-2021	ALL_WRONG	STRIP_or_ALIAS_review	1	0	磯本ツヨシ	
egao-no-yukue-2003	ALL_WRONG	STRIP_or_ALIAS_review	1	0	逢沢雪名	
egao-no-yukue	ALL_WRONG	STRIP_or_ALIAS_review	1	0	salasharon/瀧川イヴ	
nhk-sono-toki-rekishi-ga-ugoita	ALL_WRONG	STRIP_or_ALIAS_review	1	0	ナガイノリアキ/谷口敬/小川オサム/狩那匠/西田真基	
es	ALL_WRONG	STRIP_or_ALIAS_review	1	0	惣領冬実	
s	ALL_WRONG	STRIP_or_ALIAS_review	1	0	藤堂裕	
face-1992	ALL_WRONG	STRIP_or_ALIAS_review	1	0	六本木綾	
gakkou-no-kaidan-koga-1994	ALL_WRONG	STRIP_or_ALIAS_review	1	0	古賀新一	
get-azuma-1999	ALL_WRONG	STRIP_or_ALIAS_review	1	0	東マユミ	
gift-2002	ALL_WRONG	STRIP_or_ALIAS_review	1	0	中村カナコ	
ginga-tetsudou-no-yoru-miyazawa-1992	ALL_WRONG	STRIP_or_ALIAS_review	1	0	松田一輝	
hal-ayase-2017	ALL_WRONG	STRIP_or_ALIAS_review	1	0	hal	
happy-birthday-komikku	ALL_WRONG	STRIP_or_ALIAS_review	1	0	オスギル	
hellhound-2018	ALL_WRONG	STRIP_or_ALIAS_review	1	0	安藤慈朗	
home	ALL_WRONG	STRIP_or_ALIAS_review	1	0	内田春菊	
kaleidoscope	ALL_WRONG	STRIP_or_ALIAS_review	1	0	野間美由紀	
kanon-usami-2003	ALL_WRONG	STRIP_or_ALIAS_review	1	0	宇佐美真紀	
kanon	ALL_WRONG	STRIP_or_ALIAS_review	1	0	森嶋プチ	
koori-no-joou-2013	ALL_WRONG	STRIP_or_ALIAS_review	1	0	真崎春望	
koori-no-joou	ALL_WRONG	STRIP_or_ALIAS_review	1	0	リカチ	
last-order-2000	ALL_WRONG	STRIP_or_ALIAS_review	1	0	高田裕三	
last-order-kazunari-2021	ALL_WRONG	STRIP_or_ALIAS_review	1	0	ヒイロ莎々	
mobile-suit-gundam-f90ff-fastest-formula	ALL_WRONG	STRIP_or_ALIAS_review	1	0	今ノ夜キヨシ	
step-mother	ALL_WRONG	STRIP_or_ALIAS_review	1	0	萩森千聖	
otome-wa-boku-ni-koishiteru	ALL_WRONG	STRIP_or_ALIAS_review	1	0	アラキカナオ	
real-kiss-2014	ALL_WRONG	STRIP_or_ALIAS_review	1	0	小純月子	
samurai-7	ALL_WRONG	STRIP_or_ALIAS_review	1	0	浅野マイコ	
samurai-japan	ALL_WRONG	STRIP_or_ALIAS_review	1	0	永井豪/ダイナミックプロダクション	
shikei-shikkounin-mine-1984	ALL_WRONG	STRIP_or_ALIAS_review	1	0	ミネ武	
sora-yori-takaku	ALL_WRONG	STRIP_or_ALIAS_review	1	0	宮下アキラ	
stand-up-yamakawa-2013	ALL_WRONG	STRIP_or_ALIAS_review	1	0	山川アイジ	
the-bokusaa	ALL_WRONG	STRIP_or_ALIAS_review	1	0	黒咲一人	
the-boxer	ALL_WRONG	STRIP_or_ALIAS_review	1	0	leehye	
the-combat	ALL_WRONG	STRIP_or_ALIAS_review	1	0	望月三起也	
the-konbatto	ALL_WRONG	STRIP_or_ALIAS_review	1	0	アサリヨシトオ	
tsuukaa-2018	ALL_WRONG	STRIP_or_ALIAS_review	1	0	シノハラシノメ	
tsuukaa	ALL_WRONG	STRIP_or_ALIAS_review	1	0	入江紀子	
yatsuhakamura-1996	ALL_WRONG	STRIP_or_ALIAS_review	1	0	jet	
yatsuhakamura	ALL_WRONG	STRIP_or_ALIAS_review	1	0	影丸穣也	
zero-yamazaki-2009	ALL_WRONG	STRIP_or_ALIAS_review	1	0	ヤマザキ貴子	
red-dragon	WRONG_plus_unknown	STRIP_or_ALIAS_review	1	0	佐藤真理乃	
valkyrie-profile-2000	WRONG_plus_unknown	STRIP_or_ALIAS_review	1	0	魔神グリ子	
x-men-1994-3	WRONG_plus_unknown	STRIP_or_ALIAS_review	1	0	中原レイ	
