slug,title,total_vols,covered,missing,edition,volume,isbn13,has_isbn
1-tasu-ichi-wa-0,1+1=0,2,1,1,standard,1,9784592177555,yes
1,1・2作戦,2,1,1,standard,1,,no
10-2016,10,2,1,1,standard,2,,no
10-bunnoichi-no-naisho-banashi,1/10のないしょ話,2,1,1,standard,1,9784592114062,yes
1000-nen-joou,1000年女王,8,3,5,standard,1,,no
1000-nen-joou,1000年女王,8,3,5,standard,2,,no
1000-nen-joou,1000年女王,8,3,5,standard,3,,no
1000-nen-joou,1000年女王,8,3,5,standard,4,,no
1000-nen-joou,1000年女王,8,3,5,standard,5,,no
1000-nen-no-kaze,1000年の疾風,2,1,1,standard,1,9784063123074,yes
12-no-kekkon-monogatari,12の結婚物語,6,4,2,standard,1,9784063197631,yes
12-no-kekkon-monogatari,12の結婚物語,6,4,2,standard,2,9784063197648,yes
12shokumonogatari,12色物語,3,2,1,standard,1,,no
13gatsu-no-higeki,13月の悲劇,2,1,1,standard,1,,no
13gou-hasshinseyo,13号発進せよ,3,2,1,standard,2,,no
14-sai-no-season,14歳の季節,4,2,2,standard,1,9784253073073,yes
14-sai-no-season,14歳の季節,4,2,2,standard,2,9784253073080,yes
1549-jieitai-1549,戦国自衛隊1549,2,1,1,standard,2,9784047137707,yes
15sai,15才,3,2,1,standard,1,9784575817027,yes
17-nanasai,17歳。,4,3,1,standard,2,,no
17ans,17ans,14,13,1,deluxe,14,9784088585642,yes
17sai,17歳,2,1,1,standard,1,9784575817027,yes
1genme-wa-yaruki-no-minpou,1限めはやる気の民法,3,1,2,standard,1,9784882718130,yes
1genme-wa-yaruki-no-minpou,1限めはやる気の民法,3,1,2,standard,2,9784835213187,yes
2001yamonogatari,2001夜物語,6,1,5,standard,1,,no
2001yamonogatari,2001夜物語,6,1,5,standard,2,,no
2001yamonogatari,2001夜物語,6,1,5,standard,3,,no
2001yamonogatari,2001夜物語,6,1,5,bunkobon,2,9784575720310,yes
2001yamonogatari,2001夜物語,6,1,5,bunkobon,3,9784575720327,yes
20seiki-20-younen,20世紀少年,22,21,1,standard,11,,no
21-emon,21エモン,8,3,5,standard,1,,no
21-emon,21エモン,8,3,5,standard,2,,no
21-emon,21エモン,8,3,5,standard,3,,no
21-emon,21エモン,8,3,5,standard,4,,no
21-emon,21エモン,8,3,5,standard,5,9784124100198,yes
22xx,22XX,2,1,1,standard,1,9784592126553,yes
23-ji,23:00,2,1,1,standard,1,9784592177951,yes
24-no-hitomi-1994,二十四の瞳,3,1,2,standard,1,,no
24-no-hitomi-1994,二十四の瞳,3,1,2,standard,2,,no
24000-no-hijitetsu,24000回の肘鉄,2,1,1,standard,1,9784838705078,yes
3-san-7-byooshi,3.3.7ビョーシ!!,15,14,1,standard,2,9784063130614,yes
3-three,3 THREE,18,4,14,standard,1,9784091330512,yes
3-three,3 THREE,18,4,14,standard,2,9784091330529,yes
3-three,3 THREE,18,4,14,standard,3,9784091330536,yes
3-three,3 THREE,18,4,14,standard,4,9784091330543,yes
3-three,3 THREE,18,4,14,standard,5,9784091330550,yes
3-three,3 THREE,18,4,14,standard,6,9784091330567,yes
3-three,3 THREE,18,4,14,standard,7,9784091330574,yes
3-three,3 THREE,18,4,14,standard,8,9784091330581,yes
3-three,3 THREE,18,4,14,standard,9,9784091330598,yes
3-three,3 THREE,18,4,14,standard,10,9784091330604,yes
3-three,3 THREE,18,4,14,standard,11,9784091336910,yes
3-three,3 THREE,18,4,14,standard,12,9784091336927,yes
3-three,3 THREE,18,4,14,standard,13,9784091336934,yes
3-three,3 THREE,18,4,14,standard,14,9784091336941,yes
34-sai-urenokori-no-koi-wa-gyaku-propose-kara,34歳・売れ残りの恋は逆プロポーズから,5,4,1,standard,3,9784867780763,yes
3nen-kimengumi,3年奇面組,10,4,6,standard,1,,no
3nen-kimengumi,3年奇面組,10,4,6,standard,2,,no
3nen-kimengumi,3年奇面組,10,4,6,standard,3,,no
3nen-kimengumi,3年奇面組,10,4,6,standard,4,,no
3nen-kimengumi,3年奇面組,10,4,6,standard,5,,no
3nen-kimengumi,3年奇面組,10,4,6,standard,6,,no
4-gatsu-no-niwa-no-kodomotachi,4月の庭の子供たち,2,1,1,standard,1,,no
4nen-1kumi-kiritsu,4年1組起立!,11,10,1,standard,4,,no
4p-tanaka-kun,4P田中くん,60,9,51,standard,1,9784253048262,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,2,9784253048279,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,3,9784253048286,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,4,9784253048293,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,5,9784253048309,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,6,9784253048316,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,7,9784253048323,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,8,9784253048330,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,9,9784253048347,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,10,9784253048354,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,11,9784253048361,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,12,9784253048378,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,13,9784253048385,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,14,9784253048392,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,15,9784253048408,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,16,9784253048415,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,17,9784253048422,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,18,9784253048439,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,19,9784253048446,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,20,9784253048453,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,21,9784253048460,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,22,9784253048477,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,23,9784253048484,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,24,9784253048491,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,25,9784253048507,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,26,9784253048514,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,27,9784253048521,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,28,9784253048538,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,29,9784253048545,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,30,9784253048552,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,31,9784253050715,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,32,9784253050722,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,33,9784253050739,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,34,9784253050746,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,35,9784253050753,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,36,9784253050760,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,37,9784253050777,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,38,9784253050784,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,39,9784253050791,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,40,9784253050807,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,41,9784253050814,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,42,9784253050821,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,43,9784253050838,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,44,9784253050845,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,45,9784253050852,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,46,9784253050869,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,47,9784253050876,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,48,9784253050883,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,49,9784253050890,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,50,9784253050906,yes
4p-tanaka-kun,4P田中くん,60,9,51,standard,51,9784253051507,yes
5-2000,5,15,14,1,standard,1,9784886533685,yes
5byou-mae,5秒前,11,8,3,standard,2,9784063190106,yes
5byou-mae,5秒前,11,8,3,standard,3,9784063190212,yes
5byou-mae,5秒前,11,8,3,standard,4,9784063190342,yes
5nenme-no-kekkon-kinenbi,5年目の結婚記念日,2,1,1,standard,1,9784575819656,yes
6-gatsukoku-no-sama,6月国の王子さま,2,1,1,standard,1,,no
666-satan,666～サタン～,19,16,3,standard,1,9784757505971,yes
666-satan,666～サタン～,19,16,3,standard,2,9784757506978,yes
666-satan,666～サタン～,19,16,3,standard,3,9784757508101,yes
7200-byou-no-romance,7200秒のロマンス,3,1,2,standard,1,9784061762718,yes
7200-byou-no-romance,7200秒のロマンス,3,1,2,standard,3,9784061762732,yes
7banme-no-7-younen,7番目の少年,2,1,1,standard,1,9784872872057,yes
82-bunch-no-inu,82番地の犬,5,3,2,standard,1,9784873171968,yes
82-bunch-no-inu,82番地の犬,5,3,2,standard,2,9784873172156,yes
9-de-ware,9で割れ!!,8,4,4,standard,1,9784124104479,yes
9-de-ware,9で割れ!!,8,4,4,standard,2,9784124104516,yes
9-de-ware,9で割れ!!,8,4,4,standard,3,9784124104547,yes
9-de-ware,9で割れ!!,8,4,4,standard,4,9784124104578,yes
a-a,A-A',2,1,1,standard,1,9784091780379,yes
a-bu-na-i-danjo-kousai,あ・ぶ・な・い男女交際,2,1,1,standard,1,9784091320933,yes
a-i-revolution,A・Iレボリューション,17,2,15,standard,1,9784253079297,yes
a-i-revolution,A・Iレボリューション,17,2,15,standard,2,9784253079303,yes
a-i-revolution,A・Iレボリューション,17,2,15,standard,3,9784253079310,yes
a-i-revolution,A・Iレボリューション,17,2,15,standard,4,9784253079327,yes
a-i-revolution,A・Iレボリューション,17,2,15,standard,5,9784253079334,yes
a-i-revolution,A・Iレボリューション,17,2,15,standard,6,9784253079549,yes
a-i-revolution,A・Iレボリューション,17,2,15,standard,7,9784253079556,yes
a-i-revolution,A・Iレボリューション,17,2,15,standard,8,9784253079563,yes
a-i-revolution,A・Iレボリューション,17,2,15,standard,9,9784253079600,yes
a-i-revolution,A・Iレボリューション,17,2,15,standard,10,9784253079617,yes
a-i-revolution,A・Iレボリューション,17,2,15,standard,11,9784253079624,yes
a-i-revolution,A・Iレボリューション,17,2,15,standard,12,9784253079631,yes
a-i-revolution,A・Iレボリューション,17,2,15,standard,13,9784253079648,yes
a-i-revolution,A・Iレボリューション,17,2,15,standard,14,9784253192040,yes
a-i-revolution,A・Iレボリューション,17,2,15,standard,15,9784253192057,yes
a-ressha-de-ikou,A列車でいこう,2,1,1,standard,1,9784061761780,yes
aa-hana-no-shinkoiwa-3-choume,嗚呼花の新小岩3丁目,2,1,1,standard,1,,no
aa-harimanada,ああ播磨灘,42,16,26,standard,1,9784061027428,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,2,9784061027473,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,3,9784061027527,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,4,9784061027633,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,5,9784061027732,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,6,9784061027800,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,7,9784061027909,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,8,9784061027985,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,9,9784063283082,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,10,9784063283174,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,11,9784063283266,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,12,9784063283365,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,13,9784063283464,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,14,9784063283556,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,15,9784063283679,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,16,9784063283808,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,17,9784063283952,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,18,9784063284041,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,19,9784063284102,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,20,9784063284171,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,22,9784063284379,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,23,9784063284508,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,24,9784063284607,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,25,9784063284713,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,26,9784063284812,yes
aa-harimanada,ああ播磨灘,42,16,26,standard,28,9784063284935,yes
aakeidia,アーケイディア,3,1,2,standard,1,9784592123965,yes
aakeidia,アーケイディア,3,1,2,standard,2,9784592123972,yes
abare-tendou,あばれ天童,11,4,7,standard,1,9784061012486,yes
abare-tendou,あばれ天童,11,4,7,standard,2,,no
abare-tendou,あばれ天童,11,4,7,standard,3,9784061012509,yes
abare-tendou,あばれ天童,11,4,7,standard,4,9784061012905,yes
abare-tendou,あばれ天童,11,4,7,standard,5,,no
abare-tendou,あばれ天童,11,4,7,standard,6,,no
abare-tendou,あばれ天童,11,4,7,standard,7,,no
abayo-hakusho,あばよ白書,22,10,12,standard,1,9784592136415,yes
abayo-hakusho,あばよ白書,22,10,12,standard,2,9784592136422,yes
abayo-hakusho,あばよ白書,22,10,12,standard,3,9784592136439,yes
abayo-hakusho,あばよ白書,22,10,12,standard,4,9784592136446,yes
abayo-hakusho,あばよ白書,22,10,12,standard,5,9784592136453,yes
abayo-hakusho,あばよ白書,22,10,12,standard,6,9784592136460,yes
abayo-hakusho,あばよ白書,22,10,12,standard,7,9784592136477,yes
abayo-hakusho,あばよ白書,22,10,12,standard,8,9784592136484,yes
abayo-hakusho,あばよ白書,22,10,12,standard,9,9784592136491,yes
abayo-hakusho,あばよ白書,22,10,12,standard,10,9784592136576,yes
abayo-hakusho,あばよ白書,22,10,12,standard,11,9784592136583,yes
abayo-hakusho,あばよ白書,22,10,12,standard,12,9784592136590,yes
abe-seimei,安倍晴明,3,2,1,standard,1,9784821198511,yes
abinai-doumei,あBない同盟,5,4,1,standard,5,9784061761407,yes
abu-san,あぶさん,107,97,10,standard,7,,no
abu-san,あぶさん,107,97,10,standard,10,,no
abu-san,あぶさん,107,97,10,standard,15,,no
abu-san,あぶさん,107,97,10,standard,17,,no
abu-san,あぶさん,107,97,10,standard,18,,no
abu-san,あぶさん,107,97,10,standard,19,,no
abu-san,あぶさん,107,97,10,standard,20,,no
abu-san,あぶさん,107,97,10,standard,22,,no
abu-san,あぶさん,107,97,10,standard,23,,no
abu-san,あぶさん,107,97,10,standard,24,,no
abunai-oka-no-ie,あぶない丘の家,4,1,3,standard,1,9784049243505,yes
abunai-oka-no-ie,あぶない丘の家,4,1,3,standard,2,9784049243901,yes
abunai-oka-no-ie,あぶない丘の家,4,1,3,standard,3,9784049244793,yes
aburemon,あぶれもん,5,1,4,standard,1,,no
aburemon,あぶれもん,5,1,4,standard,2,,no
aburemon,あぶれもん,5,1,4,standard,4,,no
aburemon,あぶれもん,5,1,4,standard,5,,no
accel-world,あくちぇる・わーるど。,5,4,1,standard,1,9784048706193,yes
ace-1985,エース!,10,4,6,standard,1,9784088533209,yes
ace-1985,エース!,10,4,6,standard,2,9784088533322,yes
ace-1985,エース!,10,4,6,standard,3,9784088533445,yes
ace-1985,エース!,10,4,6,standard,4,9784088533568,yes
ace-1985,エース!,10,4,6,standard,5,9784088533681,yes
ace-1985,エース!,10,4,6,standard,6,9784088533803,yes
acid-flower,アシッド・フラワー,3,1,2,standard,1,9784877347291,yes
acid-flower,アシッド・フラワー,3,1,2,standard,2,9784877348151,yes
act-on,アクト・オン!,2,1,1,standard,1,9784797340327,yes
actor,アクター,23,9,14,standard,1,9784061025363,yes
actor,アクター,23,9,14,standard,2,9784061025486,yes
actor,アクター,23,9,14,standard,3,9784061025578,yes
actor,アクター,23,9,14,standard,4,9784061025646,yes
actor,アクター,23,9,14,standard,5,9784061025844,yes
actor,アクター,23,9,14,standard,6,9784061025936,yes
actor,アクター,23,9,14,standard,7,9784061026032,yes
actor,アクター,23,9,14,standard,8,9784061026094,yes
actor,アクター,23,9,14,standard,9,9784061026216,yes
actor,アクター,23,9,14,standard,10,9784061026285,yes
actor,アクター,23,9,14,standard,11,9784061026353,yes
actor,アクター,23,9,14,standard,12,9784061026414,yes
actor,アクター,23,9,14,standard,13,9784061026483,yes
actor,アクター,23,9,14,standard,14,9784061026537,yes
adoribu-ouji,アドリブ王子,4,2,2,standard,1,9784893676962,yes
adoribu-ouji,アドリブ王子,4,2,2,standard,2,9784893677808,yes
adoribu-tenchou,アドリブ店長,5,4,1,standard,1,9784893677556,yes
adventure-2030-gakuen,アドベンチャー2030学園,5,1,4,standard,1,9784476086058,yes
adventure-2030-gakuen,アドベンチャー2030学園,5,1,4,standard,2,9784476081169,yes
adventure-2030-gakuen,アドベンチャー2030学園,5,1,4,standard,3,9784476081176,yes
adventure-2030-gakuen,アドベンチャー2030学園,5,1,4,standard,4,9784476081466,yes
adventure2030-gakuen,Adventure2030学園,5,1,4,standard,1,9784476086058,yes
adventure2030-gakuen,Adventure2030学園,5,1,4,standard,2,9784476081169,yes
adventure2030-gakuen,Adventure2030学園,5,1,4,standard,3,9784476081176,yes
adventure2030-gakuen,Adventure2030学園,5,1,4,standard,4,9784476081466,yes
after-5-wa-kiss-no-ame,アフター5はkissの雨,7,4,3,standard,1,9784882717805,yes
after-5-wa-kiss-no-ame,アフター5はkissの雨,7,4,3,standard,2,9784835210728,yes
after-5-wa-kiss-no-ame,アフター5はkissの雨,7,4,3,standard,3,9784835212241,yes
after-midnight,アフター・ミッドナイト,2,1,1,standard,1,9784088493312,yes
afuresouna-pool,あふれそうなプール,9,3,6,standard,1,9784882716556,yes
afuresouna-pool,あふれそうなプール,9,3,6,standard,2,9784882716310,yes
afuresouna-pool,あふれそうなプール,9,3,6,standard,3,9784882718406,yes
afuresouna-pool,あふれそうなプール,9,3,6,standard,4,9784882717225,yes
afuresouna-pool,あふれそうなプール,9,3,6,standard,5,9784835210865,yes
afuresouna-pool,あふれそうなプール,9,3,6,standard,6,9784835211817,yes
agapes-1999,Agapes,4,3,1,standard,6,9784091522566,yes
agharta,AGHARTA,11,8,3,standard,1,,no
agharta,AGHARTA,11,8,3,standard,2,,no
agharta,AGHARTA,11,8,3,standard,3,,no
ahondara,あほんだら,2,1,1,standard,1,,no
ai-de-naku,愛でなく,12,1,11,standard,1,9784403612886,yes
ai-de-naku,愛でなく,12,1,11,standard,2,9784403613036,yes
ai-de-naku,愛でなく,12,1,11,standard,3,9784403613340,yes
ai-de-naku,愛でなく,12,1,11,standard,4,9784403613586,yes
ai-de-naku,愛でなく,12,1,11,standard,5,9784403613821,yes
ai-de-naku,愛でなく,12,1,11,standard,6,9784403613975,yes
ai-de-naku,愛でなく,12,1,11,standard,7,9784403614217,yes
ai-de-naku,愛でなく,12,1,11,standard,9,9784403614910,yes
ai-de-naku,愛でなく,12,1,11,standard,10,9784403615306,yes
ai-de-naku,愛でなく,12,1,11,standard,11,9784403615757,yes
ai-de-naku,愛でなく,12,1,11,standard,12,9784403616143,yes
ai-hitotsu-akiko,愛ひとつ晶子,8,1,7,deluxe,1,9784061720060,yes
ai-hitotsu-akiko,愛ひとつ晶子,8,1,7,deluxe,2,9784061720077,yes
ai-hitotsu-akiko,愛ひとつ晶子,8,1,7,deluxe,3,9784061720084,yes
ai-hitotsu-akiko,愛ひとつ晶子,8,1,7,standard,1,9784061783126,yes
ai-hitotsu-akiko,愛ひとつ晶子,8,1,7,standard,2,9784061783133,yes
ai-hitotsu-akiko,愛ひとつ晶子,8,1,7,standard,3,9784061783140,yes
ai-hitotsu-akiko,愛ひとつ晶子,8,1,7,bunkobon,1,9784122029316,yes
ai-no-aranjuez,愛のアランフェス,11,4,7,standard,1,,no
ai-no-aranjuez,愛のアランフェス,11,4,7,standard,2,,no
ai-no-aranjuez,愛のアランフェス,11,4,7,standard,3,,no
ai-no-aranjuez,愛のアランフェス,11,4,7,standard,4,,no
ai-no-aranjuez,愛のアランフェス,11,4,7,standard,5,,no
ai-no-aranjuez,愛のアランフェス,11,4,7,standard,6,,no
ai-no-aranjuez,愛のアランフェス,11,4,7,standard,7,,no
ai-no-fujitsubo,愛のふじつぼ,2,1,1,standard,2,,no
ai-no-sei-kashira,愛のせいかしら,2,1,1,standard,1,9784792602246,yes
ai-no-seikatsu,愛の生活,2,1,1,deluxe,1,9784048524308,yes
ai-to-seishun-no-pekepeke,愛と青春の××,2,1,1,standard,1,9784063028973,yes
ai-to-yokubou-wa-gakuen-de,愛と欲望は学園で,12,11,1,standard,5,9784862521187,yes
aiiro-shinwa,あい色神話,3,2,1,standard,1,,no
aijin-tanaka-1999,愛人,5,1,4,standard,1,9784592133513,yes
aijin-tanaka-1999,愛人,5,1,4,standard,2,9784592133520,yes
aijin-tanaka-1999,愛人,5,1,4,standard,3,9784592133537,yes
aijin-tanaka-1999,愛人,5,1,4,standard,4,9784592133544,yes
aiki,愛気,14,13,1,standard,2,9784785925949,yes
aikodesho,あいこでしょ!,6,4,2,standard,1,9784840218559,yes
aikodesho,あいこでしょ!,6,4,2,standard,2,9784840220538,yes
air-master,エアマスター,28,20,8,standard,2,9784592137580,yes
air-master,エアマスター,28,20,8,standard,4,9784592137603,yes
air-master,エアマスター,28,20,8,standard,9,9784592137658,yes
air-master,エアマスター,28,20,8,standard,10,9784592137665,yes
air-master,エアマスター,28,20,8,standard,11,9784592137672,yes
air-master,エアマスター,28,20,8,standard,12,9784592137689,yes
air-master,エアマスター,28,20,8,standard,13,9784592137696,yes
air-master,エアマスター,28,20,8,standard,14,9784592137702,yes
aisazuniwa-irarenai,愛さずにはいられない,2,1,1,standard,1,9784063027488,yes
aishite-knight,愛してナイト,11,4,7,standard,1,,no
aishite-knight,愛してナイト,11,4,7,standard,2,,no
aishite-knight,愛してナイト,11,4,7,standard,3,,no
aishite-knight,愛してナイト,11,4,7,standard,4,,no
aishite-knight,愛してナイト,11,4,7,standard,5,9784088507835,yes
aishite-knight,愛してナイト,11,4,7,standard,6,9784088508177,yes
aishite-knight,愛してナイト,11,4,7,standard,7,9784088508276,yes
aitsu-ga-hero,あいつがHERO!,4,2,2,standard,1,9784061083929,yes
aitsu-ga-hero,あいつがHERO!,4,2,2,standard,2,9784061084056,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,1,9784061728080,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,2,9784061728158,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,3,9784061728240,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,4,9784061728387,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,5,9784061728578,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,6,9784061728660,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,7,9784061728806,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,8,9784061728929,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,9,9784061729063,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,10,9784061729278,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,11,9784061729353,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,12,9784061729599,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,13,9784061729735,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,14,9784061729926,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,15,9784061730076,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,16,9784061730243,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,17,9784061730359,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,18,9784061730557,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,19,9784061730809,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,20,9784061730991,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,21,9784061731288,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,22,9784061731486,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,23,9784061731691,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,24,9784061731936,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,25,9784063112061,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,26,9784063112283,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,27,9784063112467,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,28,9784063112665,yes
aitsu-to-lullaby,あいつとララバイ,57,18,39,standard,29,9784063112849,yes
