key	base	verdict	role	new_slug	title	surname	flag
qid:Q11606236|name:勝手にしやがれ	katte-ni-shiyagare	different_works	sub	katte-ni-shiyagare-konno-2002	勝手にしやがれ	konno	
qid:Q17350012|name:勝手にしやがれ	katte-ni-shiyagare	different_works	sub	katte-ni-shiyagare-1991	勝手にしやがれ		YEAR_ONLY
qid:Q16263692|name:勝手にしやがれ	katte-ni-shiyagare	different_works	sub	katte-ni-shiyagare-1997	勝手にしやがれ		YEAR_ONLY
name:市野治美|name:RiNG	ring	different_works	main	ring	RiNG		
qid:Q1040463|name:RING	ring	different_works	sub	ring-2004	RING		YEAR_ONLY
name:永井幸二郎|name:リング	ring	different_works	sub	ring-1996	リング		YEAR_ONLY
qid:Q11596472|name:リング	ring	different_works	sub	ring-inagaki-1999	リング	inagaki	
name:鈴木光司|name:リング	ring	different_works	sub	ring-suzuki-2005	リング	suzuki	
name:越智千文|name:breath	breath	different_works	main	breath	breath	ochi	
qid:Q608806|name:BREATH	breath	different_works	sub	breath-1999	BREATH		YEAR_ONLY
qid:Q11537576|name:ウルトラセブン	ultra-seven	different_works	main	ultra-seven	ウルトラセブン		
qid:Q11352635|name:ウルトラセブン	ultra-seven	different_works	sub	ultra-seven-1978	ウルトラセブン		YEAR_ONLY
name:円谷プロダクション|name:ウルトラセブン	ultra-seven	different_works	sub	ultra-seven-productions-1998	ウルトラセブン	productions	
name:園山ゆきの|name:ブレス	bless	different_works	main	bless	ブレス	sonoyama	
qid:Q11651076|name:ブレス	bless	different_works	sub	bless-1992	ブレス		YEAR_ONLY
qid:Q11363888|name:ブレス	bless	different_works	sub	bless-1993	ブレス		YEAR_ONLY
name:間中信行|name:仙人掌	saboten	different_works	main	saboten	仙人掌	manaka	
qid:Q469923|name:サボテン	saboten	different_works	sub	saboten-1995	サボテン		YEAR_ONLY
qid:Q11274926|name:さぼてん	saboten	different_works	sub	saboten-1999	さぼてん		YEAR_ONLY
name:岸田こあら|name:英雄教室	eiyuu-kyoushitsu	subseries	main	eiyuu-kyoushitsu	英雄教室		
name:満月シオン|name:英雄教室|sub:ガールズミッション	eiyuu-kyoushitsu	subseries	main	eiyuu-kyoushitsu-2	英雄教室		
name:岩井恭平|name:Oz	oz	different_works	main	oz	Oz	iwai	
qid:Q619010|name:OZ	oz	different_works	sub	oz-itsuki-2004	Oz	itsuki	
name:岩井俊二|name:ラヴレター	love-letter	different_works	main	love-letter	ラヴレター	iwai	
qid:Q11670967|name:ラブ・レター	love-letter	different_works	sub	love-letter-takahashi-1989	ラブ・レター	takahashi	
name:岩尾収蔵|name:HELP	help	different_works	main	help	HELP		
qid:Q11489301|name:HELP	help	different_works	sub	help-1988	HELP		YEAR_ONLY
qid:Q11386613|name:Help!	help	different_works	sub	help-1991	Help!		YEAR_ONLY
qid:Q11488393|name:Help!	help	different_works	sub	help-1993	Help!		YEAR_ONLY
qid:Q11623533|name:HELP!!	help	different_works	sub	help-fujiwara-2004	HELP!!	fujiwara	
name:亀井高秀|name:ラヴィアンローズ	la-vie-en-rose	different_works	main	la-vie-en-rose	ラヴィアンローズ		
