slug	title	edition	vol	isbn	rakuten_title	rakuten_core
19-nineteen	19 <Nineteen>	standard	1	9784088617015	ナインティーン（1）	ナインティン
19-nineteen	19 <Nineteen>	standard	2	9784088617022	ナインティーン（2）	ナインティン
19-nineteen	19 <Nineteen>	standard	3	9784088617039	ナインティーン（3）	ナインティン
19-nineteen	19 <Nineteen>	standard	4	9784088617046	ナインティーン（4）	ナインティン
19-nineteen	19 <Nineteen>	standard	5	9784088617053	ナインティーン（5）	ナインティン
19-nineteen	19 <Nineteen>	standard	6	9784088617060	ナインティーン（6）	ナインティン
19-nineteen	19 <Nineteen>	standard	7	9784088617077	ナインティーン（7）	ナインティン
19-nineteen	19 <Nineteen>	standard	8	9784088617084	ナインティーン（8）	ナインティン
19-nineteen	19 <Nineteen>	standard	9	9784088617091	ナインティーン（9）	ナインティン
19-nineteen	19 <Nineteen>	standard	10	9784088617107	ナインティーン（10）	ナインティン
19-nineteen	19 <Nineteen>	standard	11	9784088617114	ナインティーン（11）	ナインティン
19-nineteen	19 <Nineteen>	standard	12	9784088617121	ナインティーン（12）	ナインティン
900	900。	standard	1	9784091580016	ナインハンドレッド（1）	ナインハンドレッド
900	900。	standard	2	9784091580023	ナインハンドレッド（2）	ナインハンドレッド
900	900。	standard	3	9784091580030	ナインハンドレッド（3）	ナインハンドレッド
abaddon	アバドン	standard	1	9784063619171	Abaddon（1）	abaddon
abaddon	アバドン	standard	2	9784063821406	Abaddon〈アバドン〉（2）	abaddon
ad-boy	ADボーイ	standard	1	9784537125153	AD　BOY（1）	adboy
adventure-time	アドベンチャー・タイム	standard	1	9784041027684	ADVENTURE　TIME	adventuretime
agapes-1999	Agapes	standard	6	9784091522566	アガペイズ（6）	アガペイズ
agapes-1999	Agapes	standard	7	9784091522573	アガペイズ（7）	アガペイズ
agapes-1999	Agapes	standard	8	9784091522580	アガペイズ（8）	アガペイズ
agapes-1999	Agapes	standard	9	9784091522597	アガペイズ（9）	アガペイズ
agharta	AGHARTA	standard	4	9784088758879	アガルタ（4）	アガルタ
agharta	AGHARTA	standard	5	9784088760988	アガルタ（5）	アガルタ
agharta	AGHARTA	standard	6	9784088761985	アガルタ（6）	アガルタ
agharta	AGHARTA	standard	7	9784088765747	アガルタ（7）	アガルタ
agharta	AGHARTA	standard	8	9784088768632	アガルタ（8）	アガルタ
agharta	AGHARTA	standard	9	9784088772271	アガルタ（9）	アガルタ
akuma-no-mama	Akuma no mama	standard	1	9784757561731	あくまのまま（1）	アクマノママ
akuma-no-mama	Akuma no mama	standard	2	9784757570139	あくまのまま（2）	アクマノママ
aldnoah-zero	アルドノア・ゼロ	standard	1	9784832244696	ALDNOAH．ZERO（1）	aldnoah.zero
aldnoah-zero	アルドノア・ゼロ	standard	2	9784832244955	ALDNOAH．ZERO（2）	aldnoah.zero
aldnoah-zero	アルドノア・ゼロ	standard	3	9784832245259	ALDNOAH．ZERO（3）	aldnoah.zero
aldnoah-zero	アルドノア・ゼロ	standard	4	9784832245907	ALDNOAH．ZERO（4）	aldnoah.zero
all-night-long	ALL NIGHT LONG	standard	1	9784803319071	オールナイトロング	オルナイトロング
alpha-1993	ALPHA	standard	1	9784048523851	アルファ	アルファ
anima-1987	Anima	standard	1	9784403611452	アニマ（1）	アニマ
anima-1987	Anima	standard	2	9784403611599	アニマ（2）	アニマ
arc-the-lad-ii	Arc The Lad Ⅱ	standard	1	9784870252363	アークザラッド2（1）	アクザラッド2
arc-the-lad-ii	Arc The Lad Ⅱ	standard	2	9784870252738	アークザラッド2	アクザラッド2
arc-the-lad-ii	Arc The Lad Ⅱ	standard	3	9784870253407	アークザラッド2（3）	アクザラッド2
arc-the-lad-ii	Arc The Lad Ⅱ	standard	4	9784870254244	アークザラッド2（4）	アクザラッド2
arc-the-lad-ii	Arc The Lad Ⅱ	standard	5	9784870254817	アークザラッド2（5）	アクザラッド2
arc-the-lad-ii	Arc The Lad Ⅱ	standard	6	9784757500686	アークザラッド2（6）	アクザラッド2
arc-the-lad-ii	Arc The Lad Ⅱ	standard	7	9784757501522	アークザラッド2（7）	アクザラッド2
arc-the-lad-ii	Arc The Lad Ⅱ	standard	8	9784757501935	アークザラッド2（8）	アクザラッド2
arc-the-lad-ii	Arc The Lad Ⅱ	standard	9	9784757504028	アークザラッド2（9）	アクザラッド2
arc-the-lad-ii	Arc The Lad Ⅱ	standard	10	9784757505346	ア-クザラッド2（10）	アクザラッド2
arc-the-lad	Arc the lad	deluxe	1	9784796244145	アーク・ザ・ラッド（1）	アクザラッド
arcana	ARCANA	standard	1	9784087826685	アルカナ（file　上）	アルカナ
arcana	ARCANA	standard	2	9784087826692	アルカナ（file　下）	アルカナ
artifact-red	ARTIFACT;RED	standard	1	9784757505735	アーティファクトレッド（1）	アティファクトレッド
artifact-red	ARTIFACT;RED	standard	2	9784757506527	アーティファクトレッド（2）	アティファクトレッド
artifact-red	ARTIFACT;RED	standard	3	9784757507548	アーティファクトレッド（3）	アティファクトレッド
arty-square	アーティ・スクエア	standard	1	9784882715719	ARTY　SQUARE	artysquare
assembler-0x	Assembler 0X	bunkobon	1	9784062606189	アセンブラ0X（1）	アセンブラ0x
assembler-0x	Assembler 0X	bunkobon	2	9784062606196	アセンブラ0X（2）	アセンブラ0x
ayakashi	アヤカシ	standard	1	9784063493399	AYAKASHI（1）	ayakashi
ayakashi	アヤカシ	standard	2	9784063493696	AYAKASHI（2）	ayakashi
ayus	AYUS	standard	1	9784047131347	アーユス（1）	アユス
ayus	AYUS	standard	2	9784047131675	アーユス（2）	アユス
baby	ベイビィ	standard	1	9784253145541	Baby（1）	baby
baby	ベイビィ	standard	2	9784253145558	Baby（2）	baby
baccano	バッカーノ!	standard	3	9784757552685	BACCANO！（3）	baccano
back-street-girls	バックストリートガールズ	standard	1	9784063826494	Back Street Girls（1）	backstreetgirls
back-street-girls	バックストリートガールズ	standard	2	9784063827118	Back Street Girls（2）	backstreetgirls
back-street-girls	バックストリートガールズ	standard	3	9784063827422	Back　Street　Girls（3）	backstreetgirls
back-street-girls	バックストリートガールズ	standard	4	9784063828085	Back　Street　Girls（4）	backstreetgirls
back-street-girls	バックストリートガールズ	standard	5	9784063828597	Back　Street　Girls（5）	backstreetgirls
back-street-girls	バックストリートガールズ	standard	6	9784063829037	Back　Street　Girls（6）	backstreetgirls
back-street-girls	バックストリートガールズ	standard	7	9784063829631	Back　Street　Girls（7）	backstreetgirls
back-street-girls	バックストリートガールズ	standard	8	9784065101513	Back　Street　Girls（8）	backstreetgirls
back-street-girls	バックストリートガールズ	standard	9	9784065105412	Back　Street　Girls（9）	backstreetgirls
back-street-girls	バックストリートガールズ	standard	10	9784065110782	Back　Street　Girls（10）	backstreetgirls
back-street-girls	バックストリートガールズ	standard	11	9784065117613	Back　Street　Girls（11）	backstreetgirls
back-street-girls	バックストリートガールズ	standard	12	9784065141595	Back　Street　Girls（12）	backstreetgirls
bakuneyoung	BAKUNEYOUNG	standard	1	9784091518316	バクネヤング（1）	バクネヤング
bakuneyoung	BAKUNEYOUNG	standard	2	9784091518323	バクネヤング（2）	バクネヤング
bamboo-blade-b	バンブーブレードビー	standard	1	9784757525962	BAMBOO　BLADE　B（1）	bamboobladeb
bamboo-blade-b	バンブーブレードビー	standard	2	9784757527294	BAMBOO　BLADE　B（2）	bamboobladeb
bamboo-blade-b	バンブーブレードビー	standard	3	9784757528819	BAMBOO　BLADE　B（3）	bamboobladeb
bamboo-blade-b	バンブーブレードビー	standard	4	9784757530737	BAMBOO BLADE B（4）	bamboobladeb
bamboo-blade-b	バンブーブレードビー	standard	5	9784757531949	BAMBOO BLADE B（5）	bamboobladeb
bamboo-blade-b	バンブーブレードビー	standard	6	9784757533622	BAMBOO　BLADE　B（6）	bamboobladeb
bamboo-blade-b	バンブーブレードビー	standard	7	9784757534759	BAMBOO BLADE B（7）	bamboobladeb
bamboo-blade-b	バンブーブレードビー	standard	8	9784757535794	BAMBOO BLADE B（8）	bamboobladeb
bamboo-blade-b	バンブーブレードビー	standard	9	9784757537132	BAMBOO BLADE B（9）	bamboobladeb
bamboo-blade-b	バンブーブレードビー	standard	10	9784757538139	BAMBOO BLADE B（10）	bamboobladeb
bamboo-blade-b	バンブーブレードビー	standard	11	9784757539600	BAMBOO　BLADE　B（11）	bamboobladeb
bamboo-blade-b	バンブーブレードビー	standard	12	9784757541689	BAMBOO　BLADE　B（12）	bamboobladeb
bamboo-house	BAMBOO HOUSE	standard	1	9784885704444	バンブ-ハウス	バンブハウス
bartender	Bartender	deluxe	20	9784088598949	バーテンダー（20）	バテンダ
basutaado	バスタード	standard	1	9784087030013	BASTARD！！	bastard
beast-of-blood	ビーストオブブラッド	standard	1	9784796413657	BEAST　OF　BLOOD	beastofblood
beast-of-blood	ビーストオブブラッド	standard	2	9784796414999	BEAST　OF　BLOOD（2）	beastofblood
beautiful-place	ビューティフルプレイス	standard	1	9784864688659	beautiful place（1）	beautifulplace
beautiful-place	ビューティフルプレイス	standard	2	9784864682473	beautiful place（2）	beautifulplace
beautiful-place	ビューティフルプレイス	standard	3	9784868050544	beautiful place（3）	beautifulplace
biomega	バイオメガ	standard	2	9784088772110	BIOMEGA（2）	biomega
biomega	バイオメガ	standard	3	9784088773179	BIOMEGA（3）	biomega
biomega	バイオメガ	standard	4	9784088774053	BIOMEGA（4）	biomega
biomega	バイオメガ	standard	5	9784088775173	BIOMEGA（5）	biomega
biomega	バイオメガ	standard	6	9784088776224	BIOMEGA（6）	biomega
black-jack	ブラック・ジャック	bunkobon	1	9784253169813	BLACK　JACK（1）	blackjack
black-jack	ブラック・ジャック	bunkobon	2	9784253169820	BLACK　JACK（2）	blackjack
black-jack	ブラック・ジャック	bunkobon	3	9784253169837	BLACK　JACK（3）	blackjack
black-jack	ブラック・ジャック	bunkobon	4	9784253169844	BLACK　JACK（4）	blackjack
black-jack	ブラック・ジャック	bunkobon	5	9784253169851	BLACK　JACK（5）	blackjack
black-jack	ブラック・ジャック	bunkobon	6	9784253169868	BLACK　JACK（6）	blackjack
black-jack	ブラック・ジャック	bunkobon	7	9784253169875	BLACK　JACK（7）	blackjack
black-jack	ブラック・ジャック	bunkobon	8	9784253169882	BLACK　JACK（8）	blackjack
black-jack	ブラック・ジャック	bunkobon	9	9784253169899	BLACK　JACK（9）	blackjack
black-jack	ブラック・ジャック	bunkobon	10	9784253169905	BLACK　JACK（10）	blackjack
black-jack	ブラック・ジャック	bunkobon	11	9784253169912	BLACK　JACK（11）	blackjack
black-jack	ブラック・ジャック	bunkobon	12	9784253169929	BLACK　JACK（12）	blackjack
black-jack	ブラック・ジャック	bunkobon	13	9784253169936	BLACK　JACK（13）	blackjack
black-jack	ブラック・ジャック	bunkobon	14	9784253169943	BLACK　JACK（14）	blackjack
black-jack	ブラック・ジャック	bunkobon	15	9784253170734	BLACK　JACK（15）	blackjack
black-jack	ブラック・ジャック	bunkobon	16	9784253170741	BLACK　JACK（16）	blackjack
black-jack	ブラック・ジャック	bunkobon	17	9784253171175	BLACK　JACK（17）	blackjack
black-knight-bat	BLACK KNIGHTバット	deluxe	1	9784088581279	ブラックナイトバット	ブラックナイトバット
black-lagoon	BLACK LAGOON	standard	1	9784091572011	ブラック・ラグーン（1)	ブラックラグン
