slug	title	edition	our_vol	isbn	rakuten_vol	rakuten_title
10	10	standard	1	9784088615301	10	マッド★ブル34（10）
11	11	standard	1	9784088618210	11	マッド★ブル34（11）
12	12	standard	2	9784088618227	12	マッド★ブル34（12）
13	13	standard	1	9784088618234	13	マッド★ブル34（13）
14-yon	14	standard	1	9784088618241	14	マッド★ブル34（14）
15	15	standard	1	9784088618258	15	マッド★ブル34（15）
16	16	standard	1	9784088618265	16	マッド★ブル34（16）
17-nana-1990	17	standard	1	9784088618272	17	マッド★ブル34（17）
18-1990	18	standard	1	9784088618289	18	マッド★ブル34（18）
19	19	standard	1	9784088618296	19	マッド★ブル34（19）
2014-nama-dokusha-toukou-natsu-za-best	〔○生〕読者投稿夏ザ・ベスト2014	standard	1	9784832253087	2014	（生）読者投稿夏ザ・ベスト（2014）
25ji-no-bakansu	25時のバカンス	standard	1	9784063107807	2	25時のバカンス　市川春子作品集（2）
5	5	standard	1	9784088615257	5	マッド★ブル34（5）
6	6	standard	1	9784088615264	6	マッド★ブル34（6）
8-1988	8	standard	1	9784088615288	8	マッド★ブル34（8）
9	9	standard	1	9784088615295	9	マッド★ブル34（9）
a-kun-17-no-sensou	A君（17）の戦争	standard	1	9784047125506	17	A君（17）の戦争ーI，THE　TYCOON？-1
a-kun-17-no-sensou	A君（17）の戦争	standard	2	9784047125728	17	A君（17）の戦争ーI．THE　TYCOON？-2
aishiatte-nanka-irarenai	愛し合ってなんかいられない	standard	1	9784592116950	5	愛し合ってなんかいられない（5）
akai-kyuuden	赤い宮殿	standard	1	9784408434728	7	新・霊能者緒方克巳シリーズ（7）赤い宮殿
ame-no-niau-heya	雨の似合う部屋	standard	1	9784091370327	2	雨の似合う部屋（2）
american-pie	アメリカン・パイ	standard	1	9784091780171	17	アメリカンパイ（17）
anata-ga-erabu-black-jack-best-40	あなたが選ぶブラック・ジャックBEST40	standard	1	9784253132589	40	あなたが選ぶブラック・ジャックBest　40
aoi-kankei	蒼い関係	standard	1	9784091312129	2	蒼い関係（2）
arisutouerubu	アリス12	bunkobon	1	9784840120401	12	アリス　12
arumaito-senmenki	あるまいとせんめんき	bunkobon	4	9784086122504	5	あるまいとせんめんき　5
asu-wa-ii-hi-da	明日はいい日だ	standard	2	9784944154043	1	下　明日はいい日だ　徳田虎雄　第1巻
asunaro-hakusho	あすなろ白書	bunkobon	3	9784091920966	1	あすなろ白書 第二部（1）
asunaro-hakusho	あすなろ白書	bunkobon	4	9784091920973	2	あすなろ白書 第二部（2）
ayakashi-no-koku	妖の刻	standard	1	9784253077170	2	皇牙＆竜牙　妖の刻（2）
benkei	弁慶	standard	1	9784061086418	41	手塚治虫漫画全集（41）
boku-wa-chikyuu-toutau	ぼくは地球と歌う	standard	2	9784592214816	1	ぼくは地球と歌う（1）
bosatsu-nikki	ぼさつ日記	wideban	1	9784091338822	2	ぼさつ日記（2）
boys-be-2nd-season	Boys be… 2nd season	bunkobon	1	9784063603613	1991	Boys　be…（1991）
boys-be-itabashi-2010	Boys be…	bunkobon	1	9784063603613	1991	Boys　be…（1991）
boys-be	BOYS BE…	bunkobon	1	9784063603613	1991	Boys　be…（1991）
chichin-puipui	ちちん・プイプイ	standard	1	9784091365439	3	ちちん・プイプイ（3）
chou-bakumatsu-shounen-seiki-takamaru	超幕末少年世紀タカマル	standard	1	9784056007886	2	超幕末少年世紀タカマル（2）
cinema-gohan	シネマごはん	standard	2	9784785973421	1	シネマごはん　ふたたび（全1巻）
comic-catalog	Comic catalog	standard	1	9784990042011	1997	COMIC　CATALOG（1997）
comic-super-famicom-selection	COMICスーパーファミコンセレクション	standard	1	9784886410672	4	スーパーファミコンセレクション（4）
dare-nimo-ienai-hi	誰にも言えない(秘)	standard	21	9784790116363	2	誰にも言えないマル秘究極のH！！　2
dare-nimo-ienai-hi	誰にも言えない(秘)	standard	26	9784790118312	4	誰にも言えないマル秘禁断の恋　4
deddorain	死線	bunkobon	1	9784022670960	4	呪いのシリーズ（4）新版
denki	電気	bunkobon	1	9784344816169	3	藤田貴美作品集（3）
destiny	Destiny	standard	3	9784063258950	4	Destiny（4）
doa-no-mukou	ドアのむこう	bunkobon	1	9784091925954	2	イアラ短編シリーズ（2）ドアのむこう
dog-dog-dog	犬犬犬	standard	1	9784091860248	4	犬・犬・犬（ドッグ・ドッグ・ドッグ）（4）
doshaburinohini	どしゃぶりのひに	standard	1	9784062116954	5	大型版　あらしのよるにシリーズ（5）　どしゃぶりのひに
dragon-circus	DRAGON CIRCUS	standard	1	9784864682640	0	DRAGON　CIRCUS（0）
egoist	EGOIST	standard	1	9784872872224	5	EGOIST（5）
fubukinoashita	ふぶきのあした	standard	1	9784062116961	6	大型版　あらしのよるにシリーズ（6）　ふぶきのあした
fujisaki-ryuu-sakuhinshuu-2-sakuratetsu-taiwahen	藤崎竜作品集2 サクラテツ対話篇	bunkobon	1	9784086187480	2	サクラテツ対話篇 藤崎竜作品集 2
fujisaki-ryuu-sakuhinshuu-3-tenkyuugi	藤崎竜作品集3 天球儀	bunkobon	1	9784086188005	3	天球儀 藤崎竜作品集 3
gakkou-no-kaidan-2	学校の怪談2	deluxe	1	9784063197297	2	学校の怪談（2）
gekiga-2-honshi-taikanokaishin-no-hikari-to-kage	劇画日本史2 大化改新の光と影	standard	1	9784253099585	2	劇画日本史（2）
gekiga-3-honshi-hanasakeru-nyotei-no-seiki	劇画日本史3 花さける女帝の世紀	standard	1	9784253099592	3	劇画日本史（3）
genjuu-no-kuni-monogatari-1995	幻獣の國物語	standard	14	9784872871609	12	幻獣の國物語（12）
genjuu-no-kuni-monogatari-1997	幻獣の国物語	standard	14	9784872871609	12	幻獣の國物語（12）
genjuu-no-kuni-monogatari	幻獣の國物語	standard	14	9784872871609	12	幻獣の國物語（12）
genkai-dokushin-joshi-26-gohan	限界独身女子〈26〉ごはん	standard	1	9784046829375	26	限界独身女子(26)ごはん　1
genkai-dokushin-joshi-26-gohan	限界独身女子〈26〉ごはん	standard	2	9784046837653	26	限界独身女子(26)ごはん　2
genkai-dokushin-joshi-26-gohan	限界独身女子〈26〉ごはん	standard	3	9784046847485	26	限界独身女子(26)ごはん　3
genkai-dokushin-joshi-26-gohan	限界独身女子〈26〉ごはん	standard	4	9784046852434	26	限界独身女子(26)ごはん　4
getter-robo-g	ゲッターロボG	standard	1	9784575936124	4	ゲッターロボサーガ（4）
golgo-13-supinofu-series	ゴルゴ13スピンオフシリーズ	standard	2	9784098618248	1	ゴルゴ13スピンオフシリーズ 2 Gの遺伝子 少女ファネット（1）
green-carnation	グリーン・カーネーション	standard	1	9784049230253	25	グリーン・カーネーション 山岸涼子全集　25
guren-no-onna-kishi	紅蓮の女騎士	standard	1	9784049242690	4	紅蓮の女騎士　上 EXTRA　RING　4
guren-no-onna-kishi	紅蓮の女騎士	standard	2	9784049242799	5	紅蓮の女騎士　下 EXTRA　RING　5
hagakure	葉隠	standard	1	9784124033045	26	マンガ日本の古典（26）
hakobune-wa-ippai	箱舟はいっぱい	bunkobon	1	9784091920638	3	箱船はいっぱい（3)
hana-buchou-52-to-kokono-chan-17	花部長（52）と心乃ちゃん（17）	standard	1	9784041055533	52	花部長（52）と心乃ちゃん(17)　(1)
hana-buchou-52-to-kokono-chan-17	花部長（52）と心乃ちゃん（17）	standard	2	9784041062913	52	花部長（52）と心乃ちゃん(17)　(2)
hana-no-inori	花の祈り	standard	1	9784091327253	5	花の祈り（5）
happouyabure	はっぽうやぶれ	standard	1	9784884754181	6	はっぽうやぶれ（6）
heisei-no-arukikata	平成ノ歩キ方	standard	1	9784093590525	2	平成ノ歩キ方（2）
higawari-yagami-land	日替わり矢上ランド	standard	1	9784073104858	2	矢上裕傑作短編集（2）　日替わり矢上ランド
hisetsu	飛雪	standard	1	9784575332643	4	Best　of名香智子（4）
hontou-ni-atta-yukai-na-hanashi	本当にあった愉快な話	standard	1	9784884758233	2	田島みるくの本当にあった愉快な話（2）
hoshi-furu-heya-de	星降る部屋で	standard	1	9784091371027	2	星降る部屋で（2）
ikb-13	池袋13	standard	1	9784592198437	13	池袋（13）
inochi-dake-wa-byoudou-da	生命だけは平等だ	standard	1	9784944154050	3	上　生命だけは平等だ　徳田虎雄　第3巻　医療一揆編
inochi-dake-wa-byoudou-da	生命だけは平等だ	standard	2	9784944154067	4	下　生命だけは平等だ　徳田虎雄　第4巻　医療一揆編
itazura-oumu-no-seikatsu-zakki	いたずらオウムの生活雑記	standard	2	9784758015530	2017	いたずらオウムの生活雑記（2017）
itazura-oumu-no-seikatsu-zakki	いたずらオウムの生活雑記	standard	3	9784758016131	2018	いたずらオウムの生活雑記（2018）
janus-no-kagami	ヤヌスの鏡	bunkobon	1	9784086122078	3	ヤヌスの鏡（3）
jigoku-yuugi	地獄遊戯	standard	3	9784396760977	2	地獄遊戯（2）
kagi	鍵	bunkobon	1	9784087850864	5	島津郷子自選集（5）
kaina	腕	standard	3	9784845846238	2	腕〜駿河城御前試合〜（2）
kareshi-ga-kieta-hi-ni	彼氏が消えた日に	standard	1	9784091368034	3	彼氏が消えた日に（3）
kaze-no-michi-2000	風の道	standard	1	9784253077675	2	風の道（2）
kenban-no-ue-no-caress	鍵盤の上のカレス	standard	1	9784864363730	2	鍵盤の上のカレス（2）
kenbutsu-kibun-no-ryokounin	見物気分の旅行人	standard	1	9784049246001	4	見物気分の旅行人　前編 日帰りクエスト　4
kenbutsu-kibun-no-ryokounin	見物気分の旅行人	standard	2	9784049246421	5	見物気分の旅行人　後編 日帰りクエスト　5
keroyoi-niigataben-sakaba	けろよい!新潟弁酒場	standard	2	9784785977061	1	けろよい！新潟弁酒場　2杯目（全1巻）
kimi-ga-sore-o-ai-to-yondemo	君がそれを愛と呼んでも	standard	1	9784910617039	0	君がそれを愛と呼んでも（0）
kirinonakade	きりのなかで	standard	1	9784062115025	4	大型版　あらしのよるにシリーズ（4）　きりのなかで
kiss-de-goukaku	Kissで合格	standard	3	9784088623559	2	Kissで合格（2）
kochikame-2000	こち亀2000	standard	1	9784081062010	2000	こち亀（2000）
kochikame-bunko	こち亀文庫	bunkobon	1	9784086187886	1996	こち亀文庫（1（1996））
kochikame-bunko	こち亀文庫	bunkobon	2	9784086187893	1997	こち亀文庫（2（1997））
kochikame-bunko	こち亀文庫	bunkobon	3	9784086187909	1997	こち亀文庫（3（1997））
kochikame-bunko	こち亀文庫	bunkobon	4	9784086187916	1997	こち亀文庫（4（1997））
kochikame-bunko	こち亀文庫	bunkobon	5	9784086187923	1998	こち亀文庫（5（1998））
kochikame-bunko	こち亀文庫	bunkobon	6	9784086187930	1998	こち亀文庫（6（1998））
kochikame-bunko	こち亀文庫	bunkobon	7	9784086187947	1998	こち亀文庫（7（1998））
kochikame-bunko	こち亀文庫	bunkobon	8	9784086187954	1999	こち亀文庫（8（1999））
kochikame-bunko	こち亀文庫	bunkobon	9	9784086187961	1999	こち亀文庫（9（1999））
kochikame-bunko	こち亀文庫	bunkobon	10	9784086187978	1999	こち亀文庫（10（1999））
kochikame-bunko	こち亀文庫	bunkobon	11	9784086187985	2000	こち亀文庫（11（2000））
kochikame-bunko	こち亀文庫	bunkobon	12	9784086187992	2000	こち亀文庫（12（2000））
kochikame-bunko	こち亀文庫	bunkobon	13	9784086188586	2000	こち亀文庫（13（2000））
kochikame-bunko	こち亀文庫	bunkobon	14	9784086188593	2001	こち亀文庫（14（2001））
kochikame-bunko	こち亀文庫	bunkobon	15	9784086188944	2001	こち亀文庫（15（2001））
kochikame-bunko	こち亀文庫	bunkobon	16	9784086188951	2001	こち亀文庫（16（2001））
kochikame-bunko	こち亀文庫	bunkobon	17	9784086188968	2002	こち亀文庫（17（2002））
kochikame-bunko	こち亀文庫	bunkobon	18	9784086188975	2002	こち亀文庫（18（2002））
kochikame-bunko	こち亀文庫	bunkobon	19	9784086191050	2002	こち亀文庫（19（2002））
kochikame-bunko	こち亀文庫	bunkobon	20	9784086191067	2003	こち亀文庫（20（2003））
kochikame-bunko	こち亀文庫	bunkobon	21	9784086192385	2003	こち亀文庫（21（2003））
kochikame-bunko	こち亀文庫	bunkobon	22	9784086192392	2003	こち亀文庫（22（2003））
kochikame-bunko	こち亀文庫	bunkobon	23	9784086193016	2004	こち亀文庫（23（2004））
kochikame-bunko	こち亀文庫	bunkobon	24	9784086193023	2004	こち亀文庫（24（2004））
koibito-niwa-narenai	恋人にはなれない	standard	1	9784091368027	2	恋人にはなれない（2）
kojikagari	仔鹿狩り	standard	1	9784049250091	3	少年怪奇シリーズ　（3） 仔鹿狩り
komattamonda-no-torawarebito	困ったもんだの囚われ人	standard	1	9784049245240	2	困ったもんだの囚われ人（前編） 日帰りクエスト　2
komattamonda-no-torawarebito	困ったもんだの囚われ人	standard	2	9784049245486	3	困ったもんだの囚われ人（後編） 日帰りクエスト　3
konbini-s	コンビニs	standard	1	9784091315601	3	コンビニs（3）
kono-ko-urimasu	この娘うります!	standard	1	9784091780157	15	この娘うります（15）
konya-ha-gekkou-shounen	今夜は月光少年	standard	1	9784091331250	5	今夜は月光少年（5）
koojiji-en	コージジ苑	standard	1	9784197805952	2015	コージジ苑（第1版（2015））
lovelove-cute	ラブラブキュート	standard	1	9784840213998	2	吉富昭仁秀作集（2）　ラブラブキュート
machigai-darake-no-chuusainin	間違いだらけの仲裁人	standard	1	9784049246803	6	間違いだらけの仲裁人　前編 日帰りクエスト　6
machigai-darake-no-chuusainin	間違いだらけの仲裁人	standard	2	9784049247169	7	間違いだらけの仲裁人　後編 日帰りクエスト　7
magical-1to3	マジカル1to3	standard	1	9784061089471	3	マジカル1　to　3
makai-senki-disgaea-4	魔界戦記ディスガイア4	standard	1	9784048914499	4	魔界戦記ディスガイア（4）
mame-sengoku-basara4	まめ戦国BASARA4	standard	1	9784048668712	4	まめ戦国BASARA4　巻之一
mame-sengoku-basara4	まめ戦国BASARA4	standard	2	9784048692991	4	まめ戦国BASARA4　巻之二
mame-sengoku-basara4	まめ戦国BASARA4	standard	3	9784048655446	4	まめ戦国BASARA4　巻之三
manga-abunai-geinoukai-dx	まんが危ない芸能界DX	standard	1	9784864366168	2014	まんが危ない芸能界DXアイドル暗黒ファイル（2014）
mangaka-assistant-misato-san-29-wa-konkatsuchuu	漫画家アシスタント三郷さん〈29〉は婚活中	standard	1	9784575853063	29	漫画家アシスタント三郷さん（29）は婚活中（1）
mangaka-assistant-misato-san-29-wa-konkatsuchuu	漫画家アシスタント三郷さん〈29〉は婚活中	standard	2	9784575853933	29	漫画家アシスタント三郷さん（29）は婚活中（2）
mangetsunoyoruni	まんげつのよるに	standard	1	9784062785044	7	大型版（7）　まんげつのよるに
matsumoto-reiji-no-daiuchuu	松本零士の大宇宙	standard	1	9784778032494	999	松本零士の大宇宙 ハーロック ヤマト 999
miman-love	未満れんあい	standard	4	9784575838800	5	未満れんあい（5）
mirai-kyuujotai-asu-guard-7-1975-sugaya-mitsuruban	未来救助隊アスガード7 1975すがやみつる版	standard	1	9784835454696	1975	未来救助隊アスガード7（1975）
mirai-kyuujotai-asu-guard-7	未来救助隊アスガード7 1974すがやみつる版	standard	1	9784835454467	1974	未来救助隊アスガード7（1974）
miraizer-ban	ミライザーバン	standard	2	9784257914679	3	ミライザーバン（3）
mitai-mono-misemashou	見たいもの見せましょう	standard	3	9784785974084	1	見たいもの見せましょう 3（全1巻）
mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	standard	16	9784063775389	3	貸本戦記漫画集（3）水木しげる作戦シリーズ（上）
mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	standard	17	9784063775396	4	貸本戦記漫画集（4）水木しげる作戦シリーズ（下）
mobile-suit-gundam-moon-crisis	機動戦士ガンダムムーンライトクライシス	standard	3	9784073077091	2	機動戦士ガンダム　ムーンクライシス（2）
mogura-croket-no-kumon	もぐらコロッケの苦悶	standard	1	9784065330654	3	ナガノのくまの本（3）　もぐらコロッケの苦悶
mogura-croket-no-yume	もぐらコロッケのゆめ	standard	1	9784065302545	2	ナガノのくまの本（2）　もぐらコロッケのゆめ
mukashigatari	昔語り	standard	1	9784022140937	3	新 呪いのシリーズ（3）昔語り
nana-1988	7	standard	1	9784088615271	7	マッド★ブル34（7）
nigiyaka-bunko-3	にぎやか文庫3	standard	1	9784403611315	3	にぎやか文庫（3）
number10	NUMBER10	standard	1	9784088733722	10	Number　10
ore-no-maibooru	俺のマイボール	standard	2	9784575825220	3	俺のマイボール（3）
ossan-36-ga-idol-ni-naru-hanashi	オッサン〈36〉がアイドルになる話	standard	1	9784391152814	36	オッサン（36）がアイドルになる話1
ossan-36-ga-idol-ni-naru-hanashi	オッサン〈36〉がアイドルになる話	standard	2	9784391153682	36	オッサン（36）がアイドルになる話2
ossan-36-ga-idol-ni-naru-hanashi	オッサン〈36〉がアイドルになる話	standard	3	9784391153699	36	オッサン（36）がアイドルになる話 3
