isbn13	date	publisher	title	creators
9784868230243	2026.4		あゝ、荒野. 2	寺山修司 原作/バロン吉元 劇画
9784344857544	2026.4		愛してると思うならば	寿ののこ 著
9784301003458	2026.4		愛する婚約者に殺された公爵令嬢、死に戻りして光の公爵様 (お父様) の溺愛に気づ	あーもんど 原作/かしい葵 漫画
9784253012904	2026.4		蒼きバルカナリア = The Azure Balkanalia. 1	ささきさ 著
9784098545162	2026.4		青のオーケストラ. 15	阿久井真 著
9784065433232	2026.4		青のミブロ-新選組編-. 10	安田剛士 著
9784065434727	[2026.4]		赤いちょうの少女 : 楳図先生の大長編読み切りまんが!	楳図かずお
9784049521405	2026.4		商い人魚と蒼空の初恋. 1	紅蜜ゆず 著
9784046601155	2026.4		あきらかに年齢を詐称している女子高生VTuber = High school g	なまず 著
9784801989504	2026.4		アキはハルとごはんを食べたいおかわり! 5	たじまこと 著
9784098255078	2026.4		悪と嘘を描く : 武論尊の漫画原作私論	武論尊 著
9784823610318	2026.4		悪役令嬢E×EX	久川ちん 漫画
9784065431399	2026.4		悪夢令嬢は一家滅亡の夢を見た : 私の目的は生き延びることです. 5	大菊小菊 原作/近衛悠 漫画/泉乃せん 構成
9784046858191	2026.4		アザミヤコを好きになる. 3	ユニティコング 原作/ツノニガウ 漫画
9784796418133	2026.4		明日もきみに会いに行く. 2	熊雪ふる 著
9784815620004	2026.4		芦屋山手お道具迎賓館 : コミック. 1	イノメ洞窟 漫画/高殿円 原作/斎賀時人 キャラクター原案
9784775322802	2026.4		味のプロレス. マニアック編	アカツキ 著
9784065432884	2026.4		あずさ荘の食卓. 3	原鉄平 著
9784049521603	2026.4		安達としまむら. 8	柚原もけ 漫画/入間人間 原作/のん キャラクターデザイン
9784868120988	2026.4		艶色シークレット	れぐでく 著
9784344857551	2026.4		あなたのマ王さま	九重シャム
9784065431405	2026.4		義姉の代わりに、余命一年と言われる侯爵子息様と婚約することになりました. 7	もりこも 漫画/瑪々子 原作/紫藤むらさき キャラクター原案
9784065433256	2026.4		あの島の海音荘. 1	瀬尾公治 著
9784868230168	2026.4		あのね、みっちゃん	すう 著
9784049521863	2026.4		アプリコットファズ = APRICOT FUZZ. 4	なぎと 著
9784823610301	2026.4		甘色テンプテーション	ぽんたろ 著
9784861175046	2026.4		あまえづくし	東條土筆 著
9784403680502	2026.4		甘くて青い、運命の	なりた晴ノ
9784049521382	2026.4		嵐に舞うプシュケ = Psyche Dancing in the Storm. 	おむ・ザ・ライス 著
9784253012713	2026.4		蟻の王 = king of the ants. 21	塚脇永久 原作/伊藤龍 漫画
9784046854353	2026.4		アルカリレットウセイ. 3	佐藤まひろ 漫画/城崎 原作/NHN PlayArt株式会社, ドワンゴ 原作ゲ
9784046857675	2026.4		アルマーク. 7	柚ノ木ヒヨト 著/やまだのぼる 原作/出水ぽすか キャラクター原案
9784834285413	2026.4		いかゴリラのどえらい!元気が出るマンガ	いかゴリラ 著
9784799777374	2026.4		息できないのは君のせい. 7	澄谷ゼニコ 著
9784537173949	2026.4		生贄家族. 7	杉野アキユキ
9784785981587	2026.4		医師を裁く医師 : E.D.D	橋本エイジ
9784046601322	2026.4		異世界おじさん = Ojisan In Another World. 15	殆ど死んでいる 著
9784049211269	2026.4		異世界から帰還したら地球もかなりファンタジーでした。あと、負けヒロインどもこっち	高槻今城 漫画/飯田栄静 原作/桑島黎音 キャラクター原案
9784823610271	2026.4		異世界来たのでスケベスキルで全力謳歌しようと思う. 3	あきのそら 著
9784868120971	2026.4		異世界召喚されたので鍛え上げた肉体を駆使してスケベしようと思う	あきのそら 著
9784041123874	2026.4		異世界転移、地雷付き。. 3	いつきみずほ 原作/レルシー 漫画/猫猫猫 キャラクター原案
9784041170588	2026.4		異世界で配信活動をしたら大量のヤンデレ信者を生み出してしまった件. 7	伊予嶺つく 漫画/みょん 原作
9784801989290	2026.4		異世界ハーレムマッサージ : 神の指圧で悩めるモンスター娘たちを揉みほぐす! 1	サカヤギ
9784045000249	2026.4		いたいのいたいのそらをとべ. 1	黒崎冬子 著
9784049521573	2026.4		一般聖者の救済戦線 = General Saint of Relief CONQ	ふじや 漫画/破滅 原作/ファルまろ キャラクター原案
9784301004653	2026.4		犬窪ノアとなかよしするまで. 4	塩井こぬ 著
9784041172230	2026.4		いぬとおまわりさん. 2	Gene 著
9784048116985	2026.4		犬に赤紙. 1	タイム涼介 著
9784046600622	2026.4		犬猫3匹、撫でても撫でても手が足りない	ふじもりはる 著
9784253012843	2026.4		いのちの器. 100	上原きみ子 著
9784801989351	2026.4		要らない悪役令嬢、我が国で引き取りますわ : 優秀なご令嬢方を追放だなんて愚かな	綾雅 原作/蛇足せんたろう 漫画
9784868120995	2026.4		いろめくシャングリラ	日吉ハナ 著
9784041171202	2026.4		烏衣の華. 1	白川紺子 原作/如月芳規 漫画/春野薫久 キャラクター原案
9784065432211	2026.4		上野くんは開発済み = ueno-kun has been developed.	中浦トモキ 著
9784046856456	2026.4		受田と攻原	端 著
9784045000546	2026.4		ウスズミの果て : MISSION IN THE APOCALYPSE. 5	岩宗治生 著
9784098545513	2026.4		うちのルカなら。 : 海外のすごい犬とわが家の愛犬どっちもたまらん. 2	五箇野人 著
9784098733811	2026.4		生まれ変わってやり直させて = In this life,I love you 	七尾美緒 著
9784065432921	2026.4		運命など存在しないので = There exists no destiny. 3	井原タクヤ 著
9784065430897	2026.4		永年雇用は可能でしょうか. 6	梨川リサ 漫画/yokuu 原作/烏羽雨 キャラクター原案
9784041173633	2026.4		えぶりでいホスト = Every day Host Club. 1	ごとうにも 著
9784041173640	2026.4		えぶりでいホスト = Every day Host Club. 2	ごとうにも 著
