page	page_title	page_author	n_remove	n_total	would_empty	sample_wrong_isbn	isbn_belongs_to
jipang	JIPANG	速水翼	65	65	YES	9784063287318	ジパング(かわぐちかいじ|ラルフ・)
pocket-monsters-special	ポケットモンスターSPECIAL	真斗	52	64		9784091400963	ポケットモンスターSPECIAL(しな|山本サトシ|川染博)
doraemon-2002	ドラえもん	藤子・F・不二雄	33	39		9784091400017	ドラえもん(藤子不二雄)
doraemon-2013	DORAEMON	藤子・F・不二雄	33	46		9784091400017	ドラえもん(藤子不二雄)
4teen	4TEEN	海埜ゆうこ	33	33	YES	9784091823311	14歳(楳図かずお)
worst-komuro-1970	ワースト	小室孝太郎	33	33	YES	9784253202176	WORST(髙橋ヒロシ)
doraemon	ドラえもん	手塚企画|朝松健|藤子・F・不二雄	32	46		9784091400017	ドラえもん(藤子不二雄)
high-score-aruko-2002	ハイスコア	アルコ	24	24	YES	9784088561356	HIGH SCORE(津山ちなみ)
manga-grimm-douwa-2003	まんがグリム童話	魔木子	23	24		9784821110230	まんがグリム童話(竹崎真実)
purogorufaa-saru	プロゴルファー猿	藤子不二雄Ⓐ	22	35		9784124100419	プロゴルファー猿(藤子不二雄)
ultraman-g	ウルトラマンG	島本和彦	21	21	YES	9784864681544	ULTRAMAN(下口智裕|清水栄一)
gogo-monster	GOGOモンスター	松本大洋	18	18	YES	9784091590015	Monster(スタジオ・ナッツ|浦沢直)
sasuke-sasaki-2002	サスケ	佐々木崇	18	18	YES	9784091900876	サスケ(白土三平)
nippon-no-rekishi-2007-2	日本の歴史	井上大助	16	30		9784082391027	日本の歴史(おーじろう|荒木飛呂彦|)
5-2000	'5'	芳原のぞみ	15	15	YES	9784088465708	ファイブ(ふるかわしおり)
yume-de-aetara-1985	夢で逢えたら	小椋冬美	15	16		9784088618371	夢で逢えたら(Hanako|ホーム社|)
matarou-ga-kuru-2020	魔太郎がくる!!	藤子不二雄Ⓐ	14	22		9784124101485	魔太郎がくる!!(藤子不二雄)
nihonnorekishi	日本の歴史	笠原一男	14	21		9784082391027	日本の歴史(おーじろう|荒木飛呂彦|)
darling-2008	Darling!	秋本尚美	13	13	YES	9784063028744	Oh!myダーリン❤(上田美和)
kaibutsu-kun-1988	怪物くん	藤子不二雄Ⓐ	13	23		9784124101454	怪物くん(藤子不二雄)
mobile-suit-gundam-f90	Mobile suit gundam F90	中原れい	13	13	YES	9784061004788	機動戦士ガンダムZZ(富野由悠季|村上としや)
buyuuden	武勇伝	もりやまつる	12	13		9784091233691	BUYUDEN(満田拓也|辻本有博)
esper-mami-1996-2	エスパー魔美	藤子・F・不二雄	12	12	YES	9784091941015	エスパー魔美(小学館ドラえもんルーム)
ninja-hattori-kun	忍者ハットリくん	藤子不二雄Ⓐ	12	17		9784091404831	忍者ハットリくん(藤子不二雄)
pocket-monsters-special-2014	Pocket monsters special	山本サトシ|日下秀憲	12	64		9784091425119	ポケットモンスター(穴久保幸作)
fire-emblem-1993	ファイアーエムブレム	島田ひろかず	11	12		9784796243834	ファイアーエムブレム(うさ銀太郎)
x-men-1994-5	X-MEN	児嶋都|萩原玲二	10	11		9784796873390	X-MEN(HickmanJonat)
gifuu-doudou	義風堂々!!	武村勇治	10	13		9784199802287	義風堂々!!(八津弘幸|原哲夫|堀江信)
arc-the-lad-ii	Arc The Lad Ⅱ	藤凪かおる	10	10	YES	9784757500686	アークザラッドⅡ(西川秀明)
nito-monogatari	二兎物語	滝沢聖峰	10	10	YES	9784091511713	Ichigo(六田登)
x-men-1994-3	X-MEN	中原れい	9	11		9784796873390	X-MEN(HickmanJonat)
maya-2004	マヤ	須藤真澄	9	9	YES	9784063120646	Maya(本島幸久)
silver-suetsugu-2005	Silver	末次由紀	9	9	YES	9784091348524	シルバー(ペニー・ジョーダン|藤田)
gold-1997	Gold	魔木子	8	9		9784091388810	ゴールド(アン・メイジャー|藤田和)
suikoden-2000	水滸伝	さいとう・たかを	8	10		9784840111959	水滸伝(夏秋のぞみ|李志清)
top	TOP!	池田さとみ	8	9		9784253204408	TWO突風!(旭凛太郎|藤井良樹)
x-men-1994	X-MEN	やすえこーじ|ヒグチヒロシ	7	10		9784796873390	X-MEN(HickmanJonat)
gold-2004	GOLD	山本隆一郎	7	9		9784091388827	ゴールド(アン・メイジャー|藤田和)
1-yamamoto-1993	'1'	山本英夫	7	7	YES	9784063522419	Ichi(子母澤寛|篠原花那)
complex	コンプレックス	まんだ林檎	7	10		9784253192217	COMPLEX(菊池久美子)
karen-osakabe-2011	花恋	刑部真芯	7	9		9784091301048	Karen(やぶうち優)
red-nakaji-1990	RED	なかじ有紀	7	9		9784091358714	レッド(エリカ・スピンドラー|小)
ring-inagaki-1999	リング	稲垣みさお	7	7	YES	9784049243055	RiNG(市野治美)
tempest-1993	テンペスト	庄司陽子	7	10		9784063805970	テンペスト(阿仁谷ユイジ)
tales-of-destiny2	Tales of Destiny2	Makoto2号	6	6	YES	9784757502741	Tales of Destiny(杉基イクラ)
change-kitamura-2005	ちぇんじ!	篠塚ひろむ	6	6	YES	9784065111444	Change!(曽田正人)
charisma-2	カリスマ	花小路ゆみ	6	6	YES	9784776793557	カリスマ(石原理)
kirara-hiramatsu-1987	キララ	平松伸二	6	7		9784088612362	Kirara(ホーム社|唯登詩樹)
jun-1997	純	関谷巌	5	5	YES	9784780801651	ジュン(石ノ森章太郎)
jun-2012	純	紡木たく	5	5	YES	9784086127264	Jun(森下裕美)
tales-of-destiny	テイルズオブデスティニー	啄木鳥しんき	5	6		9784757502741	Tales of Destiny(杉基イクラ)
bakudan-1995	BAKUDAN	宮下あきら	5	5	YES	9784088518213	ばくだん(本宮ひろ志)
iyahaya-nantomo	イヤハヤ南友	永井豪＆ダイナミック・プロ	5	9		9784257960799	イヤハヤ南友(ダイナミック・プロ|永井)
jihad-sadakane-1993	ジハード	山根和俊	5	5	YES	9784253144728	Jihad(伊月慶悟|里見桂)
kuro-1999	黒	奥浩哉	5	6		9784087928181	黒(青インク)
persona-1998	Persona	上田信舟	5	5	YES	9784087823684	ペルソナ(インデックス|松枝尚嗣)
saint-bladers	聖闘士BLADERS	印照	5	8		9784049246506	SAINT(赤石路代)
sp-2000	SP	国友やすゆき	5	7		9784091836151	SP(灰原薬|金城一紀)
shin-mobile-senki-gundam-daburyuu	新機動戦記ガンダムW	氷栗優|細雪純	4	5		9784063217551	新機動戦記ガンダムW(ときた洸一|冬凪れく|富)
shin-mobile-senki-gundam-wing-1996	新機動戦記ガンダムW	みずき健|樹本祐季	4	4	YES	9784063217551	新機動戦記ガンダムW(ときた洸一|冬凪れく|富)
shin-mobile-senki-gundam-wing-1996-2	新機動戦記ガンダムW	むっちりむうにい	4	5		9784063217551	新機動戦記ガンダムW(ときた洸一|冬凪れく|富)
shin-mobile-senki-gundam-wing-1996-3	新機動戦記ガンダムW	樹本祐季|細雪純	4	5		9784063217551	新機動戦記ガンダムW(ときた洸一|冬凪れく|富)
jun-1983	Jun	森下裕美	4	5		9784780801651	ジュン(石ノ森章太郎)
valkyrie-profile-2001	VALKYRIE PROFILE	祥寺はるか	4	5		9784757502895	VALKYRIE PROFILE(佐伯弥四郎)
valkyrie-profile-2001-2	VALKYRIE PROFILE	金田一蓮十郎	4	5		9784757502895	VALKYRIE PROFILE(佐伯弥四郎)
comic-chuurippu	コミックチューリップ	いまざきいつき	4	6		9784803310627	コミックチューリップ(よりちかびびる)
comic-chuurippu-1988	コミックチューリップ	眠田直	4	6		9784803310627	コミックチューリップ(よりちかびびる)
reset	リセット	高橋ユキ	4	5		9784063706178	リセット(山本まゆり)
reset-2005	RESET	筒井哲也	4	4	YES	9784063706178	リセット(山本まゆり)
takeru	武	寺沢武一	4	8		9784861272264	takeru(中島かずき|唐々煙)
takeru-1984	タケル	石渡治	4	4	YES	9784861272264	takeru(中島かずき|唐々煙)
