idx	title	seg	cur_slug	new_slug	conf	changed	flag	note
0	AK-69の泣きメシ	エーケー シックスティナイン ノ ナキメシ	eekee-shikkusuteinain-no-nakimeshi	ak-69-no-nakimeshi	OK	CHANGED		OK: ラテンrun AK-69→ak-69(字面)。日本語部 ノ ナキメシ→no-nakimeshi
1	号外On BLUE 2nd SEASON	ゴウガイ オン ブルー セカンド シーズン	gogai-on-buru-sekando-shiizun	gogai-on-blue-2nd-season	OK	CHANGED		OK: ゴウガイ→gogai(長音落とし)。On BLUE→on-blue(字面)、2nd SEASON→2nd-season(字面)
2	デビル サバイバー2 THE ANIMATION	デビル サバイバー 2 the animation	debiru-sabaibaa-2-the-animation	debiru-sabaibaa-2-the-animation	OK			OK: デビルサバイバー=和製カナ固有名(ヘボン)、隣接数字2 keep、THE ANIMATION→the-animation(字面)
3	デビルサバイバー2 Show Your Free Will	デビル サバイバー ツー ショウ ユア フリー ウィル	debiru-sabaibaa-tsu-sho-yua-furii-uiru	debiru-sabaibaa-2-show-your-free-will	OK	CHANGED		OK: 数字2 keep、Show Your Free Will→字面小文字化
4	秘蜜なbody 21	ヒミツ ナ ボディ ニジュウイチ	himitsu-na-bodi-nijuichi	himitsu-na-body-21	OK	CHANGED		OK: 秘蜜な→himitsu-na(ヒミツナ)。body 21はラテンrun→body-21(字面)
5	CLAMP PREMIUM COLLECTION魔法騎士(マジックナイト)レイアース2	クランプ プレミアム コレクション マジックナイト レイアース ツー	kuranpu-puremiamu-korekushon-majikkunaito-reiaasu-tsu	clamp-premium-collection-magic-knight-rayearth-2	OK	CHANGED		OK: CLAMP PREMIUM COLLECTION→字面。魔法騎士レイアース=公式英題magic-knight-rayearth(読みマジックナイト一致)、末尾2 keep
6	新世紀エヴァンゲリオン 鋼鉄のガールフレンド2nd	シンセイキ エヴァンゲリオン コウテツ ノ ガールフレンド セカンド	shinseiki-evangerion-kotetsu-no-gaarufurendo-sekando	shinseiki-evangerion-kotetsu-no-girlfriend-2nd	OK	CHANGED		OK: エヴァンゲリオン=和製固有名evangerion。鋼鉄の→kotetsu-no。ガールフレンド=英語音写girlfriend。2nd字面
7	The idolm@ster million live!theater days 4コマシアターの日常	The idolm@ster million live!theater days 4 コマシアター ノ ニチジョウ	the-idolmster-million-livetheater-days-4-komashiataa-no-nichijo	the-idolmster-million-live-theater-days-4-komashiataa-no-nichijo	OK	CHANGED		OK: ラテンrun The idolm@ster million live!theater days→字面(@除去,!→ハイフン)。4コマシアターの日常→4-komashiataa-no-nichijo
8	K-1Jファイターズ	K-1 J ファイターズ	k1-j-faitaazu	k-1j-faitaazu	OK	CHANGED		OK: K-1J→k-1j(原綴り優先)。ファイターズ=和製カナ→faitaazu(英fighters音不一致でヘボン)
9	3itches三魔女	サン マジョ	san-majo	3itches-san-majo	OK	CHANGED		OK: ラテンrun 3itches→字面3itches。三魔女→san-majo(サンマジョ)
10	3Bの恋人	サンビー ノ コイビト	sanbii-no-koibito	3b-no-koibito	OK	CHANGED		OK: 3B→ラテンrun字面3b。の恋人→no-koibito
11	崩壊3rd THE COMIC	ホウカイ サード ザ コミック	hokai-saado-za-komikku	hokai-3rd-the-comic	OK	CHANGED		OK: 崩壊→hokai(ホウカイ長音落とし)。3rd→字面ラテン。THE COMIC→the-comic(字面)
12	Angel Beats!The4コマ お空の死んだ世界から	エンジェル ビーツ ザ ヨンコマ オソラ ノ シンダ セカイ カラ	enjieru-biitsu-za-yonkoma-osora-no-shinda-sekai-kara	angel-beats-the-4-komashiataa-osora-no-shinda-sekai-kara	OK	CHANGED		OK: Angel Beats!→字面(!ハイフン)。The4コマ→the-4。お空の死んだ世界から→osora-no-shinda-sekai-kara。注:cur_slugの誤った音写shiataaは抑制したが日本語コマシアター部はseg準拠
13	Charlotte The 4コマ	シャーロット ザ ヨンコマ	shaarotto-za-yonkoma	charlotte-the-4-komashiataa	OK	CHANGED		OK: Charlotte The→字面charlotte-the。4コマ→4-komashiataa(seg該当)
14	彼女のカレラGT3	カノジョ ノ カレラ GT3	kanojo-no-karera-gt3	kanojo-no-karera-gt3	OK			OK: 彼女のカレラ→kanojo-no-karera。GT3→ラテンrun字面gt3
15	2度目の人生、と思ったら、実は3度目だった。～歴史知識と内政努力で不幸な歴史の改変に挑みます～@COMIC	ニドメ ノ ジンセイ ト オモッタラ ジツワ サンドメ ダッタ レキシ チシキ ト ナイセイ ドリョク デ フコウ ナ レキシ ノ カイヘン ニ イドミマス コミック	nidome-no-jinsei-to-omottara-jitsuwa-sandome-datta-rekishi-chishiki-to-naisei-doryoku-de-fuko-na-rekishi-no-kaihen-ni-idomimasu-komikku	nidome-no-jinsei-to-omottara-jitsuwa-sandome-datta-rekishi-chishiki-to-naisei-doryoku-de-fuko-na-rekishi-no-kaihen-ni-idomimasu-comic	OK	CHANGED		OK: 全日本語ヘボン(2度目=隣接数字keep、3度目同)。末尾@COMIC=ラテンrun→comic(@除去)
