slug	title	authors	nvol	pubgrps	yearspan	cm104_editions
youkai-giga	妖怪ギガ	巳島早生	11	091,098	2017-2022	0
youkoso-jitsuryoku-shijou-shugi-no-kyoushitsu-e	ようこそ実力至上主義の教室へ	あさひあける	12	040,046	2016-2022	0
yozakura-quartet	夜桜四重奏	ヤスダスズヒト	33	063,065	2006-2025	0
ys	イース	羽衣翔	7	047,073	1989-1994	0
yubiwa-no-eranda-konyakusha	指輪の選んだ婚約者	えむけえ/小々森鵺	7	040,046	2019-2025	0
yukibana-no-tora	雪花の虎	東村アキコ	10	091,098	2015-2021	0
yume-genji-tsurugi-no-saimon	夢源氏剣祭文	皇名月	2	041,862	2008-2014	0
yume-no-shizuku-kin-no-torikago	夢の雫、黄金の鳥籠	篠原千絵	19	091,098	2011-2024	0
yumekuri	ゆめくり	博	5	040,840	2012-2017	0
yuri-seijin-naoko-san	百合星人ナオコサン	kashmir	5	048,840	2006-2014	0
yuru-fuwa-nouka-no-mojibake-skill	ゆるふわ農家の文字化けスキル	斯波	7	301,757	2020-2025	0
yurumeitsu	ゆるめいつ	saxyun	8	801,812	2007-2020	0
yuube-wa-otanoshimi-deshitane	ゆうべはお楽しみでしたね	金田一蓮十郎	12	301,757	2015-2025	0
yuuhi	雄飛	小山ゆう	16	091,098	2014-2019	0
yuukan-miwa-san	有閑みわさん	たかの宗美	17	801,812	2004-2022	0
yuusha-ga-shinda	勇者が死んだ!	蛸山めがね	20	091,098	2015-2021	0
yuusha-party-o-tsuihousareta-beast-tamer-tamer-no-neko-ji-shoujo-to-deau	勇者パーティーを追放されたビーストテイマー、最強種の猫耳少女と出会う	森永ミキ	11	301,757	2019-2026	0
yuuwaku-private-doll	誘惑プライベート・ドール	春野さく	8	864,886	2010-2017	0
yuuyake-no-uta	夕焼けの詩	西岸良平	72	091,098	1975-2026	0
zettai-ni-hatarakitakunai-dungeon-master-ga-damin-o-musaboru-made	絶対に働きたくないダンジョンマスターが惰眠をむさぼるまで	七六	13	824,865	2019-2026	0
ziggurat	Ziggurat	Miss Black	9	799,860	2010-2024	0
